date,open,high,low,close,volume
2020-01-17,756.5,770.0,740.5,766.65,7383095
2020-01-24,760.0,760.25,727.25,740.15,6963909
2020-01-31,738.0,759.9,716.0,718.25,5953742
2020-02-07,718.25,738.75,695.0,707.6,17188735
2020-02-14,705.95,721.45,696.3,717.65,10172910
2020-02-21,718.5,731.25,694.0,699.6,5405520
2020-02-28,695.0,697.0,635.2,640.0,10443002
2020-03-06,645.0,686.65,620.5,663.5,12824282
2020-03-13,645.0,664.55,504.75,605.85,10260803
2020-03-20,595.85,665.1,576.0,641.95,12287012
2020-03-27,610.0,631.95,542.35,548.1,15047145
2020-04-03,551.5,665.9,535.25,655.85,13720270
2020-04-10,690.0,798.0,670.25,790.15,28825885
2020-04-17,804.0,854.0,787.05,822.25,24357234
2020-04-24,822.0,891.0,792.0,877.35,29894904
2020-05-01,899.95,906.0,811.55,835.3,21499785
2020-05-08,826.0,867.95,808.75,835.0,16076823
2020-05-15,843.95,866.4,828.7,841.8,13659931
2020-05-22,838.0,898.0,833.35,892.75,15068241
2020-05-29,893.0,919.2,840.5,869.8,20631100
2020-06-05,875.0,923.9,846.1,902.35,23757583
2020-06-12,905.0,936.95,880.75,911.9,14746374
2020-06-19,917.0,956.0,912.3,914.45,14563636
2020-06-26,922.45,950.0,916.25,926.75,9674856
2020-07-03,926.75,935.95,890.0,900.05,9577892
2020-07-10,896.0,899.45,858.0,861.1,12623515
2020-07-17,868.85,903.75,855.1,897.4,11503400
2020-07-24,897.4,900.7,846.0,853.8,10323478
2020-07-31,851.0,931.0,828.4,926.55,14521556
2020-08-07,915.0,954.6,874.1,879.85,25932360
2020-08-14,886.9,1023.55,886.05,1018.2,52712511
2020-08-21,1028.4,1035.0,975.2,981.4,28990653
2020-08-28,987.0,1017.15,960.5,976.1,21953003
2020-09-04,982.0,990.0,918.1,945.0,18000332
2020-09-11,949.0,973.0,911.8,967.65,13714990
2020-09-18,972.95,1122.3,958.0,1085.9,31547955
2020-09-25,1085.85,1097.85,971.25,998.9,19253440
2020-10-02,1008.6,1032.0,981.0,1027.85,16852466
2020-10-09,1028.35,1055.85,1012.65,1029.2,12695714
2020-10-16,1030.0,1087.8,996.15,1040.4,22477873
2020-10-23,1044.9,1046.0,977.6,991.45,14203306
2020-10-30,992.95,997.65,905.4,909.25,14310111
2020-11-06,912.0,962.7,900.05,916.9,21812891
2020-11-13,924.8,937.2,855.35,901.35,30389806
2020-11-20,915.25,915.3,872.0,878.7,10003664
2020-11-27,886.0,914.3,877.5,891.8,18981138
2020-12-04,894.0,936.55,892.15,933.3,11828442
2020-12-11,939.0,975.45,928.55,939.4,16199559
2020-12-18,945.0,984.5,937.1,972.1,17937329
2020-12-25,983.0,991.8,875.0,976.2,16939442
2021-01-01,990.0,1009.95,964.5,1000.9,14703306
2021-01-08,1009.8,1047.5,991.0,1038.8,21714591
2021-01-15,1040.0,1113.3,1040.0,1093.15,17094669
2021-01-22,1090.0,1102.05,1030.0,1079.25,12876521
2021-01-29,1092.0,1103.7,995.1,1007.6,14532181
2021-02-05,1008.0,1081.9,978.0,1069.85,15578778
2021-02-12,1079.9,1087.0,1048.0,1053.0,7109044
2021-02-19,1055.0,1109.0,1016.0,1021.7,15470070
2021-02-26,1027.0,1059.95,985.05,1018.35,15671080
