date,open,high,low,close,volume
2020-01-17,548.9,574.0,546.6,569.3,13690091
2020-01-24,569.0,574.0,549.0,567.75,11210351
2020-01-31,565.0,589.75,563.0,567.15,14532137
2020-02-07,566.0,589.85,528.95,569.1,20257297
2020-02-14,566.8,567.0,520.65,523.0,25380403
2020-02-21,524.1,533.0,514.1,524.85,9551675
2020-02-28,522.0,522.0,453.6,457.05,21727929
2020-03-06,453.55,482.5,444.35,471.0,28304909
2020-03-13,453.55,469.65,345.65,428.85,25284425
2020-03-20,421.0,428.6,302.0,322.6,33585534
2020-03-27,299.0,309.9,245.4,294.5,39153885
2020-04-03,281.7,290.0,265.5,280.7,28122009
2020-04-10,295.5,391.65,292.75,381.4,30274068
2020-04-17,380.0,380.0,343.0,363.2,31353100
2020-04-24,367.0,367.45,320.6,334.3,34405086
2020-05-01,337.55,368.0,328.15,366.65,25186452
2020-05-08,350.05,407.9,341.1,386.7,49959477
2020-05-15,388.5,418.9,373.2,381.3,38700990
2020-05-22,382.1,430.35,367.25,426.35,40541847
2020-05-29,427.0,450.0,415.0,436.35,30476859
2020-06-05,441.85,492.6,441.5,484.2,40157996
2020-06-12,485.5,512.9,456.1,508.45,41162132
2020-06-19,505.15,520.95,492.0,500.05,50518751
2020-06-26,501.75,527.65,494.1,501.4,31181275
2020-07-03,494.1,535.5,493.05,530.5,43434373
2020-07-10,533.65,573.55,533.65,554.85,40986242
2020-07-17,560.0,591.25,538.0,588.8,32813454
2020-07-24,588.9,612.0,582.0,598.7,32319203
2020-07-31,598.15,625.8,588.0,606.45,27738608
2020-08-07,610.0,620.5,594.2,600.45,25264218
2020-08-14,605.0,648.6,605.0,614.45,35759011
2020-08-21,628.0,632.75,608.0,609.8,19796933
2020-08-28,613.0,647.0,601.0,631.4,29220724
2020-09-04,637.0,656.0,602.05,632.0,33556184
2020-09-11,632.3,633.85,597.4,614.25,30343349
2020-09-18,615.0,659.4,611.9,654.15,47602438
2020-09-25,657.0,666.6,567.5,592.3,33195775
2020-10-02,595.0,626.5,593.1,610.15,20075251
2020-10-09,615.0,647.45,597.1,633.2,30792838
2020-10-16,637.9,642.0,602.05,606.65,17864076
2020-10-23,612.7,628.0,590.3,625.15,21949586
2020-10-30,624.95,625.85,586.8,594.0,25214029
2020-11-06,592.0,619.3,589.0,613.6,19933289
2020-11-13,621.0,654.4,610.2,629.85,30279107
2020-11-20,639.0,728.4,633.65,715.6,61227692
2020-11-27,716.4,745.5,699.0,722.0,44130254
2020-12-04,736.4,764.45,708.05,750.55,20362552
2020-12-11,750.0,764.0,722.1,727.55,19084939
2020-12-18,731.65,746.25,701.0,733.6,31244116
2020-12-25,729.0,730.0,660.25,710.9,24192229
2021-01-01,715.4,744.75,704.0,732.45,21773617
2021-01-08,735.0,772.8,727.25,770.5,21757375
2021-01-15,773.05,843.85,763.2,819.65,45350931
2021-01-22,817.9,835.0,795.0,798.4,22487028
2021-01-29,802.1,817.0,746.0,749.6,23317813
2021-02-05,753.0,893.55,741.55,865.5,51094775
2021-02-12,891.0,952.05,885.2,908.55,42976292
2021-02-19,910.9,921.75,862.85,879.25,22090530
2021-02-26,880.0,882.5,798.5,806.4,34623986
2021-03-05,821.0,868.0,816.2,840.4,33705955
2021-03-12,847.95,876.2,840.0,855.8,14992684
2021-03-19,862.0,862.0,820.55,850.3,20670021
2021-03-26,849.8,865.0,788.1,799.35,19567430
2021-04-02,802.05,809.8,779.75,806.9,15316769
2021-04-09,808.3,811.0,769.25,791.15,14817590
2021-04-16,779.0,837.85,738.55,821.65,29292339
2021-04-23,785.1,821.2,774.1,777.9,18520055
2021-04-30,780.0,801.6,750.45,752.55,20466423
2021-05-07,744.9,772.0,731.1,767.4,19166680
2021-05-14,772.0,783.8,736.0,741.5,13496650
2021-05-21,740.0,821.0,735.4,818.95,32285138
2021-05-28,821.5,853.0,807.0,847.0,30157930
2021-06-04,824.0,824.0,790.0,804.6,39148852
2021-06-11,807.9,816.75,797.5,809.0,14176004
2021-06-18,809.0,821.85,773.1,781.55,14881159
2021-06-25,776.0,801.9,762.35,794.25,13663417
2021-07-02,795.0,799.0,774.9,782.6,14630380
