date,open,high,low,close,volume
2021-05-14,48.6,56.6,45.75,49.9,3052583
2021-05-21,50.0,51.7,44.0,47.3,3814243
2021-05-28,48.7,49.75,46.25,48.6,2160144
2021-06-04,49.4,57.5,48.25,48.4,2260707
2021-06-11,49.45,50.75,48.3,49.5,1287883
2021-06-18,50.45,54.4,49.25,51.6,2207248
2021-06-25,51.9,54.0,51.1,53.49,2881479
2021-07-02,54.25,55.5,53.55,54.85,3002009
2021-07-09,56.4,56.4,53.0,53.65,2544632
2021-07-16,54.9,55.7,53.8,54.45,1444012
2021-07-23,54.0,54.8,53.2,54.25,1264130
2021-07-30,54.25,54.8,52.95,53.41,1600766
2021-08-06,54.7,54.7,53.25,53.74,927819
2021-08-13,54.4,54.7,53.0,53.15,772263
2021-08-20,53.45,53.45,50.1,50.94,989778
2021-08-27,51.0,53.9,50.94,53.03,869038
2021-09-03,53.59,55.2,50.5,54.01,1638184
2021-09-10,54.9,55.5,53.82,54.74,723336
2021-09-17,53.0,55.2,53.0,54.08,896774
2021-09-24,54.75,54.75,52.12,53.34,1150821
2021-10-01,53.89,53.89,50.0,52.2,594971
2021-10-08,52.2,53.5,50.68,53.39,1127713
2021-10-15,53.79,55.47,53.12,53.81,634011
2021-10-22,54.25,57.1,53.54,56.72,1703445
2021-10-29,57.1,58.15,55.5,57.28,775707
2021-11-05,57.9,69.0,57.25,59.91,585683
2021-11-12,63.9,68.4,57.91,58.85,1487750
2021-11-19,66.9,67.9,58.65,59.07,699507
2021-11-26,66.1,66.1,57.1,58.17,941143
2021-12-03,58.49,62.59,56.02,56.61,1140646
2021-12-10,56.99,58.9,54.89,57.61,1563124
2021-12-17,58.48,58.48,55.1,55.17,919670
2021-12-24,55.17,56.79,53.99,56.25,744150
2021-12-31,56.25,57.29,55.36,56.26,473421
2022-01-07,56.7,64.4,53.8,54.42,1444811
2022-01-14,54.89,55.81,53.3,53.79,1391531
2022-01-21,54.39,56.47,44.25,51.89,1223611
2022-01-28,51.0,55.6,41.1,47.9,6546395
