date,open,high,low,close,volume
2022-02-04,80.23,95.0,79.9,80.1,40221
2022-02-11,80.0,93.0,78.0,79.98,309594
2022-02-18,80.19,93.0,76.46,78.24,104379
2022-02-25,77.96,78.5,73.35,75.99,139400
2022-03-04,75.19,78.44,74.5,74.78,113007
2022-03-11,73.51,77.25,72.51,77.24,154828
2022-03-18,78.49,79.34,76.12,79.34,15616
2022-03-25,80.95,80.95,78.25,79.4,239795
2022-04-01,79.44,80.75,78.9,80.27,127853
2022-04-08,82.0,83.1,80.55,82.76,144797
2022-04-15,82.91,84.7,81.25,81.86,27334
2022-04-22,81.38,82.83,80.19,81.77,304050
2022-04-29,82.98,82.98,79.8,80.91,178674
2022-05-06,80.49,81.98,76.8,77.23,28480
2022-05-13,75.7,76.62,72.55,73.4,116478
2022-05-20,73.89,76.89,73.67,76.55,6645
2022-05-27,76.4,76.66,73.01,75.32,198580
2022-06-03,77.28,78.88,75.8,76.3,20635
2022-06-10,76.1,76.26,74.83,75.19,100913
2022-06-17,75.68,75.68,70.81,71.18,124621
2022-06-24,72.88,73.78,69.56,72.78,15371
2022-07-01,73.98,78.25,72.3,73.18,67295
2022-07-08,73.17,76.07,72.51,75.63,8161
2022-07-15,75.29,76.6,75.18,76.41,52791
2022-07-22,77.27,79.22,77.0,78.57,155524
2022-07-29,78.85,80.9,77.65,80.8,10772
2022-08-05,81.4,83.1,80.85,81.75,85273
2022-08-12,82.2,84.3,81.95,83.95,21438
2022-08-19,84.4,85.4,83.5,84.0,223269
2022-08-26,85.5,85.5,81.95,83.85,20576
2022-09-02,83.7,86.0,81.85,84.25,61478
2022-09-09,84.7,86.5,84.4,85.28,87764
2022-09-16,86.8,86.8,83.65,84.1,258392
2022-09-23,84.25,87.0,83.2,83.9,51870
2022-09-30,83.0,83.0,80.0,82.2,84739
2022-10-07,82.65,84.4,81.4,84.15,70989
2022-10-14,95.0,95.0,81.65,82.05,113986
2022-10-21,81.9,83.45,81.4,82.3,61123
2022-10-28,95.0,95.0,68.65,83.55,16674
2022-11-04,84.15,95.0,83.95,85.8,35854
2022-11-11,86.0,95.5,84.15,84.7,88043
2022-11-18,84.5,85.35,83.3,83.75,67172
2022-11-25,83.7,84.95,83.15,84.95,54586
2022-12-02,95.5,95.5,84.0,86.4,29235
2022-12-09,86.65,86.95,84.8,85.45,48302
2022-12-16,85.3,86.45,84.2,84.35,26562
2022-12-23,83.5,88.95,80.7,80.95,84864
2022-12-30,81.25,83.84,80.7,83.25,43419
2023-01-06,88.95,88.95,70.0,83.49,86066
2023-01-13,84.08,86.65,83.85,84.2,21365
2023-01-20,81.65,87.1,81.65,83.98,25940
2023-01-27,86.5,86.5,82.14,82.98,22125
2023-02-03,82.98,85.25,82.1,83.24,29226
2023-02-10,85.7,85.7,80.7,83.15,57541
2023-02-17,85.5,85.85,80.5,83.28,127345
2023-02-24,81.01,85.7,81.01,81.72,23364
2023-03-03,84.1,84.1,80.09,81.15,63166
2023-03-10,83.5,83.5,78.9,81.09,9127
2023-03-17,83.5,83.5,78.6,79.78,31062
2023-03-24,79.46,82.1,78.6,78.8,16925
2023-03-31,81.25,81.75,78.24,80.33,77202
2023-04-07,82.7,82.95,80.08,80.86,29333
2023-04-14,80.86,84.07,80.86,82.64,14286
2023-04-21,84.64,85.65,82.03,82.92,112229
2023-04-28,85.4,85.4,82.19,84.15,107550
2023-05-05,86.65,100.99,67.32,84.99,45275
2023-05-12,87.55,88.45,85.22,85.49,54353
2023-05-19,88.05,88.55,82.95,84.81,67165
2023-05-26,87.35,87.35,84.83,86.94,25642
2023-06-02,89.55,90.0,85.2,88.2,47204
2023-06-09,88.88,92.85,88.58,89.43,166908
2023-06-16,89.85,94.25,89.54,92.0,134311
2023-06-23,94.75,94.75,90.21,90.42,36249
2023-06-30,90.59,94.6,90.27,92.69,40784
2023-07-07,95.5,95.5,89.85,93.28,483468
2023-07-14,90.6,97.5,90.6,94.69,401577
2023-07-21,97.4,98.7,94.75,95.64,33689
2023-07-28,95.62,99.3,95.47,96.88,25071
2023-08-04,97.07,100.55,95.84,96.82,44323
2023-08-11,99.6,99.6,96.83,97.42,85729
2023-08-18,98.96,100.0,96.29,96.79,35916
2023-08-25,97.65,100.75,96.85,97.09,31654
2023-09-01,99.07,100.9,97.3,99.35,53281
2023-09-08,102.2,103.7,99.63,101.22,79297
2023-09-15,102.98,105.05,99.2,101.19,50837
2023-09-22,104.1,104.1,98.37,98.89,47552
2023-09-29,100.7,102.0,80.3,99.32,80675
2023-10-06,96.3,101.45,96.3,97.98,55808
2023-10-13,96.94,100.0,96.8,99.35,87153
2023-10-20,99.37,102.55,98.31,98.5,66607
2023-10-27,98.47,98.59,93.75,95.93,117344
2023-11-03,96.18,98.1,95.19,96.59,36606
2023-11-10,99.6,99.6,95.7,98.48,48276
2023-11-17,99.46,103.95,98.61,101.3,62361
2023-11-24,101.55,104.4,100.68,101.95,52440
2023-12-01,105.1,105.1,102.1,104.55,65213
2023-12-08,107.9,109.0,105.27,106.6,94198
2023-12-15,106.52,108.62,105.87,108.25,94701
2023-12-22,108.8,112.1,105.01,107.93,94451
2023-12-29,110.6,111.95,108.51,111.35,105716
2024-01-05,115.05,115.05,110.38,111.59,65324
2024-01-12,112.8,113.48,109.3,112.2,81652
2024-01-19,113.8,116.05,108.63,112.3,65444
