date,open,high,low,close,volume
2020-01-17,176.4,184.4,174.6,182.05,13742832
2020-01-24,182.65,189.0,177.05,187.75,14342798
2020-01-31,186.5,194.8,178.5,188.05,30686967
2020-02-07,186.0,189.45,165.8,166.95,65417354
2020-02-14,165.5,172.7,160.3,160.75,29094143
2020-02-21,161.4,179.4,160.75,176.05,48159287
2020-02-28,174.9,181.4,161.45,162.75,35927889
2020-03-06,165.4,168.3,142.2,151.2,28058283
2020-03-13,148.9,148.9,110.5,134.25,39686354
2020-03-20,128.7,130.05,74.25,97.55,58308381
2020-03-27,87.8,117.4,78.5,106.8,74652639
2020-04-03,102.0,104.55,90.3,92.4,35615265
2020-04-10,96.3,115.45,94.2,112.05,37334122
2020-04-17,111.1,113.35,98.15,107.95,41412926
2020-04-24,109.45,114.85,97.5,107.1,55963230
2020-05-01,109.9,135.3,108.5,134.15,75845630
2020-05-08,127.0,129.2,116.1,118.95,53697908
2020-05-15,122.0,131.9,111.25,127.25,72511055
2020-05-22,126.95,127.6,113.8,114.35,55283079
2020-05-29,116.0,127.45,112.25,125.2,47127069
2020-06-05,127.15,142.15,127.0,135.15,51964033
2020-06-12,138.0,149.45,135.0,145.9,58585578
2020-06-19,146.9,153.65,136.35,151.6,75958056
2020-06-26,153.05,162.45,148.2,156.45,59938665
2020-07-03,154.95,163.4,151.0,161.3,46771062
2020-07-10,162.0,164.95,155.9,160.0,30390715
2020-07-17,161.3,163.9,151.95,160.55,31767668
2020-07-24,160.55,183.7,160.0,179.75,63861172
2020-07-31,180.4,187.25,156.55,158.5,87580116
2020-08-07,161.0,169.0,153.55,161.6,84797501
2020-08-14,162.7,163.1,147.2,154.55,58135069
2020-08-21,155.25,161.5,152.65,158.55,27694637
2020-08-28,159.4,164.0,154.65,156.65,36918500
2020-09-04,157.1,159.2,146.0,152.1,35330704
2020-09-11,152.95,158.0,139.7,157.25,49247218
2020-09-18,158.5,163.3,155.5,161.2,44173573
2020-09-25,161.2,165.45,139.7,153.05,48420241
2020-10-02,153.8,167.25,153.2,166.45,29231965
2020-10-09,166.35,169.5,162.1,166.15,29279754
2020-10-16,167.45,170.0,158.45,162.75,20210947
2020-10-23,164.05,169.65,162.0,165.25,21854839
2020-10-30,165.25,165.65,153.0,155.4,31339648
2020-11-06,156.2,169.8,154.6,162.4,36421011
2020-11-13,164.45,164.55,154.0,163.65,42896213
2020-11-20,164.25,172.7,159.55,161.7,33833906
2020-11-27,162.9,180.35,160.0,179.85,55095673
2020-12-04,179.5,179.5,171.15,173.85,21792554
2020-12-11,173.85,177.8,168.5,170.2,22972212
2020-12-18,171.5,177.2,169.4,174.2,25940968
2020-12-25,172.0,175.05,154.0,164.05,26566863
2021-01-01,165.5,168.5,163.8,167.2,18633678
2021-01-08,168.9,177.75,168.7,174.25,27337156
2021-01-15,174.6,176.8,167.4,169.15,23924342
2021-01-22,169.4,173.4,161.15,162.1,26846988
2021-01-29,163.4,164.6,152.0,156.1,23099252
2021-02-05,158.0,185.0,155.2,176.9,46915258
2021-02-12,179.45,179.85,170.75,176.05,27107214
2021-02-19,177.95,182.8,170.55,172.2,21200389
2021-02-26,173.1,180.6,164.55,176.1,26774993
2021-03-05,180.0,180.1,165.55,166.9,26823550
2021-03-12,167.0,168.65,160.05,164.3,22889422
2021-03-19,164.3,165.5,155.25,159.05,24207941
2021-03-26,159.8,160.8,146.75,151.05,22523147
2021-04-02,153.4,158.75,148.65,157.3,11426509
2021-04-09,156.0,160.45,149.6,157.1,24992597
2021-04-16,154.1,155.8,143.2,147.15,19630419
2021-04-23,144.0,147.45,139.1,146.8,17795942
2021-04-30,148.0,153.6,145.1,149.05,18283961
2021-05-07,148.0,157.0,143.0,152.55,21412665
2021-05-14,154.1,155.45,150.0,150.35,12151077
2021-05-21,151.0,162.95,150.55,159.65,35864483
2021-05-28,160.6,164.95,153.5,156.3,46405959
2021-06-04,157.0,167.25,156.35,162.45,47207434
2021-06-11,164.0,167.4,161.2,164.6,22812138
2021-06-18,165.0,169.45,156.75,160.2,32254858
2021-06-25,158.0,164.9,156.45,164.05,19697836
2021-07-02,164.9,173.8,162.15,173.1,32903700
2021-07-09,173.95,179.4,172.3,177.6,27334101
2021-07-16,179.5,190.85,177.05,186.95,36418788
2021-07-23,186.0,199.9,181.7,195.45,37275337
2021-07-30,195.0,218.0,191.5,207.35,70774866
2021-08-06,207.6,215.0,206.0,207.45,23282915
2021-08-13,205.3,205.8,162.95,165.7,99408935
2021-08-20,166.7,173.0,157.5,158.3,34992696
2021-08-27,160.0,164.85,154.55,160.35,24142989
2021-09-03,161.95,166.25,159.4,163.65,22460073
2021-09-10,165.0,169.65,161.9,165.05,17886703
2021-09-17,165.5,170.0,163.0,163.75,17293461
2021-09-24,163.0,176.7,160.8,173.0,42500559
2021-10-01,174.0,180.5,166.8,179.55,37711072
2021-10-08,181.95,195.4,179.05,193.1,31617595
2021-10-15,195.2,198.9,192.25,195.3,12064266
2021-10-22,196.0,208.25,193.3,199.7,35440058
2021-10-29,201.0,210.9,189.25,207.8,29189106
2021-11-05,207.8,209.7,193.25,208.25,23718855
2021-11-12,208.25,224.5,204.65,218.45,34631743
2021-11-19,207.0,209.8,183.85,184.25,35979912
2021-11-26,184.0,185.0,167.8,168.45,17321639
2021-12-03,168.5,173.95,162.4,171.9,18362426
2021-12-10,172.4,178.3,168.7,177.15,14816980
2021-12-17,178.95,179.45,163.25,163.9,14510866
2021-12-24,163.0,167.4,154.1,165.85,14027494
2021-12-31,165.0,168.35,161.9,164.6,8740297
2022-01-07,165.5,170.0,163.0,165.85,12798636
2022-01-14,167.7,173.0,166.1,168.95,14682326
2022-01-21,168.95,173.75,154.05,155.15,27564568
2022-01-28,156.5,160.5,146.6,157.1,18942544
2022-02-04,160.0,161.75,155.7,157.1,13974020
2022-02-11,157.4,161.0,152.0,152.75,17167838
2022-02-18,150.0,151.5,120.55,121.6,112494693
2022-02-25,121.7,122.7,109.0,114.05,44214645
2022-03-04,113.0,120.0,111.75,116.1,23079757
2022-03-11,114.7,124.4,111.3,116.85,43502515
2022-03-18,117.0,120.5,112.9,118.2,27184272
2022-03-25,119.8,119.8,113.3,114.4,24505209
2022-04-01,115.4,121.4,112.55,120.7,30160765
2022-04-08,122.0,126.15,120.35,122.6,35386228
2022-04-15,123.5,124.45,119.9,122.95,14567338
2022-04-22,122.7,124.8,114.3,118.7,24253011
2022-04-29,118.65,118.65,114.35,115.1,17422853
2022-05-06,114.5,116.25,106.8,109.35,13126851
2022-05-13,109.35,112.2,98.4,99.05,26794728
2022-05-20,100.0,106.9,91.85,93.45,58167193
2022-05-27,93.75,94.9,86.15,90.8,34383632
2022-06-03,92.2,96.9,91.25,94.55,26422745
2022-06-10,94.8,96.0,91.5,92.6,16641583
2022-06-17,90.0,90.55,85.0,86.25,17451114
2022-06-24,86.85,88.15,81.5,87.65,20277814
2022-07-01,88.8,89.6,83.65,88.2,29310747
2022-07-08,88.8,92.7,88.3,90.7,28890827
2022-07-15,90.7,92.35,87.15,88.8,17325877
2022-07-22,90.0,95.8,89.5,94.55,20201708
2022-07-29,94.4,99.8,90.05,98.35,22600723
2022-08-05,99.45,110.9,98.1,108.15,62911986
2022-08-12,108.6,111.45,105.65,110.45,25545524
2022-08-19,110.5,110.6,102.65,103.6,31943937
2022-08-26,102.3,107.3,98.2,104.85,27908686
2022-09-02,101.95,106.3,100.7,103.05,18033216
2022-09-09,103.7,108.4,103.0,105.35,31191358
2022-09-16,106.0,107.25,98.55,99.15,32046752
2022-09-23,99.65,101.6,94.5,95.05,24643869
2022-09-30,94.3,97.85,90.5,97.45,24654621
2022-10-07,97.95,102.7,95.0,102.2,16574026
2022-10-14,101.55,104.65,98.9,101.35,27566896
2022-10-21,101.35,105.4,99.95,103.55,21952144
2022-10-28,105.5,106.15,102.95,104.5,10182789
2022-11-04,105.05,106.95,102.5,104.1,13893281
2022-11-11,104.65,110.6,104.25,108.8,48088953
2022-11-18,108.8,119.75,107.85,111.95,84122606
2022-11-25,112.5,113.8,109.1,113.2,32954135
2022-12-02,113.3,120.15,113.0,119.4,29754456
2022-12-09,120.9,126.0,115.0,115.85,57216800
2022-12-16,115.85,120.75,114.1,114.85,34585716
2022-12-23,115.8,122.7,107.5,108.15,41716433
2022-12-30,108.25,117.5,106.8,116.15,27968614
2023-01-06,116.65,124.4,116.15,118.5,39044775
2023-01-13,120.0,123.25,118.7,121.65,22532780
2023-01-20,122.6,125.8,113.0,115.45,51721897
2023-01-27,116.35,120.35,111.45,112.45,23472603
2023-02-03,112.4,118.15,110.35,116.15,34537678
2023-02-10,115.0,118.7,111.15,113.85,30038169
2023-02-17,114.5,114.5,108.25,108.8,19577086
2023-02-24,109.3,109.65,102.6,103.4,18100241
2023-03-03,103.4,107.1,101.15,106.1,19795049
2023-03-10,107.15,118.45,106.55,114.4,32717090
2023-03-17,114.85,115.2,108.35,112.6,26986531
2023-03-24,119.5,122.0,112.0,117.5,40096818
2023-03-31,118.0,124.25,113.15,123.9,30497161
2023-04-07,124.8,127.55,123.4,126.6,18615125
2023-04-14,127.0,133.4,125.2,127.15,27015188
2023-04-21,126.75,133.95,125.6,126.3,23540798
2023-04-28,126.0,130.0,125.1,129.7,14861577
2023-05-05,130.0,130.65,102.0,105.55,211254044
2023-05-12,107.7,117.95,105.15,109.95,121667378
2023-05-19,112.45,117.6,108.8,110.3,91493107
2023-05-26,110.3,113.5,108.35,110.0,49647525
2023-06-02,111.05,115.15,109.7,112.35,54189737
2023-06-09,112.9,118.2,109.5,117.25,98589945
2023-06-16,118.1,125.7,117.7,125.0,80655633
2023-06-23,128.2,130.5,123.3,123.4,63633212
2023-06-30,123.7,133.35,121.6,132.05,51051165
