date,open,high,low,close,volume
2020-01-17,339.0,353.95,338.4,349.7,8287743
2020-01-24,349.7,352.0,332.0,340.55,7234246
2020-01-31,340.55,349.7,313.0,315.35,13740876
2020-02-07,316.0,321.0,299.2,311.7,26131922
2020-02-14,313.6,313.95,300.9,302.2,10515037
2020-02-21,303.0,307.0,292.15,306.2,11669281
2020-02-28,307.0,308.25,295.0,298.75,15542686
2020-03-06,302.0,311.4,280.5,282.55,17111304
2020-03-13,281.9,281.9,236.05,260.65,19968966
2020-03-20,250.0,271.55,236.5,255.9,18709022
2020-03-27,238.0,277.4,234.0,253.15,15686219
2020-04-03,251.0,284.3,247.2,261.15,12083337
2020-04-10,272.8,305.65,265.6,296.6,14821040
2020-04-17,296.6,314.9,285.5,300.15,17536899
2020-04-24,304.05,315.55,293.0,306.1,17843961
2020-05-01,303.9,303.9,283.15,287.0,17048836
2020-05-08,280.95,305.95,277.1,300.25,40589531
2020-05-15,301.7,322.0,297.55,316.5,17495232
2020-05-22,320.0,320.5,304.1,316.75,11512006
2020-05-29,317.3,349.5,317.0,343.8,18196301
2020-06-05,345.5,352.0,325.5,326.4,17285966
2020-06-12,328.5,342.45,315.0,332.8,16491516
2020-06-19,335.1,340.6,327.4,331.9,10877610
2020-06-26,331.6,346.3,329.3,344.4,12253352
2020-07-03,347.5,359.85,344.5,358.5,17381753
2020-07-10,354.4,356.55,340.9,343.6,14662327
2020-07-17,343.05,356.8,338.75,355.1,8549433
2020-07-24,355.0,359.65,347.25,357.1,12986257
2020-07-31,359.8,368.9,347.35,363.45,23901993
2020-08-07,363.4,373.45,361.1,370.0,13628961
2020-08-14,370.0,378.4,362.25,366.3,15098715
2020-08-21,366.65,377.8,363.4,376.2,8807294
2020-08-28,378.0,380.7,366.6,374.3,11339744
2020-09-04,374.3,382.8,363.45,373.85,15598863
2020-09-11,373.9,375.65,360.2,366.7,8446498
2020-09-18,367.4,371.7,356.45,362.5,8635530
2020-09-25,362.0,363.05,333.0,353.5,17971749
2020-10-02,354.5,366.35,353.75,361.9,11307315
2020-10-09,362.1,379.45,362.05,369.35,22633577
2020-10-16,370.95,373.2,358.5,362.5,14625271
2020-10-23,362.95,369.25,355.85,358.6,14150633
2020-10-30,359.2,366.75,345.75,356.65,29674183
2020-11-06,359.9,382.55,357.1,380.5,17662059
2020-11-13,383.9,389.75,364.3,369.3,16733900
2020-11-20,374.4,381.0,365.75,374.4,13609809
2020-11-27,374.4,380.0,361.9,367.7,14830250
2020-12-04,370.95,398.3,362.5,395.05,14413340
2020-12-11,395.0,416.25,391.15,414.95,17302958
2020-12-18,417.95,420.8,405.3,409.3,13909806
2020-12-25,409.0,412.25,389.05,401.3,10475906
2021-01-01,404.4,410.5,401.0,406.1,7205856
2021-01-08,406.95,425.8,406.95,424.7,14436232
2021-01-15,427.0,432.5,413.15,416.95,12405331
2021-01-22,416.9,424.2,405.1,418.75,9382057
2021-01-29,420.0,424.0,402.25,415.6,16487762
2021-02-05,416.9,430.45,406.0,408.2,11760658
2021-02-12,410.2,419.0,407.85,411.65,8283693
2021-02-19,415.0,427.9,405.7,424.85,11878679
2021-02-26,428.35,433.95,390.7,397.55,19684613
2021-03-05,400.9,412.0,396.05,401.55,11856560
2021-03-12,403.95,404.65,392.4,393.9,6754999
2021-03-19,394.0,396.9,379.1,394.9,10150543
2021-03-26,394.9,405.5,394.0,401.85,7751239
2021-04-02,403.55,412.45,403.1,407.15,3164990
2021-04-09,411.25,421.8,399.0,420.6,8325797
2021-04-16,415.0,427.6,406.0,423.95,6857938
2021-04-23,423.95,425.3,407.45,411.6,5756755
2021-04-30,413.1,422.2,401.7,411.45,10025357
2021-05-07,420.05,478.6,416.1,473.85,43709861
2021-05-14,473.0,487.6,465.0,474.55,11406554
2021-05-21,474.55,480.75,457.6,459.7,11036088
2021-05-28,461.9,477.7,456.7,471.5,11789760
2021-06-04,473.9,498.6,471.15,486.9,11612010
2021-06-11,487.0,497.3,482.3,492.25,6478388
2021-06-18,494.75,524.9,486.6,521.15,15546729
2021-06-25,514.1,527.25,509.85,511.65,5674314
2021-07-02,512.8,543.8,506.25,519.85,20836515
2021-07-09,526.0,538.5,519.0,531.95,9838935
2021-07-16,534.05,549.6,522.3,524.7,11498155
2021-07-23,521.95,537.7,521.05,533.95,7019572
2021-07-30,533.9,553.2,527.0,546.7,11644012
2021-08-06,550.0,552.15,522.5,524.35,13021977
2021-08-13,536.85,538.0,513.15,515.3,10775499
2021-08-20,514.65,543.7,512.0,537.9,9843546
2021-08-27,540.0,541.5,511.0,524.95,17469493
2021-09-03,527.55,572.0,524.15,560.8,18549854
2021-09-10,561.8,575.9,550.85,575.0,10550587
2021-09-17,581.0,587.35,552.75,560.1,18104742
2021-09-24,559.0,573.1,556.0,557.35,13413148
2021-10-01,559.8,561.0,541.05,549.55,8812270
2021-10-08,554.15,590.0,545.3,563.8,15624466
2021-10-15,565.8,591.95,561.6,579.3,8766399
2021-10-22,606.9,607.7,553.75,562.75,8364994
2021-10-29,564.5,581.9,548.65,568.45,10396382
2021-11-05,571.0,577.4,550.6,557.85,5675547
2021-11-12,559.9,568.55,544.4,546.8,8274636
2021-11-19,550.8,559.5,536.65,541.8,4935403
2021-11-26,540.6,554.0,526.5,543.55,6677435
2021-12-03,536.0,544.1,520.5,531.75,12339957
2021-12-10,530.05,533.5,517.25,526.35,4248476
2021-12-17,525.05,531.15,497.5,500.35,5246545
2021-12-24,497.7,513.1,488.55,505.6,5594939
2021-12-31,505.6,516.0,495.0,512.65,3601380
2022-01-07,513.55,518.5,497.1,504.25,4846856
2022-01-14,505.0,509.45,496.05,499.55,4559787
2022-01-21,502.0,503.1,475.0,477.85,7047241
2022-01-28,476.7,476.8,455.65,471.5,6402917
2022-02-04,479.0,511.65,474.45,510.55,10159092
2022-02-11,521.05,524.0,494.55,499.3,7159429
2022-02-18,490.0,507.85,486.6,504.75,5874760
2022-02-25,504.0,511.0,477.0,494.85,8595453
2022-03-04,493.75,518.4,485.8,501.05,8540303
2022-03-11,490.0,509.0,476.9,507.55,8462300
2022-03-18,508.5,535.0,504.15,524.1,7309620
2022-03-25,523.0,523.85,473.7,478.1,8964153
2022-04-01,479.55,520.7,468.5,518.25,9332226
2022-04-08,522.65,547.85,510.55,517.8,13297403
2022-04-15,519.95,525.0,512.85,519.7,2896717
2022-04-22,521.0,525.35,500.75,523.2,6954588
2022-04-29,517.7,546.35,503.0,521.7,11752545
2022-05-06,519.8,537.1,499.0,503.65,6385166
2022-05-13,502.2,513.0,487.05,500.05,7741295
2022-05-20,505.15,531.45,492.45,528.55,9188998
2022-05-27,533.8,539.9,516.4,526.1,7411306
