date,open,high,low,close,volume
2020-01-17,18.3,20.4,18.1,20.2,9223165
2020-01-24,20.5,20.75,18.9,19.65,5473833
2020-01-31,19.45,21.1,18.2,18.65,7478903
2020-02-07,18.4,20.7,17.3,20.4,11763497
2020-02-14,20.45,23.35,19.75,19.8,25062445
2020-02-21,19.95,20.75,18.6,20.1,4669466
2020-02-28,19.35,19.95,16.85,17.0,3643539
2020-03-06,17.4,17.9,15.4,16.2,3993843
2020-03-13,15.5,15.75,9.95,13.0,7605940
2020-03-20,13.2,13.9,10.95,11.75,5913162
2020-03-27,10.95,12.2,9.85,11.75,4217618
2020-04-03,11.5,15.5,11.2,14.8,7937199
2020-04-10,16.2,21.45,16.05,21.45,10721522
2020-04-17,23.55,23.55,18.6,20.8,19605047
2020-04-24,20.9,21.8,18.8,20.6,10726514
2020-05-01,20.8,21.35,19.75,20.0,4486013
2020-05-08,19.1,20.35,18.3,18.7,4706584
2020-05-15,18.9,21.75,18.05,20.45,9057986
2020-05-22,20.9,20.9,19.6,19.65,4163132
2020-05-29,19.85,22.9,19.6,22.7,9128248
2020-06-05,23.25,31.8,22.9,31.8,15196548
2020-06-12,31.85,33.45,27.75,30.65,26304452
2020-06-19,31.1,37.15,31.05,33.9,18169533
2020-06-26,34.8,39.15,34.4,35.3,13595021
2020-07-03,35.0,35.65,31.65,34.05,12224877
2020-07-10,34.4,34.85,32.35,33.7,9154035
2020-07-17,34.0,37.65,33.95,37.55,12100268
2020-07-24,37.75,39.4,35.9,36.15,14093639
2020-07-31,36.4,39.65,34.35,39.65,13348322
2020-08-07,40.4,48.05,40.3,46.15,22588673
2020-08-14,47.45,50.3,45.25,48.95,14257915
2020-08-21,49.8,57.1,48.6,52.85,17874285
2020-08-28,54.0,54.25,47.95,48.0,11658568
2020-09-04,47.6,49.4,43.65,46.75,11416771
2020-09-11,46.6,48.95,44.8,45.7,5937195
2020-09-18,46.4,55.0,46.4,51.15,12930156
2020-09-25,51.8,52.15,45.05,47.5,7556392
2020-10-02,49.4,52.4,49.0,51.7,5592699
2020-10-09,51.55,56.4,51.05,53.55,20643243
2020-10-16,53.65,55.0,48.0,51.85,10274169
2020-10-23,52.05,53.45,49.35,52.65,6773373
2020-10-30,53.1,53.4,49.95,50.9,4843979
2020-11-06,51.2,54.95,50.0,51.85,12308356
2020-11-13,52.85,53.5,48.1,49.6,8587204
2020-11-20,51.0,62.15,49.9,61.0,28534235
2020-11-27,61.55,62.65,57.3,58.95,12382296
2020-12-04,59.4,65.7,58.6,63.85,12510195
2020-12-11,64.0,66.2,58.1,60.4,10435096
2020-12-18,60.8,62.4,58.55,59.0,10261403
2020-12-25,59.05,63.7,49.0,58.05,14214880
2021-01-01,58.7,62.9,57.4,60.95,9118296
2021-01-08,61.5,64.35,59.3,60.9,10692349
2021-01-15,61.45,62.4,58.5,59.0,6187898
2021-01-22,58.5,58.8,55.5,56.45,4531557
2021-01-29,56.8,57.05,53.0,55.4,3709613
2021-02-05,55.9,59.35,54.3,58.9,4913576
2021-02-12,59.9,64.25,56.4,56.8,11865026
2021-02-19,56.8,57.65,54.6,55.6,4263692
2021-02-26,56.25,56.85,53.3,55.45,4765090
2021-03-05,56.1,58.0,53.5,53.95,7344876
2021-03-12,54.1,61.8,53.75,59.1,26277783
2021-03-19,59.25,59.65,50.55,53.0,9525807
2021-03-26,53.0,54.9,49.15,49.35,6970144
2021-04-02,49.55,54.5,49.45,54.2,4958753
2021-04-09,54.5,56.75,50.95,56.0,15634961
2021-04-16,55.5,56.9,52.0,54.7,14108994
2021-04-23,53.75,76.9,52.6,70.4,103086005
2021-04-30,71.5,75.5,67.5,71.5,55674595
2021-05-07,70.95,77.8,70.3,74.0,54815215
2021-05-14,74.1,81.95,73.1,73.75,42307031
2021-05-21,74.3,77.75,71.6,74.7,20012466
2021-05-28,74.95,77.4,73.2,73.9,15629559
2021-06-04,74.5,77.0,71.25,71.75,18624544
2021-06-11,72.2,83.7,68.3,83.7,58287788
2021-06-18,87.5,97.6,81.65,84.8,117437808
2021-06-25,83.2,93.85,82.1,87.15,29276921
2021-07-02,87.5,89.8,85.5,86.1,17761905
2021-07-09,86.55,93.6,85.2,88.9,36736191
2021-07-16,89.9,91.3,85.85,88.1,16497176
2021-07-23,87.95,90.9,86.0,86.4,10229782
2021-07-30,86.7,87.75,80.1,81.75,10283344
2021-08-06,81.9,88.0,81.2,83.75,15710825
2021-08-13,84.0,84.1,69.5,75.65,17879381
2021-08-20,75.0,75.7,68.0,68.35,7030765
2021-08-27,68.0,73.45,62.2,72.75,20710134
2021-09-03,74.35,75.0,70.5,72.95,8667688
2021-09-10,73.5,74.5,69.8,70.05,5274105
2021-09-17,70.55,72.7,69.05,71.15,10264456
2021-09-24,71.0,71.3,67.85,69.05,7041515
2021-10-01,69.65,70.3,67.55,68.9,7351006
2021-10-08,69.15,78.0,69.1,70.95,13311487
2021-10-15,71.3,71.7,69.3,70.0,5088424
2021-10-22,70.9,70.9,65.5,66.25,6603404
2021-10-29,66.35,70.3,64.6,66.05,6442351
2021-11-05,66.25,67.6,65.75,67.25,2813267
2021-11-12,67.25,68.45,58.0,59.45,11757312
2021-11-19,59.45,61.45,56.5,57.0,8090067
2021-11-26,57.4,60.0,53.2,58.45,11382946
2021-12-03,59.4,59.6,55.0,58.05,7709562
2021-12-10,58.45,64.45,58.0,62.8,13245721
2021-12-17,63.8,64.0,57.6,57.95,6497083
2021-12-24,57.25,58.7,55.75,56.8,5677694
2021-12-31,56.8,60.9,56.25,60.15,5250223
2022-01-07,60.5,62.5,60.25,61.1,6105927
2022-01-14,60.05,65.0,60.05,60.75,11777487
2022-01-21,60.75,62.85,58.7,58.95,5728635
2022-01-28,58.7,58.9,54.6,56.65,4321953
2022-02-04,57.7,58.15,55.9,57.45,3196724
2022-02-11,57.6,57.65,53.4,53.8,4607148
2022-02-18,52.6,54.4,48.8,51.05,6510977
2022-02-25,51.0,51.8,43.55,46.55,8438131
2022-03-04,46.4,48.5,45.55,47.6,3573024
2022-03-11,46.0,49.5,45.65,48.2,6039127
2022-03-18,48.75,50.45,47.3,49.6,4174055
2022-03-25,50.0,51.7,48.5,49.6,7180658
2022-04-01,50.0,53.45,45.25,52.35,12419388
2022-04-08,52.9,61.65,52.25,58.9,17380829
2022-04-15,59.0,62.4,56.15,57.4,4800120
2022-04-22,57.0,58.9,55.0,55.85,3918892
2022-04-29,55.1,56.7,53.5,53.8,4370344
2022-05-06,53.5,53.5,49.2,49.9,2545300
2022-05-13,49.9,49.9,44.7,45.7,3258982
2022-05-20,46.65,50.1,45.6,49.0,2427842
2022-05-27,49.1,50.05,44.5,46.7,2320979
2022-06-03,47.05,48.5,44.7,46.4,2234933
2022-06-10,46.45,47.4,44.85,46.2,2259497
2022-06-17,45.6,46.2,41.2,42.2,2485380
2022-06-24,42.1,42.2,38.6,41.6,2962206
2022-07-01,42.25,46.65,41.55,43.5,5333697
2022-07-08,43.75,51.4,42.85,50.1,35642051
2022-07-15,48.9,50.1,47.75,49.2,6177887
2022-07-22,49.7,51.6,48.9,49.55,5497119
2022-07-29,49.75,49.75,48.65,48.75,2250807
2022-08-05,49.15,50.65,48.45,49.95,2836927
2022-08-12,50.4,50.4,49.3,49.85,2558576
2022-08-19,50.05,53.9,50.0,50.95,5387986
2022-08-26,51.55,54.65,50.1,53.5,5504264
2022-09-02,52.9,54.0,51.5,52.7,2786103
2022-09-09,53.0,54.7,52.55,52.85,3661934
2022-09-16,53.4,54.15,50.8,51.15,3540012
2022-09-23,51.65,51.85,49.2,49.35,2669380
2022-09-30,48.05,48.95,45.4,46.6,3741007
2022-10-07,47.3,47.8,46.05,47.25,3683436
2022-10-14,47.0,54.6,45.8,48.5,13434255
2022-10-21,48.5,49.95,47.0,47.8,4780926
2022-10-28,48.35,51.15,47.65,48.45,4337685
2022-11-04,48.45,51.9,47.35,50.9,10420839
2022-11-11,51.3,52.1,49.1,49.85,6232499
2022-11-18,50.2,54.95,49.6,53.7,13246531
2022-11-25,53.25,59.2,53.1,58.1,15241824
2022-12-02,58.4,62.0,57.3,58.35,11848271
2022-12-09,58.6,64.8,58.4,61.6,17610608
2022-12-16,61.7,64.25,60.1,60.65,7907639
2022-12-23,60.4,63.8,58.45,59.0,18636657
2022-12-30,59.65,61.7,58.0,58.25,8178189
2023-01-06,58.35,60.3,57.9,58.3,4370631
2023-01-13,58.55,68.2,58.0,65.9,33494809
2023-01-20,66.2,69.6,65.45,67.15,14910952
2023-01-27,67.8,67.8,62.4,62.8,9674181
2023-02-03,62.9,65.0,60.7,62.35,8429097
2023-02-10,62.0,65.1,61.4,64.85,6216988
2023-02-17,65.0,69.9,64.05,68.8,15211041
2023-02-24,69.0,72.3,67.1,67.4,10703778
2023-03-03,67.4,69.2,65.55,68.5,6350193
2023-03-10,68.85,69.75,66.0,68.75,5134745
2023-03-17,69.5,69.5,64.3,68.8,6417605
2023-03-24,68.5,72.85,68.5,70.55,11424877
2023-03-31,70.95,74.4,69.75,70.25,9035777
2023-04-07,70.75,73.75,69.55,72.35,4774446
2023-04-14,72.75,77.5,71.7,76.9,11463930
2023-04-21,77.25,80.9,75.7,77.85,14361652
2023-04-28,78.0,82.8,76.95,80.8,11786778
2023-05-05,81.0,83.4,76.5,76.75,7341410
2023-05-12,77.3,78.9,74.0,74.25,6406483
2023-05-19,74.95,76.6,73.1,75.0,4978492
2023-05-26,74.7,75.1,70.55,74.3,6117368
2023-06-02,75.0,87.7,73.15,82.75,40293109
2023-06-09,83.25,92.8,82.25,89.25,32162361
2023-06-16,89.7,91.9,86.2,88.5,13643932
2023-06-23,90.0,95.7,88.85,92.35,23126915
2023-06-30,90.4,93.9,90.4,91.15,7099328
2023-07-07,91.7,95.85,90.7,93.5,12822940
2023-07-14,93.85,104.7,90.8,103.9,36512982
2023-07-21,103.95,113.35,102.75,109.4,22442652
2023-07-28,110.1,121.85,104.4,116.2,27208206
2023-08-04,116.45,120.75,108.5,115.3,17642853
2023-08-11,115.7,122.5,113.8,117.5,16958457
2023-08-18,118.9,119.7,110.0,111.85,12744369
2023-08-25,112.2,115.5,108.75,110.0,10792998
2023-09-01,110.0,113.75,109.55,111.35,11413382
2023-09-08,111.95,111.95,105.15,105.55,8321745
2023-09-15,106.0,109.9,100.8,103.05,10474521
2023-09-22,103.4,107.0,100.0,104.7,6203465
2023-09-29,104.75,111.4,103.75,110.05,6797799
2023-10-06,110.35,111.45,106.7,109.1,4550675
2023-10-13,105.5,113.35,104.95,111.3,8256352
2023-10-20,111.95,114.4,106.0,106.85,5567937
2023-10-27,107.2,108.9,97.45,103.35,6880374
2023-11-03,103.55,117.15,102.1,112.6,13527835
2023-11-10,113.0,132.2,112.35,130.35,42910027
2023-11-17,134.5,144.9,131.95,140.25,31356205
2023-11-24,141.2,147.9,135.65,141.85,16726273
2023-12-01,142.75,169.35,141.5,165.7,34896849
2023-12-08,169.0,172.0,157.35,161.15,11269425
2023-12-15,161.7,165.9,157.0,162.15,4175232
