date,open,high,low,close,volume
2020-10-16,214.9,216.95,164.0,168.05,71236701
2020-10-23,170.75,179.0,165.4,175.4,13240216
2020-10-30,175.95,175.95,165.0,166.75,4493823
2020-11-06,166.75,174.0,165.1,170.05,6034433
2020-11-13,172.0,184.5,170.75,183.15,18445950
2020-11-20,191.4,192.8,181.25,184.45,10351388
2020-11-27,185.0,185.95,178.1,179.0,7472834
2020-12-04,180.45,187.75,180.0,182.4,5677217
2020-12-11,182.8,198.9,182.7,188.75,15076531
2020-12-18,189.35,227.9,189.05,221.95,47374545
2020-12-25,221.0,224.75,196.0,212.4,10035717
2021-01-01,214.35,234.85,210.8,227.65,16831429
2021-01-08,229.0,231.7,216.0,221.7,8069932
2021-01-15,223.0,224.85,215.0,217.25,5321632
2021-01-22,217.05,219.35,207.2,209.65,3245578
2021-01-29,211.6,216.75,200.9,210.85,3311355
2021-02-05,213.9,223.0,209.4,219.1,3772769
2021-02-12,220.75,242.6,218.7,224.4,10366957
2021-02-19,222.0,223.9,213.1,218.3,6822840
2021-02-26,215.0,222.4,205.6,213.6,5109891
2021-03-05,214.95,241.35,214.3,221.8,10899355
2021-03-12,223.5,230.0,220.2,220.85,3250257
2021-03-19,221.8,222.65,200.25,210.95,3014084
2021-03-26,210.95,219.5,206.2,213.6,3363165
2021-04-02,214.65,217.0,209.8,214.5,992460
2021-04-09,213.1,221.4,207.0,211.4,2932552
2021-04-16,207.15,208.0,198.35,201.15,1818710
2021-04-23,196.1,198.9,191.85,195.2,1324977
2021-04-30,196.95,206.9,195.6,200.3,1772411
2021-05-07,199.4,212.5,198.55,208.2,2680887
2021-05-14,208.95,216.55,205.95,206.45,2040788
2021-05-21,208.1,225.0,203.6,210.7,5526875
2021-05-28,210.8,222.05,209.0,212.85,3081607
2021-06-04,213.7,231.0,207.1,228.8,11601422
2021-06-11,235.0,296.0,234.5,271.7,60669403
2021-06-18,269.5,269.5,245.75,253.65,9768592
2021-06-25,250.9,267.0,246.3,254.25,5958342
2021-07-02,254.0,256.8,241.5,246.05,3157821
2021-07-09,247.4,257.95,241.5,247.8,3870619
2021-07-16,249.7,268.9,245.5,260.3,8416636
2021-07-23,258.0,273.3,250.45,263.4,6863438
2021-07-30,263.35,265.4,250.25,259.45,2933168
2021-08-06,261.0,267.5,245.5,247.3,5291373
2021-08-13,248.2,260.0,234.15,246.85,5645042
2021-08-20,246.85,247.8,227.2,228.6,1423196
2021-08-27,232.0,236.6,221.1,232.2,1638397
2021-09-03,231.55,262.35,231.55,254.65,4799422
2021-09-10,255.0,256.7,241.2,242.35,1326365
2021-09-17,242.8,263.0,242.5,256.85,4274633
2021-09-24,252.3,265.8,248.7,252.05,2815213
2021-10-01,250.1,256.75,248.75,250.85,1352447
2021-10-08,252.0,267.5,251.6,260.8,3769158
2021-10-15,261.85,276.9,261.0,267.7,5295861
2021-10-22,268.9,285.95,256.35,274.4,7618933
2021-10-29,276.65,276.65,251.6,257.1,1879192
2021-11-05,259.1,310.0,256.9,299.75,13656442
2021-11-12,304.0,321.0,301.15,306.85,10008060
2021-11-19,306.6,310.0,278.75,289.4,2408352
2021-11-26,290.0,293.75,270.0,271.1,2446394
2021-12-03,275.0,275.05,255.25,265.8,1907339
2021-12-10,266.0,274.3,257.3,267.95,1239048
2021-12-17,271.1,277.65,260.0,260.65,1575318
2021-12-24,249.5,264.5,244.3,262.3,1853175
2021-12-31,262.3,282.2,258.25,278.8,1912619
2022-01-07,285.9,293.4,276.0,278.45,2667856
2022-01-14,278.65,282.5,273.8,276.35,1170019
2022-01-21,277.5,284.4,269.45,274.0,1144099
2022-01-28,275.0,275.0,251.55,267.0,1105725
2022-02-04,268.0,278.4,265.0,265.45,1128890
2022-02-11,265.45,271.95,261.1,262.4,521523
2022-02-18,267.9,267.9,249.6,253.2,1082466
2022-02-25,251.4,254.0,225.4,242.4,1118287
2022-03-04,236.65,251.75,235.0,241.65,823899
2022-03-11,240.7,252.85,235.55,248.6,766427
2022-03-18,250.0,259.55,245.5,254.7,876975
2022-03-25,257.7,259.5,246.65,248.95,948222
2022-04-01,250.0,252.0,236.45,251.45,1117368
2022-04-08,252.95,298.75,252.9,294.15,7755997
2022-04-15,294.2,333.15,288.55,315.3,15536286
2022-04-22,313.4,342.4,305.3,327.45,12013390
2022-04-29,322.9,328.4,297.55,300.2,2923505
2022-05-06,297.9,304.0,279.25,284.3,1766754
2022-05-13,284.3,289.4,256.2,263.8,2080609
2022-05-20,265.8,304.3,263.85,296.65,2916606
2022-05-27,297.9,306.05,269.4,288.05,1814869
2022-06-03,291.45,307.5,275.0,285.55,3884221
2022-06-10,283.7,283.7,264.2,268.05,1305513
2022-06-17,263.85,263.85,241.75,246.85,1023646
2022-06-24,247.4,248.85,229.45,245.3,869137
2022-07-01,248.0,256.9,241.55,248.15,631070
2022-07-08,250.55,265.5,247.0,263.35,704537
2022-07-15,262.3,267.5,253.9,259.75,433978
2022-07-22,264.5,277.85,261.0,275.0,891035
2022-07-29,275.0,284.9,268.05,278.3,1070065
2022-08-05,278.6,286.5,268.45,277.55,765808
2022-08-12,277.9,314.8,275.5,311.65,7670045
2022-08-19,313.8,331.15,304.0,306.25,3340089
2022-08-26,307.85,359.55,301.0,354.15,14329578
2022-09-02,344.95,416.95,342.0,397.5,34670875
2022-09-09,399.45,437.5,376.2,421.5,16253988
2022-09-16,423.25,457.4,411.55,430.45,14842977
2022-09-23,437.3,472.0,423.8,447.5,12452084
2022-09-30,435.35,498.8,412.65,493.45,14226459
2022-10-07,486.3,644.95,486.3,632.95,36717655
2022-10-14,630.0,680.0,569.7,625.9,49700368
2022-10-21,623.05,659.6,611.5,640.3,18030182
2022-10-28,645.2,647.6,616.5,640.9,5968377
2022-11-04,643.05,797.95,631.3,780.8,57594330
2022-11-11,786.7,826.45,762.0,791.65,23532093
2022-11-18,795.0,888.0,785.7,818.95,27620233
2022-11-25,813.0,913.7,748.25,852.0,46347051
2022-12-02,854.0,932.7,852.75,914.0,28790936
2022-12-09,918.6,936.4,857.2,882.55,18957192
2022-12-16,879.05,905.65,825.25,832.4,9733906
2022-12-23,837.0,893.8,691.0,700.35,18659377
2022-12-30,705.0,840.95,704.0,793.15,27137577
2023-01-06,798.0,844.25,781.4,802.85,18309069
2023-01-13,809.3,826.3,777.5,780.35,7972830
2023-01-20,783.0,787.4,732.45,767.4,11500737
2023-01-27,772.5,785.8,708.5,721.15,5578882
2023-02-03,723.75,811.0,722.05,743.45,12078696
2023-02-10,743.4,762.7,713.55,722.9,5067316
2023-02-17,723.5,772.0,691.6,758.75,9280686
2023-02-24,761.1,770.8,702.0,715.05,4251065
2023-03-03,706.5,746.65,697.6,731.75,4275273
2023-03-10,735.45,754.0,714.4,722.3,3322707
2023-03-17,721.1,730.4,649.95,667.35,3695565
2023-03-24,663.05,679.85,635.2,639.25,3166861
2023-03-31,640.9,682.0,612.0,660.5,4459995
2023-04-07,665.0,705.25,650.2,689.15,3553023
2023-04-14,693.95,731.8,681.55,703.65,4384038
2023-04-21,701.35,747.8,695.2,740.3,4015701
2023-04-28,741.0,764.75,736.0,754.3,4646269
2023-05-05,758.4,801.9,756.45,780.0,5695646
2023-05-12,783.95,786.3,745.05,749.8,2353339
