date,open,high,low,close,volume
2020-01-17,588.0,592.2,574.55,581.85,4047458
2020-01-24,583.0,590.75,570.2,578.1,6032672
2020-01-31,575.0,663.3,572.65,619.0,43383701
2020-02-07,617.0,691.9,611.65,676.65,21486395
2020-02-14,672.1,715.45,663.8,703.55,13866563
2020-02-21,703.65,742.7,690.0,723.15,8183217
2020-02-28,719.95,723.9,657.05,686.35,17977878
2020-03-06,696.9,702.75,629.95,645.1,9039014
2020-03-13,638.0,640.35,506.0,564.9,8758273
2020-03-20,539.9,561.0,476.45,517.15,10062213
2020-03-27,485.0,518.95,442.65,470.4,13387989
2020-04-03,465.0,503.8,458.4,465.8,9208398
2020-04-10,483.8,564.0,477.55,550.9,11918219
2020-04-17,555.3,580.5,520.55,530.05,19011206
2020-04-24,532.15,549.15,509.85,519.5,11377161
2020-05-01,520.75,545.5,516.5,536.65,8674996
2020-05-08,550.0,558.0,478.5,501.35,45145356
2020-05-15,505.5,561.0,487.7,540.85,36424062
2020-05-22,542.1,615.75,530.05,589.25,38033042
2020-05-29,591.5,601.6,557.0,594.1,21680852
2020-06-05,602.0,607.0,569.95,586.05,20356362
2020-06-12,597.75,622.4,570.0,617.45,30528863
2020-06-19,621.9,631.4,586.75,618.05,18366212
2020-06-26,621.0,642.35,589.0,591.45,16595353
2020-07-03,589.0,606.9,581.05,588.55,14834383
2020-07-10,590.2,639.0,585.2,636.1,25174490
2020-07-17,641.0,645.0,590.7,604.75,13430794
2020-07-24,604.55,614.3,590.0,598.8,14048644
2020-07-31,600.8,601.0,570.25,581.2,14175852
2020-08-07,582.7,593.6,572.1,586.9,8006929
2020-08-14,590.9,604.55,580.1,584.15,10090536
2020-08-21,588.0,597.9,577.9,584.35,7812656
2020-08-28,587.45,588.6,569.0,585.15,9996005
2020-09-04,591.9,591.9,537.1,568.25,15638863
2020-09-11,570.5,573.75,542.95,547.0,8355270
2020-09-18,550.0,561.2,534.15,543.7,13819180
2020-09-25,544.75,545.0,494.0,511.55,10747020
2020-10-02,517.5,537.85,506.05,522.8,8663147
2020-10-09,523.0,535.7,517.4,521.35,7331496
2020-10-16,523.15,536.65,500.8,510.05,7286491
2020-10-23,513.9,529.85,510.75,526.65,9189203
2020-10-30,528.0,529.45,501.0,504.3,5066279
2020-11-06,508.0,553.1,500.1,544.2,17616020
2020-11-13,549.0,575.75,544.85,554.8,14527046
2020-11-20,558.0,587.0,554.0,571.4,10803063
2020-11-27,576.0,577.8,537.25,548.4,12664895
2020-12-04,554.0,581.65,547.0,579.6,8529664
2020-12-11,585.0,604.7,579.5,593.4,11706791
2020-12-18,596.9,603.0,579.45,588.45,8165543
2020-12-25,589.0,594.25,544.15,569.35,8571255
2021-01-01,571.0,584.7,567.35,581.5,8080184
2021-01-08,581.0,637.6,575.5,630.9,19877172
2021-01-15,634.45,661.65,626.85,633.7,12797675
2021-01-22,629.35,652.5,614.4,625.05,13187810
2021-01-29,629.65,649.7,568.7,578.7,22462101
2021-02-05,580.5,595.0,560.05,580.7,16995594
2021-02-12,582.0,589.0,563.05,567.65,11504099
2021-02-19,574.0,574.4,552.0,556.35,10799224
2021-02-26,559.15,559.95,531.0,533.0,10913328
2021-03-05,537.9,569.8,532.2,552.05,11162324
2021-03-12,553.9,573.65,539.1,543.8,8593412
2021-03-19,547.45,547.85,517.65,536.35,11338452
2021-03-26,538.7,561.9,534.3,554.55,14346023
2021-04-02,560.2,561.9,549.05,558.0,3839703
2021-04-09,554.0,554.7,532.35,537.2,7753678
2021-04-16,531.6,532.4,508.1,519.05,6440674
2021-04-23,513.0,527.4,507.5,522.15,6003265
2021-04-30,522.0,541.65,516.0,519.55,8146665
2021-05-07,517.0,551.8,512.55,547.95,8211761
2021-05-14,549.0,574.35,544.05,565.3,7447725
2021-05-21,571.0,583.2,563.0,572.25,9850672
2021-05-28,589.65,613.45,571.2,610.75,22648657
2021-06-04,608.0,644.8,607.1,629.35,13840100
2021-06-11,635.0,656.0,621.2,646.05,11584656
2021-06-18,647.0,679.0,636.9,672.75,13114030
2021-06-25,657.0,684.0,655.6,664.2,9088367
2021-07-02,667.0,677.6,659.6,662.45,5326982
2021-07-09,663.1,670.0,652.85,655.25,3956596
2021-07-16,658.4,674.2,633.25,667.4,14386307
2021-07-23,666.8,688.4,649.3,683.45,8305586
2021-07-30,690.0,690.0,629.1,640.75,9451358
2021-08-06,647.0,667.0,636.0,647.85,4769688
2021-08-13,648.5,666.0,629.7,660.5,6771715
2021-08-20,660.0,731.6,650.0,703.9,25679002
2021-08-27,715.5,715.5,675.55,700.45,11422211
2021-09-03,705.5,777.0,702.25,752.95,19013863
2021-09-10,757.0,764.65,740.1,755.4,5096228
2021-09-17,757.0,771.8,740.7,741.75,9683582
2021-09-24,739.0,853.25,728.5,827.7,26486937
2021-10-01,830.1,869.45,806.1,865.15,18503481
2021-10-08,868.95,925.5,858.6,914.35,14254053
2021-10-15,910.0,919.8,885.35,888.6,7684651
2021-10-22,903.3,903.3,826.05,833.9,12332104
2021-10-29,837.25,963.4,811.2,947.35,32703519
2021-11-05,964.95,994.2,943.25,976.2,11956830
2021-11-12,982.4,1019.95,943.75,958.6,11432902
2021-11-19,959.0,962.5,900.3,920.05,7978882
2021-11-26,948.0,958.1,881.3,885.7,12530661
2021-12-03,882.0,906.0,862.0,895.15,10081016
2021-12-10,898.0,934.65,875.1,925.3,7174567
2021-12-17,931.5,938.9,878.2,882.8,5397026
2021-12-24,873.0,909.6,848.5,886.35,5442081
2021-12-31,878.1,905.05,871.55,898.25,4377002
2022-01-07,892.3,918.25,883.55,885.5,4490158
2022-01-14,885.95,958.0,877.0,944.2,9466752
2022-01-21,946.0,958.0,890.15,899.3,7508280
2022-01-28,896.0,899.3,823.3,854.95,9393676
2022-02-04,865.0,898.5,856.55,885.15,5160695
2022-02-11,885.15,888.1,840.65,844.3,6832309
2022-02-18,830.0,863.8,808.05,835.95,7383238
2022-02-25,835.95,898.0,822.1,880.05,14178413
2022-03-04,880.0,894.0,822.8,825.8,10736047
2022-03-11,810.0,860.7,765.2,851.85,10635672
2022-03-18,855.0,922.0,848.0,919.55,8302928
2022-03-25,922.55,934.9,883.2,887.2,7660572
2022-04-01,889.9,904.75,858.0,899.4,8160260
2022-04-08,907.8,944.0,898.0,903.1,6201100
2022-04-15,902.95,917.6,891.35,893.95,2928012
2022-04-22,886.0,904.0,850.45,872.2,5806417
2022-04-29,866.0,882.5,840.45,862.85,5572172
2022-05-06,857.5,858.9,798.1,817.4,3722110
2022-05-13,812.0,845.95,781.2,822.55,6357409
2022-05-20,817.55,850.0,791.0,798.8,5747837
2022-05-27,800.0,802.7,728.8,777.8,6904095
2022-06-03,799.0,831.8,780.55,806.7,10147569
2022-06-10,805.0,806.6,768.7,786.35,4681719
2022-06-17,774.0,784.5,712.0,732.25,6974753
2022-06-24,735.0,766.65,724.1,761.35,3631104
2022-07-01,771.0,791.5,741.15,788.8,7208673
2022-07-08,790.0,819.0,785.85,814.05,3670121
2022-07-15,810.0,834.0,805.0,823.95,4620911
2022-07-22,826.95,850.1,813.0,843.95,4674064
2022-07-29,844.0,870.0,776.3,779.0,13802115
2022-08-05,782.0,797.6,765.0,786.5,7219828
2022-08-12,789.9,798.0,770.9,788.25,4665954
2022-08-19,795.0,815.8,787.3,792.0,6659748
2022-08-26,789.9,833.5,760.85,810.65,19936503
2022-09-02,790.0,834.7,786.0,824.3,8077116
2022-09-09,828.5,831.25,798.3,808.15,6052010
2022-09-16,811.5,876.0,808.15,838.1,14945789
2022-09-23,837.95,892.45,828.65,871.3,13549109
2022-09-30,863.9,868.7,825.45,842.3,11769122
2022-10-07,830.0,884.0,820.7,874.45,8379474
2022-10-14,859.7,865.0,802.0,823.5,8474372
2022-10-21,823.0,844.6,815.7,820.6,4650853
