date,open,high,low,close,volume
2020-01-17,1629.0,1719.95,1605.4,1653.1,204973
2020-01-24,1667.25,1707.2,1615.0,1675.05,143128
2020-01-31,1710.0,1730.0,1625.0,1654.6,128867
2020-02-07,1664.0,1725.0,1515.0,1660.5,280320
2020-02-14,1660.0,1950.0,1585.55,1769.65,445659
2020-02-21,1771.0,1891.95,1720.0,1827.65,196136
2020-02-28,1815.0,1925.0,1730.05,1850.55,254611
2020-03-06,1890.0,2109.0,1735.25,1762.55,715143
2020-03-13,1735.0,1750.0,1510.0,1683.9,407411
2020-03-20,1664.9,1800.05,1457.45,1553.6,369008
2020-03-27,1355.55,1640.0,998.05,1372.65,894454
2020-04-03,1370.0,1370.0,1202.7,1233.9,313041
2020-04-10,1279.95,1383.0,1240.45,1361.05,273822
2020-04-17,1335.1,1371.25,1165.65,1252.05,5988686
2020-04-24,1256.0,1268.0,1181.05,1194.25,1288375
2020-05-01,1195.0,1300.9,1151.0,1262.65,693685
2020-05-08,1245.0,1264.8,1176.0,1204.25,455297
2020-05-15,1206.0,1291.0,1190.0,1283.5,671330
2020-05-22,1294.0,1295.8,1233.65,1282.5,336205
2020-05-29,1282.5,1399.0,1242.0,1384.95,332835
2020-06-05,1381.0,1492.95,1356.65,1453.6,404561
2020-06-12,1470.0,1547.9,1360.0,1452.75,347345
2020-06-19,1442.0,1487.95,1411.55,1479.35,378677
2020-06-26,1478.0,1492.2,1386.3,1406.3,1767572
2020-07-03,1418.7,1418.7,1338.9,1358.55,1022066
2020-07-10,1370.25,1500.0,1365.0,1485.7,550581
2020-07-17,1521.85,1612.65,1486.1,1509.3,610023
2020-07-24,1530.0,1580.05,1421.25,1554.35,445662
2020-07-31,1566.35,1646.0,1515.05,1574.15,370800
2020-08-07,1548.95,1681.7,1530.0,1656.1,673881
2020-08-14,1679.0,1780.0,1515.2,1674.3,839942
2020-08-21,1693.7,1810.0,1645.0,1750.8,483236
2020-08-28,1769.65,1918.0,1763.8,1836.15,624728
