date,open,high,low,close,volume
2020-01-17,80.68,80.95,76.28,77.41,59396952
2020-01-24,77.63,81.75,74.17,80.32,60958031
2020-01-31,79.93,79.93,72.59,74.01,99171248
2020-02-07,73.06,76.94,68.77,73.23,106809632
2020-02-14,73.06,75.25,67.17,68.61,137423560
2020-02-21,68.66,70.1,64.49,68.06,53683061
2020-02-28,67.25,67.25,56.27,57.37,134568763
2020-03-06,58.56,60.14,51.86,54.02,177568720
2020-03-13,52.53,53.72,28.2,35.34,251754398
2020-03-20,35.15,38.44,32.3,36.92,201283913
2020-03-27,34.32,38.11,26.93,34.95,100928831
2020-04-03,33.76,34.73,30.0,30.28,58068055
2020-04-10,31.61,37.25,30.0,36.56,139853611
2020-04-17,36.95,49.62,34.4,48.05,320082680
2020-04-24,48.71,48.93,39.11,39.85,214587481
2020-05-01,40.32,50.92,40.32,48.46,360546269
2020-05-08,45.83,45.89,39.85,42.62,196818407
2020-05-15,43.45,48.6,43.01,45.5,249231648
2020-05-22,45.5,46.22,42.68,43.84,101328063
2020-05-29,44.28,54.77,44.12,52.75,273727520
2020-06-05,53.3,58.56,52.14,57.57,315169682
2020-06-12,58.29,58.78,47.74,52.56,201111777
2020-06-19,52.56,55.1,49.82,53.89,182125277
2020-06-26,54.24,56.46,51.64,53.14,122621511
2020-07-03,52.86,57.73,51.28,54.3,301097987
2020-07-10,54.8,56.38,52.45,53.25,127674107
2020-07-17,53.83,54.38,50.59,51.67,89327482
2020-07-24,52.14,54.33,51.56,52.83,88636733
2020-07-31,53.03,53.14,50.76,52.53,80265425
2020-08-07,52.86,56.32,52.72,55.24,126230635
2020-08-14,55.3,67.86,55.1,66.42,388839075
2020-08-21,65.87,71.68,64.68,65.07,198184582
2020-08-28,65.84,66.62,63.85,64.57,108268208
2020-09-04,65.2,66.2,59.53,62.35,116333911
2020-09-11,62.71,63.93,60.08,62.1,71862011
2020-09-18,62.27,69.61,62.27,67.89,156017486
2020-09-25,68.0,68.14,56.63,60.8,112452991
2020-10-02,61.72,65.18,61.55,64.29,57156942
2020-10-09,64.87,68.17,63.21,67.03,99935359
2020-10-16,67.61,67.61,57.82,58.81,134154181
2020-10-23,59.78,61.97,57.57,61.14,128386435
2020-10-30,61.19,61.83,57.48,58.45,120779439
2020-11-06,58.95,65.26,58.2,64.79,113219007
2020-11-13,65.32,73.89,65.09,72.01,225408992
2020-11-20,72.51,77.8,69.63,77.24,137523366
2020-11-27,77.99,82.81,77.94,81.95,195843947
2020-12-04,82.94,89.45,80.98,87.93,122590681
2020-12-11,87.93,89.23,84.14,85.41,72410616
2020-12-18,86.24,89.95,84.69,87.04,101627358
2020-12-25,85.52,86.02,77.33,85.27,95631490
2021-01-01,86.29,92.44,85.85,90.83,110094143
2021-01-08,91.61,94.29,89.67,92.99,90816151
2021-01-15,93.54,96.78,88.56,89.95,110818329
2021-01-22,89.89,91.16,84.74,86.49,128764939
2021-01-29,87.98,88.01,79.49,80.23,62118761
2021-02-05,81.34,89.92,79.24,86.54,108727406
2021-02-12,87.35,110.54,87.04,109.21,487121091
2021-02-19,114.52,127.59,112.89,118.18,484279323
2021-02-26,118.45,124.9,115.85,118.45,163182965
2021-03-05,120.09,131.85,119.64,124.79,189153658
2021-03-12,126.76,129.22,117.54,118.23,99116603
2021-03-19,119.26,124.98,113.64,117.15,123872834
2021-03-26,117.35,118.7,103.51,110.15,151308092
2021-04-02,111.15,117.57,110.76,116.49,68076503
2021-04-09,116.41,121.33,110.84,117.29,97664981
2021-04-16,113.36,118.9,108.27,117.32,99653553
2021-04-23,112.36,120.94,109.93,118.23,95781261
2021-04-30,117.9,125.46,116.88,118.84,88628978
2021-05-07,118.45,125.59,116.74,122.27,119364647
2021-05-14,123.27,133.73,122.16,126.45,117160711
2021-05-21,127.86,137.63,125.65,135.86,133598274
2021-05-28,136.69,136.89,127.59,130.22,157335122
2021-06-04,131.18,151.03,129.94,139.51,394881858
2021-06-11,140.04,142.67,134.12,135.42,99033765
2021-06-18,135.45,140.76,126.04,131.13,104852718
2021-06-25,128.42,134.89,127.67,130.99,70771793
2021-07-02,131.46,137.8,129.72,135.83,111357490
2021-07-09,136.77,137.38,126.76,130.82,86536829
2021-07-16,131.52,136.86,130.08,135.14,52235309
2021-07-23,133.68,136.17,128.64,130.6,45557360
2021-07-30,130.46,133.32,123.85,129.72,79677919
2021-08-06,131.18,134.31,128.25,130.71,52779826
2021-08-13,132.51,132.51,121.11,122.58,138052110
2021-08-20,122.58,122.88,111.78,112.53,58680803
2021-08-27,113.47,119.5,110.15,118.59,76344667
2021-09-03,119.67,122.6,118.62,121.03,44644082
2021-09-10,121.64,121.64,115.24,117.71,43261220
2021-09-17,117.9,127.31,116.35,123.43,69564872
2021-09-24,121.77,126.87,116.82,124.38,49632602
2021-10-01,124.54,130.58,122.44,124.49,65292171
2021-10-08,125.1,135.83,123.27,131.27,116137140
2021-10-15,133.68,142.7,131.46,136.47,108606852
2021-10-22,137.27,137.61,125.4,127.2,72522384
2021-10-29,127.81,128.31,121.77,123.68,40590968
2021-11-05,123.99,129.63,123.6,127.39,18097899
2021-11-12,128.36,138.24,126.4,135.97,77798915
2021-11-19,132.24,141.04,128.42,131.54,112187173
2021-11-26,134.09,134.73,119.28,119.84,61355422
2021-12-03,119.01,121.64,115.13,118.9,54985813
2021-12-10,118.87,128.06,117.4,126.65,51215158
2021-12-17,127.78,127.78,117.04,117.57,65668603
2021-12-24,116.24,121.5,108.55,118.87,71514725
2021-12-31,118.84,124.32,117.4,123.6,39352580
2022-01-07,123.6,133.62,122.33,132.24,73541947
2022-01-14,133.4,140.57,121.77,123.7,174905228
2022-01-21,126.5,128.5,118.47,121.27,62783447
2022-01-28,121.67,123.97,113.43,117.83,43956779
2022-02-04,119.97,123.33,117.43,120.83,27284533
2022-02-11,120.83,122.83,113.37,114.77,41893662
2022-02-18,110.9,116.5,104.93,105.6,75750810
2022-02-25,105.33,106.33,95.63,99.73,77400024
2022-03-04,96.0,101.0,90.53,91.07,49463647
2022-03-11,89.27,92.93,79.7,87.7,163809240
2022-03-18,87.7,93.0,83.83,91.3,120445660
2022-03-25,92.33,92.67,87.27,90.43,70594043
2022-04-01,90.97,95.53,88.0,93.5,82662423
2022-04-08,94.3,97.53,93.63,96.17,58151880
2022-04-15,96.77,96.8,91.37,92.8,46776352
2022-04-22,93.33,94.67,88.07,92.2,41036817
2022-04-29,92.0,94.53,87.93,91.73,85028780
2022-05-06,91.0,91.07,82.07,82.5,47761559
2022-05-13,81.33,82.0,75.0,78.17,85789272
2022-05-20,79.2,85.73,77.33,82.9,47621872
2022-05-27,83.33,85.43,77.67,82.07,59968888
2022-06-03,83.6,89.0,82.7,85.17,71757826
2022-06-10,84.7,85.77,80.93,81.8,37749367
2022-06-17,80.93,82.2,76.53,77.47,27719911
2022-06-24,77.47,82.0,74.67,81.53,37312220
2022-07-01,82.67,83.53,77.1,78.47,43666940
2022-07-08,78.53,80.67,75.77,79.33,38614047
2022-07-15,78.8,81.4,78.33,79.73,24115557
2022-07-22,80.33,91.67,80.1,88.13,67021418
2022-07-29,88.0,90.03,84.57,84.87,32399622
2022-08-05,85.33,90.07,84.97,86.97,59887313
2022-08-12,87.17,87.67,80.77,81.83,68609901
2022-08-19,82.67,88.67,82.1,85.43,59016356
2022-08-26,85.33,85.5,81.57,83.23,45938643
2022-09-02,81.33,84.73,80.2,83.8,83451150
2022-09-09,84.37,84.5,81.2,82.47,37956505
2022-09-16,82.83,86.53,82.23,82.8,58572939
2022-09-23,83.33,84.07,78.43,78.73,34700861
2022-09-30,80.3,80.3,68.5,72.67,145035916
2022-10-07,74.9,78.35,72.1,76.7,54722782
2022-10-14,75.75,76.35,69.2,69.4,32443265
2022-10-21,69.45,69.65,61.9,62.1,164396187
2022-10-28,62.9,64.4,61.8,64.15,56214610
2022-11-04,65.5,66.7,63.8,65.05,46744924
2022-11-11,65.7,74.55,65.4,71.05,107913748
2022-11-18,71.4,74.2,70.8,72.2,63516450
2022-11-25,72.1,73.8,70.75,73.4,29281196
2022-12-02,73.7,75.25,72.85,74.0,48798511
2022-12-09,74.2,76.3,72.15,73.1,75840674
2022-12-16,73.1,73.6,70.05,70.55,64947433
2022-12-23,70.65,71.55,66.1,66.9,107998558
2022-12-30,66.9,75.05,66.3,74.15,75934965
2023-01-06,74.3,76.35,74.0,75.3,34210216
2023-01-13,75.9,79.45,73.7,77.25,84091883
2023-01-20,77.3,77.6,72.45,73.0,82267401
2023-01-27,73.1,74.25,70.3,71.6,34874605
2023-02-03,71.6,77.0,70.55,75.9,66208746
2023-02-10,75.9,81.95,75.3,80.2,107727409
2023-02-17,80.45,81.0,78.75,79.7,35390683
2023-02-24,82.0,84.25,81.05,82.45,67591618
2023-03-03,82.7,82.7,77.7,80.05,43536222
2023-03-10,82.0,83.9,81.35,83.05,36184676
2023-03-17,82.1,82.7,66.05,67.8,468711367
2023-03-24,66.55,67.55,64.2,64.75,105533154
2023-03-31,64.75,67.2,61.8,67.1,74756391
2023-04-07,67.85,68.1,66.85,67.9,18028738
2023-04-14,68.15,69.9,67.1,68.3,32489143
2023-04-21,68.2,70.5,67.4,70.05,38381363
2023-04-28,70.2,73.85,69.3,73.4,49693469
2023-05-05,74.0,76.1,73.5,75.3,36452460
2023-05-12,75.35,79.3,75.3,78.35,61091301
2023-05-19,78.55,81.3,76.85,80.15,53565541
2023-05-26,80.6,82.6,79.25,80.75,75813778
2023-06-02,82.0,82.0,78.35,80.35,59355282
2023-06-09,81.0,82.25,79.95,81.75,49097308
2023-06-16,82.45,84.9,81.5,82.6,62519725
2023-06-23,83.25,88.2,81.0,82.8,91901795
2023-06-30,83.1,86.4,83.0,85.5,57142273
2023-07-07,86.3,92.9,84.8,91.3,103356357
2023-07-14,92.0,97.0,90.25,96.05,84119142
2023-07-21,96.65,98.2,95.6,97.0,44008816
2023-07-28,97.0,100.9,95.9,97.6,63592686
2023-08-04,97.95,99.9,95.45,96.5,40456470
2023-08-11,96.7,102.85,95.3,97.5,86001190
2023-08-18,98.2,98.2,93.3,94.2,33113554
2023-08-25,94.4,97.15,94.15,95.45,32677356
2023-09-01,96.4,98.15,95.1,97.8,36128784
2023-09-08,99.1,103.4,98.1,99.55,60704244
2023-09-15,101.15,101.55,95.7,98.45,47230712
2023-09-22,98.55,100.35,95.25,96.15,28679303
2023-09-29,96.5,97.8,95.05,96.0,43367697
2023-10-06,96.05,96.5,92.1,92.65,27290790
2023-10-13,91.4,96.25,90.15,94.35,46095678
2023-10-20,95.65,98.5,92.85,93.3,30867467
2023-10-27,94.25,94.25,88.7,92.5,31095316
2023-11-03,92.95,93.5,90.3,90.6,26088639
2023-11-10,91.9,93.6,87.3,88.4,55586438
2023-11-17,90.2,91.8,88.9,90.05,43066033
2023-11-24,90.5,90.55,86.8,87.5,38557659
2023-12-01,88.2,93.85,86.8,93.1,70430981
2023-12-08,94.5,95.45,92.25,95.0,61066011
2023-12-15,95.55,99.9,94.45,98.25,99957758
2023-12-22,98.6,99.35,90.2,94.8,51488217
2023-12-29,95.0,102.85,94.35,101.95,104046175
2024-01-05,102.8,108.9,101.35,104.05,143060066
2024-01-12,105.55,111.3,103.9,107.4,152383769
2024-01-19,108.0,110.95,104.35,109.55,88784290
