date,open,high,low,close,volume
2020-01-17,874.0,934.9,872.1,898.1,1152908
2020-01-24,898.1,919.9,878.0,908.45,1598223
2020-01-31,907.95,949.7,886.0,929.85,860246
2020-02-07,915.55,956.95,884.0,937.4,2328774
2020-02-14,938.7,942.65,881.0,906.75,674840
2020-02-21,913.95,924.0,886.1,900.65,487448
2020-02-28,900.0,904.95,840.0,871.55,1279398
2020-03-06,876.1,893.55,810.0,821.4,2034620
2020-03-13,815.05,818.8,675.0,749.8,1525858
2020-03-20,741.65,741.65,653.4,699.15,7540622
2020-03-27,676.0,759.65,630.0,686.3,1039161
2020-04-03,670.9,748.0,636.0,671.6,1071110
2020-04-10,690.0,699.0,664.9,675.6,799207
2020-04-17,676.0,750.0,663.6,726.8,906628
2020-04-24,737.0,758.65,653.0,673.65,1797909
2020-05-01,679.0,750.35,676.55,728.65,1209857
2020-05-08,718.0,773.95,692.55,739.9,1570176
2020-05-15,743.1,854.0,743.1,845.3,2139036
2020-05-22,841.0,865.0,796.1,839.45,700364
2020-05-29,850.0,888.75,838.0,860.95,1964393
2020-06-05,877.65,891.8,852.3,880.8,1118175
2020-06-12,887.0,911.85,832.0,858.7,702069
2020-06-19,864.85,871.05,822.05,840.15,770200
2020-06-26,844.6,920.0,841.0,892.95,1255382
2020-07-03,902.0,920.0,855.0,886.6,1028717
2020-07-10,888.8,928.0,880.3,919.15,1072040
2020-07-17,916.55,1099.0,910.0,997.35,2815883
2020-07-24,1018.0,1174.9,975.0,1117.0,5498727
2020-07-31,1115.0,1208.8,1080.0,1157.95,5991799
2020-08-07,1157.95,1179.5,1096.0,1164.4,2300039
2020-08-14,1175.0,1230.0,1150.0,1194.3,1592075
2020-08-21,1200.0,1225.0,1181.25,1199.0,610594
2020-08-28,1200.0,1215.0,1156.0,1165.45,1332368
2020-09-04,1172.0,1191.0,1081.85,1143.95,1690032
2020-09-11,1154.0,1178.95,1113.0,1154.35,1415302
2020-09-18,1185.0,1414.0,1175.0,1397.45,4871431
2020-09-25,1385.0,1419.85,1244.15,1271.7,2941629
2020-10-02,1291.4,1404.9,1281.7,1356.9,1451989
2020-10-09,1350.5,1454.0,1324.15,1383.65,2757867
2020-10-16,1384.2,1464.8,1300.0,1340.75,3743504
2020-10-23,1343.0,1413.0,1285.95,1382.05,2452349
2020-10-30,1370.0,1391.45,1314.95,1378.7,1412273
2020-11-06,1390.0,1404.8,1326.9,1335.2,956312
2020-11-13,1350.7,1364.0,1281.1,1315.0,1349268
2020-11-20,1333.0,1341.75,1296.0,1315.35,1285359
2020-11-27,1345.0,1357.9,1293.0,1315.7,2033003
2020-12-04,1322.3,1378.0,1300.05,1334.9,1365553
2020-12-11,1340.1,1362.35,1301.0,1316.05,1384574
2020-12-18,1329.0,1398.0,1311.5,1372.9,2206287
2020-12-25,1378.55,1629.2,1361.0,1554.55,4125200
2021-01-01,1560.0,1647.0,1520.0,1529.9,1448542
2021-01-08,1550.0,1697.4,1505.0,1639.3,3239648
2021-01-15,1660.0,1735.0,1617.4,1667.55,3057511
2021-01-22,1667.3,1676.0,1537.0,1599.05,2225362
2021-01-29,1619.95,1619.95,1512.0,1531.35,1360035
2021-02-05,1535.0,1613.7,1511.0,1570.0,2008123
2021-02-12,1590.0,1674.9,1577.6,1646.45,1324289
2021-02-19,1660.0,1710.0,1626.0,1688.6,1173898
2021-02-26,1680.0,1787.8,1610.5,1660.05,2566763
2021-03-05,1659.9,1747.75,1618.3,1634.7,1758099
2021-03-12,1650.0,1675.0,1575.25,1617.1,1465577
2021-03-19,1620.0,1769.0,1612.4,1666.3,3260178
2021-03-26,1680.75,1707.45,1602.0,1635.25,1647430
2021-04-02,1643.0,1811.25,1637.0,1749.0,2401263
2021-04-09,1750.0,1825.0,1713.15,1802.45,3519302
2021-04-16,1799.8,1837.45,1603.0,1708.3,2469669
2021-04-23,1671.0,1729.9,1630.0,1696.5,1970392
2021-04-30,1730.0,1805.85,1695.75,1764.8,2999743
2021-05-07,1764.0,1883.45,1736.0,1846.2,3058513
2021-05-14,1845.0,1868.9,1761.65,1788.85,2195871
2021-05-21,1788.85,1839.8,1728.0,1786.05,2454746
2021-05-28,1811.5,2009.95,1800.1,1943.0,4359411
2021-06-04,1950.8,1965.0,1875.0,1909.45,1699455
2021-06-11,1919.0,2069.0,1911.0,2009.75,3850325
2021-06-18,2018.0,2133.55,1974.5,2032.85,4380214
2021-06-25,2030.0,2087.55,1974.0,2067.15,2652172
2021-07-02,2067.2,2199.4,2030.6,2154.95,2509715
2021-07-09,2178.15,2269.0,2104.0,2229.3,3396523
2021-07-16,2257.1,2421.95,2165.1,2390.2,4135307
2021-07-23,2390.2,2677.0,2266.8,2530.15,8637987
2021-07-30,2512.0,2677.5,2473.95,2599.75,4043109
2021-08-06,2619.5,2756.55,2602.0,2694.65,3583424
2021-08-13,2713.25,2791.65,2638.0,2753.85,2640034
2021-08-20,2768.1,2938.8,2728.8,2848.0,2862851
