date,open,high,low,close,volume
2020-01-17,67492.0,70000.0,65819.5,69312.9,53490
2020-01-24,69060.0,70825.6,67521.1,70407.4,36340
2020-01-31,70290.0,71000.0,69318.2,69674.8,29386
2020-02-07,69789.0,73565.7,68000.0,70960.5,45660
2020-02-14,71490.0,73500.0,69800.0,71799.2,60819
2020-02-21,71800.0,72333.0,69500.0,70789.5,27751
2020-02-28,70888.0,70888.0,65315.0,66393.2,34285
2020-03-06,66891.0,68558.4,63858.6,66348.1,38404
2020-03-13,65800.0,66300.0,56030.0,65929.4,57767
2020-03-20,62000.0,63899.9,56950.5,58988.9,68641
2020-03-27,55905.0,60742.6,49915.1,56371.2,85126
2020-04-03,54700.0,59312.0,53522.9,55062.2,118647
2020-04-10,56500.0,60460.1,56055.1,60017.9,51900
2020-04-17,59500.0,62340.0,56760.0,61638.3,68848
2020-04-24,62000.0,62000.0,57829.0,58805.4,54275
2020-05-01,59700.0,61800.0,58550.0,60510.6,40889
2020-05-08,59499.9,59783.1,57200.1,58874.9,44896
2020-05-15,59025.0,60200.0,57318.9,58135.6,51219
2020-05-22,58235.0,58499.9,56150.0,57434.1,31454
2020-05-29,57834.8,59350.5,57195.1,59113.1,25654
2020-06-05,59500.0,64172.3,59365.6,63526.2,62686
2020-06-12,63700.0,65150.0,59500.0,63729.1,55074
2020-06-19,64950.0,65499.0,62077.5,62949.3,44403
2020-06-26,63200.0,67000.0,63200.0,66457.7,52594
2020-07-03,66400.0,67725.0,64830.1,66140.2,74956
2020-07-10,66601.0,67550.0,64515.0,64867.2,63015
2020-07-17,65100.0,65870.9,62431.4,65360.6,56675
2020-07-24,65500.0,65900.0,62700.0,62976.5,65090
2020-07-31,63580.0,63580.0,60602.0,61048.6,62233
2020-08-07,61000.0,63260.0,60802.2,62702.8,67794
2020-08-14,62798.0,64600.0,61200.0,61433.8,110186
2020-08-21,62199.0,62282.1,59235.6,59627.1,138516
2020-08-28,60000.0,60537.5,59067.2,59579.9,94583
2020-09-04,59999.0,59999.0,57520.1,58425.4,64039
2020-09-11,58425.4,59400.0,57867.0,59226.7,59180
2020-09-18,59230.1,59970.0,58199.9,58950.6,111036
2020-09-25,58950.6,59079.9,55300.0,57461.4,66967
2020-10-02,57800.0,60695.0,57800.0,60578.3,63062
2020-10-09,60800.0,61233.9,58542.6,58784.9,58860
2020-10-16,59298.0,59439.2,57860.1,58013.1,57448
2020-10-23,58300.9,63985.0,58100.0,63619.1,124646
2020-10-30,63800.0,69608.5,62863.9,65303.2,268232
2020-11-06,65500.0,69900.0,64760.1,68516.9,176742
2020-11-13,69100.0,72499.0,67919.1,71826.2,185781
2020-11-20,72288.0,79500.0,71926.0,79069.4,255044
2020-11-27,81160.0,81249.4,74305.2,77738.6,528670
2020-12-04,79400.0,80102.4,77777.5,78698.1,160440
2020-12-11,77887.3,79995.0,77300.0,77878.4,110968
2020-12-18,78400.0,79180.4,76800.0,77571.5,114152
2020-12-25,77638.0,77793.1,73777.8,75892.4,81710
