date,open,high,low,close,volume
2020-01-17,749.0,796.4,747.6,779.8,4916651
2020-01-24,781.0,786.5,750.25,751.95,3489755
2020-01-31,747.1,782.45,746.4,762.65,3745933
2020-02-07,760.0,781.25,732.75,760.95,4170679
2020-02-14,762.0,765.45,737.0,746.9,2635701
2020-02-21,782.0,935.45,769.0,912.7,51571215
2020-02-28,901.9,954.5,871.4,880.25,20352379
2020-03-06,882.1,901.8,840.55,869.65,10103195
2020-03-13,862.0,863.75,650.05,804.05,9163073
2020-03-20,774.8,775.0,483.95,624.05,17473736
2020-03-27,548.15,691.45,476.8,618.7,14892767
2020-04-03,609.4,630.5,582.0,606.0,5988050
2020-04-10,620.95,749.95,620.95,734.95,6105986
2020-04-17,743.0,751.65,658.45,706.8,15032955
2020-04-24,714.75,856.85,703.05,813.95,18673691
2020-05-01,828.0,875.0,807.4,862.7,7913590
2020-05-08,822.0,848.7,763.4,809.65,10101248
2020-05-15,814.7,845.0,798.0,819.85,7126655
2020-05-22,816.0,842.0,765.6,805.3,10020965
2020-05-29,818.5,879.0,786.0,862.65,7143047
2020-06-05,865.05,939.45,865.0,915.3,7071226
2020-06-12,925.95,998.0,905.0,979.6,11997928
2020-06-19,979.6,1284.0,925.75,1180.0,42190163
2020-06-26,1179.0,1236.9,1080.55,1090.0,20123451
2020-07-03,1088.0,1151.45,1071.0,1146.35,11381566
2020-07-10,1166.35,1169.6,1064.4,1084.3,9057795
2020-07-17,1090.3,1225.0,1070.0,1202.95,14458505
2020-07-24,1140.0,1345.7,1140.0,1303.0,24293575
2020-07-31,1310.0,1405.75,1257.55,1273.8,21734755
2020-08-07,1278.35,1324.65,1175.95,1217.0,24964316
2020-08-14,1221.0,1226.0,1091.0,1212.95,17322348
2020-08-21,1228.5,1292.95,1175.0,1182.0,21601832
2020-08-28,1170.2,1239.9,1170.0,1208.45,11211975
2020-09-04,1215.0,1224.9,1096.05,1122.9,10272620
2020-09-11,1120.0,1134.0,1060.55,1128.5,10058522
2020-09-18,1138.0,1173.0,1100.0,1105.0,8146044
2020-09-25,1111.0,1119.75,1000.0,1087.55,11733694
2020-10-02,1096.0,1160.0,1075.0,1153.75,9159307
2020-10-09,1161.9,1201.2,1130.05,1142.45,9936087
2020-10-16,1150.0,1204.7,1116.45,1185.05,7697581
2020-10-23,1191.3,1237.75,1170.05,1184.5,7555013
2020-10-30,1185.0,1274.0,1153.15,1230.8,10474482
2020-11-06,1239.0,1266.9,1136.5,1256.35,15941948
2020-11-13,1268.1,1298.0,1141.0,1188.85,16752734
2020-11-20,1188.0,1217.0,1156.0,1183.35,8906470
2020-11-27,1195.0,1197.75,1108.65,1152.0,28992689
2020-12-04,1171.95,1191.55,1118.4,1172.0,8417045
2020-12-11,1175.0,1204.85,1159.0,1173.0,9400701
2020-12-18,1173.0,1234.05,1173.0,1210.85,8168839
2020-12-25,1206.85,1249.7,1138.6,1187.95,7193107
2021-01-01,1199.0,1232.9,1188.95,1213.35,4768891
2021-01-08,1222.9,1311.05,1220.0,1283.3,10604095
2021-01-15,1276.0,1289.45,1193.0,1203.0,10866753
2021-01-22,1203.5,1228.0,1160.0,1165.4,6393607
2021-01-29,1174.0,1205.0,1100.1,1105.85,6294393
2021-02-05,1110.55,1195.9,1090.0,1164.1,7628728
2021-02-12,1177.7,1329.9,1165.05,1315.0,23418655
2021-02-19,1329.6,1361.6,1277.4,1297.0,11314516
2021-02-26,1309.7,1340.0,1270.8,1296.2,8525685
2021-03-05,1297.3,1334.8,1283.0,1289.85,5784615
2021-03-12,1228.5,1312.85,1225.0,1278.25,7325917
2021-03-19,1271.3,1299.4,1198.0,1230.45,4797468
2021-03-26,1236.0,1249.35,1165.9,1235.8,4267204
2021-04-02,1237.0,1251.15,1196.75,1214.0,2334137
2021-04-09,1215.0,1265.0,1165.0,1233.85,5107856
2021-04-16,1209.75,1209.75,1136.65,1168.1,4720583
2021-04-23,1140.0,1207.0,1121.0,1200.85,5179123
2021-04-30,1204.0,1215.95,1151.0,1157.4,4723369
2021-05-07,1155.0,1216.95,1135.0,1211.7,4027285
2021-05-14,1224.0,1230.0,1152.5,1167.95,2671974
2021-05-21,1183.0,1298.0,1175.0,1265.2,6659118
2021-05-28,1267.0,1292.0,1232.0,1266.0,5220149
2021-06-04,1270.0,1550.0,1262.4,1509.35,30103775
2021-06-11,1510.0,1525.65,1456.1,1474.35,7398214
2021-06-18,1484.1,1542.0,1445.1,1472.4,7585432
2021-06-25,1450.4,1518.8,1448.0,1484.95,5219911
2021-07-02,1490.05,1501.0,1456.4,1477.4,4544874
2021-07-09,1492.0,1576.8,1482.0,1534.6,8310539
2021-07-16,1551.0,1584.5,1541.65,1569.2,3721597
2021-07-23,1559.0,1616.05,1514.0,1567.05,3878994
2021-07-30,1565.0,1598.75,1536.15,1554.75,3525724
2021-08-06,1565.9,1638.85,1505.0,1547.2,6366308
2021-08-13,1531.0,1533.35,1402.4,1451.2,6470354
2021-08-20,1458.0,1489.0,1436.0,1457.95,3487847
2021-08-27,1471.95,1518.0,1441.2,1491.7,3473080
2021-09-03,1504.0,1538.5,1490.0,1507.0,3097142
2021-09-10,1515.0,1564.95,1508.1,1538.9,2828689
2021-09-17,1538.0,1563.0,1503.6,1513.5,2924634
2021-09-24,1500.0,1560.3,1432.0,1505.05,4006374
2021-10-01,1505.0,1542.95,1446.35,1533.8,5218127
2021-10-08,1537.9,1589.85,1495.0,1519.65,4094456
2021-10-15,1536.05,1588.0,1511.9,1552.6,2651157
2021-10-22,1568.1,1612.0,1512.5,1566.05,5529398
2021-10-29,1578.0,1578.0,1450.9,1467.75,3443094
2021-11-05,1483.0,1575.0,1457.25,1530.1,3439461
2021-11-12,1550.0,1709.65,1532.0,1691.35,13113354
2021-11-19,1693.55,1721.95,1593.8,1603.0,3941628
2021-11-26,1603.0,1603.0,1437.0,1440.65,4568251
2021-12-03,1427.35,1508.0,1390.0,1482.55,5478407
2021-12-10,1487.0,1516.0,1461.3,1491.95,2112995
2021-12-17,1503.9,1503.95,1438.6,1453.95,2820074
2021-12-24,1444.0,1500.0,1381.0,1472.85,3615935
2021-12-31,1460.6,1511.95,1460.6,1495.65,1690094
2022-01-07,1499.0,1559.95,1489.15,1525.85,2446537
2022-01-14,1526.1,1550.0,1477.1,1484.85,2977848
2022-01-21,1483.0,1518.9,1420.0,1432.75,2754786
2022-01-28,1437.0,1490.05,1405.0,1438.4,3390101
2022-02-04,1450.65,1501.6,1409.55,1420.55,3816594
2022-02-11,1420.55,1470.0,1396.25,1424.15,2292125
2022-02-18,1360.0,1405.0,1294.05,1324.05,8836906
2022-02-25,1318.0,1366.4,1291.15,1346.95,5447833
2022-03-04,1347.0,1444.5,1329.35,1376.15,4796938
2022-03-11,1377.0,1448.0,1338.9,1382.0,3891870
2022-03-18,1388.0,1389.05,1327.05,1337.05,3545460
2022-03-25,1348.0,1378.55,1277.0,1307.65,5881378
2022-04-01,1318.5,1359.0,1283.1,1354.75,3281898
2022-04-08,1358.0,1384.0,1346.0,1374.95,2016376
2022-04-15,1370.0,1381.0,1333.0,1336.8,1955382
2022-04-22,1336.0,1346.0,1290.0,1312.25,2158603
2022-04-29,1290.0,1304.65,1247.0,1262.95,3226416
2022-05-06,1252.0,1291.95,1181.15,1210.85,2108727
2022-05-13,1200.0,1218.85,1102.0,1119.4,2699155
2022-05-20,1115.0,1209.5,1110.0,1159.85,3001654
2022-05-27,1173.45,1173.45,1026.7,1096.15,6106054
2022-06-03,1100.0,1151.4,1100.0,1105.75,3434673
2022-06-10,1105.0,1105.0,1055.05,1062.35,3111786
2022-06-17,1025.0,1055.3,987.95,999.8,4168540
2022-06-24,999.9,1025.55,980.0,985.3,3068529
2022-07-01,1000.95,1048.3,960.4,1042.65,5401756
2022-07-08,1041.9,1091.6,1026.0,1035.6,4820127
2022-07-15,1037.0,1046.1,987.0,1017.95,3503031
2022-07-22,1031.65,1059.4,1022.0,1038.35,2606724
2022-07-29,1044.65,1091.3,1012.1,1065.65,3767126
2022-08-05,1080.0,1152.0,1067.0,1144.4,5586146
2022-08-12,1145.0,1213.95,1112.15,1187.4,3874755
2022-08-19,1093.0,1093.0,1009.3,1044.05,16939437
2022-08-26,1035.0,1060.0,1013.95,1047.45,4208266
2022-09-02,1015.0,1067.1,1012.1,1030.0,3018564
2022-09-09,1039.2,1051.0,1024.15,1045.35,2480942
2022-09-16,1045.3,1067.0,1029.6,1033.4,4341220
2022-09-23,1033.2,1056.0,998.0,1002.5,4583303
2022-09-30,994.95,1058.0,950.2,1040.05,7824730
2022-10-07,1031.0,1074.4,1019.8,1058.4,2778716
2022-10-14,1050.0,1057.0,1011.0,1015.1,2946146
2022-10-21,1015.95,1069.1,1007.45,1033.0,3138004
2022-10-28,1039.0,1064.0,1030.1,1047.6,1539381
2022-11-04,1047.6,1083.0,1034.25,1076.05,3509174
2022-11-11,1083.0,1141.0,1036.55,1073.95,6906504
2022-11-18,1076.0,1125.95,1057.05,1061.45,4860962
2022-11-25,1066.8,1083.9,1046.8,1078.0,2699492
2022-12-02,1083.4,1138.35,1075.1,1135.75,3319075
2022-12-09,1137.95,1158.75,1090.0,1103.3,3081581
2022-12-16,1108.15,1124.4,1068.05,1078.6,1893536
2022-12-23,1087.15,1126.0,1023.35,1043.45,3040668
2022-12-30,1045.95,1090.0,1035.05,1063.05,3249272
2023-01-06,1065.3,1102.65,1062.05,1072.25,1760398
2023-01-13,1074.15,1086.1,1045.6,1062.65,1908346
2023-01-20,1068.0,1091.45,1044.2,1052.45,2204932
2023-01-27,1052.45,1067.35,1001.0,1010.15,3033601
2023-02-03,1014.25,1057.95,1001.25,1027.5,1984386
2023-02-10,1020.0,1042.2,980.0,1013.95,3100716
2023-02-17,1015.2,1017.9,976.0,981.25,1625788
2023-02-24,981.95,995.85,954.95,965.4,1895618
