date,open,high,low,close,volume
2020-01-17,45.75,48.75,45.5,46.45,53702492
2020-01-24,46.75,47.0,44.9,46.5,35001468
2020-01-31,46.05,46.6,42.3,42.55,53655829
2020-02-07,42.5,45.25,41.1,45.1,51169790
2020-02-14,44.95,45.1,39.15,40.8,68342247
2020-02-21,41.0,41.3,38.1,38.8,31964530
2020-02-28,38.6,38.6,32.75,33.5,41256838
2020-03-06,34.2,35.65,32.3,33.0,44551098
2020-03-13,32.3,32.7,24.4,30.6,53811804
2020-03-20,29.75,32.6,28.05,32.25,62876679
2020-03-27,30.7,30.7,27.4,27.95,41810133
2020-04-03,27.4,29.45,26.6,28.15,22522358
2020-04-10,28.8,31.4,28.5,30.4,30185865
2020-04-17,30.4,32.5,29.55,31.95,33407622
2020-04-24,33.0,35.35,30.55,31.5,116809202
2020-05-01,31.7,32.2,30.25,31.8,45721654
2020-05-08,30.8,30.8,28.05,28.35,35802441
2020-05-15,28.5,29.3,26.9,28.95,60738475
2020-05-22,29.2,29.45,26.75,26.9,41051972
2020-05-29,27.25,30.5,27.25,29.4,40022298
2020-06-05,29.55,33.15,29.55,32.8,91289669
2020-06-12,33.5,34.2,29.6,31.4,68719091
2020-06-19,30.95,31.35,29.3,30.65,98395995
2020-06-26,31.15,34.9,30.8,33.5,143811606
2020-07-03,33.6,33.65,31.25,32.45,62575130
2020-07-10,32.5,37.5,32.35,36.4,157366637
2020-07-17,36.95,37.15,32.7,34.45,75128211
2020-07-24,34.7,34.7,32.8,33.25,47989722
2020-07-31,33.3,34.1,32.05,32.75,65652885
2020-08-07,32.75,35.3,32.5,34.9,81710868
2020-08-14,35.0,36.35,34.55,35.15,65753820
2020-08-21,35.25,40.05,34.95,38.05,100064002
2020-08-28,38.35,38.7,36.15,37.55,56606472
2020-09-04,37.85,38.15,35.7,36.3,46088806
2020-09-11,36.45,36.9,32.8,34.8,58307242
2020-09-18,35.3,36.45,33.65,34.9,71144404
2020-09-25,35.1,35.2,29.95,31.8,76617220
2020-10-02,32.5,33.3,31.95,32.15,52771075
2020-10-09,32.5,32.85,30.5,31.35,90021095
2020-10-16,31.45,31.95,29.1,30.6,56985000
2020-10-23,31.05,31.6,29.9,30.75,41440524
2020-10-30,30.95,31.45,29.65,30.35,46193062
2020-11-06,30.6,32.9,29.95,32.65,43794057
2020-11-13,32.95,35.2,32.25,34.8,51648200
2020-11-20,35.45,38.3,35.15,36.55,73102523
2020-11-27,36.6,40.2,35.4,39.2,110826679
2020-12-04,39.25,43.65,38.65,42.25,137993676
2020-12-11,42.3,44.4,40.5,42.7,119956686
2020-12-18,42.95,45.0,42.1,43.7,94587437
2020-12-25,43.35,43.7,37.35,40.9,88894613
2021-01-01,41.25,44.8,41.0,44.35,102467451
2021-01-08,45.0,50.0,45.0,47.85,162617823
2021-01-15,48.15,48.65,44.6,45.35,113143875
2021-01-22,45.25,49.2,43.1,46.6,127548513
2021-01-29,47.0,48.7,45.3,47.9,161296193
2021-02-05,48.1,52.25,47.3,50.1,173758055
2021-02-12,50.75,51.4,48.35,48.9,96603175
2021-02-19,49.5,53.3,48.35,51.75,109973516
2021-02-26,51.75,61.25,51.6,59.85,227811460
2021-03-05,60.9,64.0,56.9,57.75,165187091
2021-03-12,58.4,60.95,56.8,58.6,89088672
2021-03-19,59.1,60.3,53.4,55.8,123164054
2021-03-26,54.45,56.0,50.7,53.75,101927549
2021-04-02,54.5,59.2,53.55,58.7,64437716
2021-04-09,59.0,61.75,55.7,59.4,149938528
2021-04-16,57.85,60.5,52.75,58.95,111275247
2021-04-23,56.5,58.8,55.0,56.75,71752710
2021-04-30,57.65,66.5,57.05,64.65,249152815
2021-05-07,64.4,78.45,64.15,76.0,322911908
2021-05-14,79.9,82.1,69.0,71.35,308394232
2021-05-21,71.5,78.9,70.15,70.8,204651038
2021-05-28,71.0,76.2,69.25,72.1,192136255
2021-06-04,72.0,74.45,71.2,72.75,123448567
2021-06-11,73.45,75.75,69.75,72.15,107365644
2021-06-18,72.5,72.6,65.05,67.65,118314764
2021-06-25,66.0,74.2,65.5,73.45,125781218
2021-07-02,75.15,84.3,74.0,79.0,389833186
2021-07-09,79.85,86.8,78.6,85.35,213185971
2021-07-16,86.15,88.7,82.55,88.3,120822889
2021-07-23,87.4,91.0,81.9,82.45,170697064
2021-07-30,83.0,96.0,82.35,93.5,309903617
2021-08-06,94.5,97.45,91.3,94.2,181922598
2021-08-13,90.0,90.0,77.55,83.75,247181640
2021-08-20,83.45,84.6,72.9,73.3,80289754
2021-08-27,74.5,85.4,71.25,85.0,247799560
