date,open,high,low,close,volume
2020-01-17,1065.0,1087.4,1023.3,1074.95,529343
2020-01-24,1080.05,1098.0,1064.0,1082.2,226889
2020-01-31,1092.6,1259.0,1085.0,1144.5,1416636
2020-02-07,1140.0,1197.0,1102.9,1140.2,399274
2020-02-14,1150.0,1239.9,1108.65,1216.75,540848
2020-02-21,1225.0,1306.0,1190.0,1278.35,557150
2020-02-28,1284.3,1629.8,1185.1,1430.2,4651526
2020-03-06,1465.2,1525.0,1300.5,1471.75,1593611
2020-03-13,1467.0,1475.0,1130.0,1351.75,1928265
2020-03-20,1301.25,1396.9,990.0,1186.55,1235192
2020-03-27,977.0,1350.0,977.0,1290.9,882663
2020-04-03,1248.0,1288.0,1181.25,1266.75,381708
2020-04-10,1315.0,1555.0,1289.65,1534.35,679650
2020-04-17,1500.0,1517.9,1383.0,1419.6,628860
2020-04-24,1448.0,1543.95,1375.0,1502.45,629527
2020-05-01,1517.0,1693.65,1517.0,1573.2,1487652
2020-05-08,1555.0,1599.5,1420.1,1434.95,927959
2020-05-15,1454.0,1520.0,1394.0,1505.0,834436
2020-05-22,1534.0,1535.0,1465.0,1487.95,558878
2020-05-29,1498.2,1589.0,1450.0,1565.6,452865
2020-06-05,1588.9,1653.0,1561.0,1618.3,858334
2020-06-12,1629.0,1639.85,1470.0,1566.35,547801
2020-06-19,1577.95,1655.0,1535.0,1594.75,1368952
2020-06-26,1600.0,1690.9,1542.0,1599.45,978862
2020-07-03,1591.0,1727.6,1555.4,1679.2,1160391
2020-07-10,1688.95,1777.0,1682.1,1718.25,528059
2020-07-17,1728.0,1734.5,1625.1,1705.15,355217
2020-07-24,1711.05,1848.0,1696.0,1835.6,561988
2020-07-31,1857.9,1915.0,1692.0,1760.9,822990
2020-08-07,1785.0,1951.0,1742.3,1940.0,702213
2020-08-14,1945.05,2194.0,1896.05,1968.85,1068954
2020-08-21,2004.0,2150.0,1977.95,2097.85,670829
2020-08-28,2124.4,2207.1,2050.0,2133.7,668496
2020-09-04,2145.9,2145.9,1883.2,1999.3,596548
2020-09-11,1999.3,2024.0,1880.0,1957.45,360526
2020-09-18,1989.0,2250.0,1981.05,2048.0,1305800
2020-09-25,2075.0,2089.0,1940.0,2023.55,348962
2020-10-02,2049.0,2230.0,2033.1,2134.3,530649
2020-10-09,2150.0,2173.0,1970.0,1977.25,320093
2020-10-16,1999.95,2080.0,1990.0,2050.2,340213
2020-10-23,2088.6,2164.0,2021.0,2100.25,355344
2020-10-30,2128.0,2343.4,2051.0,2241.55,1090552
2020-11-06,2230.2,2570.0,2156.4,2513.2,1478213
2020-11-13,2550.0,2550.0,2386.25,2519.15,516736
2020-11-20,2511.0,2759.95,2511.0,2576.85,749999
2020-11-27,2576.85,2750.0,2517.05,2687.1,873015
2020-12-04,2700.0,2750.0,2548.65,2561.9,468205
2020-12-11,2584.95,2638.5,2510.5,2536.9,403780
2020-12-18,2534.0,2628.0,2496.0,2621.2,466525
2020-12-25,2626.0,2626.0,2390.35,2550.0,457419
2021-01-01,2574.0,2664.45,2561.65,2637.7,348321
2021-01-08,2635.15,2850.0,2600.1,2711.0,1035512
2021-01-15,2739.05,2750.0,2530.0,2546.15,496251
2021-01-22,2490.0,2588.0,2490.0,2495.8,444333
2021-01-29,2525.0,2613.25,2217.4,2292.1,978312
2021-02-05,2300.0,2575.0,2256.05,2522.0,787087
2021-02-12,2501.35,2669.95,2492.0,2628.75,616082
2021-02-19,2650.0,2650.0,2455.0,2481.6,491596
2021-02-26,2500.1,2635.15,2412.0,2537.0,596413
2021-03-05,2580.0,2932.2,2537.05,2751.55,1925389
2021-03-12,2794.55,2835.0,2573.9,2666.95,617447
2021-03-19,2685.0,2725.0,2389.45,2528.85,737478
2021-03-26,2536.0,2579.95,2416.05,2437.05,567843
2021-04-02,2454.0,2819.85,2450.0,2770.0,1373748
2021-04-09,2770.0,3156.65,2705.15,3069.5,1979667
2021-04-16,3015.1,3170.0,2820.0,3135.5,1380985
2021-04-23,3048.0,3251.0,2971.15,3172.2,1386361
2021-04-30,3184.0,3565.0,3172.2,3428.2,3159397
2021-05-07,3425.0,3649.15,3326.5,3371.35,2269857
2021-05-14,3354.0,3355.0,3124.1,3146.8,1511434
2021-05-21,3149.0,3289.0,3130.0,3198.9,1314429
2021-05-28,3204.95,3325.0,3184.35,3201.45,1004608
2021-06-04,3215.05,3255.85,3145.0,3185.7,723156
2021-06-11,3203.0,3482.0,3192.0,3347.7,2076681
2021-06-18,3350.05,3455.0,3248.45,3349.75,1111963
2021-06-25,3280.0,3679.0,3260.0,3647.9,2082511
2021-07-02,3700.0,3895.0,3625.0,3799.05,2568290
2021-07-09,3820.0,3910.0,3757.0,3877.55,954071
2021-07-16,3900.0,3969.0,3780.0,3889.35,790901
2021-07-23,3880.0,3958.0,3782.7,3940.1,510135
2021-07-30,3969.0,4015.0,3450.0,3657.25,2964075
2021-08-06,3664.3,3766.0,3590.0,3664.15,991405
2021-08-13,3699.95,3890.0,3628.35,3728.65,2289243
2021-08-20,3722.0,3780.0,3630.05,3719.0,618863
2021-08-27,3720.0,3887.9,3540.05,3830.05,1085467
2021-09-03,3880.0,4175.0,3870.0,4091.65,1838690
2021-09-10,4113.2,4212.75,3926.0,3960.6,932047
2021-09-17,3967.75,4061.5,3850.0,3860.15,1001978
2021-09-24,3830.0,3950.9,3652.45,3900.55,961964
2021-10-01,3900.0,3949.0,3639.7,3722.0,883521
2021-10-08,3740.0,4156.0,3713.8,3997.9,2192002
2021-10-15,4006.0,4050.95,3854.1,3934.25,568674
2021-10-22,3984.0,4023.95,3248.0,3356.4,3085911
2021-10-29,3396.4,3495.0,3202.5,3338.4,1023098
2021-11-05,3387.9,3508.0,3310.7,3440.0,434024
2021-11-12,3475.0,3650.0,3363.7,3531.95,1410429
2021-11-19,3566.9,3596.6,3497.4,3551.45,571205
2021-11-26,3539.8,3614.5,3219.0,3469.9,1423159
2021-12-03,3469.9,3879.0,3372.4,3831.6,1618380
2021-12-10,3831.6,3964.85,3748.0,3956.4,592715
2021-12-17,3968.0,4077.9,3885.65,4005.45,731141
2021-12-24,3915.0,4066.9,3802.65,3993.5,544603
2021-12-31,3999.95,4329.0,3965.0,4188.5,1430138
2022-01-07,4197.9,4281.95,3931.9,3990.7,669667
2022-01-14,3991.7,4241.7,3981.2,4199.7,592468
2022-01-21,4190.3,4287.0,3819.05,3869.15,616266
2022-01-28,3885.0,4039.45,3500.0,3862.05,589658
2022-02-04,3901.0,4327.7,3860.0,4136.75,1942516
2022-02-11,4156.7,4156.7,3921.65,3937.7,508176
2022-02-18,3802.65,3961.1,3686.65,3857.95,702362
2022-02-25,3855.0,3928.25,3631.5,3785.55,838108
2022-03-04,3715.0,3950.0,3608.0,3625.6,947012
2022-03-11,3500.0,3893.9,3360.0,3856.4,1468834
2022-03-18,3859.95,4129.9,3762.0,4087.4,1086416
2022-03-25,4075.0,4178.7,3903.0,3974.15,830992
2022-04-01,4000.0,4125.0,3882.0,4048.95,536319
2022-04-08,4060.0,4190.4,4042.05,4095.45,628151
2022-04-15,4125.0,4150.0,3911.25,3934.0,483179
2022-04-22,3943.4,4116.75,3815.15,4031.05,635861
2022-04-29,4030.95,4171.95,3900.0,3931.8,614912
2022-05-06,3930.8,3967.0,3696.05,3745.6,536649
2022-05-13,3635.0,4039.0,3587.35,3920.05,1634048
2022-05-20,3925.0,3974.95,3689.5,3786.35,750384
2022-05-27,3799.65,3843.45,3432.85,3686.45,774048
2022-06-03,3657.0,3956.85,3657.0,3760.65,696312
2022-06-10,3762.05,3772.95,3591.15,3649.7,416663
2022-06-17,3606.0,3665.0,3482.25,3545.6,560423
2022-06-24,3568.0,3649.0,3433.15,3619.65,479815
2022-07-01,3640.0,3766.5,3557.95,3682.25,605797
2022-07-08,3698.0,3832.0,3603.2,3815.3,550375
2022-07-15,3782.75,3817.0,3667.05,3780.15,581284
2022-07-22,3789.6,3858.0,3667.85,3787.85,792500
2022-07-29,3820.0,4431.65,3801.0,4383.35,4945973
2022-08-05,4430.0,4553.7,4221.2,4476.25,1475375
2022-08-12,4497.0,4531.2,4374.0,4398.4,430673
2022-08-19,4400.0,4472.25,4277.25,4294.8,470154
2022-08-26,4299.9,4320.0,4182.1,4218.55,537512
2022-09-02,4189.9,4365.9,4127.55,4271.9,897959
2022-09-09,4258.1,4470.0,4212.0,4371.5,898760
2022-09-16,4390.0,4848.35,4380.95,4624.3,1627649
2022-09-23,4655.0,4817.15,4575.0,4628.25,914738
2022-09-30,4619.8,4619.8,4332.65,4490.85,767275
2022-10-07,4496.85,4659.0,4431.95,4616.75,580341
2022-10-14,4599.0,4740.0,4522.25,4608.15,804042
2022-10-21,4596.0,4605.3,4151.25,4423.15,2157914
2022-10-28,4469.0,4517.35,4404.4,4492.9,307866
2022-11-04,4514.95,4580.0,4435.0,4491.85,552700
2022-11-11,4495.0,4559.95,4389.1,4459.55,547908
2022-11-18,4480.0,4639.65,4266.3,4298.65,822663
2022-11-25,4290.0,4399.9,4239.0,4351.6,460268
2022-12-02,4348.95,4428.0,4283.6,4418.45,512287
2022-12-09,4450.0,4543.9,4293.8,4367.95,725587
2022-12-16,4350.0,4382.45,4132.35,4143.35,617339
2022-12-23,4121.35,4307.95,4018.0,4085.95,681915
2022-12-30,4075.1,4188.15,4043.45,4069.25,408205
2023-01-06,4069.25,4154.0,3847.35,3862.9,565155
2023-01-13,3899.5,4136.15,3880.05,4082.3,1519529
2023-01-20,4090.2,4145.0,4016.3,4065.1,259492
2023-01-27,4086.5,4095.55,3764.8,3816.5,293510
2023-02-03,3837.2,4080.0,3816.5,4010.3,353490
2023-02-10,4019.95,4394.0,4001.0,4346.15,1684284
2023-02-17,4354.6,4377.0,4061.05,4182.75,1239006
2023-02-24,4182.75,4318.6,4120.1,4191.05,585316
2023-03-03,4201.1,4241.45,4033.0,4220.55,554944
2023-03-10,4241.7,4313.95,4140.1,4184.9,465796
2023-03-17,4165.0,4244.75,4058.7,4202.0,405025
2023-03-24,4249.95,4374.95,4164.1,4241.85,680555
2023-03-31,4248.7,4276.0,4125.0,4267.95,332433
2023-04-07,4271.0,4283.0,4194.45,4255.85,206247
2023-04-14,4265.95,4550.0,4226.05,4526.75,1018013
2023-04-21,4515.0,4738.8,4465.0,4732.7,729772
2023-04-28,4760.0,4865.0,4650.0,4850.2,587484
2023-05-05,4866.3,4879.95,4768.0,4784.1,378728
2023-05-12,4792.9,4853.85,4629.0,4748.0,1158247
2023-05-19,4890.4,4950.0,4528.55,4556.05,1509081
2023-05-26,4562.0,4667.0,4511.25,4620.85,495474
2023-06-02,4621.05,4699.65,4561.2,4615.55,370850
2023-06-09,4661.75,4744.95,4444.4,4458.8,666965
2023-06-16,4480.05,4684.0,4366.0,4651.0,984940
2023-06-23,4645.0,4699.0,4442.6,4450.9,453677
2023-06-30,4445.05,4527.2,4403.75,4495.0,349355
2023-07-07,4520.0,4651.2,4449.1,4532.95,579995
2023-07-14,4532.25,4538.95,4206.6,4390.0,969901
2023-07-21,4420.0,4488.0,4321.0,4383.65,548463
2023-07-28,4425.55,4427.4,4204.35,4278.0,1513142
2023-08-04,4282.05,4672.0,4206.65,4500.0,2576331
2023-08-11,4370.0,4503.15,4345.05,4470.05,683601
2023-08-18,4470.85,4530.25,4368.9,4419.0,422140
2023-08-25,4400.0,4564.4,4390.35,4505.0,533138
2023-09-01,4540.0,4666.0,4494.5,4619.0,977777
2023-09-08,4609.2,4724.25,4536.1,4662.45,590119
2023-09-15,4664.0,4709.0,4457.05,4543.55,477266
2023-09-22,4524.0,4551.35,4423.95,4469.35,396721
2023-09-29,4455.0,4524.8,3726.65,3766.7,3939545
2023-10-06,3800.0,3863.0,3650.05,3718.65,3505440
2023-10-13,3712.05,3760.0,3674.0,3691.55,1250175
2023-10-20,3700.0,3723.95,3601.0,3606.4,835954
2023-10-27,3600.0,3624.4,3403.55,3431.95,1144984
2023-11-03,3425.0,3575.0,3356.55,3538.85,1768051
2023-11-10,3550.1,3649.3,3537.2,3609.45,536966
2023-11-17,3618.05,3689.0,3613.0,3620.05,425555
2023-11-24,3623.95,3744.45,3585.1,3732.75,874799
2023-12-01,3740.0,3767.85,3671.45,3729.9,761772
2023-12-08,3766.0,3839.5,3732.2,3787.4,753427
2023-12-15,3800.0,3979.45,3724.7,3870.75,909255
2023-12-22,3869.8,3920.9,3680.2,3763.5,812456
