date,open,high,low,close,volume
2020-01-17,1465.79,1560.0,1460.7,1543.95,3914526
2020-01-24,1523.02,1585.0,1520.0,1575.55,2811475
2020-01-31,1570.0,1590.0,1531.03,1535.95,2556205
2020-02-07,1530.0,1654.95,1518.44,1632.78,5353504
2020-02-14,1630.0,1678.24,1595.0,1635.65,5805665
2020-02-21,1641.3,1683.15,1637.3,1653.95,3905326
2020-02-28,1649.9,1657.68,1568.0,1577.89,5051425
2020-03-06,1595.0,1683.52,1590.1,1642.93,4936165
2020-03-13,1624.93,1635.0,1405.0,1499.18,7319516
2020-03-20,1480.0,1493.11,1257.71,1414.55,10307845
2020-03-27,1275.04,1553.4,1220.0,1510.86,10339625
2020-04-03,1499.0,1645.6,1468.77,1510.47,7036806
2020-04-10,1557.5,1754.41,1542.61,1683.97,7028557
2020-04-17,1684.5,1837.0,1633.02,1732.43,6517216
2020-04-24,1748.98,1780.0,1670.0,1740.61,8034095
2020-05-01,1758.5,1802.3,1740.0,1792.47,4931476
2020-05-08,1742.05,1782.0,1682.53,1780.3,7734435
2020-05-15,1777.0,1792.0,1620.1,1644.38,16668775
2020-05-22,1644.1,1659.5,1610.87,1621.52,7050245
2020-05-29,1638.0,1760.0,1632.44,1754.08,7869796
2020-06-05,1754.08,1774.9,1695.66,1709.69,7133305
2020-06-12,1725.0,1725.0,1630.0,1649.63,7510045
2020-06-19,1650.0,1665.0,1605.22,1609.49,7871925
2020-06-26,1629.0,1693.0,1606.5,1667.75,8617485
2020-07-03,1674.0,1729.8,1654.0,1669.56,9162925
2020-07-10,1675.5,1715.0,1662.8,1683.31,6839215
2020-07-17,1688.5,1776.46,1674.0,1723.0,7380815
2020-07-24,1732.4,1749.5,1696.0,1725.19,8784625
2020-07-31,1730.0,1747.47,1643.22,1652.22,9897395
2020-08-07,1652.8,1689.9,1635.0,1678.86,5179965
2020-08-14,1679.0,1686.0,1630.51,1635.47,3099275
2020-08-21,1645.0,1669.0,1618.53,1656.2,5342365
2020-08-28,1658.0,1670.79,1608.5,1610.13,5756095
2020-09-04,1621.5,1643.96,1573.99,1623.26,7372665
2020-09-11,1624.1,1651.5,1597.21,1632.54,5044925
2020-09-18,1640.0,1640.0,1592.5,1608.71,6202115
2020-09-25,1602.5,1604.95,1510.0,1573.68,8052695
2020-10-02,1582.0,1605.0,1557.5,1600.05,2687296
2020-10-09,1599.8,1635.0,1573.24,1603.41,3988275
2020-10-16,1610.0,1614.96,1537.5,1543.03,3836055
2020-10-23,1555.0,1641.0,1542.51,1586.55,7234205
2020-10-30,1620.0,1736.0,1605.22,1716.16,13787245
2020-11-06,1720.1,1739.9,1676.0,1700.67,5081655
2020-11-13,1714.8,1737.0,1647.5,1682.57,8715125
2020-11-20,1689.9,1750.0,1667.19,1746.04,7088155
2020-11-27,1746.1,1806.89,1694.98,1788.9,17757715
2020-12-04,1806.78,1806.79,1715.0,1782.87,6490126
2020-12-11,1765.1,1846.0,1738.63,1840.11,8016335
2020-12-18,1835.47,1873.5,1813.09,1836.28,8359685
2020-12-25,1826.28,1883.0,1800.0,1856.64,5032776
2021-01-01,1884.4,1884.4,1817.54,1845.07,4934525
2021-01-08,1849.5,1863.0,1800.0,1830.63,4756535
2021-01-15,1835.0,1854.59,1780.0,1783.4,5203965
2021-01-22,1785.0,1807.4,1755.0,1758.96,4265805
2021-01-29,1765.2,1770.0,1696.13,1706.0,3847806
2021-02-05,1720.0,1735.0,1700.0,1711.58,5172255
2021-02-12,1718.0,1751.9,1708.65,1729.43,4790885
2021-02-19,1734.9,1764.6,1621.3,1637.64,13205765
2021-02-26,1641.11,1653.0,1600.21,1610.16,8548405
2021-03-05,1623.6,1684.0,1610.0,1678.29,5394095
2021-03-12,1672.51,1700.99,1660.7,1672.25,3332606
2021-03-19,1687.99,1702.0,1607.0,1645.09,6064065
2021-03-26,1645.1,1676.98,1611.6,1657.18,5199805
2021-04-02,1661.0,1729.9,1661.0,1708.32,3424097
2021-04-09,1715.0,1786.6,1672.39,1759.24,5161645
2021-04-16,1737.52,1762.0,1677.5,1725.21,4235406
2021-04-23,1720.11,1742.0,1655.13,1662.57,4276556
2021-04-30,1679.91,1693.0,1625.5,1630.93,4618785
2021-05-07,1636.0,1679.81,1627.27,1676.14,3131505
2021-05-14,1683.0,1726.0,1660.5,1722.42,2648786
2021-05-21,1722.0,1755.0,1700.06,1749.71,3210915
2021-05-28,1740.01,1790.0,1730.08,1750.94,3477855
2021-06-04,1750.9,1785.5,1738.0,1742.68,4412565
2021-06-11,1747.46,1767.5,1735.35,1753.64,2298105
2021-06-18,1746.14,1818.93,1741.76,1767.07,4241375
2021-06-25,1763.14,1774.8,1732.24,1750.67,2518405
2021-07-02,1750.71,1775.0,1745.35,1760.2,2205355
2021-07-09,1760.51,1780.0,1736.03,1763.6,2082005
2021-07-16,1775.53,1775.54,1745.0,1765.42,1736895
2021-07-23,1755.0,1822.4,1755.0,1814.4,2845436
2021-07-30,1807.19,1844.9,1765.51,1770.27,4991945
2021-08-06,1779.58,1838.0,1765.4,1802.07,2122615
2021-08-13,1807.0,1837.07,1802.07,1826.96,1927045
2021-08-20,1826.96,1964.11,1817.72,1957.13,3032666
2021-08-27,1970.0,2032.5,1955.77,1995.74,4302925
2021-09-03,2005.0,2034.3,1935.0,2026.67,5917255
2021-09-10,2026.02,2053.0,1978.5,2045.72,3509556
2021-09-17,2030.0,2060.92,1997.0,2017.57,2806875
2021-09-24,2012.5,2038.6,1980.0,1986.43,4030645
2021-10-01,1990.0,1990.0,1925.21,1955.0,2341965
2021-10-08,1955.0,1965.0,1893.76,1898.65,2998585
2021-10-15,1902.1,1960.51,1897.01,1932.54,2071656
2021-10-22,1960.0,2020.0,1885.0,1900.67,4548505
2021-10-29,1900.0,1942.0,1860.44,1900.02,2944105
2021-11-05,1909.89,1909.89,1856.1,1888.93,1289036
2021-11-12,1894.9,1925.92,1867.01,1914.25,2334865
2021-11-19,1920.0,1959.9,1906.99,1940.55,1928356
2021-11-26,1941.35,1956.59,1883.25,1922.23,2016385
2021-12-03,1905.0,1965.0,1880.0,1932.14,3967465
2021-12-10,1940.0,1954.9,1892.92,1927.03,2189045
2021-12-17,1922.02,1934.95,1891.34,1907.97,2831605
