date,open,high,low,close,volume
2019-11-08,23.8,23.85,23.2,23.35,5623384
2019-11-15,23.35,24.25,23.25,23.35,13487203
2019-11-22,23.35,23.75,23.25,23.5,6754868
2019-11-29,23.5,24.15,23.5,23.8,8378168
2019-12-06,23.85,24.25,23.7,23.95,6686751
2019-12-13,23.95,24.25,23.6,23.9,8326344
2019-12-20,23.9,24.4,23.8,24.25,9901870
2019-12-27,24.1,24.4,23.5,24.0,10861519
2020-01-03,24.05,24.2,23.9,24.05,4542951
2020-01-10,24.0,24.3,23.65,24.25,6544822
2020-01-17,24.25,24.8,24.1,24.25,4798097
2020-01-24,26.95,29.1,24.85,27.45,319877756
2020-01-31,27.25,28.2,24.1,24.5,37009400
2020-02-07,24.4,24.9,23.65,24.55,26371071
2020-02-14,24.9,25.4,23.3,23.45,71446119
2020-02-21,22.9,22.9,20.85,21.45,62359205
2020-02-28,21.5,22.2,20.4,20.6,28304070
2020-03-06,21.0,23.4,20.8,21.7,32331278
2020-03-13,21.5,21.65,17.5,20.55,86203885
2020-03-20,19.95,21.8,15.1,21.25,112884263
2020-03-27,18.85,19.6,17.6,19.4,63390760
2020-04-03,19.1,21.45,18.7,19.8,48042855
2020-04-10,20.55,22.45,20.0,21.7,24095376
2020-04-17,22.1,23.55,21.2,22.6,22775481
2020-04-24,22.85,22.85,20.4,20.7,30998602
2020-05-01,21.2,21.45,20.15,20.8,29340892
2020-05-08,20.7,20.7,19.9,19.95,16575944
2020-05-15,20.0,20.5,19.4,20.0,16102474
2020-05-22,20.2,20.3,19.55,19.75,11754838
2020-05-29,19.8,20.15,19.55,19.6,11135215
2020-06-05,19.75,20.35,19.75,20.15,31777245
2020-06-12,20.35,20.65,19.4,19.85,15846796
2020-06-19,19.9,20.85,19.7,19.9,21984030
2020-06-26,20.1,21.25,19.95,20.85,61453651
2020-07-03,20.45,20.75,19.9,20.7,41715402
2020-07-10,20.9,20.9,20.2,20.25,48585214
2020-07-17,20.35,20.5,19.85,20.1,18834971
2020-07-24,20.1,20.5,20.0,20.25,18885476
2020-07-31,20.2,20.6,20.15,20.3,15756063
2020-08-07,20.2,20.5,20.0,20.45,15943168
2020-08-14,20.6,21.45,20.2,20.65,18122057
2020-08-21,20.75,24.5,20.6,23.25,55943470
2020-08-28,23.35,23.45,22.05,22.7,29475858
2020-09-04,22.8,23.25,21.0,21.4,30959220
2020-09-11,21.5,21.7,20.4,20.55,16107833
2020-09-18,20.65,21.6,20.5,21.2,17757062
2020-09-25,21.35,21.35,19.8,20.25,37426207
2020-10-02,20.25,20.85,20.0,20.25,9708105
2020-10-09,20.25,20.6,20.0,20.5,22218141
2020-10-16,20.5,20.55,19.7,19.85,26795659
2020-10-23,20.0,20.55,19.8,20.05,19609554
2020-10-30,20.1,20.3,19.8,19.85,20241357
2020-11-06,20.0,22.15,19.7,21.7,33124552
2020-11-13,21.85,21.9,20.5,20.6,14961420
2020-11-20,20.85,20.95,20.4,20.5,12575124
2020-11-27,20.55,21.65,20.5,21.45,30344649
2020-12-04,21.6,22.35,21.2,21.8,33178382
2020-12-11,21.95,23.0,21.65,22.15,43813966
2020-12-18,22.35,23.75,22.05,22.6,62976297
2020-12-25,22.6,23.4,21.2,23.15,32621585
2021-01-01,23.2,23.55,22.4,23.1,48134678
2021-01-08,23.35,25.6,23.15,25.1,81433625
2021-01-15,25.4,25.5,24.5,24.85,63038402
2021-01-22,25.0,25.15,24.0,24.2,21818415
2021-01-29,24.35,24.45,22.9,24.0,24535845
2021-02-05,24.5,24.6,23.1,24.5,42208559
2021-02-12,24.4,25.45,24.25,25.05,32584474
2021-02-19,25.4,26.2,25.05,25.85,55984833
2021-02-26,24.85,24.9,23.05,24.15,38936778
2021-03-05,24.3,26.65,24.2,25.75,75379550
2021-03-12,25.8,26.1,24.4,24.55,20988892
2021-03-19,24.6,25.3,23.25,24.4,36595563
2021-03-26,24.35,24.4,23.05,23.25,22249314
2021-04-02,23.3,26.0,23.3,24.7,22292501
2021-04-09,24.7,24.9,24.2,24.25,11039929
2021-04-16,24.05,24.15,23.4,24.05,11426279
2021-04-23,23.85,24.55,23.4,24.4,10466435
2021-04-30,24.4,24.6,24.05,24.25,8381160
2021-05-07,24.05,25.3,23.95,24.4,22183177
2021-05-14,24.5,27.6,24.4,25.85,71485100
2021-05-21,25.85,26.4,25.4,25.6,22451047
2021-05-28,25.6,26.7,25.5,25.85,43940756
2021-06-04,25.9,26.5,25.65,26.1,27535621
2021-06-11,26.25,27.5,26.15,26.85,87197644
2021-06-18,27.0,27.25,26.0,26.6,42062908
2021-06-25,26.25,27.15,26.05,26.6,21953878
