date,open,high,low,close,volume
2020-01-17,87.42,93.84,87.17,91.54,33628102
2020-01-24,94.72,98.56,89.22,90.91,163503746
2020-01-31,90.31,90.31,81.98,82.51,45862755
2020-02-07,82.44,82.87,71.79,80.26,74045540
2020-02-14,79.73,81.42,74.54,75.03,55339276
2020-02-21,75.32,76.02,68.37,74.08,48623388
2020-02-28,73.38,74.08,62.37,64.35,48116205
2020-03-06,65.55,68.72,62.48,66.18,52669530
2020-03-13,62.37,64.31,43.43,53.27,76711339
2020-03-20,52.14,59.58,45.15,50.73,113572772
2020-03-27,45.86,52.49,43.78,51.89,49010056
2020-04-03,50.09,57.85,48.65,55.91,36284075
2020-04-10,56.44,57.5,52.56,56.27,25758165
2020-04-17,56.37,60.89,54.68,56.76,30878551
2020-04-24,57.78,57.82,50.87,52.07,61364974
2020-05-01,52.35,57.54,50.69,56.83,25374498
2020-05-08,53.48,54.93,50.38,51.61,35256744
2020-05-15,52.07,54.08,49.28,52.1,25829717
2020-05-22,52.6,53.41,49.74,51.12,34204989
2020-05-29,51.5,57.93,51.43,57.25,34952140
2020-06-05,58.6,63.68,58.24,62.69,45037082
2020-06-12,63.85,66.96,57.4,61.7,47678113
2020-06-19,61.63,63.08,57.57,58.17,55189949
2020-06-26,59.27,63.32,58.21,59.37,70486517
2020-07-03,59.09,59.55,56.16,58.24,42129998
2020-07-10,58.67,61.74,57.93,59.48,57559264
2020-07-17,59.41,61.66,56.73,60.85,43977401
2020-07-24,61.42,61.49,58.21,59.94,51749010
2020-07-31,59.9,62.44,58.03,59.12,63846815
2020-08-07,59.05,63.11,58.98,62.86,45527302
2020-08-14,63.32,67.38,62.37,65.69,64111470
2020-08-21,66.46,69.99,65.97,67.8,43751037
2020-08-28,68.08,77.19,66.11,75.85,128872483
2020-09-04,73.38,73.84,65.62,66.11,89165437
2020-09-11,66.6,68.16,60.71,63.36,60193228
2020-09-18,64.2,66.82,60.96,61.31,85896378
2020-09-25,61.63,61.63,53.34,55.95,62784120
2020-10-02,56.48,59.16,56.37,58.28,34266576
2020-10-09,58.88,60.25,57.4,57.54,38712397
2020-10-16,57.61,58.98,55.0,58.6,47996077
2020-10-23,58.98,61.52,58.31,59.87,39921780
2020-10-30,59.87,59.94,56.02,58.17,31181139
2020-11-06,58.35,64.2,57.71,63.78,56184438
2020-11-13,64.35,67.31,62.23,65.37,82219902
2020-11-20,65.79,69.85,65.3,65.93,84723269
2020-11-27,66.32,69.67,64.98,68.01,75980245
2020-12-04,68.44,76.06,67.66,75.39,89404647
2020-12-11,76.16,80.26,73.52,78.21,70793248
2020-12-18,79.37,85.23,79.37,81.63,120626545
2020-12-25,81.56,83.47,75.56,79.97,74642360
2021-01-01,80.57,83.15,79.51,82.09,61773656
2021-01-08,83.29,91.37,82.9,88.55,113227748
2021-01-15,89.04,92.07,85.41,85.9,62548899
2021-01-22,86.11,86.36,78.46,78.95,60896305
2021-01-29,79.69,79.8,73.55,74.22,41562798
2021-02-05,74.89,83.25,73.13,81.88,80382466
2021-02-12,81.84,87.17,78.32,79.3,96128826
2021-02-19,79.37,87.06,78.7,83.22,96635477
2021-02-26,83.96,92.71,82.83,89.6,114376519
2021-03-05,91.23,98.49,90.1,93.77,108433363
2021-03-12,97.08,98.71,90.66,94.61,86924469
2021-03-19,95.39,97.01,89.39,94.08,79607459
2021-03-26,90.06,93.84,86.08,89.43,78458544
2021-04-02,90.63,98.21,90.1,97.68,61659067
2021-04-09,98.07,103.15,95.99,102.48,87803323
2021-04-16,100.19,102.52,93.94,100.54,58439966
2021-04-23,97.72,100.93,96.06,97.82,35312863
2021-04-30,98.95,111.97,98.25,109.89,88647680
2021-05-07,107.24,136.03,106.75,130.35,158209094
2021-05-14,134.05,150.42,128.9,131.05,288176819
2021-05-21,131.41,137.26,123.51,124.32,165241994
2021-05-28,122.06,131.8,121.0,126.47,107669374
2021-06-04,127.0,136.84,125.34,136.38,82875226
2021-06-11,137.72,137.72,124.46,129.75,157850562
2021-06-18,129.75,132.08,121.07,125.73,108053849
2021-06-25,123.47,133.35,122.62,125.41,138099747
2021-07-02,126.5,131.87,126.15,129.08,119362537
2021-07-09,129.78,130.07,116.87,118.21,278692535
2021-07-16,118.53,126.82,116.59,126.08,206947733
2021-07-23,124.81,126.47,120.12,122.41,127162945
2021-07-30,122.48,131.58,120.89,127.84,154356517
2021-08-06,128.66,130.0,123.08,125.83,88479769
2021-08-13,126.57,126.57,117.79,121.18,86847078
2021-08-20,120.65,123.79,106.04,106.54,86956021
2021-08-27,107.67,111.41,102.48,107.38,164082249
2021-09-03,108.65,110.59,105.83,109.08,81759138
2021-09-10,108.65,109.99,106.5,107.24,42123414
2021-09-17,107.24,109.15,103.04,104.0,69291889
2021-09-24,101.03,103.54,94.23,98.78,112466506
2021-10-01,99.45,104.7,97.79,101.35,86430440
2021-10-08,102.16,105.51,100.75,102.73,83678085
2021-10-15,103.29,109.36,103.01,108.34,98546463
2021-10-22,109.78,112.6,99.48,100.54,107081614
2021-10-29,100.89,102.16,93.91,101.0,133500834
2021-11-05,101.6,103.47,99.48,100.43,48469564
2021-11-12,101.6,104.77,99.94,100.93,63864047
2021-11-19,101.46,101.56,95.46,95.81,39337882
2021-11-26,96.27,102.13,93.94,95.88,86328305
2021-12-03,95.95,104.07,92.29,102.97,119181179
2021-12-10,102.3,104.74,99.83,104.35,98547308
2021-12-17,105.41,105.9,94.68,95.21,75036119
2021-12-24,94.33,96.66,88.19,93.56,47340083
2021-12-31,93.48,94.83,91.58,94.05,40676477
2022-01-07,94.83,98.6,94.26,97.82,30793754
2022-01-14,98.81,103.64,96.02,102.97,55786424
2022-01-21,103.29,103.29,97.65,98.6,37267054
2022-01-28,98.6,99.59,93.7,97.44,45131752
2022-02-04,98.99,109.68,97.44,108.23,110190395
2022-02-11,108.58,113.87,106.08,111.58,106687236
2022-02-18,110.06,110.98,99.87,100.29,89562047
2022-02-25,99.48,102.09,94.4,99.48,70129960
2022-03-04,99.41,110.35,98.35,104.49,65922274
2022-03-11,103.47,111.48,103.43,110.98,84581251
2022-03-18,110.98,112.46,103.54,106.75,64606439
2022-03-25,107.42,113.45,105.13,110.88,75198618
2022-04-01,111.48,117.79,110.03,117.51,84417725
2022-04-08,118.36,123.47,117.83,123.08,83233402
2022-04-15,123.12,123.72,117.97,118.25,33494130
2022-04-22,118.53,122.59,116.91,117.76,53505356
2022-04-29,115.0,116.2,111.05,113.35,45731843
2022-05-06,112.18,114.3,106.4,107.56,30966703
2022-05-13,106.18,106.4,95.5,96.02,53102521
2022-05-20,97.37,103.61,95.95,103.33,39202028
2022-05-27,96.52,96.52,84.1,88.16,102290128
2022-06-03,88.9,91.47,86.82,89.5,51956251
2022-06-10,87.45,88.69,83.29,84.31,65608972
2022-06-17,83.43,83.43,74.96,76.62,50896220
2022-06-24,76.83,76.94,71.65,75.88,58799765
2022-07-01,77.19,79.06,75.03,77.36,54251845
2022-07-08,75.63,78.56,73.06,76.87,69188613
2022-07-15,76.02,78.1,70.27,70.48,116049521
2022-07-22,70.91,74.51,70.91,73.41,53809703
2022-07-29,73.73,77.12,72.6,76.06,56419902
2022-08-05,76.73,79.3,73.55,78.24,278539080
2022-08-12,79.2,83.36,79.02,82.48,119316949
2022-08-19,82.16,83.29,81.1,81.84,80287186
2022-08-26,80.71,88.19,78.81,86.75,147095086
2022-09-02,84.35,88.37,84.35,86.08,50233230
2022-09-09,86.04,88.3,85.48,87.45,45421190
2022-09-16,88.12,91.02,87.17,88.3,84258657
2022-09-23,88.72,93.63,87.84,90.24,58723354
2022-09-30,88.76,90.98,85.09,90.13,48716604
2022-10-07,90.1,95.67,88.23,95.14,22768269
2022-10-14,94.37,96.98,88.9,93.38,47128210
2022-10-21,93.52,96.48,91.02,91.97,44395172
2022-10-28,93.48,130.75,90.42,100.95,87106819
2022-11-04,101.8,112.9,98.6,111.7,87048834
2022-11-11,112.95,114.95,111.8,113.7,23060450
2022-11-18,114.2,115.0,104.5,111.1,55984180
2022-11-25,113.5,119.7,112.05,118.3,50041982
2022-12-02,117.85,121.5,116.45,119.9,35363747
2022-12-09,120.9,125.9,119.35,122.15,33969119
2022-12-16,121.8,126.75,120.0,123.55,25663792
2022-12-23,123.8,124.4,111.2,111.55,31644482
2022-12-30,111.75,123.7,111.6,123.05,43103342
2023-01-06,124.2,127.55,120.2,121.8,40418161
2023-01-13,122.95,131.8,122.55,131.1,46780787
2023-01-20,129.9,130.9,125.15,127.45,34121820
2023-01-27,127.8,129.25,120.8,122.95,21819994
2023-02-03,123.55,125.85,116.5,118.65,31526516
2023-02-10,118.65,122.0,115.75,118.8,17263566
2023-02-17,118.95,123.75,114.15,121.2,40475021
2023-02-24,122.15,122.95,111.55,112.0,61751567
2023-03-03,112.45,115.5,110.05,113.45,54241484
2023-03-10,113.75,115.75,111.45,114.5,35489957
2023-03-17,115.0,118.1,112.6,115.05,47587724
2023-03-24,113.0,114.95,108.0,108.35,38803246
2023-03-31,108.5,112.25,105.65,111.7,28121360
2023-04-07,112.0,113.15,109.0,111.0,21254673
2023-04-14,111.05,114.6,110.2,111.3,19771988
2023-04-21,111.2,114.6,107.65,109.85,33350345
2023-04-28,109.85,110.45,107.95,108.5,23176019
2023-05-05,108.9,111.8,108.0,108.25,30468907
2023-05-12,109.0,110.1,106.55,106.7,32653856
2023-05-19,107.05,107.95,103.75,105.65,37788011
2023-05-26,105.65,107.15,103.85,106.5,44171765
2023-06-02,107.0,109.3,105.35,108.9,43115787
2023-06-09,110.0,110.5,106.6,107.55,32265820
2023-06-16,107.95,110.3,106.8,107.0,34220567
2023-06-23,107.2,108.2,104.4,104.75,35846037
2023-06-30,104.8,105.9,103.8,104.8,35405625
2023-07-07,106.0,108.0,105.85,106.85,32462915
2023-07-14,107.15,113.4,106.55,113.0,63560258
2023-07-21,114.0,114.65,110.3,111.25,33118390
2023-07-28,110.95,113.5,110.35,112.7,30601721
2023-08-04,113.1,118.6,112.2,113.4,63634102
2023-08-11,113.75,114.65,110.95,113.4,41099354
2023-08-18,115.0,119.15,112.85,115.35,68805716
2023-08-25,116.0,124.05,115.35,119.35,67916901
2023-09-01,120.7,130.9,119.7,130.5,85950780
2023-09-08,133.1,145.6,133.0,142.4,116940996
2023-09-15,143.0,154.25,135.65,149.9,117902971
2023-09-22,149.9,151.55,141.1,143.2,46103170
2023-09-29,143.2,148.95,141.4,147.95,54918017
2023-10-06,149.6,149.95,143.65,145.8,41897304
2023-10-13,144.0,164.1,140.65,159.9,143384246
2023-10-20,161.4,167.55,156.1,158.05,88225654
2023-10-27,158.0,158.8,149.2,154.4,54851771
2023-11-03,154.4,161.25,152.5,159.45,39013648
2023-11-10,160.65,169.6,159.45,168.7,60971397
2023-11-17,172.75,177.8,166.75,168.9,80489613
2023-11-24,170.8,177.35,167.15,173.2,71516416
2023-12-01,174.5,184.7,173.75,182.05,65822183
2023-12-08,185.3,189.0,180.7,183.6,47212575
2023-12-15,184.0,197.8,181.5,194.95,65505897
2023-12-22,194.95,198.65,179.9,195.4,71100434
2023-12-29,195.75,212.65,194.85,209.65,91138540
2024-01-05,210.9,227.3,209.25,222.7,102861124
2024-01-12,223.65,223.85,208.55,211.35,61878285
2024-01-19,214.5,214.9,196.6,210.85,77779709
