date,open,high,low,close,volume
2020-01-17,2874.9,3040.0,2820.7,2907.25,177684
2020-01-24,2925.0,3004.15,2899.95,2989.2,171024
2020-01-31,2960.55,2984.9,2813.45,2940.55,59408
2020-02-07,2919.9,3150.0,2883.0,2897.35,144373
2020-02-14,2899.25,2980.0,2711.0,2884.3,80930
2020-02-21,2885.0,2929.55,2800.0,2812.45,32713
2020-02-28,2810.05,2851.45,2630.0,2648.4,62680
2020-03-06,2650.05,2730.0,2525.85,2546.55,150918
2020-03-13,2525.5,2586.55,1964.95,2199.45,218236
2020-03-20,2199.45,2199.45,1725.0,1879.35,221588
2020-03-27,1566.05,1852.0,1506.0,1799.35,208227
2020-04-03,1745.8,2209.2,1732.85,2034.15,151471
2020-04-10,2065.25,2194.7,2021.75,2145.25,92003
2020-04-17,2140.0,2290.0,2083.25,2167.1,288396
2020-04-24,2167.0,2187.9,1971.15,2036.55,316486
2020-05-01,2065.0,2450.0,2054.3,2346.85,494173
2020-05-08,2249.0,2584.95,2214.6,2452.15,299083
2020-05-15,2510.0,2635.0,2470.0,2593.55,513702
2020-05-22,2650.0,2650.0,2295.0,2358.9,189523
2020-05-29,2365.0,2545.0,2321.35,2491.8,192149
2020-06-05,2506.7,2614.95,2460.0,2537.5,166722
2020-06-12,2552.0,2633.2,2500.0,2578.0,162356
2020-06-19,2563.0,2978.0,2558.45,2591.85,420282
2020-06-26,2607.0,2810.0,2570.1,2737.25,330592
2020-07-03,2727.95,2950.0,2706.7,2864.95,346612
2020-07-10,2865.0,2899.9,2736.0,2757.65,125431
2020-07-17,2765.0,3199.0,2732.35,3096.05,331411
2020-07-24,3102.0,3220.0,2965.0,3007.9,150129
2020-07-31,3000.0,3080.7,2919.0,2937.9,181310
2020-08-07,2965.0,3010.0,2880.0,2929.7,183883
2020-08-14,2950.0,3150.0,2922.0,3019.65,700534
2020-08-21,3067.0,3106.35,3026.0,3040.9,171928
2020-08-28,3065.0,3200.0,3026.0,3042.15,475876
2020-09-04,3060.0,3076.65,2907.0,2980.75,216028
2020-09-11,3020.0,3050.0,2881.05,2906.6,173938
2020-09-18,2965.0,3071.9,2950.15,2990.7,597903
2020-09-25,3020.0,3185.0,2941.0,2987.95,676956
2020-10-02,2989.0,3100.0,2989.0,3040.95,153856
2020-10-09,3050.0,3091.0,3000.0,3073.75,439713
