date,open,high,low,close,volume
2019-11-08,169.5,171.9,164.65,165.55,1142877
2019-11-15,165.0,165.0,156.95,160.3,2463527
2019-11-22,160.4,169.55,150.05,153.9,5551195
2019-11-29,153.9,158.6,153.05,154.05,3535747
2019-12-06,154.05,160.0,151.1,156.2,3771163
2019-12-13,156.2,159.95,151.85,154.5,2191363
2019-12-20,154.9,154.9,149.65,151.25,3009737
2019-12-27,150.85,151.8,148.4,150.95,3012494
2020-01-03,151.7,158.2,150.65,155.95,3128454
2020-01-10,156.75,159.8,152.6,157.9,3954451
2020-01-17,157.9,159.35,154.6,156.8,2624043
2020-01-24,155.25,155.25,137.0,142.15,19817644
2020-01-31,142.2,143.6,127.9,129.55,17969477
2020-02-07,129.5,139.0,118.3,138.5,16147638
2020-02-14,137.0,138.2,129.25,130.25,18129040
2020-02-21,131.05,139.0,124.6,125.15,24377339
2020-02-28,123.05,124.45,105.5,108.0,14376944
2020-03-06,110.9,115.05,101.0,102.0,16776632
2020-03-13,98.95,99.45,63.5,81.2,26667619
2020-03-20,79.75,100.15,67.85,81.55,40825663
2020-03-27,73.4,81.4,71.35,77.6,12618199
2020-04-03,75.95,85.95,73.75,84.25,9856762
2020-04-10,88.0,94.4,85.0,91.1,10246743
2020-04-17,92.0,94.3,86.4,92.75,12807563
2020-04-24,93.45,93.45,74.25,83.85,17723589
2020-05-01,85.1,100.5,84.15,98.8,9587740
2020-05-08,95.75,99.45,88.1,88.55,4948881
2020-05-15,89.9,90.0,83.5,85.9,6231433
2020-05-22,86.65,86.65,69.0,84.4,7084096
2020-05-29,85.8,86.25,81.3,84.75,5214293
2020-06-05,86.0,91.7,85.5,91.25,6105721
2020-06-12,96.8,98.75,89.7,91.15,9418059
2020-06-19,90.5,107.4,90.45,105.25,23550794
2020-06-26,105.0,106.65,83.2,94.45,14987765
2020-07-03,96.4,97.8,92.7,97.3,8082430
2020-07-10,98.9,102.0,97.75,99.8,4110645
2020-07-17,99.8,100.6,93.1,94.95,5079278
2020-07-24,95.85,100.4,94.8,99.65,5847642
2020-07-31,99.65,99.9,95.1,96.65,2873984
2020-08-07,96.65,96.7,93.85,94.85,3255199
2020-08-14,95.15,97.0,93.8,94.1,2710853
2020-08-21,95.0,102.9,94.25,99.75,10115311
2020-08-28,99.0,99.0,96.7,96.85,6075609
2020-09-04,97.0,99.5,92.75,94.55,4436047
2020-09-11,95.0,95.8,91.6,94.45,1844114
2020-09-18,95.2,97.95,93.75,96.65,4405620
2020-09-25,95.95,96.1,83.5,87.45,2540224
2020-10-02,87.9,90.8,87.0,88.7,1733053
2020-10-09,88.5,95.0,85.75,89.4,8845460
2020-10-16,90.3,90.9,84.0,86.5,3696051
2020-10-23,86.95,92.7,86.8,90.95,7191755
2020-10-30,91.9,91.9,85.2,85.95,1996958
2020-11-06,86.0,86.9,83.5,86.35,2527025
2020-11-13,87.45,93.35,86.0,91.9,4787209
2020-11-20,93.9,94.15,91.0,91.25,2288485
2020-11-27,91.8,98.25,91.05,96.15,6796535
2020-12-04,97.0,107.35,94.75,107.1,9848210
2020-12-11,107.3,115.7,104.1,109.65,13490592
2020-12-18,110.5,119.1,108.05,109.15,12731689
2020-12-25,108.0,111.2,98.05,108.9,6772650
2021-01-01,110.0,112.4,106.45,108.7,6256388
2021-01-08,109.95,115.9,109.85,113.55,10247439
2021-01-15,114.4,119.4,113.1,117.5,8042993
2021-01-22,117.65,117.85,110.05,111.5,6939644
2021-01-29,112.0,112.8,108.55,111.35,3014375
2021-02-05,111.9,122.05,110.6,117.0,7211082
2021-02-12,119.95,121.35,115.25,115.65,6804049
2021-02-19,116.9,126.9,115.65,123.35,15015205
2021-02-26,124.9,129.55,122.35,126.3,15150645
2021-03-05,127.3,131.75,125.6,127.3,9719712
2021-03-12,130.8,133.8,129.1,131.9,9150688
2021-03-19,133.8,133.8,115.9,119.65,15951004
2021-03-26,120.5,120.9,115.2,118.15,5314119
2021-04-02,118.95,129.0,118.7,124.0,4885720
2021-04-09,122.5,125.3,120.0,120.2,3022501
2021-04-16,118.8,120.9,112.0,118.8,4121469
2021-04-23,117.0,118.5,114.55,115.95,2228703
2021-04-30,116.5,123.7,115.35,122.1,4333509
2021-05-07,121.5,124.75,119.75,122.55,2952944
2021-05-14,123.9,134.4,123.75,130.35,10202060
2021-05-21,131.15,136.4,131.1,131.65,5545943
2021-05-28,131.95,137.15,130.0,133.7,6154869
2021-06-04,133.3,142.4,131.5,141.35,7595023
2021-06-11,142.0,145.85,139.4,142.25,5170401
2021-06-18,143.15,153.0,141.25,148.5,10812955
2021-06-25,148.0,160.5,146.6,156.75,13413734
2021-07-02,158.45,170.0,151.0,169.2,14269917
2021-07-09,170.0,177.4,169.15,173.5,6461135
2021-07-16,173.4,174.4,155.0,156.65,4812983
2021-07-23,155.0,163.6,153.1,161.1,5250121
2021-07-30,161.9,168.5,158.55,166.85,2236827
2021-08-06,168.9,168.95,161.65,167.35,2610740
2021-08-13,167.0,171.0,157.3,166.35,5277907
2021-08-20,166.0,170.1,160.9,166.35,3063935
2021-08-27,167.2,182.5,166.45,176.55,10088510
2021-09-03,177.0,187.0,173.2,179.9,4815942
2021-09-10,176.35,198.85,175.1,194.9,8288500
2021-09-17,196.8,215.0,190.0,199.8,10407964
2021-09-24,199.7,222.7,193.3,217.0,10687284
2021-10-01,219.6,267.8,217.1,250.05,28846792
2021-10-08,249.95,255.95,239.1,239.75,13816257
2021-10-15,241.6,243.6,229.0,235.2,5123755
2021-10-22,241.0,241.55,207.7,209.45,16768196
2021-10-29,210.55,228.45,210.55,225.05,10715753
2021-11-05,219.0,227.9,216.1,220.25,3706382
2021-11-12,221.0,229.0,216.1,221.9,5598771
2021-11-19,221.9,226.0,212.25,213.0,2500271
2021-11-26,213.4,214.95,191.9,198.55,5987532
2021-12-03,192.2,220.55,190.0,215.95,6367876
2021-12-10,216.2,217.65,204.35,205.05,2815813
2021-12-17,206.9,208.8,186.25,190.0,4101478
2021-12-24,190.0,190.0,169.6,176.85,5016143
2021-12-31,176.0,211.3,173.1,198.9,12186365
2022-01-07,198.9,215.95,191.4,214.05,12495484
2022-01-14,214.05,224.95,211.7,218.8,8439147
2022-01-21,222.0,230.85,218.4,221.15,7848047
2022-01-28,222.0,237.5,212.85,230.55,6922506
2022-02-04,233.0,241.6,224.0,225.0,6006928
2022-02-11,225.0,235.0,221.55,229.2,5187124
2022-02-18,230.3,236.0,224.15,229.95,7341453
2022-02-25,230.8,231.35,215.4,221.95,8389001
2022-03-04,225.5,262.9,221.0,244.65,19525377
2022-03-11,251.0,257.4,233.95,235.8,15726450
2022-03-18,235.0,239.85,217.1,219.9,9333735
2022-03-25,223.0,243.45,222.3,234.65,12396294
2022-04-01,235.6,241.55,224.05,238.85,9202903
2022-04-08,238.85,244.4,234.3,234.95,5039245
2022-04-15,235.0,239.35,229.0,232.95,3877375
2022-04-22,238.0,251.0,234.4,238.9,13008186
2022-04-29,235.0,241.5,227.1,228.45,7766403
2022-05-06,228.45,233.85,219.1,229.9,6919423
2022-05-13,228.4,238.55,210.75,220.45,8096999
2022-05-20,220.5,248.0,220.1,239.4,9875297
2022-05-27,240.95,241.0,215.55,218.0,3485871
2022-06-03,226.0,257.3,219.35,250.95,14449758
2022-06-10,255.15,306.0,253.6,300.2,93380887
2022-06-17,297.5,297.5,251.2,254.65,22524482
2022-06-24,246.0,248.9,218.5,240.5,30108309
2022-07-01,240.65,263.45,210.05,213.85,42021227
2022-07-08,212.15,213.95,172.05,184.2,52126980
2022-07-15,185.0,191.6,175.0,182.25,16271425
2022-07-22,182.3,203.0,182.25,195.55,14870507
2022-07-29,195.0,195.0,182.05,190.0,9425917
2022-08-05,189.9,205.0,186.0,197.8,10293909
2022-08-12,194.0,201.0,185.65,190.35,14006126
2022-08-19,191.0,194.2,188.0,189.3,8572788
2022-08-26,188.0,193.95,184.05,191.25,8339804
2022-09-02,186.05,193.7,186.05,190.75,5379679
2022-09-09,191.9,197.3,191.1,193.85,5551969
2022-09-16,194.2,197.45,185.0,187.0,7070456
2022-09-23,188.05,189.7,181.1,184.9,5249513
2022-09-30,181.9,183.7,167.85,174.45,10509935
2022-10-07,181.8,189.6,178.1,188.05,6589871
2022-10-14,188.05,191.0,184.6,186.35,6579982
2022-10-21,183.7,196.0,181.8,193.3,10117028
2022-10-28,193.5,195.1,186.55,194.6,4041284
2022-11-04,194.2,197.7,191.55,193.75,4213969
2022-11-11,195.0,200.45,194.4,197.6,3943255
2022-11-18,197.65,205.85,197.0,204.3,5304340
2022-11-25,201.95,201.95,194.2,199.9,3746756
