date,open,high,low,close,volume
2020-01-17,125.45,125.65,123.8,125.4,34031606
2020-01-24,126.0,126.75,116.0,118.35,78522295
2020-01-31,118.35,118.5,106.75,108.95,143755118
2020-02-07,109.0,109.75,101.55,109.25,110138849
2020-02-14,109.15,109.15,103.0,103.3,110428026
2020-02-21,101.5,104.1,96.55,102.8,122425993
2020-02-28,102.5,102.5,89.5,91.95,114648651
2020-03-06,94.0,95.0,87.65,88.5,105720646
2020-03-13,82.15,82.5,50.0,65.9,299435242
2020-03-20,63.5,86.8,57.5,72.35,465196345
2020-03-27,60.65,66.0,59.65,64.45,183283598
2020-04-03,61.05,71.0,60.1,69.85,140472996
2020-04-10,71.2,77.65,70.2,77.3,80750686
2020-04-17,78.8,78.8,72.65,76.3,83667328
2020-04-24,75.35,75.65,60.8,67.6,186951460
2020-05-01,68.0,81.05,67.1,79.9,109470745
2020-05-08,76.0,81.9,74.05,76.0,168786315
2020-05-15,76.0,79.05,74.5,76.15,80565999
2020-05-22,76.95,79.0,72.4,76.15,98745173
2020-05-29,77.0,83.75,75.9,83.2,82702173
2020-06-05,85.0,88.8,82.6,86.95,97678808
2020-06-12,90.0,93.1,81.55,83.9,101474248
2020-06-19,84.0,86.3,81.8,85.75,86564781
2020-06-26,86.1,86.65,80.0,84.15,220718163
2020-07-03,83.95,84.15,78.3,82.4,127354235
2020-07-10,83.05,84.9,77.7,78.55,91384641
2020-07-17,79.2,80.65,75.0,80.35,68581208
2020-07-24,81.0,83.85,79.2,81.0,79106670
2020-07-31,81.4,82.0,77.15,78.3,49672301
2020-08-07,78.35,79.95,75.55,78.65,72497874
2020-08-14,79.5,80.0,76.95,77.1,47339821
2020-08-21,77.5,83.45,77.4,81.05,108509614
2020-08-28,81.3,82.5,80.0,80.35,79224841
2020-09-04,81.0,85.5,77.35,77.9,195186360
2020-09-11,78.2,78.35,70.9,73.3,92804704
2020-09-18,73.85,74.8,72.55,74.3,72922277
2020-09-25,74.0,74.1,65.5,68.9,101931130
2020-10-02,69.45,73.7,66.65,69.15,90073981
2020-10-09,69.0,73.35,68.25,70.3,119807157
2020-10-16,70.3,70.6,65.7,67.25,80390023
2020-10-23,67.35,70.45,67.0,69.0,103645686
2020-10-30,69.5,69.5,64.1,64.9,102099411
2020-11-06,65.4,68.2,64.2,68.0,64581141
2020-11-13,68.65,72.9,67.8,72.15,98511990
2020-11-20,74.0,74.2,70.7,71.65,80966826
2020-11-27,72.0,81.8,71.8,78.5,237246418
2020-12-04,78.5,91.0,77.05,89.85,193321271
2020-12-11,91.15,104.4,88.7,96.8,278879325
2020-12-18,98.25,105.6,97.45,99.0,221555448
2020-12-25,98.9,98.95,86.6,93.15,192895023
2021-01-01,94.0,95.55,92.0,93.2,110230470
2021-01-08,94.05,101.3,93.7,100.65,178156562
2021-01-15,101.5,107.9,98.05,101.4,159697984
2021-01-22,101.4,101.85,92.5,92.75,132446458
2021-01-29,93.05,93.75,87.75,88.3,123213228
2021-02-05,89.0,99.95,88.45,97.65,152466744
2021-02-12,99.5,103.35,96.55,97.0,119677527
2021-02-19,97.0,115.5,95.6,105.1,281596417
2021-02-26,105.9,120.5,105.3,111.0,270718245
2021-03-05,114.3,118.25,112.3,114.95,193440416
2021-03-12,118.95,122.35,113.6,115.05,135216788
2021-03-19,116.0,116.85,104.45,110.5,148475971
2021-03-26,110.5,111.25,100.25,102.4,126656944
2021-04-02,104.05,106.3,101.15,104.35,73730934
2021-04-09,102.15,105.7,99.4,103.8,94117629
2021-04-16,100.85,107.85,97.45,107.3,102798220
2021-04-23,103.95,105.95,101.6,102.4,69883809
2021-04-30,105.25,112.7,102.5,108.15,123920179
2021-05-07,108.15,114.0,106.0,111.45,166476177
2021-05-14,113.85,121.15,110.75,112.95,155177619
2021-05-21,113.95,117.5,111.05,112.75,116345318
2021-05-28,113.25,117.1,110.85,112.35,104805403
2021-06-04,112.5,126.7,111.4,125.45,231809654
2021-06-11,126.95,128.0,122.45,123.55,104295549
2021-06-18,124.4,128.5,118.9,120.25,190019110
2021-06-25,119.4,124.95,118.95,120.9,120193705
2021-07-02,122.55,124.5,117.05,118.45,99706294
2021-07-09,119.15,125.0,116.6,117.9,89115808
2021-07-16,119.0,121.75,115.75,116.8,77991955
2021-07-23,114.8,116.75,111.6,115.3,52582119
2021-07-30,114.85,116.75,113.3,115.3,55253501
2021-08-06,114.95,118.5,114.7,116.65,58003353
2021-08-13,116.0,117.9,113.9,116.1,57764997
2021-08-20,116.9,118.35,108.5,110.2,64750019
2021-08-27,110.35,117.2,108.5,116.65,71378017
2021-09-03,116.75,123.5,116.75,123.1,74632252
2021-09-10,123.8,124.35,117.5,122.15,56080835
2021-09-17,122.2,131.25,121.1,127.75,117352033
2021-09-24,125.05,139.9,125.05,136.1,150175093
2021-10-01,138.05,149.65,137.5,146.25,217917952
2021-10-08,147.8,172.75,146.25,160.95,341256145
2021-10-15,163.75,166.2,158.65,159.05,61275806
2021-10-22,163.75,165.5,153.65,157.05,109223619
2021-10-29,159.0,163.95,146.0,149.05,132794689
2021-11-05,150.0,154.8,148.4,152.05,44760205
2021-11-12,152.95,158.7,151.7,154.65,68782331
2021-11-19,156.45,162.25,153.7,154.3,88478793
2021-11-26,151.25,156.0,143.4,147.1,113758891
2021-12-03,145.0,147.75,139.65,145.9,75248018
2021-12-10,145.8,150.35,142.75,147.55,48583249
2021-12-17,148.95,150.5,138.5,139.4,66112945
2021-12-24,137.5,141.6,131.65,138.5,42804106
2021-12-31,136.55,142.95,136.0,142.4,37663957
2022-01-07,142.35,157.5,141.2,157.05,72997569
2022-01-14,158.25,165.7,156.4,161.05,71188752
2022-01-21,162.5,171.0,162.3,163.65,103502158
2022-01-28,165.2,174.7,163.0,168.8,101760192
2022-02-04,171.6,174.9,166.0,169.6,80693843
2022-02-11,170.7,173.3,163.1,168.15,82542003
2022-02-18,168.9,176.35,156.4,167.9,128181679
2022-02-25,167.4,167.55,156.0,159.5,113914705
2022-03-04,160.5,171.8,155.8,165.25,136317885
2022-03-11,167.1,194.95,165.0,175.7,345943328
2022-03-18,174.0,175.5,161.65,170.3,154407015
2022-03-25,171.7,181.25,170.3,175.8,105293759
2022-04-01,175.5,177.9,161.15,167.95,186562249
2022-04-08,166.95,173.8,165.35,170.9,84849856
2022-04-15,171.0,174.85,168.2,174.25,46367711
2022-04-22,176.0,179.8,173.7,174.0,74388653
2022-04-29,171.0,173.0,159.5,160.45,75646925
2022-05-06,158.15,168.4,155.9,166.95,90714528
2022-05-13,165.25,167.3,152.9,153.55,82033660
2022-05-20,154.2,164.5,151.8,161.9,59833868
2022-05-27,161.75,164.2,141.1,143.8,121830780
2022-06-03,145.65,154.2,141.15,151.6,162893766
2022-06-10,153.1,167.35,152.8,164.65,186669004
2022-06-17,162.0,163.95,140.65,141.45,89358309
2022-06-24,138.6,141.0,130.0,137.35,133353304
2022-07-01,140.0,157.4,130.0,131.05,408950197
2022-07-08,129.95,129.95,119.85,121.5,268689971
2022-07-15,121.5,132.6,121.05,126.55,140458157
2022-07-22,127.05,136.6,124.45,132.45,147590190
2022-07-29,132.0,134.5,127.75,134.15,113070635
2022-08-05,134.1,139.0,133.2,136.5,132277009
2022-08-12,136.3,139.7,132.05,139.2,92165805
2022-08-19,139.5,141.9,134.05,134.6,124904974
2022-08-26,134.5,138.25,129.8,136.65,104955223
2022-09-02,134.2,139.85,132.3,132.75,68763910
2022-09-09,132.9,134.2,130.05,134.0,64735993
2022-09-16,135.0,135.4,130.0,131.25,64664388
2022-09-23,132.1,134.35,127.5,128.6,65423606
2022-09-30,127.3,132.4,121.5,126.8,96709350
2022-10-07,131.7,136.55,130.6,134.05,96353760
2022-10-14,133.0,134.0,127.05,127.6,59287413
2022-10-21,127.0,133.4,125.8,131.55,53886481
2022-10-28,133.0,135.6,129.85,133.7,49169977
2022-11-04,134.4,139.2,132.8,137.85,56552261
2022-11-11,138.55,141.3,136.75,140.45,56410310
2022-11-18,140.6,143.8,138.6,141.75,82150547
2022-11-25,136.0,141.3,132.9,140.55,58147394
2022-12-02,139.5,144.8,139.05,140.9,92444933
2022-12-09,141.5,143.95,140.1,140.7,58731374
2022-12-16,140.0,150.5,139.2,147.2,71193911
2022-12-23,147.05,147.55,139.3,139.8,44479990
2022-12-30,140.5,148.75,139.5,146.75,71845766
2023-01-06,147.3,150.8,144.15,147.35,71283184
2023-01-13,149.3,150.3,145.75,146.95,71814304
2023-01-20,147.7,152.5,146.0,151.6,76270859
2023-01-27,152.55,154.15,146.6,147.65,47898921
2023-02-03,147.5,148.85,140.1,144.3,64401981
2023-02-10,141.7,147.0,141.6,146.7,39917231
2023-02-17,147.45,158.8,145.5,156.6,77010099
2023-02-24,157.2,157.8,149.75,155.0,58872470
2023-03-03,154.0,156.05,151.2,154.25,53698894
2023-03-10,154.7,159.7,153.55,155.8,31828917
2023-03-17,156.2,158.0,148.0,153.15,60936186
2023-03-24,153.0,154.15,148.8,149.4,32010788
2023-03-31,149.55,153.0,146.5,150.75,48399719
2023-04-07,154.5,157.85,150.4,150.6,46559167
2023-04-14,150.7,160.5,150.0,158.75,49677197
2023-04-21,159.1,160.55,158.0,159.6,37984209
2023-04-28,159.6,161.8,154.85,158.95,45489570
2023-05-05,159.5,164.8,159.2,160.3,40060184
2023-05-12,160.3,169.0,160.0,165.5,52452984
2023-05-19,165.5,168.5,164.0,164.9,41571409
2023-05-26,164.1,167.4,162.3,163.75,46510412
2023-06-02,160.0,161.7,150.05,154.7,166946157
2023-06-09,155.5,156.9,152.55,154.25,57764358
2023-06-16,154.85,158.65,152.6,157.1,49646341
2023-06-23,157.9,160.95,155.5,156.3,38189636
2023-06-30,157.0,161.0,156.0,160.15,61440789
2023-07-07,160.3,165.95,160.0,163.75,41019219
2023-07-14,163.9,169.75,162.55,168.9,48026269
2023-07-21,167.8,171.0,166.05,170.45,28160956
2023-07-28,171.65,174.95,169.1,171.3,44492486
2023-08-04,172.8,178.6,171.55,173.3,34425459
2023-08-11,174.3,179.75,172.15,177.2,25019387
2023-08-18,180.0,180.25,174.15,174.5,32925356
2023-08-25,175.3,177.9,172.85,174.4,27942903
2023-09-01,175.1,184.75,173.05,181.75,53037755
2023-09-08,183.85,186.75,181.0,184.45,57334121
2023-09-15,185.45,191.7,180.2,186.65,74620360
2023-09-22,185.8,189.5,185.0,185.1,33338984
2023-09-29,186.0,192.25,185.25,191.85,48594032
2023-10-06,189.3,189.3,180.6,181.45,48366802
2023-10-13,182.9,186.25,181.25,184.9,51055802
2023-10-20,187.95,188.2,185.05,186.2,43999067
2023-10-27,185.95,185.95,179.9,184.75,26432084
2023-11-03,185.0,190.65,184.2,190.0,44861303
2023-11-10,190.2,198.0,189.55,195.9,44400648
2023-11-17,198.8,203.4,194.1,196.35,65768250
2023-11-24,198.0,198.5,188.15,188.85,36975391
2023-12-01,188.85,198.25,188.4,194.55,42970240
2023-12-08,196.5,205.9,194.1,195.95,82675516
2023-12-15,197.05,201.95,192.05,201.05,69841574
2023-12-22,201.05,212.0,197.35,203.95,115297959
2023-12-29,204.5,209.9,203.65,205.05,71596807
2024-01-05,206.0,217.5,203.65,216.45,89410519
2024-01-12,218.0,224.75,209.7,223.4,99577323
2024-01-19,228.5,242.55,224.65,242.05,164024963
