date,open,high,low,close,volume
2020-01-17,693.95,715.0,674.3,703.35,345016
2020-01-24,707.9,740.0,691.0,729.75,713845
2020-01-31,722.5,737.0,680.6,700.95,519357
2020-02-07,701.0,725.45,690.65,709.7,423656
2020-02-14,710.0,714.45,685.1,701.25,499497
2020-02-21,694.15,722.0,694.15,717.15,342443
2020-02-28,719.0,734.0,671.0,696.4,349169
2020-03-06,700.0,720.0,686.0,698.6,262809
2020-03-13,696.9,708.9,518.1,653.45,345348
2020-03-20,635.25,635.25,487.9,510.85,823035
2020-03-27,480.0,575.0,420.05,540.3,268539
2020-04-03,540.0,565.0,498.0,514.1,226431
2020-04-10,520.05,539.85,499.15,513.85,214026
2020-04-17,514.0,525.0,490.0,491.95,224671
2020-04-24,504.0,508.95,467.65,468.3,336327
2020-05-01,472.0,494.0,464.2,474.5,865284
2020-05-08,470.0,551.0,460.0,526.65,1371451
2020-05-15,531.2,544.8,510.0,521.1,561524
2020-05-22,524.6,531.9,513.2,524.75,940597
2020-05-29,528.9,550.7,520.9,525.55,984269
2020-06-05,530.0,574.8,528.55,572.05,557387
2020-06-12,575.0,593.65,572.35,585.2,377578
2020-06-19,583.0,614.85,572.05,601.6,353937
2020-06-26,604.0,635.5,600.1,627.25,433479
2020-07-03,634.9,649.0,622.5,641.35,320722
2020-07-10,640.1,751.0,639.15,731.75,754860
2020-07-17,730.0,799.95,700.0,753.5,940130
2020-07-24,757.85,775.0,708.0,771.25,572978
2020-07-31,844.0,930.0,839.95,918.1,4045155
2020-08-07,916.0,1006.8,908.0,1000.25,1066412
2020-08-14,950.25,1025.0,930.05,987.25,884042
2020-08-21,998.0,1050.0,980.15,1039.9,516497
2020-08-28,1050.0,1128.0,1010.0,1018.2,1177457
2020-09-04,1038.0,1053.2,950.0,986.3,796333
2020-09-11,990.0,1025.0,960.0,1011.05,366793
2020-09-18,1025.9,1240.0,1025.9,1191.15,1742039
2020-09-25,1187.0,1244.0,1092.25,1219.65,1037697
2020-10-02,1225.0,1385.85,1225.0,1303.75,1947177
2020-10-09,1318.0,1340.85,1247.0,1303.65,1300468
2020-10-16,1324.45,1390.6,1200.0,1296.8,1685415
2020-10-23,1314.95,1330.0,1063.4,1172.35,756971
2020-10-30,1189.0,1220.0,1138.9,1158.65,794092
2020-11-06,1124.0,1172.2,1103.15,1145.55,343767
2020-11-13,1168.0,1180.0,1105.1,1142.25,579799
2020-11-20,1174.8,1198.0,1128.0,1145.6,633901
2020-11-27,1147.8,1248.2,1122.0,1193.35,860738
2020-12-04,1198.0,1242.65,1164.75,1219.1,813022
2020-12-11,1220.0,1324.85,1185.0,1314.1,731936
2020-12-18,1320.0,1343.95,1259.25,1306.45,575748
2020-12-25,1306.45,1472.0,1250.0,1449.45,1126205
2021-01-01,1473.0,1549.0,1450.05,1497.55,890540
2021-01-08,1505.0,1599.0,1488.1,1570.9,1122301
2021-01-15,1595.0,1700.0,1573.35,1629.1,1292154
2021-01-22,1629.1,1658.0,1503.75,1544.0,634183
2021-01-29,1565.0,1585.0,1482.25,1524.25,598190
2021-02-05,1532.05,1739.0,1505.95,1701.0,1133586
2021-02-12,1714.0,1850.0,1691.0,1794.65,756366
2021-02-19,1804.0,1820.6,1661.0,1672.2,424215
