date,open,high,low,close,volume
2020-01-17,273.35,280.2,270.4,272.65,12440110
2020-01-24,272.5,279.85,269.0,276.8,7947382
2020-01-31,277.5,277.95,265.5,266.5,10045914
2020-02-07,266.5,276.0,261.0,272.65,12549441
2020-02-14,273.0,273.7,260.1,260.8,11925010
2020-02-21,260.8,271.0,254.6,267.5,10293813
2020-02-28,266.5,270.45,243.05,245.6,14878574
2020-03-06,248.05,253.35,232.05,235.15,21433462
2020-03-13,230.1,231.75,182.0,229.45,21842648
2020-03-20,223.45,224.05,172.0,206.8,27202472
2020-03-27,195.0,208.35,170.4,193.45,28260138
2020-04-03,193.0,204.5,186.55,195.8,13212888
2020-04-10,200.65,225.95,196.0,224.2,13669803
2020-04-17,224.0,224.0,203.85,211.6,15714835
2020-04-24,212.05,229.55,210.0,218.5,18202667
2020-05-01,219.9,245.0,219.25,243.0,12773635
2020-05-08,234.0,238.95,223.8,224.65,15381814
2020-05-15,226.9,239.95,226.0,227.95,8708289
2020-05-22,227.95,238.85,217.5,231.2,11423637
2020-05-29,231.2,261.0,227.2,252.55,13398486
2020-06-05,255.5,259.35,241.15,256.1,14507444
2020-06-12,256.1,264.8,248.0,260.1,20614837
2020-06-19,259.45,269.05,256.4,260.4,19563147
2020-06-26,261.4,267.7,256.3,265.15,13702690
2020-07-03,266.0,274.2,252.5,272.75,30684373
2020-07-10,272.75,280.75,256.4,261.6,18242779
2020-07-17,263.0,270.35,250.4,263.2,16203371
2020-07-24,264.95,269.6,240.05,241.25,23170725
2020-07-31,241.25,251.0,230.05,247.85,31671554
2020-08-07,249.5,254.0,242.05,244.5,13987756
2020-08-14,245.5,266.95,243.3,259.95,18798750
2020-08-21,261.8,267.8,246.85,249.15,30614039
2020-08-28,250.55,254.0,242.05,249.25,21135766
2020-09-04,250.0,255.3,234.1,235.15,21061625
2020-09-11,237.2,241.6,227.65,236.15,13275149
2020-09-18,236.0,242.85,226.5,228.2,18165568
2020-09-25,225.95,228.5,209.6,219.25,21802689
2020-10-02,222.4,225.95,217.0,220.7,12501960
2020-10-09,221.7,227.8,216.7,218.15,16001821
2020-10-16,218.05,223.5,207.25,222.65,23119287
2020-10-23,222.3,237.4,217.5,233.3,22859152
2020-10-30,233.0,238.5,226.1,230.95,18930595
2020-11-06,231.5,232.8,221.6,230.45,21902398
2020-11-13,232.5,255.0,229.6,254.35,29717209
2020-11-20,250.0,263.3,249.75,258.95,23620953
2020-11-27,259.7,263.0,244.15,251.25,36905427
2020-12-04,255.0,265.45,250.6,262.05,23758926
