date,open,high,low,close,volume
2020-01-17,99.96,100.4,96.96,97.56,14648524
2020-01-24,93.56,94.68,83.08,93.08,227287682
2020-01-31,92.36,96.24,89.52,93.32,62403032
2020-02-07,93.24,100.8,86.68,100.28,53427503
2020-02-14,100.52,104.56,97.32,101.32,69743025
2020-02-21,101.92,106.72,98.52,105.8,36914004
2020-02-28,105.32,106.52,86.92,87.56,60737305
2020-03-06,88.16,92.4,86.4,88.4,62352106
2020-03-13,85.6,86.68,66.24,81.96,42189007
2020-03-20,77.16,79.36,67.44,73.4,44791566
2020-03-27,67.6,77.4,62.8,70.6,34240902
2020-04-03,70.24,75.4,68.12,69.0,19131648
2020-04-10,71.2,75.72,69.2,72.56,16298988
2020-04-17,72.8,78.24,69.36,74.92,34519740
2020-04-24,75.68,76.0,68.24,72.84,35573010
2020-05-01,73.2,77.92,72.16,76.32,34523455
2020-05-08,74.56,75.08,66.68,67.24,35994541
2020-05-15,67.92,74.16,65.32,67.32,63651760
2020-05-22,67.32,67.76,59.76,59.88,39689322
2020-05-29,60.08,63.52,59.32,60.16,57279616
2020-06-05,60.96,69.76,60.68,68.84,77847572
2020-06-12,70.2,71.56,63.52,66.88,66482949
2020-06-19,66.8,69.48,65.04,68.16,65974517
2020-06-26,68.8,73.56,68.32,72.08,75607025
2020-07-03,71.84,71.88,66.32,67.36,35612598
2020-07-10,67.64,70.8,66.16,66.88,58844038
2020-07-17,67.32,67.64,63.08,65.6,41190143
2020-07-24,66.24,69.2,65.68,66.16,37353636
2020-07-31,65.88,68.84,64.24,64.68,41557522
2020-08-07,64.8,70.32,64.44,68.36,42465134
2020-08-14,70.28,77.32,69.4,73.0,91259825
2020-08-21,73.68,83.16,72.64,80.84,77369103
2020-08-28,81.56,81.88,77.24,78.56,63566724
2020-09-04,79.2,79.92,73.76,74.0,45243071
2020-09-11,74.36,74.8,69.92,73.72,36180398
2020-09-18,75.2,76.76,73.24,74.72,42792711
2020-09-25,75.2,75.2,65.64,68.28,44036437
2020-10-02,69.28,71.52,68.4,70.92,22955813
2020-10-09,71.2,72.36,68.68,69.6,25992356
2020-10-16,69.72,70.8,66.8,68.04,25576298
2020-10-23,68.4,72.72,67.84,72.0,26506529
2020-10-30,71.6,72.52,67.52,69.68,28549413
2020-11-06,70.28,77.8,69.56,76.56,32749140
2020-11-13,77.64,82.84,76.52,82.4,56486597
2020-11-20,82.4,85.52,81.32,82.8,35479917
2020-11-27,83.2,88.4,82.92,86.56,53178898
2020-12-04,87.04,94.6,85.56,92.4,40729623
2020-12-11,93.12,98.28,88.24,93.88,62776447
