date,open,high,low,close,volume
2021-11-19,1150.0,1470.0,1149.0,1332.35,63398038
2021-11-26,1332.0,1339.0,1190.1,1273.45,9824164
2021-12-03,1251.0,1300.0,1206.3,1210.6,2280614
2021-12-10,1214.8,1217.85,1120.85,1134.75,3394387
2021-12-17,1101.0,1173.95,1068.1,1083.75,7102875
2021-12-24,1058.0,1074.55,885.0,983.05,5432926
2021-12-31,975.0,998.0,925.0,950.3,2355824
2022-01-07,957.9,972.05,885.0,894.2,2239125
2022-01-14,900.0,951.0,856.85,941.4,4035242
2022-01-21,945.0,1052.95,858.25,864.25,4604686
2022-01-28,858.9,858.9,725.25,789.05,6747373
2022-02-04,800.0,972.4,771.0,941.6,6009251
2022-02-11,929.5,933.5,774.4,778.9,10610374
2022-02-18,750.0,798.0,744.1,751.55,2596433
2022-02-25,748.85,757.25,618.0,666.4,3906175
2022-03-04,665.0,675.55,630.35,655.35,4842686
2022-03-11,638.0,735.0,631.85,703.1,2256418
2022-03-18,705.05,789.85,672.05,766.3,3625372
2022-03-25,774.5,774.5,700.75,704.7,1847018
2022-04-01,710.0,734.45,665.3,728.25,1772157
2022-04-08,745.0,825.05,741.0,764.65,3709246
2022-04-15,763.0,810.8,745.0,775.9,1080578
2022-04-22,770.0,803.7,742.15,749.1,981519
2022-04-29,735.2,740.1,645.4,668.25,2305831
2022-05-06,655.0,660.7,597.05,616.95,1173417
2022-05-13,610.0,659.45,540.1,645.2,5934324
2022-05-20,628.0,703.0,611.4,685.25,6505272
2022-05-27,685.25,748.0,630.55,689.1,4897395
2022-06-03,697.0,702.05,640.0,659.3,7511267
2022-06-10,662.0,664.85,556.0,590.75,15569286
2022-06-17,578.0,619.85,552.0,593.8,13671071
2022-06-24,601.0,620.0,577.1,604.75,2881581
2022-07-01,615.0,619.9,566.1,588.05,1900406
2022-07-08,588.05,593.95,561.0,564.05,3220693
2022-07-15,564.9,573.05,521.5,524.15,5189243
2022-07-22,530.4,547.0,515.6,520.1,4103153
2022-07-29,519.5,520.9,454.3,468.25,5415334
2022-08-05,471.45,574.6,466.3,571.25,11632563
2022-08-12,571.0,597.3,550.0,573.15,4869201
2022-08-19,574.0,584.55,502.35,554.55,3333004
2022-08-26,554.55,554.55,496.45,512.15,6956758
2022-09-02,501.0,508.5,481.55,483.3,2992187
2022-09-09,485.5,521.6,472.0,513.35,4251205
2022-09-16,517.7,575.0,500.6,518.65,11132665
2022-09-23,518.0,524.95,490.0,492.55,2647409
2022-09-30,489.0,489.1,461.0,472.55,2715161
