date,open,high,low,close,volume
2020-01-17,109.58,111.29,108.51,111.04,26359641
2020-01-24,114.98,118.69,108.59,110.78,365619822
2020-01-31,110.48,110.5,104.12,105.1,125361012
2020-02-07,105.08,110.08,99.53,107.1,113492042
2020-02-14,107.27,107.94,103.16,103.56,121727107
2020-02-21,104.06,107.27,101.56,106.45,96771592
2020-02-28,106.31,106.43,100.77,102.09,106325578
2020-03-06,103.36,112.25,102.23,107.21,76605834
2020-03-13,104.01,106.09,84.09,94.44,215251985
2020-03-20,91.35,95.82,68.71,88.45,370565235
2020-03-27,79.62,93.52,79.62,90.0,159491598
2020-04-03,87.19,91.1,85.36,87.86,82451834
2020-04-10,90.56,93.77,87.33,92.5,61831125
2020-04-17,92.25,97.45,88.45,94.36,89838965
2020-04-24,95.18,95.18,87.61,89.52,123058479
2020-05-01,90.84,91.94,87.75,91.15,69109419
2020-05-08,90.51,93.74,88.65,89.44,83217856
2020-05-15,89.61,96.69,88.71,89.89,103083235
2020-05-22,89.92,90.37,86.23,87.67,112109196
2020-05-29,87.83,89.27,87.47,88.62,130809751
2020-06-05,89.18,98.04,88.71,96.44,149596660
2020-06-12,97.57,100.29,93.15,93.54,72684723
2020-06-19,92.93,96.92,89.07,96.41,97476628
2020-06-26,99.23,106.31,95.99,100.8,153115601
2020-07-03,100.13,101.42,96.69,99.9,72848057
2020-07-10,100.35,100.52,94.95,97.09,89318621
2020-07-17,97.09,97.99,89.72,91.86,71327343
2020-07-24,91.86,103.08,91.32,102.38,121361838
2020-07-31,101.98,103.78,98.78,100.29,75518203
2020-08-07,100.69,100.97,97.93,98.97,49299282
2020-08-14,99.48,102.57,97.43,98.66,76807327
2020-08-21,99.0,107.16,98.78,106.37,137672960
2020-08-28,106.68,107.24,102.26,102.54,70316609
2020-09-04,103.22,104.26,97.71,98.47,100983171
2020-09-11,98.47,100.38,97.34,98.52,93607270
2020-09-18,99.84,99.84,94.11,96.69,69759161
2020-09-25,96.19,96.58,89.16,90.42,60309330
2020-10-02,90.56,95.29,90.17,92.59,59590192
2020-10-09,92.25,93.6,88.14,88.88,61897594
2020-10-16,89.55,91.58,86.96,89.41,79424513
2020-10-23,89.97,96.41,88.26,95.71,137273864
2020-10-30,95.65,98.63,95.23,96.19,114990983
2020-11-06,97.06,101.64,96.72,100.38,79390595
2020-11-13,101.19,107.44,100.74,106.23,82595406
2020-11-20,106.31,110.93,100.35,107.92,127033313
2020-11-27,108.0,112.02,106.14,108.23,127746077
2020-12-04,109.6,110.78,106.62,109.32,70177848
2020-12-11,108.56,110.95,107.49,108.62,85165211
2020-12-18,110.25,110.81,107.63,109.07,114795076
2020-12-25,108.56,108.68,103.75,106.88,68325088
2021-01-01,106.99,108.37,105.08,106.59,60908679
2021-01-08,106.88,114.75,104.74,114.5,141495195
2021-01-15,114.75,116.72,112.47,114.19,93527689
2021-01-22,113.2,113.63,108.56,109.24,95889195
2021-01-29,109.38,110.7,102.94,103.75,57756006
2021-02-05,103.75,118.13,102.66,116.49,145978723
2021-02-12,116.16,123.19,115.71,119.62,135935463
2021-02-19,120.38,134.04,119.0,130.61,208463165
2021-02-26,130.75,131.57,118.8,120.54,124282542
2021-03-05,122.34,129.46,122.29,123.89,109224728
2021-03-12,122.54,125.94,119.95,123.78,57168710
2021-03-19,124.31,130.56,123.27,129.49,141998176
2021-03-26,131.85,131.85,119.33,120.71,137492763
2021-04-02,122.01,125.83,120.74,123.02,85252389
2021-04-09,121.05,123.19,117.0,117.17,94870287
2021-04-16,116.24,120.83,111.66,118.04,70555599
2021-04-23,115.79,119.76,112.5,118.77,82817170
