date,open,high,low,close,volume
2020-01-17,26.7,27.34,26.7,27.08,65111
2020-01-24,26.9,27.1,26.42,26.94,83433
2020-01-31,26.8,27.6,25.71,26.3,181239
2020-02-07,26.0,26.88,24.37,25.51,695046
2020-02-14,25.45,25.49,24.3,24.3,142392
2020-02-21,24.55,24.55,22.9,23.87,287765
2020-02-28,23.6,24.3,21.2,21.49,755897
2020-03-06,21.87,21.87,19.4,19.93,561204
2020-03-13,19.9,20.35,15.01,17.9,971514
2020-03-20,17.2,18.5,15.5,15.88,304918
2020-03-27,15.84,16.45,12.66,14.92,318487
2020-04-03,14.87,15.75,14.45,15.1,110784
2020-04-10,16.5,16.5,14.51,14.99,178171
2020-04-17,15.1,16.88,14.3,15.02,206872
2020-04-24,15.35,15.7,14.0,14.03,613895
2020-05-01,14.03,14.89,14.0,14.61,253907
2020-05-08,14.5,14.5,12.8,12.99,504606
2020-05-15,13.45,14.0,12.5,13.18,873263
2020-05-22,15.9,15.9,9.88,12.06,1116087
2020-05-29,12.55,12.7,11.9,12.35,545250
2020-06-05,12.69,15.33,12.69,15.21,1593572
2020-06-12,16.0,16.25,13.4,14.81,3140883
2020-06-19,15.0,15.8,14.45,15.52,1227601
2020-06-26,15.52,18.2,14.83,16.68,1412886
2020-07-03,16.68,16.82,15.2,15.92,2030175
2020-07-10,16.05,17.2,15.81,16.4,1259203
2020-07-17,16.9,16.9,15.15,15.74,689502
2020-07-24,16.0,16.5,15.4,15.8,853620
2020-07-31,15.8,15.9,15.16,15.49,768702
2020-08-07,15.0,15.79,14.12,15.7,370875
2020-08-14,15.9,16.43,15.5,15.73,746440
2020-08-21,16.0,17.32,15.5,16.45,952765
2020-08-28,16.88,17.65,16.2,17.48,1183690
2020-09-04,17.7,19.1,16.05,16.11,718558
2020-09-11,17.6,17.6,15.2,15.83,465098
2020-09-18,17.3,17.3,14.95,15.26,459795
2020-09-25,15.29,15.29,13.56,14.02,985918
2020-10-02,14.85,15.0,13.93,14.21,383889
2020-10-09,14.67,14.84,14.1,14.72,461402
2020-10-16,14.85,14.99,13.88,13.99,511405
2020-10-23,14.3,14.74,13.96,14.55,531954
2020-10-30,14.83,14.83,13.75,13.9,653921
2020-11-06,14.28,15.2,13.88,15.06,1117965
2020-11-13,15.21,16.07,15.01,15.43,1271242
