date,open,high,low,close,volume
2020-01-17,820.0,845.0,806.9,819.65,2394030
2020-01-24,824.75,871.7,812.5,868.4,3186692
2020-01-31,859.85,884.25,773.2,781.35,5273720
2020-02-07,782.4,816.9,748.25,793.85,2689372
2020-02-14,793.85,798.8,775.1,794.3,1662656
2020-02-21,796.0,819.0,776.5,804.25,1081621
2020-02-28,801.5,805.95,752.05,770.1,1443470
2020-03-06,770.1,792.3,706.0,727.55,3507687
2020-03-13,719.0,721.1,590.15,655.15,3853440
2020-03-20,645.0,648.0,531.3,593.55,2877117
2020-03-27,550.0,580.0,465.65,506.25,3369036
2020-04-03,502.0,529.0,470.0,473.85,2428987
2020-04-10,485.0,507.6,455.0,495.05,3048504
2020-04-17,497.55,561.75,471.3,542.1,5468128
2020-04-24,552.0,584.4,526.0,538.05,2723657
2020-05-01,538.05,577.3,520.25,552.7,2569875
2020-05-08,549.7,549.7,502.1,518.2,4259692
2020-05-15,525.0,580.0,509.85,575.25,6096601
2020-05-22,578.0,585.85,531.5,571.15,3483552
2020-05-29,577.9,629.0,572.0,603.6,4337246
2020-06-05,603.6,667.0,595.6,632.15,4652841
2020-06-12,639.0,641.5,599.9,625.1,2351646
2020-06-19,630.0,659.9,595.9,644.75,4493344
2020-06-26,646.9,655.4,600.0,643.2,3991927
2020-07-03,643.7,668.0,622.0,640.65,2780898
2020-07-10,647.35,667.75,636.75,647.25,3460563
2020-07-17,647.25,676.5,632.0,661.85,4349449
2020-07-24,658.8,698.95,646.5,689.1,5876704
2020-07-31,688.0,728.75,679.5,691.95,4752715
2020-08-07,696.2,697.95,669.5,688.2,4517017
2020-08-14,690.0,718.9,674.45,678.45,8079603
2020-08-21,679.0,738.65,666.0,730.25,6277294
2020-08-28,735.7,741.1,705.05,719.65,3642248
2020-09-04,726.15,758.6,682.0,716.0,4035934
2020-09-11,716.1,727.95,664.05,703.0,3447660
2020-09-18,706.0,773.15,705.0,745.5,5856893
2020-09-25,745.5,754.5,687.8,709.35,4389977
2020-10-02,713.35,764.0,707.8,746.0,3716447
2020-10-09,746.05,777.0,742.05,770.95,3835034
2020-10-16,771.4,798.6,750.55,780.35,6817148
2020-10-23,788.0,801.95,772.0,784.15,2988375
2020-10-30,783.35,811.2,752.55,796.95,4096731
2020-11-06,798.0,856.0,790.8,837.05,4753533
2020-11-13,840.1,861.7,830.05,854.75,2675151
2020-11-20,852.25,881.65,846.3,852.15,1808591
2020-11-27,855.0,897.7,849.7,892.15,3357276
2020-12-04,899.8,900.0,868.05,889.4,2627566
2020-12-11,892.95,903.3,825.3,845.2,3601696
2020-12-18,848.1,868.0,833.0,842.45,2811298
2020-12-25,842.0,842.0,767.15,777.15,2549795
2021-01-01,781.0,820.0,770.65,795.0,4944716
2021-01-08,798.9,856.0,786.15,851.85,6639751
2021-01-15,855.0,874.9,807.05,822.45,3021888
2021-01-22,814.35,832.0,783.15,809.3,3177526
2021-01-29,815.3,818.05,766.05,781.0,2333334
2021-02-05,783.65,898.0,768.3,875.0,6491602
2021-02-12,880.0,965.3,875.2,956.8,6173788
2021-02-19,969.0,1001.7,943.65,962.2,3604872
2021-02-26,963.1,1013.6,931.5,965.0,3420306
2021-03-05,974.2,1043.2,962.5,1010.05,3107984
2021-03-12,1010.0,1035.9,993.0,1005.6,959133
2021-03-19,1013.75,1016.15,920.75,952.7,2926093
2021-03-26,950.9,992.2,921.25,958.5,1976780
