date,open,high,low,close,volume
2020-01-17,350.75,365.0,341.0,343.8,34176356
2020-01-24,345.95,347.55,321.35,329.7,73040801
2020-01-31,329.6,343.75,316.25,318.3,35449023
2020-02-07,320.0,341.8,297.15,339.8,48925623
2020-02-14,338.0,346.95,315.0,316.55,31035726
2020-02-21,316.0,319.5,292.35,308.8,37732973
2020-02-28,305.0,317.85,285.1,290.9,47422277
2020-03-06,299.05,308.1,243.05,258.9,75963207
2020-03-13,248.0,248.0,166.0,206.6,104877685
2020-03-20,199.0,199.9,152.25,171.85,129876287
2020-03-27,153.35,179.8,128.9,160.25,66719031
2020-04-03,155.0,157.4,109.25,110.95,91743712
2020-04-10,118.95,133.6,105.55,120.85,108870881
2020-04-17,120.0,135.8,112.3,128.0,108405203
2020-04-24,130.9,131.0,101.55,107.15,194508071
2020-05-01,110.0,136.5,107.45,132.15,191308709
2020-05-08,126.1,137.0,117.15,119.35,251690611
2020-05-15,121.95,126.8,111.2,120.9,192706263
2020-05-22,120.0,120.8,105.5,107.25,136919777
2020-05-29,109.9,123.0,108.3,120.5,123044160
2020-06-05,122.05,137.8,121.3,126.25,204432950
2020-06-12,131.0,175.5,129.55,168.6,483582462
2020-06-19,168.5,172.35,155.4,168.9,205140321
2020-06-26,170.1,205.7,170.1,190.65,288888632
2020-07-03,186.0,187.95,170.8,173.6,156143934
2020-07-10,176.0,197.4,175.15,181.05,191960344
2020-07-17,185.9,185.9,160.5,169.55,152364336
2020-07-24,170.9,186.4,170.2,182.9,147821230
2020-07-31,183.85,189.55,165.9,169.55,110130850
2020-08-07,169.5,193.7,160.8,191.3,161046299
2020-08-14,190.75,193.3,173.95,177.2,120552291
2020-08-21,179.05,190.0,175.85,184.15,111349292
2020-08-28,185.4,214.0,183.15,210.5,186280466
2020-09-04,214.8,217.7,184.65,188.8,131780879
2020-09-11,188.8,190.6,170.65,182.65,97382863
2020-09-18,185.0,187.5,177.35,180.65,65176843
2020-09-25,181.1,182.3,156.1,164.95,81849757
2020-10-02,167.0,179.45,166.05,177.85,56446406
2020-10-09,179.8,185.0,172.25,180.05,84222282
2020-10-16,181.6,183.9,165.8,172.0,64657464
2020-10-23,173.1,186.0,172.5,177.85,81327840
2020-10-30,179.0,182.0,168.6,174.35,87431029
2020-11-06,175.5,197.75,174.05,193.25,112571233
2020-11-13,195.0,213.85,193.5,205.6,133509280
2020-11-20,208.3,223.0,206.25,211.6,89118158
2020-11-27,215.0,236.0,211.45,223.8,121911070
2020-12-04,225.45,239.5,220.1,237.2,69655995
2020-12-11,236.65,245.2,230.2,235.55,90645308
2020-12-18,238.4,244.0,225.8,227.65,72755847
2020-12-25,226.05,228.0,197.75,220.35,92505843
2021-01-01,223.0,237.4,221.85,231.05,59251891
2021-01-08,233.3,274.3,231.6,265.05,133397993
2021-01-15,266.75,267.0,247.2,253.9,68257159
2021-01-22,251.75,265.6,228.75,232.8,75286079
2021-01-29,236.85,240.0,209.2,213.8,103431711
2021-02-05,215.95,268.8,212.3,251.1,141913488
2021-02-12,254.0,257.95,239.3,241.45,66664865
2021-02-19,244.0,262.0,243.25,246.25,82977563
