date,open,high,low,close,volume
2020-01-17,1380.35,1420.64,1360.85,1417.1,37715549
2020-01-24,1442.19,1442.19,1361.12,1363.81,44714222
2020-01-31,1357.85,1366.41,1261.31,1265.3,61113112
2020-02-07,1259.61,1314.91,1221.74,1285.02,64483418
2020-02-14,1279.96,1345.79,1264.23,1333.38,39512697
2020-02-21,1334.63,1351.66,1306.31,1331.9,28181385
2020-02-28,1317.38,1323.88,1187.64,1190.91,72859010
2020-03-06,1214.62,1227.07,1112.43,1139.23,73063128
2020-03-13,1111.49,1112.34,844.7,990.71,141302281
2020-03-20,950.6,967.77,799.7,912.42,129263059
2020-03-27,821.22,1032.17,784.87,955.13,125962355
2020-04-03,932.72,1016.84,914.26,965.75,80326889
2020-04-10,987.84,1104.99,985.96,1093.48,70023983
2020-04-17,1079.14,1107.86,1024.5,1097.11,66163266
2020-04-24,1098.9,1339.97,1043.33,1270.1,224694963
2020-05-01,1285.34,1339.97,1247.82,1314.02,125358331
2020-05-08,1290.71,1416.11,1270.5,1399.89,139315065
2020-05-15,1416.2,1447.57,1284.71,1324.93,175979232
2020-05-22,1334.55,1345.45,1264.65,1299.65,120698501
2020-05-29,1314.72,1343.4,1281.9,1329.47,75763500
2020-06-05,1343.63,1468.92,1339.95,1435.96,78676178
2020-06-12,1469.28,1469.28,1359.06,1442.41,70325236
2020-06-19,1420.8,1623.98,1417.26,1597.29,148615060
2020-06-26,1610.0,1637.96,1553.98,1581.17,112016168
2020-07-03,1568.83,1627.79,1539.32,1623.16,72484415
2020-07-10,1638.69,1710.95,1621.66,1705.0,95868040
2020-07-17,1727.97,1796.47,1632.33,1735.55,196880910
2020-07-24,1741.09,1963.7,1724.61,1948.4,161383941
2020-07-31,1978.04,1996.2,1863.65,1876.64,180921059
2020-08-07,1862.29,1993.66,1815.95,1948.67,150274824
2020-08-14,1960.16,1965.51,1896.74,1919.03,82406886
2020-08-21,1911.04,1955.53,1879.36,1890.03,72914553
2020-08-28,1898.7,1951.9,1858.39,1921.17,85010542
2020-09-04,1973.69,1973.69,1870.51,1885.85,88810354
2020-09-11,1891.98,2128.88,1855.89,2106.01,154744910
2020-09-18,2110.77,2151.04,2066.79,2093.25,83418088
2020-09-25,2088.08,2120.76,1967.6,1998.83,86221682
2020-10-02,2021.8,2058.12,2003.69,2020.21,46138210
2020-10-09,2037.24,2096.25,1998.79,2027.66,66150265
2020-10-16,2029.06,2091.71,1972.46,1975.32,53732200
2020-10-23,1988.26,2023.35,1898.33,1918.35,70146693
2020-10-30,1908.27,1908.27,1807.55,1865.2,85607131
2020-11-06,1840.23,1852.03,1666.01,1842.18,189162009
2020-11-13,1872.1,1901.96,1783.94,1812.45,109258614
2020-11-20,1829.25,1892.89,1720.39,1724.48,85115544
2020-11-27,1771.23,1809.32,1744.36,1751.99,92556859
2020-12-04,1761.56,1798.56,1752.21,1767.37,44830130
2020-12-11,1761.79,1850.22,1761.79,1820.98,68031069
2020-12-18,1822.94,1829.34,1780.4,1808.05,47348554
2020-12-25,1824.8,1835.69,1684.31,1810.41,57215518
2021-01-01,1821.8,1832.06,1793.52,1804.37,44059454
2021-01-08,1811.27,1814.72,1729.61,1755.53,78743789
2021-01-15,1760.16,1792.98,1718.12,1758.93,72812059
2021-01-22,1769.51,1924.66,1746.13,1860.75,85223998
2021-01-29,1847.45,1847.45,1661.38,1672.23,88632622
2021-02-05,1688.07,1772.14,1677.72,1746.49,77179892
2021-02-12,1754.94,1886.53,1749.72,1853.48,68655202
2021-02-19,1859.34,1914.13,1838.41,1888.62,52361988
2021-02-26,1888.35,1953.71,1811.13,1893.61,67402153
2021-03-05,1915.76,2015.36,1872.46,1977.95,57799836
2021-03-12,1968.69,2026.25,1928.2,1940.64,32048533
2021-03-19,1942.86,1950.9,1800.1,1890.16,57044405
2021-03-26,1880.18,1915.31,1791.84,1810.86,48291309
2021-04-02,1822.98,1861.02,1808.05,1835.55,24611636
2021-04-09,1838.37,1858.3,1781.31,1799.42,41967279
2021-04-16,1778.5,1780.67,1725.16,1754.07,38477847
2021-04-23,1728.56,1742.18,1703.78,1728.88,31518158
2021-04-30,1743.09,1856.12,1735.37,1810.72,48395422
2021-05-07,1784.85,1796.65,1730.92,1753.76,43105511
2021-05-14,1760.34,1767.42,1730.38,1758.8,27393901
2021-05-21,1758.8,1830.65,1752.53,1818.03,31752424
2021-05-28,1822.98,1911.04,1779.4,1901.78,58002095
2021-06-04,1908.32,2042.68,1892.93,1988.67,76358075
2021-06-11,1999.11,2035.42,1959.11,2009.23,33214288
2021-06-18,2010.91,2065.29,1979.04,2020.58,46471811
2021-06-25,2000.47,2052.67,1889.35,1910.54,95836734
2021-07-02,1926.48,1936.37,1889.25,1932.88,47684700
2021-07-09,1939.6,1955.12,1875.73,1880.36,26662584
