date,open,high,low,close,volume
2018-06-08,154.0,155.38,146.11,147.68,1356245
2018-06-15,147.58,156.0,142.2,152.87,1200220
2018-06-22,154.2,154.2,144.2,145.54,933645
2018-06-29,145.5,146.78,126.46,133.98,707785
2018-07-06,133.98,133.98,122.01,124.18,460205
2018-07-13,124.18,138.48,121.95,131.42,668385
2018-07-20,131.48,131.48,117.63,118.61,552890
2018-07-27,119.92,132.33,118.1,130.32,1956595
2018-08-03,132.0,136.8,127.0,133.08,711470
2018-08-10,135.0,139.8,129.0,130.53,296045
2018-08-17,129.22,129.89,123.3,124.93,289111
2018-08-24,124.41,126.76,120.88,123.1,1174761
2018-08-31,124.0,126.16,117.08,123.49,1049120
2018-09-07,125.4,131.0,121.6,126.32,559145
2018-09-14,125.61,135.0,123.63,132.55,769106
2018-09-21,132.38,143.8,129.45,135.23,2139676
2018-09-28,138.8,138.8,115.0,120.15,678385
2018-10-05,118.81,124.63,108.0,110.15,525271
2018-10-12,110.02,118.8,105.0,116.21,385915
2018-10-19,117.98,123.0,110.65,112.17,254381
2018-10-26,116.0,116.0,106.41,107.61,250175
2018-11-02,109.23,118.94,105.96,117.01,384060
2018-11-09,119.4,128.0,116.0,118.86,486041
2018-11-16,118.86,122.0,112.21,113.84,208650
2018-11-23,114.97,117.97,110.12,112.44,121396
2018-11-30,113.2,115.0,103.0,109.8,8978200
2018-12-07,112.94,113.4,102.8,105.64,1588430
2018-12-14,105.59,109.76,101.21,106.53,990555
2018-12-21,107.01,109.8,103.35,103.49,425500
2018-12-28,103.26,105.0,100.93,101.88,367156
2019-01-04,101.9,108.8,101.9,104.85,337230
2019-01-11,104.85,106.39,102.8,102.98,301400
2019-01-18,103.05,105.7,91.2,98.32,625125
2019-01-25,99.0,102.17,93.82,100.23,1016895
2019-02-01,100.23,102.8,94.66,99.12,686530
2019-02-08,101.0,101.08,94.1,94.84,1660105
2019-02-15,94.93,96.68,83.02,83.81,484090
2019-02-22,83.65,94.6,82.86,94.22,312535
2019-03-01,95.11,99.0,93.25,98.05,571195
2019-03-08,99.9,107.45,97.57,103.63,1998386
2019-03-15,104.62,110.0,104.1,107.97,796360
2019-03-22,109.01,109.6,102.4,103.82,2926531
2019-03-29,100.54,107.98,100.54,104.96,289805
2019-04-05,106.27,106.8,102.19,103.87,279620
2019-04-12,103.61,106.0,102.03,103.95,115715
2019-04-19,103.52,107.11,102.91,104.25,54927
2019-04-26,104.25,104.25,101.26,102.36,219035
