date,open,high,low,close,volume
2020-01-17,50.0,51.9,49.05,50.95,128280055
2020-01-24,51.15,51.5,49.2,51.05,91384559
2020-01-31,50.7,50.7,46.2,46.5,111354745
2020-02-07,46.0,49.75,43.25,48.65,142445085
2020-02-14,48.4,48.4,43.65,43.9,97112439
2020-02-21,42.0,44.0,40.7,42.15,109338456
2020-02-28,41.45,41.45,34.9,35.55,119772229
2020-03-06,36.65,37.2,31.9,33.0,153190017
2020-03-13,32.0,32.1,21.4,29.55,182172968
2020-03-20,27.05,30.7,24.8,26.7,204731470
2020-03-27,24.7,25.3,21.0,21.1,141803974
2020-04-03,21.0,24.3,20.15,21.65,103250154
2020-04-10,23.35,27.55,22.4,26.35,114268116
2020-04-17,26.15,28.65,25.1,28.3,102567074
2020-04-24,29.0,29.0,25.4,26.9,87662808
2020-05-01,27.35,32.25,26.3,31.85,107142171
2020-05-08,29.55,29.7,27.35,28.4,71765713
2020-05-15,28.55,30.2,27.25,29.35,96501458
2020-05-22,29.5,29.6,26.55,27.3,116338950
2020-05-29,27.5,30.8,27.5,30.15,130451261
2020-06-05,30.7,33.8,30.05,33.4,166641835
2020-06-12,34.35,35.1,28.35,30.35,151006597
2020-06-19,29.95,31.15,28.65,30.15,137528821
2020-06-26,30.15,33.45,30.1,30.5,177848772
2020-07-03,30.65,32.4,29.2,30.85,164353659
2020-07-10,31.35,37.65,30.9,36.9,447484424
2020-07-17,38.7,38.7,32.1,35.4,248793704
2020-07-24,35.4,36.65,33.65,34.35,129236162
2020-07-31,34.35,36.45,33.55,34.0,134690447
2020-08-07,33.8,38.25,33.6,37.7,204574382
2020-08-14,38.0,40.8,37.15,38.85,153485152
2020-08-21,39.1,44.75,38.85,42.45,139930552
2020-08-28,43.0,43.7,40.2,40.95,284222435
2020-09-04,41.4,42.25,38.1,40.5,185608004
2020-09-11,40.65,41.35,37.25,38.9,183320664
2020-09-18,39.35,40.2,37.6,37.85,133953244
2020-09-25,38.0,38.15,32.65,34.35,130163330
2020-10-02,34.65,36.4,33.6,34.15,98976541
2020-10-09,34.25,35.85,33.3,33.95,126250134
2020-10-16,34.4,34.5,32.65,33.85,75600489
