date,open,high,low,close,volume
2020-01-10,989.0,997.0,983.3,989.0,351231
2020-01-17,993.0,1009.8,980.0,996.35,2072651
2020-01-24,1000.0,1020.0,970.2,999.8,4536256
2020-01-31,999.8,1017.0,975.75,994.1,2863650
2020-02-07,998.0,1012.9,856.65,947.3,14650283
2020-02-14,952.0,960.45,907.0,914.25,3198549
2020-02-21,915.5,945.0,904.0,928.75,2828615
2020-02-28,923.6,941.5,875.0,890.4,3884711
2020-03-06,895.15,914.0,848.3,853.95,4465086
2020-03-13,836.2,861.9,625.1,761.95,6919451
2020-03-20,701.0,772.85,519.4,633.5,10111209
2020-03-27,569.95,665.0,522.2,602.85,7300843
2020-04-03,598.9,665.0,575.0,650.15,4640309
2020-04-10,665.0,795.0,653.0,739.45,4044039
2020-04-17,745.0,749.95,681.1,702.45,5134704
2020-04-24,703.0,732.5,667.0,679.15,5226883
2020-05-01,694.75,741.0,688.15,726.85,6838887
2020-05-08,710.0,768.85,675.5,760.05,13091211
2020-05-15,770.95,780.0,735.1,751.95,6387248
2020-05-22,750.0,750.0,694.45,729.95,7399647
2020-05-29,735.0,783.0,731.4,768.65,10018317
2020-06-05,776.0,820.5,765.9,796.7,7869298
2020-06-12,802.0,808.0,728.75,750.45,10886750
2020-06-19,747.9,786.4,740.65,775.85,11000755
2020-06-26,781.1,810.0,761.5,784.35,6091437
2020-07-03,780.0,846.0,774.3,844.05,7131985
2020-07-10,853.0,875.0,835.05,860.2,7872375
2020-07-17,867.85,886.5,848.15,875.2,4836999
2020-07-24,879.05,895.95,844.0,867.4,9628034
2020-07-31,874.9,921.75,856.2,912.85,6977118
2020-08-07,911.0,911.0,858.45,868.6,5097521
2020-08-14,880.0,882.0,828.7,839.3,5694524
2020-08-21,845.0,889.8,838.2,861.25,8251206
2020-08-28,866.8,869.9,833.65,851.55,7566802
2020-09-04,855.5,865.0,818.05,834.55,7200040
2020-09-11,835.5,866.9,822.0,864.4,6151578
2020-09-18,871.0,876.0,845.05,848.1,4753454
2020-09-25,849.0,851.8,780.0,797.05,19801172
2020-10-02,803.0,831.4,800.0,818.9,4417204
2020-10-09,822.0,836.0,803.5,805.9,5155244
2020-10-16,812.9,821.8,776.65,799.55,6989883
2020-10-23,800.5,809.25,767.0,770.7,8156113
2020-10-30,775.0,791.8,755.25,769.15,8644601
2020-11-06,771.0,808.9,762.2,801.25,6454692
2020-11-13,808.0,847.0,801.7,831.85,6396854
2020-11-20,841.0,868.7,835.0,845.45,5546606
2020-11-27,847.2,864.65,830.0,846.05,9052739
2020-12-04,849.9,881.0,840.2,863.0,8583500
2020-12-11,863.5,866.0,845.4,849.7,10680968
2020-12-18,855.0,865.9,842.05,857.15,7970117
2020-12-25,858.0,879.7,825.2,873.9,8696659
2021-01-01,882.9,911.0,877.5,895.4,9911235
2021-01-08,900.0,954.5,894.5,935.5,8997672
2021-01-15,940.0,952.5,903.4,910.25,7168481
2021-01-22,899.0,918.0,838.0,862.55,8836556
2021-01-29,865.9,885.0,853.0,864.45,9420638
2021-02-05,875.0,897.0,852.05,864.2,11622304
2021-02-12,865.0,921.9,857.0,896.85,14370869
2021-02-19,898.0,901.15,869.0,881.5,8351335
2021-02-26,880.0,885.0,845.1,866.9,8476198
2021-03-05,860.0,924.8,852.2,903.55,10766757
2021-03-12,903.6,983.75,901.7,914.2,43731504
2021-03-19,921.0,926.75,882.3,906.7,15310610
2021-03-26,905.0,910.85,861.0,873.95,9106787
2021-04-02,876.0,890.9,868.0,887.9,4397674
2021-04-09,885.0,921.4,864.8,910.1,7987843
2021-04-16,900.65,919.55,868.5,914.2,5433676
2021-04-23,897.2,941.9,888.5,922.85,10762617
2021-04-30,919.15,946.9,914.15,928.7,9736461
2021-05-07,921.95,1044.7,916.05,1000.25,34219372
2021-05-14,1009.3,1017.5,965.0,978.4,8510267
2021-05-21,978.4,988.8,961.2,969.25,7332803
2021-05-28,967.35,987.0,960.65,980.0,8360839
2021-06-04,977.0,994.95,960.1,989.15,7415228
2021-06-11,995.0,1007.0,963.0,988.1,9629030
2021-06-18,988.1,1003.85,956.75,982.55,5243098
2021-06-25,973.0,1017.55,968.35,1007.15,6889061
2021-07-02,1010.5,1019.7,995.25,1007.2,5787022
2021-07-09,1014.0,1032.9,1002.1,1019.6,4812924
2021-07-16,1019.7,1064.95,1018.95,1050.25,6914562
2021-07-23,1044.9,1053.95,1012.8,1050.45,3543230
2021-07-30,1048.0,1148.0,1040.1,1098.6,15448815
2021-08-06,1111.05,1175.7,1094.8,1150.7,12799047
2021-08-13,1151.25,1156.0,1113.1,1138.6,6628019
2021-08-20,1132.0,1151.8,1100.2,1125.3,8027573
2021-08-27,1127.0,1192.65,1118.6,1184.05,6649907
2021-09-03,1189.5,1253.65,1171.65,1244.15,9129713
2021-09-10,1245.0,1253.35,1168.0,1173.2,14356258
2021-09-17,1179.05,1204.8,1153.35,1198.8,12759594
2021-09-24,1189.85,1238.55,1170.9,1222.05,9997658
2021-10-01,1229.95,1233.0,1196.75,1209.05,6004959
2021-10-08,1211.0,1273.9,1191.95,1196.45,11337483
2021-10-15,1199.95,1218.65,1173.8,1185.55,5000770
2021-10-22,1220.0,1220.0,1138.05,1167.2,7410092
2021-10-29,1157.6,1221.75,1126.3,1145.55,10417070
2021-11-05,1148.0,1198.4,1138.55,1181.75,4191888
2021-11-12,1183.0,1212.0,1147.6,1174.9,6277716
2021-11-19,1177.2,1205.0,1150.0,1182.05,5747411
2021-11-26,1182.05,1189.65,1105.25,1130.35,5813802
2021-12-03,1112.0,1190.0,1103.75,1165.95,6971919
2021-12-10,1165.95,1184.95,1139.0,1175.6,7427579
2021-12-17,1182.0,1204.65,1137.0,1142.55,6192551
2021-12-24,1139.5,1153.65,1100.6,1148.2,6023952
2021-12-31,1148.0,1204.95,1135.35,1196.0,5153951
2022-01-07,1196.0,1228.45,1196.0,1217.4,5151104
2022-01-14,1219.0,1272.25,1213.3,1263.6,5565103
2022-01-21,1256.3,1293.25,1201.0,1240.65,6060887
2022-01-28,1240.0,1240.0,1201.0,1205.55,4585584
2022-02-04,1210.0,1250.0,1165.15,1172.1,6395041
2022-02-11,1161.8,1171.7,1108.0,1133.3,8746315
2022-02-18,1125.0,1160.9,1086.2,1150.5,7906542
2022-02-25,1145.0,1150.5,1040.7,1055.6,8384582
2022-03-04,1049.0,1126.75,1016.85,1057.35,8021172
2022-03-11,1026.6,1066.1,1003.5,1058.5,6120569
2022-03-18,1047.0,1140.0,1040.15,1128.55,5831390
2022-03-25,1139.0,1139.0,1070.0,1092.6,4027975
2022-04-01,1092.9,1128.0,1056.0,1113.35,12931381
2022-04-08,1113.35,1165.0,1100.0,1160.45,7287379
2022-04-15,1160.0,1160.0,1119.05,1146.9,3334421
2022-04-22,1145.0,1184.95,1112.0,1137.25,5555058
2022-04-29,1120.0,1132.6,1061.2,1105.5,8101485
2022-05-06,1088.95,1115.0,1052.2,1059.15,5260029
2022-05-13,1034.0,1104.45,1033.2,1044.95,7064244
2022-05-20,1045.0,1085.0,1034.15,1071.35,3922345
2022-05-27,1062.0,1129.4,1057.25,1121.1,6518278
2022-06-03,1125.4,1180.9,1118.85,1141.15,5781788
2022-06-10,1135.6,1167.25,1113.5,1154.9,5188895
2022-06-17,1137.05,1161.8,1075.9,1082.1,5650649
2022-06-24,1078.15,1098.5,1061.45,1078.55,3139039
2022-07-01,1083.9,1105.35,1051.55,1099.85,4857052
2022-07-08,1105.0,1149.4,1095.1,1146.9,4986884
2022-07-15,1145.95,1158.1,1130.05,1155.45,2563319
2022-07-22,1165.45,1199.0,1155.5,1164.95,5554449
2022-07-29,1172.0,1304.7,1132.2,1294.4,11846096
2022-08-05,1300.0,1317.25,1258.6,1266.65,7994473
2022-08-12,1261.2,1294.3,1251.25,1286.55,4705663
2022-08-19,1289.0,1334.7,1287.05,1296.95,5379415
2022-08-26,1292.05,1327.5,1270.0,1313.7,4610261
2022-09-02,1256.0,1333.65,1256.0,1288.2,5008898
2022-09-09,1294.65,1340.35,1282.0,1297.45,4826725
2022-09-16,1297.8,1335.0,1266.0,1272.25,6122404
2022-09-23,1278.5,1322.5,1265.55,1273.0,3333309
2022-09-30,1271.8,1271.8,1215.0,1250.0,5913372
2022-10-07,1255.6,1279.95,1227.85,1243.2,2873799
2022-10-14,1230.0,1243.95,1177.6,1179.8,3380245
2022-10-21,1178.0,1250.25,1167.6,1246.35,5829865
2022-10-28,1268.95,1278.6,1238.8,1252.8,3458732
2022-11-04,1259.1,1286.4,1255.3,1265.6,2715027
2022-11-11,1271.95,1290.0,1225.95,1250.25,3100534
2022-11-18,1251.0,1265.55,1237.65,1242.75,4877836
2022-11-25,1230.1,1254.95,1205.5,1235.25,5818364
2022-12-02,1230.0,1299.95,1227.0,1295.15,6108724
2022-12-09,1298.1,1313.5,1242.0,1269.65,4599671
2022-12-16,1268.95,1295.0,1250.6,1254.15,3732531
2022-12-23,1254.2,1270.9,1216.75,1224.6,5191776
2022-12-30,1222.95,1263.8,1205.0,1231.3,3146707
2023-01-06,1230.0,1287.35,1222.0,1269.05,6202993
2023-01-13,1275.4,1320.0,1271.15,1315.7,4462939
2023-01-20,1319.55,1330.0,1292.35,1296.1,4731219
2023-01-27,1285.0,1318.15,1230.0,1250.25,3789265
2023-02-03,1222.0,1244.45,1068.85,1138.05,24553587
2023-02-10,1126.95,1187.5,1115.0,1184.5,11758793
2023-02-17,1180.2,1187.95,1137.25,1149.7,4313005
2023-02-24,1144.0,1170.65,1119.2,1122.05,3784853
2023-03-03,1122.05,1135.0,1098.1,1129.25,4296757
2023-03-10,1132.0,1145.95,1083.95,1095.9,4012931
2023-03-17,1092.0,1101.4,1054.6,1071.6,6124337
2023-03-24,1071.6,1127.65,1054.0,1112.2,4568686
2023-03-31,1109.7,1116.6,1083.25,1100.0,3538565
2023-04-07,1100.0,1126.8,1091.8,1116.25,3362377
2023-04-14,1119.4,1139.0,1104.05,1130.25,4191583
2023-04-21,1120.0,1153.3,1103.35,1106.55,4106449
2023-04-28,1106.0,1148.0,1090.6,1140.1,6705695
2023-05-05,1147.0,1183.25,1134.3,1173.7,5310861
2023-05-12,1178.0,1195.8,1168.0,1187.05,5833958
2023-05-19,1181.1,1201.8,1142.55,1154.15,3761953
2023-05-26,1157.45,1203.7,1144.85,1195.75,4367320
2023-06-02,1198.95,1243.0,1197.1,1202.5,6278221
2023-06-09,1208.0,1254.75,1205.0,1232.4,6126156
2023-06-16,1242.2,1291.9,1227.65,1281.25,6156043
2023-06-23,1281.35,1306.7,1260.55,1264.95,4695158
2023-06-30,1266.95,1315.45,1258.2,1309.95,5869701
2023-07-07,1307.95,1320.0,1282.85,1298.0,4078337
2023-07-14,1300.7,1336.0,1283.2,1320.0,5292364
2023-07-21,1321.0,1328.15,1288.0,1295.0,4556515
2023-07-28,1290.7,1324.0,1275.4,1290.0,7759846
2023-08-04,1296.95,1296.95,1251.65,1267.8,5644028
2023-08-11,1273.0,1373.95,1266.6,1308.3,8631689
2023-08-18,1314.0,1314.0,1266.0,1280.0,3006082
2023-08-25,1282.95,1313.2,1274.85,1295.0,3785027
2023-09-01,1300.0,1327.1,1286.5,1320.55,4734140
2023-09-08,1328.5,1351.3,1301.5,1341.45,6608541
2023-09-15,1344.45,1374.85,1328.25,1372.65,4189593
2023-09-22,1375.0,1393.0,1316.0,1318.85,3766784
2023-09-29,1318.8,1340.0,1277.95,1305.4,4621994
2023-10-06,1302.15,1302.15,1264.35,1282.95,4185656
2023-10-13,1278.1,1329.65,1272.0,1316.45,5583663
2023-10-20,1319.2,1368.65,1310.55,1362.65,3638318
2023-10-27,1359.95,1366.55,1290.75,1302.9,3684442
2023-11-03,1305.2,1377.95,1305.0,1329.35,5826964
2023-11-10,1335.0,1360.0,1320.4,1355.0,3046990
2023-11-17,1364.5,1434.45,1325.0,1413.95,5913115
2023-11-24,1413.95,1438.55,1383.0,1409.7,4578747
2023-12-01,1409.8,1445.0,1393.1,1423.65,5847415
2023-12-08,1439.9,1483.45,1415.0,1465.2,7635702
2023-12-15,1465.2,1491.9,1448.6,1452.5,9210763
2023-12-22,1452.5,1461.4,1379.95,1394.3,6968019
2023-12-29,1400.0,1444.95,1387.65,1432.6,3424248
2024-01-05,1435.85,1468.0,1415.0,1454.15,3596955
2024-01-12,1454.15,1495.35,1416.4,1435.3,6623700
2024-01-19,1442.0,1445.0,1384.2,1440.6,8126890
