date,open,high,low,close,volume
2020-01-17,334.0,335.45,310.1,318.0,167586935
2020-01-24,321.0,327.3,312.0,324.05,142270074
2020-01-31,320.9,322.0,305.65,318.45,202170863
2020-02-07,317.95,325.0,295.35,320.55,298942761
2020-02-14,319.8,331.9,316.5,319.4,204658006
2020-02-21,320.95,329.2,309.4,327.65,155536411
2020-02-28,325.75,331.3,301.1,303.0,234955312
2020-03-06,311.0,312.0,253.95,270.5,457625676
2020-03-13,260.05,262.75,184.65,242.0,447615326
2020-03-20,227.9,231.4,198.15,209.85,413333747
2020-03-27,190.0,211.9,173.55,195.95,422819674
2020-04-03,190.0,198.5,175.0,175.5,237037562
2020-04-10,184.4,194.4,177.6,187.75,214987691
2020-04-17,186.8,198.0,180.15,193.25,275061918
2020-04-24,194.0,197.35,179.0,179.75,312613314
2020-05-01,183.5,195.9,180.5,190.5,213133349
2020-05-08,182.45,183.5,166.1,166.65,321209784
2020-05-15,167.95,178.55,160.85,166.4,290704879
2020-05-22,166.4,166.4,149.45,150.85,363272084
2020-05-29,152.4,162.4,150.2,161.3,271826311
2020-06-05,164.0,189.8,163.35,187.8,561158147
2020-06-12,197.0,197.5,169.8,179.15,500234048
2020-06-19,177.85,184.95,169.25,184.5,336574613
2020-06-26,185.0,194.9,180.4,184.6,342988257
2020-07-03,183.0,188.0,177.25,184.7,238777515
2020-07-10,186.6,202.5,184.05,195.6,442948792
2020-07-17,198.8,199.8,181.65,188.2,276309010
2020-07-24,190.0,199.1,188.75,191.95,303311965
2020-07-31,193.0,195.25,185.75,191.45,370353470
2020-08-07,192.0,196.85,189.55,190.65,289776790
2020-08-14,191.85,207.3,191.7,196.5,377117630
2020-08-21,198.45,201.5,191.5,198.4,265939231
2020-08-28,200.0,225.9,198.6,224.85,402997907
2020-09-04,231.55,231.55,205.9,206.6,335679019
2020-09-11,207.5,209.65,192.5,202.7,258830109
2020-09-18,205.9,206.2,189.7,192.6,264289169
2020-09-25,193.05,193.5,175.5,182.2,245819030
2020-10-02,184.0,191.2,182.4,190.3,158841941
2020-10-09,192.0,198.8,187.05,198.3,215632768
2020-10-16,199.7,205.95,191.6,195.95,230705428
2020-10-23,196.2,207.3,196.05,202.8,220487195
2020-10-30,202.7,204.0,185.9,189.25,216079615
2020-11-06,192.2,221.85,190.05,219.2,451238907
2020-11-13,222.5,239.35,217.05,229.45,432285299
2020-11-20,231.85,253.0,231.0,242.75,351711050
2020-11-27,243.5,249.9,238.1,244.25,298546188
2020-12-04,245.0,264.35,244.1,263.5,252244821
2020-12-11,263.8,276.25,263.0,272.45,279098107
2020-12-18,274.0,276.15,265.0,271.45,147402530
2020-12-25,268.45,269.0,248.25,266.85,163984479
2021-01-01,268.75,280.0,268.0,279.4,166817592
2021-01-08,281.85,291.8,277.0,286.0,162650118
2021-01-15,288.0,310.9,277.9,303.85,227432451
2021-01-22,303.5,308.65,282.4,283.7,198901226
2021-01-29,284.5,290.65,269.5,282.1,164200862
2021-02-05,285.1,408.35,282.75,393.1,651120988
2021-02-12,398.0,407.8,385.55,393.15,287350787
2021-02-19,397.5,427.7,395.0,399.55,344379007
2021-02-26,400.6,414.9,385.65,390.15,248183281
2021-03-05,395.1,408.9,378.1,383.65,222223674
2021-03-12,388.45,394.9,377.5,381.1,125139629
2021-03-19,382.5,387.85,357.25,371.15,213704712
2021-03-26,372.0,377.95,345.2,357.2,209932861
2021-04-02,360.1,371.9,356.3,370.95,109867195
2021-04-09,367.5,369.2,347.6,353.0,223676979
2021-04-16,344.0,347.55,322.55,339.9,215951621
2021-04-23,327.15,339.9,321.3,336.45,187901390
2021-04-30,339.25,369.95,339.25,353.5,269421273
2021-05-07,349.6,362.9,341.4,358.25,216923386
2021-05-14,360.5,373.5,354.75,360.45,188745248
2021-05-21,364.4,404.4,363.65,401.2,461305852
2021-05-28,417.0,433.65,405.3,422.0,389757426
2021-06-04,421.0,441.95,418.0,433.6,211982061
2021-06-11,435.1,437.4,418.2,429.6,133275949
2021-06-18,427.0,432.8,402.65,412.9,134899895
2021-06-25,406.35,431.0,400.5,428.8,138196705
2021-07-02,430.7,433.15,417.15,424.4,102523055
2021-07-09,426.5,436.5,421.05,423.75,89384644
2021-07-16,426.5,432.95,424.6,430.0,58209485
2021-07-23,423.4,429.95,418.85,428.9,58530711
2021-07-30,427.8,444.4,421.05,431.8,126187751
2021-08-06,434.75,467.45,431.8,435.65,284441850
2021-08-13,437.9,441.8,421.7,431.2,111574737
2021-08-20,430.0,434.0,405.15,406.7,83776934
2021-08-27,411.1,421.3,401.25,412.45,92971450
