date,open,high,low,close,volume
2020-01-17,210.51,212.0,203.56,204.51,40731
2020-01-24,206.14,214.48,199.75,203.75,69426
2020-01-31,203.16,211.1,195.39,195.73,49161
2020-02-07,194.82,202.57,186.68,188.18,53510
2020-02-14,189.66,189.78,178.74,179.76,24813
2020-02-21,179.23,180.72,171.78,176.18,19402
2020-02-28,178.73,185.7,166.02,170.51,76543
2020-03-06,170.51,172.65,151.01,153.29,31377
2020-03-13,155.7,158.82,95.32,142.87,127341
2020-03-20,140.8,155.72,95.92,130.35,218499
2020-03-27,126.11,126.11,102.57,110.45,67500
2020-04-03,111.0,123.32,106.27,123.32,25285
2020-04-10,126.0,131.0,118.0,130.45,19280
2020-04-17,124.4,161.05,124.0,155.33,41835
2020-04-24,155.6,178.8,131.18,145.99,37670
2020-05-01,145.98,149.26,131.4,141.64,57575
2020-05-08,140.0,140.0,128.79,131.26,21430
2020-05-15,135.88,138.29,125.23,126.36,22875
2020-05-22,126.08,127.87,114.91,119.77,19380
2020-05-29,116.12,127.0,116.08,120.9,27160
2020-06-05,121.4,149.8,119.74,144.65,102645
2020-06-12,149.4,156.2,132.6,140.08,51085
2020-06-19,145.12,145.12,129.6,143.06,48530
2020-06-26,143.52,178.0,143.06,161.45,104675
2020-07-03,159.0,188.2,153.72,162.88,279085
2020-07-10,166.0,168.8,155.11,155.46,34540
2020-07-17,154.09,171.06,153.09,163.71,69365
2020-07-24,165.0,165.79,151.99,155.02,45955
2020-07-31,154.0,155.88,140.2,145.29,46890
2020-08-07,145.28,173.6,142.4,167.6,103540
2020-08-14,168.0,201.78,168.0,194.86,195970
2020-08-21,205.0,230.0,196.0,216.98,289915
2020-08-28,221.99,224.0,201.02,203.09,117585
2020-09-04,202.25,210.4,182.98,196.4,71430
2020-09-11,192.41,196.55,177.48,181.82,67450
2020-09-18,187.7,196.0,174.0,176.17,106280
2020-09-25,176.17,176.17,160.0,170.14,46645
2020-10-02,175.8,181.8,162.77,175.0,26820
2020-10-09,177.57,179.8,166.2,175.28,23645
2020-10-16,177.41,177.41,160.0,170.03,25875
2020-10-23,168.99,189.08,163.2,183.26,65285
2020-10-30,188.58,189.0,168.91,170.0,41295
2020-11-06,169.29,194.0,168.91,191.22,54840
2020-11-13,200.0,250.59,188.84,250.59,293400
2020-11-20,267.8,320.0,250.59,283.52,965705
2020-11-27,287.0,324.0,277.2,315.27,260795
2020-12-04,319.76,344.8,310.0,331.57,202425
2020-12-11,325.6,358.0,317.33,353.89,148510
2020-12-18,358.4,371.0,344.7,347.23,127645
2020-12-25,348.89,358.6,311.05,356.83,125210
2021-01-01,359.2,450.0,347.41,407.13,639075
2021-01-08,409.0,432.8,401.49,415.32,284760
2021-01-15,419.15,419.15,357.02,381.55,150405
2021-01-22,375.39,411.0,367.48,382.62,89410
2021-01-29,397.0,410.0,378.0,387.56,93375
2021-02-05,386.55,438.0,384.2,438.0,163330
2021-02-12,425.2,504.0,425.2,481.32,356645
2021-02-19,485.38,487.04,429.0,449.53,91015
2021-02-26,445.2,479.8,444.0,446.0,68235
