date,open,high,low,close,volume
2020-09-25,109.1,118.82,95.21,103.84,139325
2020-10-02,103.64,106.07,99.97,100.37,70241
2020-10-09,101.16,107.61,96.5,101.36,102512
2020-10-16,102.65,102.65,96.3,100.17,62066
2020-10-23,100.17,108.8,97.39,101.21,67106
2020-10-30,101.56,104.14,91.44,98.54,96521
2020-11-06,98.58,103.89,96.3,98.83,77709
2020-11-13,98.83,103.05,97.64,100.12,60138
2020-11-20,103.05,120.95,98.68,107.61,96858
2020-11-27,109.59,109.59,102.16,104.83,108975
2020-12-04,105.63,111.18,103.64,109.0,66514
2020-12-11,116.93,130.92,107.11,124.87,134274
2020-12-18,128.74,179.71,124.97,168.46,999212
2020-12-25,164.14,172.47,158.69,168.61,104719
2021-01-01,170.09,187.45,163.7,181.85,437773
2021-01-08,186.36,205.2,178.52,202.38,179787
2021-01-15,206.29,206.29,182.14,186.56,154291
2021-01-22,194.39,194.39,176.54,179.96,99742
2021-01-29,180.85,184.43,169.35,171.88,16778
2021-02-05,175.99,197.47,171.88,190.87,195252
2021-02-12,198.36,215.32,198.31,209.82,300628
2021-02-19,215.12,238.33,210.76,232.28,97532
2021-02-26,237.04,237.83,219.39,225.83,47022
2021-03-05,232.97,266.7,227.12,253.26,96832
2021-03-12,257.77,284.65,251.92,269.62,143724
2021-03-19,277.41,277.41,238.03,248.84,104017
2021-03-26,252.41,267.64,244.97,257.57,33934
2021-04-02,262.53,275.67,254.5,268.03,16434
2021-04-09,268.08,312.42,263.12,308.9,138316
2021-04-16,308.45,327.29,295.8,321.44,101387
2021-04-23,320.25,320.25,305.52,308.35,144964
2021-04-30,311.43,364.29,307.51,355.76,672364
2021-05-07,352.09,401.53,337.96,376.44,555539
2021-05-14,390.77,441.15,374.45,431.83,329998
2021-05-21,444.28,487.12,421.52,454.99,356656
2021-05-28,461.58,523.12,456.23,497.44,537992
2021-06-04,500.86,501.35,451.52,466.05,210297
2021-06-11,466.15,473.93,441.45,458.46,151938
2021-06-18,463.17,484.1,413.63,443.48,144193
2021-06-25,443.48,453.65,424.59,446.71,160667
2021-07-02,454.24,497.78,437.88,486.73,864622
2021-07-09,495.7,495.7,463.12,465.75,272119
2021-07-16,473.93,544.2,456.33,533.74,745106
2021-07-23,538.55,541.62,498.08,532.99,538112
2021-07-30,535.57,570.53,509.44,532.1,633981
2021-08-06,540.53,560.37,530.51,548.56,394166
2021-08-13,556.4,591.56,512.02,527.89,367587
2021-08-20,535.57,550.45,504.53,511.17,251720
2021-08-27,477.06,529.77,477.06,504.83,195506
2021-09-03,508.3,543.51,499.97,516.83,99369
2021-09-10,524.56,533.59,515.84,525.51,79904
2021-09-17,526.15,567.76,519.7,537.16,1365698
2021-09-24,533.49,673.13,527.89,641.69,1209740
2021-10-01,646.65,694.16,620.67,690.89,505107
2021-10-08,699.22,787.44,678.89,761.21,693506
2021-10-15,768.65,803.16,763.29,774.65,260247
2021-10-22,783.52,797.41,726.99,750.0,194588
2021-10-29,753.37,822.7,719.06,750.74,304632
2021-11-05,757.74,922.37,735.92,889.6,360843
2021-11-12,896.59,922.37,860.93,880.12,185223
2021-11-19,888.55,908.94,860.88,880.67,121654
2021-11-26,885.68,886.02,818.28,832.52,166737
2021-12-03,820.17,842.93,724.36,809.95,126938
2021-12-10,818.04,818.53,784.12,791.01,77210
2021-12-17,785.6,808.37,750.74,763.59,177665
2021-12-24,763.59,1104.87,719.06,1023.14,1551117
2021-12-31,1017.59,1086.02,994.83,1041.09,290248
2022-01-07,1063.21,1234.79,991.8,1157.68,407241
2022-01-14,1160.36,1171.02,1112.4,1142.16,162240
2022-01-21,1150.44,1356.63,1150.44,1271.49,317167
2022-01-28,1271.49,1357.63,1165.41,1247.93,299025
2022-02-04,1279.42,1313.24,1197.1,1253.59,134501
2022-02-11,1259.64,1273.47,1181.68,1232.31,137986
2022-02-18,1191.15,1219.32,1120.73,1125.54,123954
2022-02-25,1096.98,1130.45,995.62,1082.1,174955
2022-03-04,1053.29,1098.91,1028.94,1043.47,92859
2022-03-11,1041.39,1134.52,1001.72,1079.43,72763
2022-03-18,1079.03,1140.57,1041.49,1116.37,78050
2022-03-25,1139.33,1174.09,1092.77,1156.93,533721
2022-04-01,1188.18,1275.45,1114.68,1264.79,753283
2022-04-08,1280.41,1299.26,1234.79,1291.17,377995
2022-04-15,1299.26,1413.32,1293.31,1391.59,215254
2022-04-22,1413.17,1447.83,1295.84,1440.54,395328
2022-04-29,1441.09,1462.91,1393.53,1399.58,342552
2022-05-06,1378.6,1395.46,1240.74,1274.91,270564
2022-05-13,1239.75,1304.22,1158.32,1193.88,294285
2022-05-20,1247.39,1298.27,1154.01,1240.2,235158
2022-05-27,1250.91,1270.25,1040.4,1151.63,172034
2022-06-03,1155.45,1284.38,1150.49,1255.07,454330
2022-06-10,1255.07,1284.38,1221.9,1239.65,74161
2022-06-17,1200.13,1223.88,1059.74,1072.93,177206
2022-06-24,1072.93,1114.34,1014.12,1100.75,106913
2022-07-01,1110.82,1127.23,1066.43,1084.58,79092
2022-07-08,1084.58,1160.41,1066.19,1151.38,115133
2022-07-15,1168.04,1188.52,1125.69,1174.74,100331
2022-07-22,1188.18,1235.83,1145.53,1180.89,175592
2022-07-29,1165.61,1209.55,1150.49,1174.59,90660
2022-08-05,1204.0,1214.96,1159.41,1163.73,62287
2022-08-12,1163.73,1186.49,1137.59,1148.01,95782
2022-08-19,1148.5,1175.08,1095.94,1126.49,88929
2022-08-26,1115.78,1186.14,1115.78,1143.84,185043
2022-09-02,1096.93,1139.88,1082.5,1092.17,102837
2022-09-09,1081.06,1198.39,1081.06,1136.9,1122754
2022-09-16,1148.45,1257.6,1125.69,1240.15,698523
2022-09-23,1254.63,1319.04,1239.75,1250.56,435267
2022-09-30,1242.28,1282.4,1203.6,1254.13,391825
2022-10-07,1262.56,1328.02,1228.84,1290.03,333779
2022-10-14,1279.42,1288.25,1229.78,1252.25,212383
2022-10-21,1252.25,1349.94,1230.03,1308.43,324124
2022-10-28,1328.96,1328.96,1278.48,1299.61,213214
2022-11-04,1319.09,1426.21,1303.27,1340.37,391899
2022-11-11,1346.86,1368.49,1214.96,1225.67,286861
2022-11-18,1202.41,1277.44,1202.41,1251.5,280824
2022-11-25,1241.73,1293.01,1233.5,1262.36,231296
2022-12-02,1279.42,1287.06,1205.24,1237.42,740691
2022-12-09,1239.7,1322.07,1232.81,1306.65,524477
2022-12-16,1309.97,1329.01,1266.08,1287.01,402464
2022-12-23,1280.41,1294.3,1096.04,1138.93,354030
2022-12-30,1105.86,1277.74,1105.86,1241.63,385620
2023-01-06,1220.91,1238.96,1181.58,1188.72,255382
2023-01-13,1198.44,1223.24,1159.41,1191.7,240988
2023-01-20,1206.03,1242.63,1193.58,1205.33,212860
2023-01-27,1205.33,1277.44,1153.46,1178.46,337061
2023-02-03,1160.41,1237.77,1145.53,1177.51,240304
2023-02-10,1195.12,1253.59,1168.69,1241.83,326106
2023-02-17,1264.55,1264.55,1164.67,1180.59,286654
2023-02-24,1192.34,1202.76,1147.31,1175.04,318765
2023-03-03,1190.9,1208.91,990.6,1051.8,1028239
2023-03-10,1064.95,1079.7,1033.0,1038.85,337745
2023-03-17,1039.95,1044.5,994.15,1013.25,373428
2023-03-24,1014.95,1097.65,1000.1,1082.55,361421
2023-03-31,1082.95,1083.0,1036.7,1058.9,250193
2023-04-07,1079.75,1187.9,1050.0,1173.45,817429
2023-04-14,1184.5,1204.9,1147.0,1173.6,258333
2023-04-21,1175.0,1226.0,1168.35,1224.55,310211
2023-04-28,1225.0,1227.0,1121.95,1201.4,236185
2023-05-05,1202.0,1220.0,1171.5,1192.6,160699
2023-05-12,1204.0,1230.1,1185.9,1216.0,204548
2023-05-19,1197.5,1241.6,1197.5,1229.0,312333
2023-05-26,1230.3,1307.95,1230.3,1297.6,1007365
2023-06-02,1339.0,1339.0,1268.8,1273.85,273055
2023-06-09,1275.0,1324.65,1255.0,1290.35,401956
2023-06-16,1300.0,1329.9,1279.95,1285.0,263762
2023-06-23,1300.0,1300.0,1268.0,1271.1,98115
2023-06-30,1292.0,1319.85,1280.0,1300.0,266648
2023-07-07,1310.0,1310.4,1229.95,1230.0,742161
2023-07-14,1239.95,1259.85,1202.0,1220.0,270296
2023-07-21,1227.0,1244.0,1205.15,1232.0,205947
2023-07-28,1240.0,1250.95,1170.0,1200.0,303070
2023-08-04,1212.0,1243.3,1175.0,1236.9,208627
2023-08-11,1245.0,1271.0,1220.95,1226.0,294231
2023-08-18,1226.0,1299.0,1209.55,1288.0,396486
2023-08-25,1299.5,1334.0,1277.6,1295.0,459634
2023-09-01,1296.0,1414.0,1295.0,1403.6,778938
2023-09-08,1410.0,1413.5,1350.0,1355.0,240881
2023-09-15,1369.95,1370.0,1312.05,1341.0,159898
2023-09-22,1341.0,1364.9,1302.8,1362.0,195881
2023-09-29,1364.95,1451.0,1300.45,1304.0,451231
2023-10-06,1304.0,1408.0,1272.75,1401.35,1093294
2023-10-13,1390.0,1427.65,1358.0,1410.3,611987
2023-10-20,1409.95,1492.8,1392.15,1452.25,629086
2023-10-27,1451.0,1525.0,1375.0,1488.75,1588490
2023-11-03,1500.0,1629.45,1452.0,1540.35,1542091
2023-11-10,1563.0,1563.0,1477.0,1526.05,1165173
2023-11-17,1553.0,1847.0,1544.45,1769.2,2622144
2023-11-24,1780.0,1780.0,1693.0,1712.35,432646
2023-12-01,1713.05,1747.0,1662.25,1681.35,451464
2023-12-08,1730.0,1801.7,1650.0,1776.0,700214
2023-12-15,1787.9,1859.9,1750.1,1834.0,557670
2023-12-22,1838.0,1863.0,1738.8,1800.0,444427
2023-12-29,1809.0,1880.0,1785.0,1866.0,273342
2024-01-05,1868.5,1884.45,1795.05,1824.8,404327
2024-01-12,1830.0,1858.9,1791.1,1829.7,438506
2024-01-19,1849.95,1855.0,1802.0,1820.35,406143
