date,open,high,low,close,volume
2020-01-17,1136.86,1185.01,1054.83,1062.3,5698054
2020-01-24,1072.31,1087.74,1037.98,1058.54,3765310
2020-01-31,1051.8,1094.77,992.86,996.67,6873793
2020-02-07,1002.87,1205.61,942.96,1194.48,20687019
2020-02-14,1184.62,1265.19,1170.5,1256.3,9268893
2020-02-21,1258.84,1327.59,1216.21,1309.91,6805867
2020-02-28,1308.64,1335.01,1139.59,1168.31,22060586
2020-03-06,1196.33,1326.37,975.28,1079.44,16886999
2020-03-13,1022.5,1033.49,700.08,806.67,12464423
2020-03-20,769.56,833.19,556.47,567.31,18246277
2020-03-27,510.62,795.2,429.7,708.23,16430611
2020-04-03,673.85,679.57,502.95,508.47,15850500
2020-04-10,523.07,664.77,488.4,660.13,15763081
2020-04-17,640.6,798.37,605.69,783.28,15640177
2020-04-24,791.05,803.74,552.76,652.56,42947677
2020-05-01,655.3,780.84,622.09,762.72,22789336
2020-05-08,722.68,788.12,674.05,726.98,23427910
2020-05-15,742.02,749.93,611.6,626.34,33456163
2020-05-22,627.95,629.32,515.4,528.49,36528201
2020-05-29,537.23,569.26,519.55,558.91,29111895
2020-06-05,571.31,626.0,549.87,600.51,46718701
2020-06-12,610.37,677.47,591.82,668.39,49446430
2020-06-19,673.85,690.99,623.51,643.43,39070655
2020-06-26,657.64,716.82,649.93,688.41,30839202
2020-07-03,683.42,696.8,668.19,679.71,16091578
2020-07-10,688.99,769.0,674.83,698.9,37399789
2020-07-17,706.0,712.85,644.5,688.25,19425052
2020-07-24,695.35,713.5,676.8,706.85,17096141
2020-07-31,712.0,736.8,670.7,691.3,20678739
2020-08-07,692.4,704.5,636.1,676.75,19464341
2020-08-14,678.0,730.6,650.0,686.35,26424270
2020-08-21,698.0,708.9,673.1,686.5,17428464
2020-08-28,690.0,783.7,680.55,772.75,35513421
2020-09-04,780.2,792.9,669.05,687.45,27368040
2020-09-11,693.0,693.7,620.65,643.65,21538605
2020-09-18,650.0,665.75,631.45,646.6,16465335
2020-09-25,649.4,652.85,555.55,590.3,23811684
2020-10-02,599.0,664.65,597.0,658.7,16967290
2020-10-09,662.0,676.0,626.3,641.1,15682063
2020-10-16,645.0,674.0,626.5,647.1,18217275
2020-10-23,647.2,717.9,644.2,710.05,20628718
2020-10-30,707.0,748.8,670.0,693.45,25126904
2020-11-06,693.9,862.0,693.9,846.4,31665397
2020-11-13,848.05,890.5,826.0,876.05,23643502
2020-11-20,882.0,998.4,848.8,933.9,32017511
2020-11-27,942.5,1091.9,940.9,1070.2,41880398
2020-12-04,1079.9,1080.0,986.25,1003.1,15965145
2020-12-11,1011.0,1087.0,1010.05,1043.25,19786195
2020-12-18,1060.0,1108.0,1016.05,1027.8,15797529
2020-12-25,1030.1,1031.0,918.1,996.6,19394571
2021-01-01,1004.85,1076.9,998.2,1070.85,17287151
2021-01-08,1084.0,1316.9,1058.85,1295.7,29723007
2021-01-15,1304.5,1314.6,1177.55,1204.55,20912245
2021-01-22,1210.0,1276.35,1142.0,1150.65,17752039
2021-01-29,1188.0,1319.0,1097.45,1291.35,34232549
2021-02-05,1282.6,1476.15,1266.25,1384.45,25439727
2021-02-12,1415.0,1479.0,1390.0,1438.25,13701156
2021-02-19,1450.0,1534.95,1381.05,1404.6,13790819
2021-02-26,1414.0,1424.9,1270.0,1282.95,12052418
2021-03-05,1305.0,1378.9,1272.0,1289.2,9523995
2021-03-12,1306.8,1342.0,1255.0,1325.45,11438940
2021-03-19,1337.95,1379.55,1238.15,1373.95,14292205
2021-03-26,1368.9,1471.5,1347.05,1429.15,12708081
2021-04-02,1443.45,1479.0,1411.1,1472.7,6412299
2021-04-09,1464.95,1510.0,1390.55,1469.6,11093322
2021-04-16,1410.0,1415.9,1292.95,1378.0,15100028
2021-04-23,1302.0,1387.85,1287.3,1380.65,12794272
2021-04-30,1379.0,1445.0,1319.1,1345.05,14806338
2021-05-07,1334.0,1349.2,1272.1,1297.65,11831586
2021-05-14,1299.0,1372.0,1296.35,1326.5,6744234
2021-05-21,1329.5,1488.0,1320.25,1478.75,9885576
2021-05-28,1476.0,1514.4,1415.0,1455.05,8793835
2021-06-04,1466.0,1466.0,1388.35,1423.2,7078297
2021-06-11,1422.5,1529.6,1411.75,1475.35,15728116
2021-06-18,1470.0,1483.9,1344.0,1380.0,11470957
2021-06-25,1355.0,1401.95,1338.35,1368.1,6288603
2021-07-02,1381.95,1396.0,1330.0,1362.2,5323802
2021-07-09,1365.0,1460.0,1362.5,1455.7,6978221
2021-07-16,1463.9,1470.5,1415.0,1449.35,5343838
2021-07-23,1425.0,1440.0,1351.0,1385.6,5779541
2021-07-30,1384.8,1412.0,1325.75,1390.1,6139275
2021-08-06,1396.0,1430.0,1310.2,1315.95,10707037
2021-08-13,1320.0,1320.4,1243.8,1295.05,5683207
2021-08-20,1291.0,1305.0,1250.0,1254.5,3752442
2021-08-27,1275.4,1297.15,1216.0,1281.4,5128805
2021-09-03,1294.0,1388.6,1283.2,1350.05,6592763
2021-09-10,1356.0,1381.4,1326.0,1348.35,4363140
2021-09-17,1346.0,1425.9,1310.75,1360.8,6430856
2021-09-24,1350.0,1406.8,1285.75,1355.7,4881018
2021-10-01,1359.5,1362.45,1273.3,1294.55,5373600
2021-10-08,1301.4,1357.5,1296.05,1330.95,4292091
2021-10-15,1335.9,1399.1,1320.0,1383.55,4344876
2021-10-22,1403.7,1558.8,1380.25,1518.6,12403091
2021-10-29,1540.25,1588.0,1425.0,1436.2,7220603
2021-11-05,1455.0,1643.75,1389.35,1617.15,8407603
2021-11-12,1625.2,1696.4,1581.05,1622.4,7597012
2021-11-19,1620.0,1663.0,1577.65,1601.4,3535137
2021-11-26,1609.4,1609.8,1434.45,1446.7,4379501
2021-12-03,1433.55,1478.9,1388.55,1447.15,5401827
2021-12-10,1450.0,1517.05,1441.8,1504.35,3178790
2021-12-17,1520.0,1531.75,1265.75,1273.7,6806075
2021-12-24,1250.0,1263.4,1157.2,1177.55,6167960
2021-12-31,1177.55,1246.85,1171.15,1217.0,5533382
2022-01-07,1221.8,1276.75,1203.9,1215.5,4530930
2022-01-14,1220.1,1264.8,1208.0,1240.3,4314556
2022-01-21,1242.0,1267.0,1170.95,1198.5,5438377
2022-01-28,1195.1,1299.85,1103.2,1242.85,8772026
2022-02-04,1259.0,1304.35,1225.0,1233.2,3988885
2022-02-11,1235.0,1275.0,1206.65,1235.55,2828998
2022-02-18,1206.0,1291.95,1143.15,1258.1,7598576
2022-02-25,1244.0,1252.55,1060.0,1127.5,6087533
2022-03-04,1109.0,1147.3,1066.0,1089.15,5228701
2022-03-11,1055.0,1100.0,1002.0,1090.95,7554908
2022-03-18,1094.95,1144.4,1077.6,1129.55,5768800
2022-03-25,1130.55,1141.4,1066.0,1103.0,5055255
2022-04-01,1108.5,1199.0,1083.75,1181.35,5027943
2022-04-08,1184.0,1213.5,1155.05,1207.2,7524631
2022-04-15,1215.0,1238.0,1170.1,1183.95,2636091
2022-04-22,1162.0,1189.0,1092.05,1108.0,5201666
2022-04-29,1095.0,1239.0,1076.35,1202.05,12220024
2022-05-06,1189.7,1257.45,1131.1,1183.8,6871103
2022-05-13,1178.0,1178.0,1047.1,1061.6,7782791
2022-05-20,1060.0,1126.8,1051.8,1096.0,5327640
2022-05-27,1100.0,1161.5,1100.0,1142.45,4988880
2022-06-03,1157.0,1200.0,1141.9,1178.5,6296305
2022-06-10,1176.0,1197.15,1142.55,1165.3,3398618
2022-06-17,1145.0,1175.0,1112.55,1149.05,5007074
2022-06-24,1150.0,1255.75,1116.45,1245.3,4501804
2022-07-01,1269.0,1297.2,1218.0,1265.7,5139253
2022-07-08,1251.0,1323.55,1250.0,1280.45,4007481
2022-07-15,1275.65,1318.0,1233.7,1314.65,3238326
2022-07-22,1332.0,1499.9,1323.0,1496.1,4941828
2022-07-29,1473.0,1509.0,1370.5,1379.75,6675442
2022-08-05,1380.0,1403.35,1333.55,1362.45,4220706
2022-08-12,1370.0,1425.3,1356.0,1367.95,3931858
2022-08-19,1365.0,1387.0,1327.05,1346.85,4270962
2022-08-26,1364.85,1364.85,1298.2,1333.35,3211676
2022-09-02,1302.25,1359.05,1300.0,1308.6,2361750
2022-09-09,1320.9,1391.55,1310.05,1324.1,4143757
2022-09-16,1331.25,1374.0,1268.0,1284.05,4381253
2022-09-23,1287.0,1318.5,1196.55,1203.15,3835439
2022-09-30,1191.15,1222.75,1146.0,1197.55,5322031
2022-10-07,1200.0,1218.0,1157.65,1199.1,3122530
2022-10-14,1183.95,1217.85,1164.0,1183.9,2576167
2022-10-21,1180.2,1234.0,1172.0,1197.7,3227386
2022-10-28,1215.0,1283.85,1185.2,1274.7,2484575
2022-11-04,1273.95,1273.95,1195.85,1259.55,3896748
2022-11-11,1264.35,1299.0,1237.45,1276.75,1964538
2022-11-18,1279.9,1309.8,1225.3,1251.25,4435729
2022-11-25,1252.45,1362.95,1243.0,1280.15,7212772
2022-12-02,1274.0,1375.0,1247.0,1290.35,11221649
2022-12-09,1296.0,1366.75,1279.0,1344.05,5516160
