date,open,high,low,close,volume
2020-01-17,1102.0,1140.0,1082.95,1134.9,80030
2020-01-24,1134.9,1190.65,1118.05,1179.95,92139
2020-01-31,1183.5,1317.05,1180.0,1267.2,519654
2020-02-07,1248.05,1349.0,1245.15,1280.55,181906
2020-02-14,1287.0,1295.0,1163.5,1179.75,97885
2020-02-21,1171.0,1279.0,1135.0,1226.95,864045
2020-02-28,1245.0,1259.0,1133.05,1158.0,307016
2020-03-06,1160.0,1215.0,1112.55,1132.5,615046
2020-03-13,1125.0,1138.1,950.0,1071.7,169253
2020-03-20,1064.95,1065.0,922.35,966.3,179202
2020-03-27,930.0,959.95,773.05,911.65,135176
2020-04-03,911.65,932.45,856.85,888.45,21241
2020-04-10,928.0,931.95,895.45,915.1,57095
2020-04-17,925.5,925.55,875.0,894.75,83419
2020-04-24,895.0,930.0,849.0,850.8,84853
2020-05-01,855.0,898.95,850.0,885.5,37162
2020-05-08,870.0,894.95,851.75,859.75,83270
2020-05-15,859.75,925.0,851.05,884.65,50789
2020-05-22,894.95,920.0,855.0,889.15,77438
2020-05-29,893.55,901.9,870.0,892.3,63690
2020-06-05,896.8,947.95,885.05,924.65,121667
2020-06-12,939.0,1019.4,920.0,960.2,250592
2020-06-19,965.0,980.95,939.0,958.3,38198
2020-06-26,958.3,1125.0,909.95,1040.05,263842
2020-07-03,1038.9,1080.0,969.0,1003.85,207726
2020-07-10,1004.0,1015.0,975.0,1003.6,59958
2020-07-17,1005.0,1035.85,972.25,1029.15,108071
2020-07-24,1034.3,1110.0,1010.0,1017.35,72983
2020-07-31,1028.0,1034.25,983.85,1016.0,95644
2020-08-07,996.0,1015.0,940.0,966.55,255351
2020-08-14,994.95,1045.55,984.05,1030.7,125813
2020-08-21,1044.0,1124.0,1011.05,1091.2,87892
2020-08-28,1091.3,1189.95,1063.95,1149.95,308914
2020-09-04,1158.0,1158.0,1060.0,1075.05,509094
2020-09-11,1080.0,1080.45,966.3,1008.55,163338
2020-09-18,1013.6,1122.6,1010.05,1088.6,141471
2020-09-25,1079.0,1089.4,1002.55,1025.4,92720
2020-10-02,1030.0,1107.4,1025.0,1068.1,66689
2020-10-09,1115.0,1160.0,1060.0,1090.5,429937
2020-10-16,1079.8,1099.0,1021.05,1037.0,470551
2020-10-23,1042.2,1057.55,1011.65,1028.0,276795
2020-10-30,1026.0,1062.7,1005.0,1009.85,259468
2020-11-06,1002.0,1065.5,1002.0,1033.35,114448
2020-11-13,1034.95,1049.0,978.0,987.95,110835
2020-11-20,1008.4,1015.0,978.0,988.2,67538
2020-11-27,988.2,1067.8,988.2,1043.15,1174072
2020-12-04,1058.7,1079.0,1027.1,1061.45,101889
2020-12-11,1080.0,1080.0,1030.0,1034.5,67786
2020-12-18,1060.0,1114.0,1052.55,1061.4,202924
2020-12-25,1062.4,1103.95,1032.0,1072.5,91587
2021-01-01,1077.9,1097.75,1063.1,1093.1,110531
2021-01-08,1095.0,1143.95,1089.5,1128.7,249591
2021-01-15,1134.35,1243.95,1120.0,1178.7,330917
2021-01-22,1184.5,1199.0,1155.1,1175.45,55974
2021-01-29,1168.0,1195.0,1148.5,1187.05,52887
2021-02-05,1196.95,1258.0,1122.95,1229.0,136480
2021-02-12,1251.95,1270.0,1220.1,1240.25,89721
2021-02-19,1240.0,1410.3,1233.4,1278.05,337691
2021-02-26,1277.0,1349.0,1271.15,1302.55,170270
2021-03-05,1325.0,1419.1,1306.55,1377.2,84016
2021-03-12,1400.0,1421.45,1335.4,1347.9,108457
2021-03-19,1350.05,1355.2,1243.25,1291.6,96091
2021-03-26,1320.0,1321.05,1253.9,1294.6,39510
2021-04-02,1298.0,1359.9,1251.35,1275.35,24767
2021-04-09,1284.0,1358.0,1239.95,1312.0,73507
2021-04-16,1345.0,1384.95,1250.0,1298.85,134772
2021-04-23,1287.0,1295.0,1227.65,1254.55,51633
2021-04-30,1256.0,1334.1,1212.0,1222.05,114628
2021-05-07,1224.0,1267.55,1200.0,1238.45,68079
2021-05-14,1240.95,1260.0,1203.0,1209.45,136929
2021-05-21,1215.5,1279.75,1210.5,1276.5,110360
2021-05-28,1290.5,1445.55,1271.3,1411.0,433245
2021-06-04,1415.0,1645.0,1411.75,1557.4,2490733
2021-06-11,1575.6,1679.0,1575.6,1638.1,425136
2021-06-18,1638.1,1646.3,1557.0,1585.35,184567
2021-06-25,1593.0,1630.0,1560.0,1581.6,66624
2021-07-02,1589.55,1625.0,1566.05,1611.1,64652
2021-07-09,1628.0,1650.3,1588.2,1609.5,127051
2021-07-16,1616.65,1714.5,1609.55,1630.5,489686
2021-07-23,1600.0,1630.0,1550.0,1615.05,137762
2021-07-30,1623.15,1730.0,1579.5,1704.8,448796
2021-08-06,1730.0,1798.5,1705.0,1771.95,359191
2021-08-13,1786.15,1789.5,1624.05,1760.05,197942
2021-08-20,1770.0,1775.0,1663.6,1671.65,61850
2021-08-27,1690.0,1793.35,1639.5,1724.25,407845
2021-09-03,1749.0,1798.25,1727.25,1768.4,212681
2021-09-10,1775.0,1825.0,1700.7,1788.75,407683
2021-09-17,1820.0,2049.0,1791.0,1979.1,1556136
2021-09-24,1927.8,2025.0,1903.15,2009.45,229907
2021-10-01,2018.0,2214.05,1985.0,2166.9,825158
2021-10-08,2174.0,2499.0,2173.95,2413.45,1097909
2021-10-15,2584.0,2847.9,2475.0,2532.45,580442
2021-10-22,2580.6,2798.95,2100.0,2208.45,778818
2021-10-29,2274.7,2605.0,2244.0,2487.05,474542
2021-11-05,2491.0,2579.0,2260.0,2324.4,336211
2021-11-12,2349.7,2729.0,2296.45,2575.95,747026
2021-11-19,2601.0,2850.0,2576.0,2777.1,562130
2021-11-26,2800.0,2938.0,2651.0,2729.6,657402
2021-12-03,2615.15,2919.0,2523.55,2778.45,1068320
2021-12-10,2751.0,2849.0,2680.0,2716.7,233370
2021-12-17,2748.4,2748.4,2499.0,2550.75,262510
2021-12-24,2510.05,2510.1,2271.35,2363.9,325527
2021-12-31,2341.0,2430.0,2300.15,2421.55,124650
2022-01-07,2429.0,2429.0,2325.25,2346.9,191797
2022-01-14,2347.0,2357.9,2163.55,2245.8,601861
2022-01-21,2250.0,2319.0,2181.0,2303.0,155523
2022-01-28,2319.8,2574.0,2275.75,2426.45,292585
2022-02-04,2567.7,2597.7,2260.0,2330.65,371456
2022-02-11,2330.65,2415.0,2245.4,2262.85,200734
2022-02-18,2239.7,2339.95,2171.35,2289.95,111280
2022-02-25,2289.95,2358.0,2191.9,2340.85,114143
2022-03-04,2302.15,2348.45,2275.0,2279.25,113855
2022-03-11,2268.0,2492.55,2227.25,2414.35,113197
2022-03-18,2401.0,2620.8,2370.0,2586.85,219744
2022-03-25,2621.75,2700.0,2575.9,2640.3,147591
2022-04-01,2659.0,2890.0,2616.35,2869.6,214724
2022-04-08,2890.0,3189.95,2851.0,3000.05,448924
2022-04-15,3048.0,3070.0,2971.0,2987.95,74590
2022-04-22,2960.8,3049.0,2939.1,2969.6,105271
2022-04-29,2968.0,2969.55,2733.05,2760.9,145482
2022-05-06,2798.95,3150.0,2720.05,2983.65,416477
2022-05-13,2984.0,3027.45,2751.0,2783.25,163667
2022-05-20,2790.15,2975.0,2755.55,2797.35,150537
2022-05-27,2797.3,2837.0,2478.45,2571.4,193702
2022-06-03,2600.0,2847.85,2575.85,2802.9,425425
2022-06-10,2782.0,2931.6,2720.0,2856.25,476438
2022-06-17,2849.0,2849.0,2692.2,2761.0,154808
2022-06-24,2777.0,2825.0,2652.75,2756.65,143095
2022-07-01,2779.95,2830.0,2702.2,2722.85,155722
2022-07-08,2736.0,2744.9,2619.75,2689.8,92466
2022-07-15,2698.0,2725.0,2631.0,2645.5,60238
2022-07-22,2669.0,2874.0,2619.65,2815.55,169081
2022-07-29,2830.0,2925.0,2733.0,2742.1,236304
2022-08-05,2795.0,3199.05,2675.05,3142.8,744370
2022-08-12,3155.0,3267.55,3091.0,3163.15,298050
2022-08-19,3163.15,3448.5,3163.15,3418.65,341660
2022-08-26,3395.0,3559.5,3310.1,3345.95,252099
2022-09-02,3340.0,3419.0,3278.0,3334.1,136008
2022-09-09,3366.9,3600.0,3366.9,3549.05,229328
2022-09-16,3550.0,3638.95,3521.0,3578.75,181953
2022-09-23,3605.75,3940.0,3541.0,3696.65,402266
2022-09-30,3663.0,3974.95,3412.75,3916.8,500242
2022-10-07,3943.8,4175.05,3841.0,4139.3,323412
2022-10-14,4100.0,4170.5,3810.0,3847.5,345415
2022-10-21,3847.5,3998.95,3825.1,3870.2,213262
2022-10-28,3967.0,4038.6,3862.5,3905.8,96807
2022-11-04,3949.0,4098.85,3877.8,4008.65,316274
2022-11-11,4050.0,4268.95,4050.0,4146.0,349986
2022-11-18,4214.75,4214.75,3920.0,3951.7,191463
2022-11-25,3939.5,3983.0,3751.0,3759.7,256871
2022-12-02,3750.0,4132.45,3700.0,4086.2,307886
