date,open,high,low,close,volume
2020-01-17,704.24,731.0,704.0,724.54,2868196
2020-01-24,727.0,745.35,720.18,732.07,3634120
2020-01-31,730.0,772.2,729.17,756.81,6062390
2020-02-07,755.2,824.8,728.26,821.98,17665689
2020-02-14,824.4,846.0,818.0,838.59,7021060
2020-02-21,840.2,852.0,824.49,833.36,4398051
2020-02-28,827.11,834.29,769.21,778.76,6577715
2020-03-06,800.0,803.8,748.03,777.47,7328980
2020-03-13,768.0,769.19,580.07,711.5,7236556
2020-03-20,699.61,699.61,537.31,643.37,8411340
2020-03-27,580.2,609.8,493.53,545.4,6766170
2020-04-03,530.0,579.4,510.0,533.67,6148026
2020-04-10,549.6,655.6,540.4,647.55,6726662
2020-04-17,650.0,701.96,636.0,681.42,7653956
2020-04-24,682.0,739.23,647.13,697.61,7189955
2020-05-01,711.4,754.4,704.4,743.75,6994266
2020-05-08,730.0,745.8,708.62,719.02,6237865
2020-05-15,726.52,743.98,694.2,719.21,5605060
2020-05-22,718.0,718.0,661.2,675.99,4709440
2020-05-29,680.0,708.8,673.6,697.43,3307546
2020-06-05,704.0,768.9,702.36,730.06,9822945
2020-06-12,736.0,751.0,705.84,736.6,8170660
2020-06-19,739.82,744.9,709.1,722.83,6895800
2020-06-26,723.63,751.43,712.4,720.4,5758760
2020-07-03,720.0,742.0,715.02,728.68,3580765
2020-07-10,731.0,808.71,731.0,778.93,12459380
2020-07-17,783.32,788.19,752.31,762.66,4076115
2020-07-24,767.8,782.83,754.0,758.0,4252460
2020-07-31,761.8,806.0,744.42,758.63,9574355
2020-08-07,757.0,824.59,757.0,816.27,9217555
2020-08-14,824.0,861.59,812.72,834.92,11668965
2020-08-21,837.8,877.79,824.0,857.29,8409200
2020-08-28,860.1,887.83,842.0,845.2,6706065
2020-09-04,846.8,874.96,802.75,840.41,6826025
2020-09-11,840.6,856.34,807.0,841.21,4993270
2020-09-18,846.89,895.0,844.6,863.59,8775755
2020-09-25,864.03,870.24,798.72,816.84,4052980
2020-10-02,827.72,865.95,813.82,822.69,5245421
2020-10-09,824.94,859.6,818.6,853.35,4640165
2020-10-16,857.61,901.43,851.01,890.19,10371265
2020-10-23,897.32,910.23,868.0,884.51,4934495
2020-10-30,885.0,911.46,858.01,883.36,4063765
2020-11-06,883.36,1014.8,866.83,993.38,15635200
2020-11-13,993.39,1030.4,986.41,1027.41,5630380
2020-11-20,1028.4,1043.0,991.54,1017.43,5363935
2020-11-27,1020.25,1073.44,1005.28,1026.73,7904385
2020-12-04,1035.9,1069.48,1013.27,1066.58,3327061
2020-12-11,1067.58,1089.59,1047.98,1053.59,3316920
2020-12-18,1059.8,1122.93,1040.01,1111.86,6803650
2020-12-25,1092.0,1128.75,1021.69,1096.55,3597521
2021-01-01,1104.0,1146.0,1090.1,1136.24,3706620
2021-01-08,1143.0,1193.0,1118.0,1183.39,3941315
2021-01-15,1183.8,1214.1,1160.0,1165.83,4251305
2021-01-22,1168.0,1192.4,1069.4,1081.06,7698885
2021-01-29,1104.78,1104.78,1048.0,1073.99,5283976
2021-02-05,1078.0,1148.0,1059.2,1113.58,6107370
2021-02-12,1117.8,1151.58,1098.0,1123.18,3440825
2021-02-19,1126.99,1168.5,1083.91,1103.52,3868570
2021-02-26,1108.64,1119.0,1057.08,1087.59,4374760
2021-03-05,1087.6,1164.1,1077.72,1124.89,3586740
2021-03-12,1131.8,1145.91,1114.0,1119.8,1829181
2021-03-19,1125.0,1125.0,1026.21,1062.93,3924750
2021-03-26,1054.0,1073.52,1045.0,1054.65,2566770
2021-04-02,1060.0,1154.95,1057.12,1148.27,4000597
2021-04-09,1154.0,1272.92,1116.0,1251.87,8557345
2021-04-16,1240.0,1266.0,1181.0,1225.45,3824581
2021-04-23,1205.11,1257.91,1192.03,1234.18,3341766
2021-04-30,1240.4,1318.0,1223.04,1286.22,5399605
2021-05-07,1286.0,1399.8,1245.0,1255.83,15009890
2021-05-14,1260.0,1289.9,1236.24,1251.9,5973236
2021-05-21,1259.6,1306.0,1252.01,1290.36,3159480
2021-05-28,1290.8,1317.8,1275.6,1303.1,3425535
2021-06-04,1302.66,1333.8,1292.34,1324.69,2662320
2021-06-11,1325.89,1432.0,1322.02,1413.02,6698925
2021-06-18,1407.4,1441.6,1386.62,1413.84,3610695
2021-06-25,1407.0,1423.58,1373.46,1409.31,2299565
2021-07-02,1418.0,1506.0,1409.0,1499.2,3763120
2021-07-09,1503.99,1528.0,1487.63,1520.72,2112940
2021-07-16,1521.0,1559.99,1510.81,1552.37,1627225
2021-07-23,1549.96,1593.8,1531.29,1580.38,1983776
2021-07-30,1580.4,1744.96,1514.06,1731.74,14025040
2021-08-06,1732.0,1826.99,1731.11,1781.22,9375775
2021-08-13,1781.11,1820.0,1722.0,1771.32,4121150
2021-08-20,1778.27,1856.0,1743.01,1777.82,3720646
2021-08-27,1855.58,1890.0,1778.02,1884.71,6048020
2021-09-03,1900.0,2076.0,1883.03,2068.29,13987200
2021-09-10,2076.0,2080.69,2000.2,2065.89,5019466
2021-09-17,2070.2,2275.64,2053.72,2219.81,9459880
2021-09-24,2219.8,2226.6,2104.0,2202.81,6630490
2021-10-01,2240.4,2267.38,2150.01,2217.94,7465440
2021-10-08,2226.74,2410.0,2223.46,2388.78,9849210
2021-10-15,2415.76,2538.0,2388.12,2410.9,8637155
2021-10-22,2439.65,2444.95,2175.65,2217.55,5741144
2021-10-29,2230.0,2257.7,2065.0,2117.3,8140245
2021-11-05,2130.0,2142.65,2056.0,2099.25,2438952
2021-11-12,2100.0,2227.0,2072.9,2154.9,5776630
2021-11-19,2174.9,2244.7,2144.25,2187.9,4866845
2021-11-26,2215.0,2249.95,2042.8,2091.05,9202169
2021-12-03,2055.0,2172.45,1973.1,2084.2,23725470
2021-12-10,2080.0,2156.0,2036.8,2148.85,2237284
2021-12-17,2155.0,2242.0,2107.05,2164.55,3959182
2021-12-24,2116.0,2350.4,2029.55,2315.95,6080655
2021-12-31,2321.0,2428.15,2292.5,2420.1,3097564
2022-01-07,2420.1,2533.95,2350.0,2504.95,4329778
2022-01-14,2520.0,2680.0,2485.7,2652.7,3728929
2022-01-21,2655.0,2679.3,2468.05,2476.8,2886918
2022-01-28,2478.5,2523.8,2268.55,2401.35,6309453
2022-02-04,2415.0,2494.0,2361.0,2435.9,3044725
2022-02-11,2444.8,2611.85,2410.15,2476.55,4778321
2022-02-18,2410.0,2520.0,2335.05,2382.95,2412025
2022-02-25,2350.0,2435.9,2259.25,2424.9,3077812
2022-03-04,2408.0,2419.0,2225.0,2234.35,2881710
2022-03-11,2190.0,2304.0,2106.0,2250.75,3618805
2022-03-18,2242.0,2596.3,2240.2,2588.2,4682047
2022-03-25,2615.4,2673.5,2530.0,2614.55,3458927
2022-04-01,2616.0,2734.6,2565.05,2621.85,6258322
2022-04-08,2650.0,2773.35,2620.15,2747.6,4490052
2022-04-15,2759.95,2763.6,2595.05,2611.05,1848251
2022-04-22,2595.0,2656.45,2475.0,2489.35,3583075
2022-04-29,2468.0,2550.95,2424.0,2512.7,2344229
2022-05-06,2484.95,2521.9,2286.8,2301.05,1524122
2022-05-13,2275.0,2295.05,2100.0,2231.6,9126574
2022-05-20,2249.95,2385.85,2200.0,2337.7,3154844
2022-05-27,2355.0,2398.0,2187.15,2362.0,3708369
2022-06-03,2385.65,2495.95,2350.0,2373.95,2957497
2022-06-10,2375.0,2393.95,2201.65,2304.55,2494935
2022-06-17,2241.5,2343.0,2128.55,2181.85,2493416
2022-06-24,2181.1,2283.95,2080.7,2277.95,2341290
2022-07-01,2310.0,2315.95,2133.05,2161.65,2255486
2022-07-08,2136.05,2189.0,2002.2,2175.5,7182805
2022-07-15,2168.95,2267.95,2145.55,2261.45,3123006
2022-07-22,2278.4,2410.0,2262.0,2290.55,4089098
2022-07-29,2302.7,2448.9,2299.85,2428.3,5212638
2022-08-05,2439.0,2514.7,2403.0,2498.55,2310417
2022-08-12,2511.85,2516.15,2410.55,2438.45,1645144
2022-08-19,2450.0,2539.8,2440.0,2455.1,2394113
2022-08-26,2454.0,2454.0,2338.65,2401.55,1835224
2022-09-02,2350.0,2690.5,2325.1,2603.4,4576384
2022-09-09,2618.0,2666.0,2575.0,2639.25,2463285
2022-09-16,2658.8,2865.0,2647.0,2703.95,5495891
2022-09-23,2710.1,2736.0,2556.0,2572.35,3181575
2022-09-30,2550.1,2595.0,2411.45,2503.45,4551249
2022-10-07,2505.0,2599.9,2462.2,2560.4,2470071
2022-10-14,2539.2,2569.5,2464.2,2496.6,1924773
2022-10-21,2496.6,2613.0,2480.05,2540.5,2265284
2022-10-28,2588.0,2588.0,2472.65,2494.45,1658591
2022-11-04,2506.0,2639.7,2442.0,2482.2,4573930
2022-11-11,2493.0,2506.55,2320.25,2388.7,2786131
