date,open,high,low,close,volume
2020-01-17,447.0,456.35,442.55,454.6,18219590
2020-01-24,454.2,456.2,445.0,447.8,12840057
2020-01-31,447.0,462.5,432.65,434.3,23365443
2020-02-07,432.95,441.75,412.85,430.8,30073448
2020-02-14,428.55,432.75,412.0,418.55,19548356
2020-02-21,416.2,418.5,399.05,404.95,16723400
2020-02-28,406.5,414.65,369.45,372.9,58469884
2020-03-06,378.0,414.8,363.35,400.9,64134240
2020-03-13,396.05,403.9,325.0,384.2,49745948
2020-03-20,376.0,396.4,347.65,365.25,59087107
2020-03-27,345.0,368.0,315.05,338.25,40018133
2020-04-03,321.65,389.8,312.0,375.95,57855464
2020-04-10,398.0,473.9,388.3,454.45,89350125
2020-04-17,462.95,488.5,443.1,457.1,99727088
2020-04-24,457.35,497.0,450.55,485.55,98396310
2020-05-01,491.0,504.8,458.4,464.45,60797949
2020-05-08,464.45,474.5,448.0,469.0,59689903
2020-05-15,473.7,475.55,445.55,448.6,49441434
2020-05-22,447.0,471.9,434.25,469.4,46343656
2020-05-29,471.0,481.6,443.4,474.25,48351642
2020-06-05,483.5,511.0,458.3,494.25,79209272
2020-06-12,498.75,512.7,455.0,480.1,75750715
2020-06-19,481.0,493.5,472.7,488.1,42391321
2020-06-26,492.2,503.4,472.2,479.95,42951380
2020-07-03,475.5,487.35,466.15,476.85,28450090
2020-07-10,478.0,498.9,471.4,493.9,37152651
2020-07-17,495.0,509.55,490.1,503.6,40068094
2020-07-24,501.9,501.9,471.6,485.6,59659485
2020-07-31,484.85,541.0,469.0,531.7,79351618
2020-08-07,534.1,541.45,516.8,525.95,66423113
2020-08-14,526.0,550.8,519.05,531.35,51970856
2020-08-21,536.1,538.7,521.05,532.35,32349739
2020-08-28,538.65,564.75,522.25,555.75,52879451
2020-09-04,560.65,561.0,506.2,512.45,65987108
2020-09-11,516.0,518.2,493.6,505.55,39134847
2020-09-18,505.55,535.0,494.0,523.35,65453092
2020-09-25,523.8,528.25,483.0,489.65,49126214
2020-10-02,495.0,517.85,488.5,506.9,40530329
2020-10-09,507.0,529.3,503.8,512.9,46577659
2020-10-16,514.9,519.95,485.25,486.9,39276859
2020-10-23,489.95,494.5,480.4,484.5,30988241
2020-10-30,487.4,487.4,452.25,465.75,38894310
2020-11-06,467.9,518.25,459.05,509.15,96120492
2020-11-13,512.5,518.0,489.0,508.45,54653918
2020-11-20,517.0,523.4,496.0,503.25,33332641
2020-11-27,504.0,526.0,501.0,511.65,49149971
2020-12-04,518.0,572.9,512.65,569.05,65145655
2020-12-11,570.35,591.5,560.1,568.1,56774258
2020-12-18,568.35,586.3,568.0,575.0,33580385
2020-12-25,573.8,595.0,539.7,590.45,33169927
2021-01-01,599.0,599.75,581.5,596.25,42374992
2021-01-08,600.0,622.8,595.2,620.8,41543485
2021-01-15,623.7,628.0,596.4,604.3,35560462
2021-01-22,604.1,607.35,570.6,575.2,28226188
2021-01-29,577.1,600.0,550.4,586.2,49079899
2021-02-05,596.0,648.4,579.6,634.75,71081046
2021-02-12,640.9,654.4,614.1,627.15,46064137
2021-02-19,632.0,637.3,601.2,607.3,31077725
2021-02-26,608.0,621.35,590.0,594.6,37715084
2021-03-05,600.0,636.75,597.05,611.2,34327304
2021-03-12,611.5,629.15,607.5,613.6,18667790
2021-03-19,614.0,614.0,562.1,578.3,27601919
2021-03-26,578.6,597.0,571.5,587.2,30133970
2021-04-02,594.95,612.7,587.25,610.0,15938032
2021-04-09,611.7,642.0,592.75,636.75,37523658
2021-04-16,639.0,650.0,615.2,646.05,41012592
2021-04-23,644.0,659.5,630.15,637.95,44112657
2021-04-30,644.0,666.6,631.0,654.45,34250694
2021-05-07,653.95,696.7,642.0,679.45,55067111
2021-05-14,688.0,721.85,683.6,691.45,39776065
2021-05-21,688.0,706.75,680.05,690.4,27791110
2021-05-28,691.0,709.75,666.3,672.65,50926565
2021-06-04,672.0,680.85,659.0,673.95,32712683
2021-06-11,673.95,686.35,665.1,681.3,19894902
2021-06-18,682.0,683.7,652.7,668.5,19273676
2021-06-25,662.0,680.25,661.5,672.25,16608644
2021-07-02,675.0,689.5,669.55,681.25,19215668
2021-07-09,684.0,684.95,664.2,667.9,11394157
2021-07-16,668.6,695.65,666.4,688.6,17341431
2021-07-23,678.05,698.95,673.9,694.0,10664018
2021-07-30,695.2,783.75,672.55,773.95,53656791
2021-08-06,785.0,804.35,764.1,785.2,48226793
2021-08-13,789.15,798.8,767.65,778.3,19946682
2021-08-20,775.2,793.2,743.35,761.15,18270925
2021-08-27,765.0,777.95,750.8,771.8,11531532
2021-09-03,769.0,803.9,768.15,789.4,19404488
2021-09-10,789.4,793.1,763.55,776.3,13021958
2021-09-17,776.3,788.0,766.65,769.9,10732799
2021-09-24,766.7,777.2,751.05,770.45,10035858
2021-10-01,771.45,832.95,754.95,826.6,42575876
2021-10-08,830.0,838.9,797.3,821.4,17543411
2021-10-15,826.0,850.0,817.8,841.3,11809186
2021-10-22,850.0,851.0,800.15,812.55,11616987
2021-10-29,810.0,838.45,779.35,795.0,13297110
2021-11-05,798.95,836.0,781.35,795.45,29476390
2021-11-12,798.0,815.0,783.0,806.5,14597219
2021-11-19,808.3,819.65,780.1,790.65,8462639
2021-11-26,791.85,798.9,761.55,767.3,15332138
2021-12-03,773.0,775.0,740.35,751.8,21889439
2021-12-10,751.2,775.0,733.7,761.35,13246788
2021-12-17,763.85,786.5,745.3,768.95,25304755
2021-12-24,768.0,803.95,753.05,785.4,26298261
2021-12-31,784.0,850.95,781.15,845.7,26351496
2022-01-07,845.0,860.05,822.0,828.95,13089522
2022-01-14,832.1,871.0,817.55,859.75,23488948
2022-01-21,859.75,867.2,801.1,808.75,12888612
2022-01-28,804.0,842.9,784.8,827.35,17746883
2022-02-04,830.1,902.85,820.05,893.95,31299034
2022-02-11,901.45,901.45,874.65,880.1,16977932
2022-02-18,870.0,886.65,856.4,862.9,14592257
