date,open,high,low,close,volume
2020-01-17,312.85,317.25,308.1,311.1,1663338
2020-01-24,313.5,318.0,303.1,307.25,2222038
2020-01-31,305.0,319.0,305.0,314.05,1467309
2020-02-07,316.25,321.2,310.0,314.2,562640
2020-02-14,316.65,317.4,305.05,306.4,1272950
2020-02-21,306.4,314.0,303.5,306.95,299541
2020-02-28,307.0,312.45,297.1,300.4,655661
2020-03-06,300.2,302.5,285.1,293.05,1040390
2020-03-13,288.05,293.0,224.8,279.65,634291
2020-03-20,251.3,274.85,230.0,238.6,2485008
2020-03-27,227.95,244.0,218.3,224.1,1911359
2020-04-03,216.0,259.9,212.55,251.15,1723520
2020-04-10,270.0,308.65,261.0,279.55,850049
2020-04-17,288.8,299.9,270.1,285.55,842116
2020-04-24,291.95,324.0,288.05,306.6,2643365
2020-05-01,319.0,332.95,301.4,322.1,2341764
2020-05-08,320.0,330.0,308.95,315.55,1226955
2020-05-15,321.0,347.15,311.25,338.2,2351855
2020-05-22,340.0,382.0,331.45,357.15,3309065
2020-05-29,360.7,366.95,340.2,357.1,1559092
2020-06-05,362.0,389.95,351.0,367.0,2903293
2020-06-12,373.9,388.0,346.4,367.7,1176252
2020-06-19,373.95,380.0,364.7,378.0,1744680
2020-06-26,379.5,424.0,379.5,406.95,3542521
2020-07-03,408.4,443.75,398.0,437.35,3967866
2020-07-10,438.0,475.45,416.0,440.1,5757940
2020-07-17,450.0,453.0,401.7,423.75,3532404
2020-07-24,427.0,472.95,408.0,460.2,3773024
2020-07-31,467.0,492.0,448.1,487.55,4561426
2020-08-07,488.0,504.0,457.3,471.35,3833390
2020-08-14,470.0,504.0,468.2,496.7,3764024
2020-08-21,493.8,495.0,476.4,483.1,2155710
2020-08-28,485.4,512.95,475.2,488.05,4169113
2020-09-04,490.0,491.35,460.0,469.25,1540589
2020-09-11,463.5,494.5,443.0,474.95,4446129
2020-09-18,562.9,594.95,520.05,567.85,18377174
2020-09-25,571.0,596.7,528.0,577.35,5825177
2020-10-02,586.3,594.9,550.05,559.75,3716994
2020-10-09,562.0,579.5,542.05,559.75,3676738
2020-10-16,568.0,572.5,546.05,554.9,3045717
2020-10-23,559.5,566.8,514.3,534.5,4225361
2020-10-30,549.9,572.8,529.5,534.95,3287192
2020-11-06,535.95,552.85,522.0,538.45,1539883
2020-11-13,545.3,569.0,531.1,565.25,2569730
2020-11-20,573.8,582.5,560.45,572.7,1834987
2020-11-27,577.9,587.8,542.1,577.95,3645191
2020-12-04,580.85,582.0,560.05,572.1,1682540
2020-12-11,573.7,624.95,572.0,599.95,5657644
2020-12-18,607.2,634.0,603.0,608.0,3455105
2020-12-25,610.0,623.8,555.15,610.5,2847202
2021-01-01,611.0,644.55,598.0,632.35,3232911
2021-01-08,632.8,639.9,600.1,603.05,2779476
2021-01-15,609.5,623.0,600.0,603.05,1972361
2021-01-22,600.0,624.0,580.0,584.45,2714045
2021-01-29,589.4,595.0,563.7,566.4,1719167
2021-02-05,573.0,584.8,558.0,577.4,2568873
2021-02-12,580.0,590.0,568.0,582.15,1692719
2021-02-19,586.75,603.75,575.2,580.0,1765899
2021-02-26,580.0,581.8,552.6,560.0,1626000
2021-03-05,564.0,569.0,541.7,544.3,1755719
2021-03-12,544.7,556.5,535.05,550.65,1249066
2021-03-19,551.0,553.4,490.5,507.55,2782798
2021-03-26,510.35,536.9,491.45,534.4,3830198
2021-04-02,539.8,559.8,527.05,557.0,1223690
2021-04-09,562.8,572.0,548.05,559.9,2274911
2021-04-16,558.0,594.0,542.2,589.4,1685969
2021-04-23,593.0,619.0,582.55,599.8,2979119
2021-04-30,601.0,617.4,551.1,553.75,4002842
2021-05-07,554.0,593.7,554.0,573.0,2535408
2021-05-14,578.0,600.4,565.0,566.45,1558227
2021-05-21,569.4,593.9,564.95,570.7,1404312
2021-05-28,570.7,614.4,568.1,588.0,3209556
2021-06-04,594.15,600.75,580.45,589.0,1047334
