date,open,high,low,close,volume
2020-01-17,302.19,326.24,300.91,324.96,17363705
2020-01-24,324.72,331.33,320.61,328.46,7818756
2020-01-31,327.85,335.31,324.37,326.63,6547732
2020-02-07,326.33,334.65,312.8,332.11,16695863
2020-02-14,333.41,339.07,327.41,333.35,7928352
2020-02-21,334.37,338.5,323.11,332.04,6210700
2020-02-28,330.89,334.72,304.85,310.46,21973451
2020-03-06,312.72,339.7,298.3,310.35,19378265
2020-03-13,305.0,310.0,235.0,275.85,6976833
2020-03-20,250.0,265.5,210.3,228.95,6636495
2020-03-27,216.0,242.9,197.0,224.5,6958529
2020-04-03,224.75,235.3,216.2,218.55,4889234
2020-04-10,222.85,239.9,222.2,233.1,5073948
2020-04-17,238.0,268.5,231.55,254.0,14365359
2020-04-24,260.0,273.0,243.0,270.05,12181618
2020-05-01,274.95,296.6,274.0,282.7,10775292
2020-05-08,279.5,299.0,272.2,288.85,13905966
2020-05-15,289.0,306.0,279.8,293.2,9527278
2020-05-22,294.0,298.85,274.1,295.0,8448586
2020-05-29,296.15,316.2,296.15,306.45,7682717
2020-06-05,308.0,322.7,307.0,318.35,8780358
2020-06-12,322.0,324.2,293.0,311.75,8107019
2020-06-19,313.95,319.5,301.4,314.25,7120326
2020-06-26,308.95,322.9,306.1,315.2,7289795
2020-07-03,315.0,316.55,306.95,308.5,3410051
2020-07-10,312.0,321.0,299.0,299.6,17106675
2020-07-17,301.7,307.8,289.25,299.9,9436918
2020-07-24,303.0,310.35,300.7,301.55,7955249
2020-07-31,301.0,315.0,297.1,305.7,10095855
2020-08-07,301.0,304.5,293.25,300.85,6570854
2020-08-14,303.3,305.0,292.55,295.0,5721022
2020-08-21,298.5,321.9,291.5,315.35,20999978
2020-08-28,319.9,345.9,316.0,327.9,35596716
2020-09-04,333.0,333.0,297.75,303.3,15837534
2020-09-11,303.5,307.0,281.7,293.05,14189765
2020-09-18,294.85,312.9,288.4,290.3,15770849
2020-09-25,291.7,300.9,273.45,290.7,21920073
2020-10-02,295.25,306.95,292.55,301.6,10369677
2020-10-09,301.6,311.3,298.5,301.55,7993831
2020-10-16,302.75,323.5,298.95,319.65,24180293
2020-10-23,322.0,326.0,314.75,321.9,10889582
2020-10-30,321.3,331.45,312.6,322.35,12442840
2020-11-06,319.95,324.0,303.0,317.6,8001419
2020-11-13,318.0,328.7,312.5,324.5,6637036
2020-11-20,324.0,368.85,318.1,356.35,27167608
2020-11-27,359.2,396.95,351.1,392.1,23488296
2020-12-04,392.4,495.5,386.95,490.9,65004870
2020-12-11,505.25,527.0,498.1,508.15,65414435
2020-12-18,510.0,513.45,487.4,489.85,17289295
2020-12-25,489.9,490.95,440.9,476.2,19416920
2021-01-01,479.0,501.0,474.05,479.95,19161845
2021-01-08,484.9,509.0,481.7,500.0,23279389
2021-01-15,503.35,554.0,491.05,533.9,47870509
2021-01-22,533.9,546.95,503.75,519.3,27036160
2021-01-29,524.8,525.6,471.6,475.3,18941286
2021-02-05,481.5,535.0,466.0,525.1,19781064
2021-02-12,529.8,586.75,525.95,560.95,40483534
2021-02-19,565.0,628.65,555.7,618.6,51455912
2021-02-26,626.0,757.5,616.0,739.5,88115361
2021-03-05,750.0,792.05,723.1,748.55,46340753
2021-03-12,761.0,795.0,751.5,783.85,22866297
2021-03-19,790.0,794.4,690.2,752.05,42310134
2021-03-26,752.0,774.0,712.0,744.15,29941816
2021-04-02,749.35,791.7,743.05,780.0,14908067
2021-04-09,779.9,833.95,748.5,805.25,34521064
2021-04-16,790.0,790.0,731.0,753.1,21108075
2021-04-23,731.0,748.95,711.0,726.15,15517448
2021-04-30,731.0,797.0,728.0,792.45,27030043
2021-05-07,792.0,793.75,670.55,679.35,57260715
2021-05-14,685.0,735.1,677.1,702.35,27170669
2021-05-21,705.45,723.9,690.35,707.85,13581270
2021-05-28,710.0,720.8,690.3,708.8,13872221
2021-06-04,710.95,748.9,701.05,746.15,17160435
2021-06-11,753.5,760.0,731.3,748.5,14077822
2021-06-18,740.8,753.5,696.05,714.8,11048165
2021-06-25,701.0,736.15,701.0,715.95,8998812
