date,open,high,low,close,volume
2020-01-17,343.0,395.95,342.05,380.3,94448438
2020-01-24,380.3,399.45,377.1,384.6,34855570
2020-01-31,383.8,393.3,378.25,383.4,17924479
2020-02-07,382.95,408.0,367.5,396.7,50999234
2020-02-14,398.45,400.0,388.35,396.9,18929507
2020-02-21,397.7,401.9,373.2,380.5,26404133
2020-02-28,378.9,379.85,341.55,346.15,15808139
2020-03-06,351.05,357.7,333.6,344.5,16733096
2020-03-13,338.0,340.85,258.0,324.25,21962914
2020-03-20,305.3,314.3,232.25,264.2,21269368
2020-03-27,240.0,294.95,213.7,284.75,19258019
2020-04-03,282.5,304.0,264.0,267.15,17694736
2020-04-10,280.0,319.0,271.0,309.05,19522928
2020-04-17,315.0,336.4,301.1,324.5,22478752
2020-04-24,324.6,339.8,310.0,326.1,20915825
2020-05-01,331.95,361.4,331.25,351.6,19607414
2020-05-08,340.0,355.5,325.65,348.75,16714831
2020-05-15,353.85,375.0,346.65,352.2,31160858
2020-05-22,351.2,366.95,343.4,362.45,21209821
2020-05-29,366.8,382.8,357.35,366.9,78056477
2020-06-05,368.5,387.8,359.5,379.75,23980103
2020-06-12,384.0,393.95,365.1,371.0,13647419
2020-06-19,371.5,383.0,360.25,377.3,13372432
2020-06-26,383.0,394.9,377.6,385.65,14068283
2020-07-03,387.05,402.3,380.5,396.45,12068081
2020-07-10,400.05,437.75,397.3,430.1,21713654
2020-07-17,430.1,433.55,407.15,423.0,12629040
2020-07-24,426.7,426.7,402.35,408.45,13170365
2020-07-31,408.45,434.0,404.3,428.05,17552976
2020-08-07,428.95,529.95,427.7,518.6,76354513
2020-08-14,520.95,544.5,509.15,537.5,29206376
2020-08-21,541.15,556.95,538.3,545.8,19735769
2020-08-28,546.5,561.4,541.25,547.05,15016906
2020-09-04,549.0,591.95,526.0,569.05,31957912
2020-09-11,570.0,572.0,529.15,548.4,20777054
2020-09-18,552.0,555.2,533.15,540.6,19871477
2020-09-25,540.6,542.3,478.0,509.8,28085263
2020-10-02,514.0,527.0,495.55,509.1,19795310
2020-10-09,513.4,513.5,470.05,471.25,19295392
2020-10-16,474.5,494.2,463.55,477.1,23718623
2020-10-23,481.9,484.25,458.95,472.8,16886133
2020-10-30,474.9,504.8,470.15,492.85,30522723
2020-11-06,494.0,510.35,488.3,504.2,27651977
2020-11-13,511.0,519.0,495.0,513.25,19090400
2020-11-20,518.0,528.0,512.25,519.05,12890922
2020-11-27,520.0,545.3,505.05,538.0,34746940
2020-12-04,554.0,566.9,525.3,563.5,16829660
2020-12-11,563.95,589.35,558.0,576.4,17160856
2020-12-18,579.8,593.4,566.5,573.55,18258240
2020-12-25,574.0,616.1,551.0,601.0,20957361
2021-01-01,607.7,611.95,587.0,601.5,12686823
2021-01-08,606.95,614.3,595.4,609.55,13753689
2021-01-15,613.0,634.9,595.0,602.4,22643952
2021-01-22,601.5,612.75,577.35,584.75,24053660
2021-01-29,587.8,589.85,554.25,559.8,14019247
2021-02-05,563.0,600.0,554.35,592.5,30741146
2021-02-12,595.0,622.0,594.55,607.5,20127033
2021-02-19,608.0,645.7,607.4,616.95,25670631
2021-02-26,619.0,648.5,604.5,609.15,27263481
2021-03-05,614.9,648.0,609.2,622.65,14640405
2021-03-12,626.9,628.2,602.0,615.25,9664501
2021-03-19,617.1,618.8,577.05,600.25,15765949
2021-03-26,603.0,640.0,596.25,628.3,17566660
2021-04-02,630.85,652.95,617.55,650.1,28160395
2021-04-09,651.95,685.0,638.1,679.8,20138459
2021-04-16,675.0,677.9,647.15,671.3,13166631
2021-04-23,662.0,698.0,651.5,664.6,16189790
2021-04-30,667.0,693.0,662.05,669.5,13455500
2021-05-07,661.85,686.3,614.0,629.0,31310567
2021-05-14,627.0,649.9,621.0,645.15,15704482
2021-05-21,646.0,661.0,640.1,649.7,12059876
2021-05-28,650.0,657.7,638.5,652.75,13489394
2021-06-04,659.95,689.95,650.2,686.95,13666519
2021-06-11,690.0,718.75,687.3,715.4,15269483
2021-06-18,715.4,747.45,702.6,739.8,16244599
2021-06-25,729.0,765.0,727.85,757.6,11149587
2021-07-02,762.0,771.9,749.4,763.6,8555303
2021-07-09,770.45,772.75,751.25,765.95,7227911
2021-07-16,771.0,786.85,761.4,763.0,7530918
2021-07-23,761.0,777.0,747.0,775.15,7374358
2021-07-30,780.25,788.15,739.2,756.25,10622402
2021-08-06,763.0,798.35,755.15,781.35,20746562
2021-08-13,783.45,810.8,752.0,807.45,13320238
2021-08-20,807.4,852.4,800.1,847.3,17015843
2021-08-27,849.65,860.9,823.0,847.95,9940563
2021-09-03,850.0,875.0,850.0,869.85,8449003
2021-09-10,869.85,889.0,855.55,875.6,7112623
2021-09-17,876.8,887.4,866.3,874.15,6755849
2021-09-24,870.05,876.95,834.0,836.75,7852176
2021-10-01,837.1,842.4,796.0,801.25,9134791
2021-10-08,805.05,834.0,799.7,818.75,14251659
2021-10-15,821.4,860.0,813.0,849.6,12604689
2021-10-22,863.0,863.0,790.0,795.25,10571643
2021-10-29,793.0,822.55,773.6,809.5,10705848
2021-11-05,821.5,839.0,806.0,827.4,4023264
2021-11-12,830.0,852.85,817.05,847.9,6335678
2021-11-19,852.5,858.0,822.3,832.05,5430721
2021-11-26,832.05,839.05,763.15,766.7,8994457
2021-12-03,766.75,790.85,749.25,774.3,9552823
2021-12-10,777.0,781.95,744.0,769.65,6746995
2021-12-17,774.0,777.25,721.05,726.35,9101625
2021-12-24,717.45,729.6,696.6,718.95,8278596
2021-12-31,710.0,745.0,706.75,743.45,5391335
2022-01-07,747.0,756.7,722.55,736.1,9539523
2022-01-14,740.45,777.0,723.6,762.5,15652675
2022-01-21,768.0,771.35,712.0,726.55,17109766
2022-01-28,725.0,729.9,675.0,717.9,10337923
2022-02-04,726.0,769.0,717.05,733.8,15603945
2022-02-11,729.0,736.75,690.0,701.0,10309652
2022-02-18,689.0,726.15,684.05,717.5,10624608
2022-02-25,710.5,731.2,674.05,709.5,10084617
2022-03-04,699.5,720.8,657.5,669.95,8819283
2022-03-11,659.0,727.5,650.2,716.45,11788973
2022-03-18,720.0,774.45,709.65,772.3,16030243
2022-03-25,772.0,773.85,708.6,733.35,10188155
2022-04-01,734.0,792.5,728.15,789.8,17121353
2022-04-08,792.0,819.85,781.75,817.7,9853562
2022-04-15,817.7,824.0,802.55,817.6,3461465
2022-04-22,816.2,836.85,784.85,815.6,8688807
2022-04-29,802.0,835.25,789.55,823.75,7737150
2022-05-06,823.3,832.0,762.95,764.95,10340435
2022-05-13,763.0,772.45,728.0,737.6,7326363
2022-05-20,739.0,757.9,718.65,739.6,8826053
2022-05-27,745.0,748.75,698.0,725.45,5686305
2022-06-03,731.0,780.5,729.1,753.9,11290757
2022-06-10,756.75,771.4,739.1,756.6,9362874
2022-06-17,752.0,754.15,708.8,711.65,5898738
2022-06-24,718.45,735.0,705.0,729.0,4763650
2022-07-01,735.1,743.8,697.0,719.55,6300245
2022-07-08,723.0,764.35,714.55,761.4,7521564
2022-07-15,761.55,792.65,752.15,790.55,7294400
2022-07-22,797.8,824.0,784.2,804.05,7685336
2022-07-29,804.05,814.7,787.05,811.65,5203339
2022-08-05,812.0,826.0,781.1,784.8,21806125
2022-08-12,781.5,798.55,760.55,763.45,7759791
2022-08-19,767.3,813.8,765.3,786.95,9783811
2022-08-26,785.9,813.0,780.1,801.95,7933324
2022-09-02,790.0,847.0,783.85,833.7,12987726
2022-09-09,834.0,845.8,813.15,816.3,7472977
