date,open,high,low,close,volume
2020-01-17,854.0,969.5,852.3,947.15,8981870
2020-01-24,950.0,979.0,925.0,963.25,2144118
2020-01-31,960.0,968.0,925.0,949.2,1854408
2020-02-07,944.0,1058.0,926.4,1030.5,4900180
2020-02-14,1036.9,1098.4,1021.1,1035.0,2685472
2020-02-21,1041.0,1043.35,934.8,996.4,3039568
2020-02-28,991.5,1013.0,855.1,882.75,2308562
2020-03-06,887.0,1071.25,887.0,985.75,4763651
2020-03-13,945.0,988.95,702.6,846.9,2489458
2020-03-20,801.0,824.8,567.2,598.6,3067301
2020-03-27,540.0,674.0,499.95,639.1,1773121
2020-04-03,607.35,653.1,590.05,593.6,1105923
2020-04-10,621.0,712.0,603.0,699.6,1267352
2020-04-17,702.0,748.0,660.0,713.2,2075827
2020-04-24,727.65,771.2,709.0,751.25,2793746
2020-05-01,760.0,860.0,755.1,802.85,5062849
2020-05-08,780.0,818.8,752.2,771.5,2127265
2020-05-15,780.0,815.0,746.0,777.85,1803169
2020-05-22,780.0,794.75,759.0,775.0,1308749
2020-05-29,782.3,782.3,740.1,764.9,1231414
2020-06-05,775.0,854.8,767.35,837.8,4850904
2020-06-12,844.7,943.0,826.1,888.9,6936124
2020-06-19,888.95,906.0,855.0,874.9,1918834
2020-06-26,877.95,917.0,863.0,901.0,2720878
2020-07-03,887.1,926.0,879.75,910.2,2961154
2020-07-10,918.8,941.15,909.0,928.5,2002528
2020-07-17,923.7,932.0,876.0,917.0,2168712
2020-07-24,921.6,952.35,901.0,907.7,2610683
2020-07-31,910.0,977.95,892.05,940.0,3928065
2020-08-07,940.0,1005.0,932.55,990.0,3667171
2020-08-14,992.0,1039.0,982.0,1020.65,2369830
2020-08-21,1025.0,1086.0,1008.7,1060.65,2386183
2020-08-28,1064.7,1208.6,1060.65,1139.05,3477149
2020-09-04,1147.0,1185.65,1056.4,1150.55,1797396
2020-09-11,1160.0,1300.0,1160.0,1289.95,3401215
2020-09-18,1305.2,1331.0,1250.5,1273.4,3437403
2020-09-25,1271.95,1314.9,1161.35,1266.45,2577533
2020-10-02,1284.8,1325.25,1263.3,1276.3,1206814
2020-10-09,1290.0,1437.85,1287.3,1394.05,3601261
2020-10-16,1405.0,1534.95,1397.0,1508.85,5826512
2020-10-23,1505.0,1710.0,1457.15,1651.6,4177730
2020-10-30,1665.0,1708.0,1501.25,1534.1,3442840
2020-11-06,1526.85,1594.1,1465.45,1553.0,2006590
2020-11-13,1560.95,1574.25,1455.0,1486.55,1950785
2020-11-20,1522.0,1562.5,1509.0,1534.25,1203650
2020-11-27,1547.45,1609.0,1502.05,1588.25,2713231
2020-12-04,1612.0,1715.0,1606.0,1669.8,1613258
2020-12-11,1679.95,1725.0,1596.05,1605.85,1703021
2020-12-18,1613.9,1664.0,1586.5,1636.1,1287838
2020-12-25,1640.0,1807.5,1468.0,1759.65,3769499
2021-01-01,1774.0,1888.0,1762.0,1867.95,2605733
2021-01-08,1880.95,2052.8,1866.75,2043.3,3014616
2021-01-15,2081.8,2575.0,2025.0,2357.8,16875169
2021-01-22,2354.0,2849.0,2330.65,2565.85,10360136
2021-01-29,2608.0,2735.0,2408.0,2690.6,5962437
2021-02-05,2711.75,3050.0,2690.0,2822.85,5248571
2021-02-12,2840.0,2953.8,2801.0,2836.8,2408203
2021-02-19,2851.0,2919.0,2674.15,2740.6,2101390
2021-02-26,2731.35,2754.0,2607.0,2657.85,1525409
2021-03-05,2681.8,2770.0,2541.1,2717.05,3261112
2021-03-12,2733.0,2769.0,2600.05,2727.4,1958625
2021-03-19,2741.05,2837.5,2605.0,2764.65,2543051
2021-03-26,2730.0,2774.9,2580.75,2650.2,1202529
2021-04-02,2679.6,2797.0,2620.0,2773.0,1344138
2021-04-09,2780.0,3119.0,2755.0,3101.6,3492287
2021-04-16,3107.05,3115.0,2802.1,2963.8,1420011
2021-04-23,2910.0,3340.0,2835.0,3185.65,2402865
2021-04-30,3264.0,3519.6,3155.0,3480.1,1294957
2021-05-07,3475.0,4090.0,3450.75,3690.75,2082891
2021-05-14,3717.5,3727.0,3390.15,3481.8,789948
2021-05-21,3499.65,3732.0,3435.0,3566.15,1009294
2021-05-28,3598.5,3664.0,3532.0,3626.9,515530
2021-06-04,3628.0,3712.0,3555.0,3566.15,622791
2021-06-11,3581.0,3849.0,3572.1,3820.05,1235041
2021-06-18,3840.0,3868.0,3585.0,3639.95,566469
2021-06-25,3590.0,3820.0,3555.05,3768.65,769366
2021-07-02,3790.0,4455.0,3775.35,4429.55,2656961
2021-07-09,4436.0,4465.45,4180.1,4295.4,880564
2021-07-16,4322.0,4575.0,4290.0,4302.65,1437589
2021-07-23,4303.0,4347.35,4107.05,4249.3,633069
2021-07-30,4262.75,4295.0,4150.05,4225.9,550363
2021-08-06,4264.0,4373.2,4190.0,4229.45,493203
2021-08-13,4248.8,4386.0,4110.0,4329.1,652640
2021-08-20,4347.0,4852.95,4291.45,4732.6,1812688
2021-08-27,4756.8,4949.0,4601.1,4868.65,839535
2021-09-03,4906.0,4977.0,4750.0,4886.0,707326
2021-09-10,4899.0,5015.85,4821.15,4928.75,626020
2021-09-17,4951.0,5600.0,4935.0,5490.65,1556529
2021-09-24,5470.0,5971.9,5352.3,5866.95,2284911
2021-10-01,5923.8,5951.0,5555.55,5782.8,940548
2021-10-08,5818.0,6397.0,5790.0,6231.7,1590634
2021-10-15,6287.0,6363.0,6050.0,6259.95,979306
2021-10-22,6315.0,6610.0,5700.0,6032.3,1460216
2021-10-29,6079.8,6117.95,5700.0,5872.3,902587
2021-11-05,5900.0,6245.0,5833.6,6220.1,428354
2021-11-12,6248.7,6689.0,6110.35,6552.75,924068
2021-11-19,6598.0,6730.0,6336.0,6390.75,557856
2021-11-26,6391.4,6413.7,5750.0,5838.2,891448
2021-12-03,5600.0,5999.0,5263.4,5897.25,1106569
2021-12-10,5843.0,6059.0,5613.95,5993.75,889127
2021-12-17,6045.0,6099.0,5707.85,5732.65,900579
2021-12-24,5710.0,5715.0,5340.0,5501.0,770501
2021-12-31,5516.0,5895.0,5421.0,5868.0,668459
2022-01-07,5888.0,6027.0,5782.0,5799.55,540215
2022-01-14,5861.05,6450.0,5800.0,6312.0,1105095
2022-01-21,6350.0,7800.0,6301.0,7200.7,7445386
2022-01-28,7275.0,7495.0,6834.4,7183.15,2762851
2022-02-04,7438.7,7964.4,7205.3,7424.8,2818945
2022-02-11,7490.0,7833.0,7350.0,7397.6,1529077
2022-02-18,7020.0,7269.0,6701.0,6985.5,1396391
2022-02-25,6915.0,6943.6,5990.0,6499.75,1581962
2022-03-04,6465.0,6800.0,6282.05,6673.6,1129641
2022-03-11,6571.0,7290.0,6465.0,7121.2,1214608
2022-03-18,7150.0,7625.0,6908.0,7431.75,1331627
2022-03-25,7520.0,8534.0,7311.0,8438.2,3065235
2022-04-01,8465.0,9420.0,8180.0,8912.8,10408192
2022-04-08,8988.0,9164.4,8621.0,8685.2,2624039
2022-04-15,8723.0,8820.0,8326.4,8383.8,1416896
2022-04-22,8319.0,8480.0,7580.0,8358.0,5115863
2022-04-29,8319.0,8320.0,7461.0,7746.0,3779202
2022-05-06,7690.0,7940.0,7487.0,7508.0,1657950
2022-05-13,7468.0,8000.0,6432.0,7886.65,5931818
