date,open,high,low,close,volume
2020-01-03,177.2,195.65,176.3,191.1,224649338
2020-01-10,191.0,199.0,180.2,196.35,186534422
2020-01-17,194.75,201.7,191.4,197.3,155211693
2020-01-24,198.0,201.45,183.8,186.5,137611396
2020-01-31,185.7,192.55,174.9,176.6,276524154
2020-02-07,175.4,184.95,159.55,173.6,358165111
2020-02-14,173.2,176.2,168.0,169.1,192495321
2020-02-21,170.4,171.35,153.05,158.5,218879823
2020-02-28,154.0,155.9,127.05,128.95,285829557
2020-03-06,133.0,133.9,112.8,114.2,467665286
2020-03-13,109.0,109.85,78.05,89.75,442403178
2020-03-20,85.6,87.65,68.75,77.3,369860257
2020-03-27,70.0,75.9,63.5,70.7,264100896
2020-04-03,68.8,71.65,64.8,65.3,154959373
2020-04-10,68.55,76.25,65.4,74.6,236933888
2020-04-17,76.0,78.7,71.0,76.85,257787144
2020-04-24,76.85,83.4,72.55,74.2,330634078
2020-05-01,75.9,93.75,74.8,93.25,274091130
2020-05-08,87.0,87.2,80.35,81.05,268553650
2020-05-15,81.45,92.5,81.4,84.35,383166547
2020-05-22,84.5,85.65,79.6,82.8,212496396
2020-05-29,83.9,88.15,82.6,87.0,272979700
2020-06-05,88.9,112.45,88.0,110.75,546385658
2020-06-12,114.0,119.15,98.0,105.3,448948311
2020-06-19,104.65,104.65,91.8,102.5,590058760
2020-06-26,102.35,110.8,100.35,101.4,382177778
2020-07-03,101.4,106.35,97.3,103.45,280309162
2020-07-10,105.0,112.6,104.2,107.6,352892304
2020-07-17,108.85,112.1,100.6,106.4,264930615
2020-07-24,106.35,109.75,102.7,103.75,226626414
2020-07-31,104.0,108.75,101.3,104.65,205671775
2020-08-07,103.0,119.7,102.9,119.1,506628717
2020-08-14,119.95,132.65,119.7,124.6,342561528
2020-08-21,124.5,127.6,120.15,120.9,260627151
2020-08-28,122.0,146.85,120.8,142.8,595658981
2020-09-04,144.5,155.2,138.2,147.8,500049600
2020-09-11,150.0,152.0,135.7,144.3,409020085
2020-09-18,147.2,154.3,145.5,147.9,306843285
2020-09-25,147.75,147.75,122.15,127.25,354483001
2020-10-02,128.9,136.5,127.5,133.5,214549233
2020-10-09,136.95,145.8,132.05,138.45,363630396
2020-10-16,139.65,139.65,126.0,127.75,250604865
2020-10-23,129.8,138.9,126.35,137.0,217405772
2020-10-30,138.4,143.25,130.0,132.65,415519210
2020-11-06,133.65,142.3,131.1,139.0,244031517
2020-11-13,140.6,153.85,138.7,146.35,276367512
2020-11-20,152.5,178.8,152.2,169.1,430831134
2020-11-27,169.5,183.85,165.55,180.35,321648892
2020-12-04,182.35,188.8,178.1,184.15,218317259
2020-12-11,184.45,186.45,176.4,178.85,193680717
2020-12-18,181.0,184.0,173.25,180.55,205803159
2020-12-25,176.0,178.0,156.7,175.95,316340962
2021-01-01,179.85,188.45,179.0,186.5,284142049
2021-01-08,191.8,201.5,185.05,198.15,335293899
2021-01-15,199.9,264.65,199.65,260.3,1074308010
2021-01-22,261.65,306.9,241.15,289.35,1114769559
2021-01-29,296.9,299.5,259.05,262.7,558332222
2021-02-05,269.75,341.9,255.35,315.9,866033787
2021-02-12,318.75,339.25,318.0,325.4,420758402
2021-02-19,329.9,337.9,301.4,311.85,326109813
2021-02-26,312.45,334.7,302.15,322.95,396526530
2021-03-05,330.0,357.0,319.7,325.15,427384165
2021-03-12,331.75,331.75,309.6,317.55,263530440
2021-03-19,320.0,321.9,290.2,308.95,315129347
2021-03-26,306.45,312.25,282.25,296.4,343483569
2021-04-02,300.5,309.85,292.7,307.25,147854260
2021-04-09,306.8,325.0,297.2,318.2,306135094
2021-04-16,307.85,315.0,280.55,310.0,372709316
2021-04-23,295.0,308.15,290.5,294.0,241631582
2021-04-30,297.0,310.0,292.55,293.85,183002494
2021-05-07,289.3,305.95,285.0,302.75,189941206
2021-05-14,304.5,334.75,304.0,312.25,304519951
2021-05-21,315.4,336.65,306.1,313.1,350898628
2021-05-28,314.75,324.5,310.2,319.8,174030416
2021-06-04,318.7,336.9,312.1,334.95,152455307
2021-06-11,339.75,358.9,337.5,350.75,229161035
2021-06-18,350.05,360.75,329.0,337.4,180173436
2021-06-25,330.9,344.3,326.2,339.65,119545931
2021-07-02,340.8,347.4,337.55,344.9,104796632
2021-07-09,347.05,358.2,301.85,306.3,430661620
2021-07-16,310.8,315.45,306.1,311.25,128557877
2021-07-23,308.95,310.3,295.0,295.55,103725613
2021-07-30,295.0,300.0,283.6,293.95,207045226
2021-08-06,299.15,306.45,292.75,300.05,113230429
2021-08-13,300.75,311.5,286.45,307.25,121537614
2021-08-20,305.95,307.85,281.0,283.1,90471072
2021-08-27,287.2,289.2,268.45,285.75,124966986
2021-09-03,290.1,297.4,286.1,295.55,118772404
2021-09-10,297.5,303.5,290.9,298.95,79890218
2021-09-17,299.0,315.35,295.5,308.6,117604819
2021-09-24,304.9,326.95,293.1,317.95,150220179
2021-10-01,323.15,337.9,323.15,333.3,164688507
2021-10-08,336.8,397.55,335.0,382.95,345224792
2021-10-15,390.15,530.0,388.0,497.6,512334536
2021-10-22,507.0,525.0,471.25,490.9,280547531
2021-10-29,493.9,510.0,467.7,483.7,177733964
2021-11-05,486.45,510.0,469.8,489.7,114326342
2021-11-12,493.9,520.65,490.25,507.05,158786745
2021-11-19,,,,,0
2021-11-26,,,,,0
2021-12-03,466.55,484.7,455.65,480.3,105648459
2021-12-10,480.1,498.5,466.0,493.4,91294113
2021-12-17,499.45,506.4,468.2,470.2,96820121
2021-12-24,459.9,478.0,440.0,467.6,102180502
2021-12-31,465.7,483.6,460.1,482.4,73147772
2022-01-07,493.5,500.85,477.1,490.6,104362945
2022-01-14,493.1,515.4,491.3,509.9,97946453
2022-01-21,514.8,528.5,494.25,501.85,105405952
2022-01-28,499.7,509.35,467.65,497.3,96255391
2022-02-04,505.0,520.0,493.0,500.6,117560293
2022-02-11,502.9,510.5,479.15,498.85,77275107
2022-02-18,487.0,511.5,467.3,493.15,116377350
2022-02-25,490.15,500.4,405.45,459.75,174395570
2022-03-04,445.0,458.5,414.75,417.25,128631459
2022-03-11,401.75,434.95,376.35,418.15,260042870
2022-03-18,418.75,435.7,404.0,433.8,142323124
2022-03-25,435.5,447.0,421.2,432.1,106393020
2022-04-01,432.0,442.5,426.5,441.15,87246494
2022-04-08,444.4,462.7,441.3,452.05,108428093
2022-04-15,457.0,458.9,430.1,431.05,53856531
2022-04-22,430.0,449.35,417.0,438.85,76093600
2022-04-29,432.75,447.75,423.15,437.6,77874993
2022-05-06,437.95,442.95,407.0,408.55,71262930
2022-05-13,407.15,419.35,366.2,404.3,168769719
2022-05-20,411.9,427.35,396.2,418.0,111291765
2022-05-27,421.65,433.25,405.0,429.6,78990661
2022-06-03,437.0,449.5,430.5,431.9,78261714
2022-06-10,427.9,440.4,422.0,428.05,60852050
2022-06-17,414.9,420.9,382.65,388.95,99348025
2022-06-24,390.55,412.85,376.65,409.3,85539443
2022-07-01,417.55,424.0,402.3,412.7,73209506
2022-07-08,411.55,443.85,405.0,441.55,81839892
2022-07-15,438.05,441.75,423.3,440.2,58840301
2022-07-22,443.95,460.75,443.2,454.9,71166098
2022-07-29,456.0,457.6,427.4,449.6,86509529
2022-08-05,451.95,481.0,451.05,465.25,111728509
2022-08-12,466.0,485.0,463.35,477.55,50171219
2022-08-19,479.6,494.4,468.1,471.0,61440568
2022-08-26,468.5,470.45,447.6,465.05,67541151
2022-09-02,451.0,474.4,450.15,461.75,50254325
2022-09-09,459.75,463.95,440.0,445.9,73574194
2022-09-16,447.7,458.95,429.1,432.5,61325898
2022-09-23,431.5,443.35,420.55,423.1,70660596
2022-09-30,416.0,417.9,390.35,404.6,114949276
2022-10-07,405.5,417.65,395.5,412.15,56529512
2022-10-14,403.4,409.2,391.1,396.25,87295684
2022-10-21,394.0,406.95,392.5,398.05,53427455
2022-10-28,406.0,411.7,400.15,409.9,47949905
2022-11-04,414.35,426.0,411.6,425.35,62946035
2022-11-11,428.25,441.2,409.2,423.5,75057851
2022-11-18,424.0,438.5,419.6,423.8,62365253
2022-11-25,425.6,435.15,420.0,433.2,48002242
2022-12-02,435.0,443.6,429.55,435.4,51319572
2022-12-09,435.5,437.5,409.55,413.3,52907703
2022-12-16,412.0,427.8,408.0,421.6,82529951
2022-12-23,421.9,422.85,377.0,378.35,68559173
2022-12-30,380.25,397.45,375.2,387.95,64621113
2023-01-06,392.5,398.35,381.0,382.0,55213003
2023-01-13,386.35,420.5,385.0,411.5,113867503
2023-01-20,413.5,419.45,400.1,403.15,74143059
2023-01-27,407.0,453.4,405.0,445.6,129646706
2023-02-03,445.6,461.5,437.65,445.45,91681764
2023-02-10,444.05,447.8,431.2,445.85,46632800
2023-02-17,445.5,448.25,434.4,439.9,41382475
2023-02-24,441.8,445.3,427.0,427.75,43058201
2023-03-03,427.75,430.5,413.05,428.0,41374010
2023-03-10,430.95,442.05,430.0,435.85,35263838
2023-03-17,436.1,437.0,405.0,419.0,46159888
2023-03-24,415.6,422.5,405.5,416.5,39888715
2023-03-31,416.0,421.75,400.45,420.95,38498902
2023-04-07,423.0,439.3,419.5,437.65,26672886
2023-04-14,452.05,473.3,452.0,469.5,91234094
2023-04-21,471.0,483.35,465.8,471.2,56952422
2023-04-28,471.2,488.0,468.3,484.95,39733976
2023-05-05,482.5,486.4,474.55,477.1,30552600
2023-05-12,480.0,520.5,478.1,515.95,87036254
2023-05-19,523.85,537.15,504.75,524.95,100106678
2023-05-26,524.95,531.0,509.1,518.45,49787807
2023-06-02,525.0,541.25,516.4,535.9,48864469
2023-06-09,539.0,576.55,537.9,562.3,82147528
2023-06-16,567.0,575.0,560.65,569.85,54343477
2023-06-23,570.65,585.45,557.8,560.5,53892987
2023-06-30,560.0,599.0,557.8,595.2,45395003
2023-07-07,600.0,624.7,585.25,622.15,61894363
2023-07-14,624.0,634.8,615.5,624.35,62643402
2023-07-21,626.9,631.0,607.15,626.25,49638751
2023-07-28,627.95,663.1,626.4,636.0,77327587
2023-08-04,640.2,652.9,613.45,615.75,55238653
2023-08-11,619.0,628.15,605.25,611.7,94376274
2023-08-18,612.0,621.6,594.6,613.8,52095452
2023-08-25,617.0,626.45,593.5,601.8,49290799
2023-09-01,605.4,614.9,599.1,611.2,40805004
2023-09-08,615.6,628.9,605.6,627.25,46184422
2023-09-15,634.65,639.0,615.25,634.25,52950345
2023-09-22,635.9,647.0,619.0,620.45,38705045
2023-09-29,623.85,633.0,612.25,630.2,34359880
2023-10-06,632.6,632.65,608.3,622.45,30323557
2023-10-13,620.8,669.0,613.7,667.1,57856959
2023-10-20,668.55,677.8,653.8,663.2,67571197
2023-10-27,663.65,667.25,624.15,641.05,35915792
2023-11-03,643.8,666.0,621.85,647.5,65990074
2023-11-10,652.85,653.65,641.9,651.05,40522077
2023-11-17,657.95,687.65,649.3,681.55,43914439
2023-11-24,682.0,687.35,670.7,673.7,37732113
2023-12-01,677.45,717.25,674.25,705.45,66979384
2023-12-08,716.0,727.6,704.8,714.55,50107374
2023-12-15,717.8,734.0,713.0,732.4,37486915
2023-12-22,732.9,734.75,696.25,724.7,37833570
2023-12-29,727.4,802.9,716.6,779.95,78358333
2024-01-05,785.0,805.9,776.25,790.95,60310509
2024-01-12,798.4,818.55,787.5,816.45,49260533
2024-01-19,820.0,827.0,797.0,823.55,40097744
