date,open,high,low,close,volume
2019-11-08,80.35,82.0,77.1,77.6,16528378
2019-11-15,77.6,81.7,75.75,78.25,19582241
2019-11-22,78.7,79.8,73.65,74.45,19580889
2019-11-29,74.1,76.6,71.0,71.35,21532591
2019-12-06,71.35,71.9,66.25,67.9,27911727
2019-12-13,67.5,74.8,63.8,72.85,40897464
2019-12-20,73.0,76.85,71.65,72.6,36260965
2019-12-27,72.9,74.3,71.6,72.65,17634926
2020-01-03,73.05,80.3,72.6,78.1,37567542
2020-01-10,77.65,81.8,73.9,81.05,30633894
2020-01-17,81.25,84.2,79.4,82.65,24729321
2020-01-24,82.7,83.75,76.2,78.85,23939208
2020-01-31,78.4,80.3,73.5,74.35,39127394
2020-02-07,73.75,75.8,66.5,71.8,21984839
2020-02-14,72.15,73.0,69.55,70.1,9545489
2020-02-21,70.25,70.8,62.55,64.85,14127706
2020-02-28,63.5,63.65,54.5,55.5,16884919
2020-03-06,57.0,57.0,48.85,49.95,18021423
2020-03-13,46.15,48.9,37.25,47.55,52054862
2020-03-20,45.4,47.5,32.0,32.5,27270178
2020-03-27,29.25,32.5,28.4,30.55,20584429
2020-04-03,30.0,31.3,28.8,29.55,8352813
2020-04-10,30.7,34.9,29.85,34.25,18425637
2020-04-17,35.0,39.4,33.35,36.1,23004320
2020-04-24,36.2,37.8,33.25,33.7,18110782
2020-05-01,34.55,40.95,33.7,39.75,26707374
2020-05-08,37.0,37.5,34.25,34.95,13695530
2020-05-15,35.05,38.4,34.5,35.3,29729962
2020-05-22,35.2,35.5,33.4,34.7,12532621
2020-05-29,35.0,36.75,34.7,36.1,11467111
2020-06-05,36.55,47.5,36.55,46.95,40583781
2020-06-12,48.6,49.9,42.0,44.7,29195444
2020-06-19,44.7,44.7,38.55,42.7,35676501
2020-06-26,42.95,45.45,41.05,41.45,30356427
2020-07-03,41.15,42.65,39.8,41.45,18836333
2020-07-10,42.5,44.3,41.5,42.2,26870794
2020-07-17,42.6,43.7,39.1,40.95,18946936
2020-07-24,41.25,41.85,38.85,39.0,19904898
2020-07-31,39.15,39.75,36.85,37.5,23192694
2020-08-07,37.6,42.45,37.25,41.05,53972846
2020-08-14,41.7,49.3,41.0,44.5,52837227
2020-08-21,44.9,45.35,43.15,43.4,36612738
2020-08-28,43.5,57.2,43.25,53.4,109594305
2020-09-04,53.5,56.9,49.5,56.1,76891852
2020-09-11,58.5,62.95,55.55,59.45,91673362
2020-09-18,61.2,68.0,60.6,65.65,37631743
2020-09-25,65.8,66.0,57.0,59.05,31355548
2020-10-02,60.3,64.45,59.5,62.05,17853486
2020-10-09,63.85,66.2,61.1,61.45,24072480
2020-10-16,61.95,62.1,54.0,55.85,25210097
2020-10-23,56.55,58.1,54.6,57.45,29355182
2020-10-30,58.4,60.2,54.65,55.55,32219816
2020-11-06,56.05,57.6,54.5,56.5,16257514
2020-11-13,57.0,63.15,56.5,61.85,37638561
2020-11-20,65.0,78.2,64.7,72.65,62869581
2020-11-27,73.25,79.8,70.4,78.15,37363154
2020-12-04,78.85,81.25,75.85,77.25,27809124
2020-12-11,77.45,78.7,74.0,74.7,23634568
2020-12-18,75.3,77.2,73.55,75.6,18532114
2020-12-25,74.15,74.5,64.0,72.85,29355346
2021-01-01,75.1,78.6,74.1,76.45,30491820
2021-01-08,78.2,83.2,75.5,81.85,42853379
2021-01-15,82.4,104.4,82.0,101.5,141802467
2021-01-22,102.25,117.5,95.2,113.55,131196594
2021-01-29,116.0,117.0,101.35,104.45,28109217
2021-02-05,107.0,138.4,102.3,126.5,76963489
2021-02-12,127.4,138.15,126.5,131.7,40463343
2021-02-19,134.0,136.4,119.45,123.4,22560938
2021-02-26,123.4,132.55,117.25,127.9,24319115
2021-03-05,130.05,145.0,129.25,135.4,29211100
2021-03-12,137.05,143.0,133.7,136.3,14101477
2021-03-19,137.0,137.3,119.15,134.2,21438905
2021-03-26,132.5,137.4,124.0,128.65,17546194
2021-04-02,130.0,133.05,127.1,131.0,7023624
2021-04-09,131.0,141.2,126.75,137.55,12806199
2021-04-16,133.65,140.25,124.0,138.25,16242473
2021-04-23,132.4,136.8,127.45,127.8,9579583
2021-04-30,129.6,133.85,127.15,127.9,6577217
2021-05-07,124.95,135.0,123.5,134.55,9801666
2021-05-14,135.0,154.0,134.65,147.65,37374063
2021-05-21,150.0,157.9,144.1,147.5,31728528
2021-05-28,148.55,153.65,146.5,151.2,14143934
2021-06-04,150.25,153.5,142.3,151.9,25146345
2021-06-11,153.5,167.5,152.75,161.6,23646357
2021-06-18,161.75,169.75,151.0,154.95,16306163
2021-06-25,151.4,162.3,150.1,155.7,10246056
2021-07-02,156.35,159.75,154.25,156.0,8466004
2021-07-09,157.15,160.5,139.9,142.4,34104152
2021-07-16,143.7,147.7,141.05,144.65,5967798
2021-07-23,143.9,144.45,131.85,133.65,7965641
2021-07-30,133.05,141.0,131.55,139.75,8476097
2021-08-06,142.0,146.5,138.75,142.1,8982528
2021-08-13,142.1,146.65,133.1,142.25,9594929
2021-08-20,141.85,142.95,132.25,132.8,8687271
2021-08-27,136.0,140.35,129.15,136.6,8117181
2021-09-03,138.0,142.2,135.5,140.25,11125968
2021-09-10,141.0,144.1,137.5,140.95,10443314
2021-09-17,141.4,164.6,139.4,146.55,43848275
2021-09-24,145.0,173.0,142.3,161.3,38460881
2021-10-01,162.05,194.7,162.05,186.55,54705886
2021-10-08,187.5,200.2,178.1,191.25,54433048
2021-10-15,193.0,275.0,191.65,247.65,66176539
2021-10-22,253.7,283.9,223.0,250.8,65965911
2021-10-29,252.4,270.0,238.65,246.0,37069473
2021-11-05,249.75,269.0,243.15,265.9,19690115
