date,open,high,low,close,volume
2020-01-17,59.2,62.1,58.85,61.55,38185112
2020-01-24,61.55,61.95,58.9,61.2,38067483
2020-01-31,60.8,62.0,57.6,58.1,43611781
2020-02-07,57.8,58.4,54.6,58.0,31700091
2020-02-14,57.7,58.25,53.55,53.8,24807790
2020-02-21,53.9,53.95,50.6,51.6,39792905
2020-02-28,51.5,52.95,46.05,46.7,80575992
2020-03-06,47.1,47.8,41.45,43.05,57512499
2020-03-13,42.05,42.8,33.85,42.15,103216337
2020-03-20,40.8,42.55,32.75,36.7,57360503
2020-03-27,34.35,36.85,31.2,33.95,46296382
2020-04-03,33.95,33.95,29.95,30.15,32409462
2020-04-10,31.8,37.0,30.8,36.5,32297645
2020-04-17,36.65,37.5,34.05,34.4,34506831
2020-04-24,34.65,34.65,30.8,31.05,69922529
2020-05-01,31.5,32.15,30.5,31.7,67885640
2020-05-08,31.5,31.5,27.65,28.5,93251591
2020-05-15,29.0,33.2,27.0,31.4,223405936
2020-05-22,31.95,34.6,30.25,33.75,238766903
2020-05-29,33.75,37.5,33.6,36.55,288019088
2020-06-05,37.6,44.35,37.2,43.9,347553307
2020-06-12,44.9,44.9,37.8,41.7,164058372
2020-06-19,41.7,43.95,40.15,43.2,153917366
2020-06-26,43.7,47.4,42.7,46.35,180622380
2020-07-03,46.45,51.2,44.05,49.9,259852092
2020-07-10,50.65,53.2,49.7,50.3,180804302
2020-07-17,50.9,51.1,45.95,49.3,120024957
2020-07-24,50.0,51.45,48.55,48.9,93309561
2020-07-31,48.8,50.4,47.5,48.7,107962175
2020-08-07,48.8,50.6,48.35,49.7,93518406
2020-08-14,49.8,57.9,49.8,54.95,226047143
2020-08-21,55.5,63.4,54.85,61.95,277227037
2020-08-28,62.35,63.25,59.05,61.2,206010444
2020-09-04,61.4,61.75,57.9,58.9,149560298
2020-09-11,58.95,59.4,52.5,56.7,139383462
2020-09-18,56.9,58.75,55.75,56.2,102928978
2020-09-25,56.05,56.2,50.1,53.1,132051932
2020-10-02,53.6,54.65,53.0,54.45,59293667
2020-10-09,54.5,56.9,53.6,54.45,76668070
2020-10-16,54.45,55.1,52.25,54.15,95555153
2020-10-23,54.35,56.15,53.2,55.25,82202355
2020-10-30,55.65,55.7,51.65,52.15,75354402
2020-11-06,52.4,56.75,52.0,54.7,78982920
2020-11-13,55.45,58.5,53.9,55.25,121172946
2020-11-20,56.5,61.45,55.9,58.1,133515384
2020-11-27,58.85,65.25,57.8,64.9,211930829
2020-12-04,65.6,73.6,65.0,71.65,252066101
2020-12-11,72.45,75.0,70.25,72.8,207567494
2020-12-18,73.45,76.7,72.5,76.05,174270825
2020-12-25,75.85,75.85,66.4,74.5,151863347
2021-01-01,75.25,78.8,75.1,77.35,116757038
2021-01-08,78.05,84.6,77.5,83.05,192376605
