date,open,high,low,close,volume
2020-01-17,49.65,50.6,48.92,49.53,438995982
2020-01-24,49.7,49.98,47.32,48.34,409510010
2020-01-31,47.78,47.78,43.65,43.87,674509778
2020-02-07,43.15,48.73,41.66,47.1,868613475
2020-02-14,46.03,46.33,43.34,43.46,748563137
2020-02-21,43.55,44.77,42.13,44.36,426725332
2020-02-28,43.49,43.49,37.5,38.18,811112345
2020-03-06,39.37,39.4,34.67,35.15,912835073
2020-03-13,33.75,33.77,25.54,32.67,1267276058
2020-03-20,30.4,31.77,26.05,29.78,990648673
2020-03-27,26.8,29.55,25.36,27.73,571503700
2020-04-03,26.7,27.25,25.09,25.38,561342320
2020-04-10,26.61,29.29,26.12,28.49,502478160
2020-04-17,28.5,29.97,27.39,29.34,712442297
2020-04-24,29.48,29.5,25.92,26.76,715285957
2020-05-01,27.4,30.45,26.96,29.83,644717229
2020-05-08,28.5,28.62,27.01,27.29,534188670
2020-05-15,27.56,28.8,26.45,27.35,664599057
2020-05-22,27.41,28.63,26.25,27.45,666297008
2020-05-29,27.75,29.86,27.7,29.52,558467900
2020-06-05,30.2,34.37,30.2,33.9,935048604
2020-06-12,34.77,35.08,30.0,31.76,800925575
2020-06-19,31.38,32.59,30.13,32.06,799763346
2020-06-26,31.98,33.82,31.84,32.39,654175568
2020-07-03,32.3,33.77,31.21,32.99,815590346
2020-07-10,33.32,34.85,32.81,33.87,834756105
2020-07-17,34.33,35.68,33.16,35.1,651128338
2020-07-24,35.11,36.29,34.26,34.61,572895449
2020-07-31,35.1,37.85,34.43,36.63,720161147
2020-08-07,36.48,40.67,36.21,40.41,901814604
2020-08-14,40.58,43.1,39.96,41.85,1096427622
2020-08-21,41.8,44.2,41.43,42.89,766608796
2020-08-28,43.36,43.8,42.15,42.42,523672689
2020-09-04,42.65,44.37,41.0,42.13,623032898
2020-09-11,42.37,42.84,38.65,40.75,898735594
2020-09-18,41.0,41.41,39.32,39.55,631015468
2020-09-25,39.6,39.92,34.28,35.21,778748026
2020-10-02,36.0,37.18,35.57,36.5,526811031
2020-10-09,37.01,38.73,36.71,36.95,796888905
2020-10-16,37.35,39.59,36.25,39.39,1030581612
2020-10-23,39.76,42.6,38.96,42.35,1015089042
2020-10-30,42.34,42.34,39.52,41.06,815181655
2020-11-06,41.0,43.29,39.87,42.65,829314566
2020-11-13,43.3,48.84,42.74,48.66,1258048049
2020-11-20,49.66,54.17,48.7,53.29,1364275077
2020-11-27,53.8,58.24,53.64,57.74,1165969711
2020-12-04,59.2,63.25,57.7,62.27,846653965
2020-12-11,62.36,62.9,59.35,62.17,815599296
