date,open,high,low,close,volume
2020-01-17,779.9,803.65,775.05,778.45,6881008
2020-01-24,778.5,790.45,763.3,787.3,8172302
2020-01-31,786.0,807.95,779.65,796.6,10822636
2020-02-07,796.95,825.95,765.7,824.45,16204868
2020-02-14,827.0,838.0,811.05,834.15,7518118
2020-02-21,835.95,845.9,825.35,829.6,4249248
2020-02-28,828.95,843.9,732.05,744.4,15477435
2020-03-06,742.0,784.0,731.4,740.4,12770810
2020-03-13,715.0,730.0,525.9,655.95,16405877
2020-03-20,634.8,634.8,523.0,576.35,24629883
2020-03-27,540.0,564.9,471.4,504.1,21311251
2020-04-03,494.0,575.25,485.65,520.9,17731947
2020-04-10,536.5,582.7,535.75,545.25,13563089
2020-04-17,551.0,551.0,500.0,509.85,27980346
2020-04-24,517.95,532.6,502.1,503.45,20682289
2020-05-01,511.7,552.9,506.5,546.25,24299733
2020-05-08,515.0,538.6,490.0,536.2,37130041
2020-05-15,541.5,549.75,507.4,510.55,23038121
2020-05-22,511.5,531.0,501.5,529.65,15893228
2020-05-29,533.0,540.75,512.05,530.45,12455023
2020-06-05,538.5,593.55,537.05,579.85,30857672
2020-06-12,585.8,605.35,550.0,554.7,20878293
2020-06-19,557.0,560.5,528.4,538.85,22575820
2020-06-26,541.9,574.95,538.3,560.85,19968141
2020-07-03,558.9,572.25,536.05,567.2,19299788
2020-07-10,574.95,593.9,561.35,569.0,19885100
2020-07-17,571.95,638.95,570.5,599.7,44759053
2020-07-24,603.85,655.4,598.5,652.6,29876480
2020-07-31,657.0,702.75,642.8,681.65,48497475
2020-08-07,685.95,686.95,642.55,662.45,26259393
2020-08-14,668.0,711.0,662.7,695.9,27635130
2020-08-21,704.8,736.65,698.65,732.6,29735522
2020-08-28,734.95,758.35,714.35,752.35,17560459
2020-09-04,759.7,774.7,722.7,748.2,21817106
2020-09-11,749.7,770.6,734.05,765.15,20299554
2020-09-18,770.15,811.45,770.0,804.65,33514067
2020-09-25,807.0,830.0,747.55,772.35,38850189
2020-10-02,779.35,825.35,764.0,822.5,26184896
2020-10-09,822.55,887.55,821.85,854.15,34103146
2020-10-16,861.0,879.9,798.8,822.75,32889491
2020-10-23,828.0,857.45,817.6,848.25,28079337
2020-10-30,830.0,854.7,781.85,813.3,34746601
2020-11-06,821.4,854.0,804.3,851.15,22444325
2020-11-13,859.0,877.0,812.45,838.85,22564011
2020-11-20,848.55,856.5,820.0,837.55,18064997
2020-11-27,838.0,890.0,836.75,876.85,39417272
2020-12-04,900.0,929.3,871.65,923.1,21346028
2020-12-11,915.5,950.85,914.0,919.4,17536822
2020-12-18,924.0,947.0,898.45,933.8,17799137
2020-12-25,928.15,959.75,890.0,947.25,17692542
2021-01-01,947.25,986.4,943.85,977.95,16775595
2021-01-08,980.6,1060.0,975.0,1051.1,24865545
2021-01-15,1062.1,1081.55,1002.65,1007.3,26240603
2021-01-22,998.0,1033.35,975.0,980.85,21590108
2021-01-29,985.85,1004.9,956.0,961.4,18391684
2021-02-05,961.9,1000.0,921.15,959.4,24234742
2021-02-12,969.8,1009.0,957.6,991.2,17508030
2021-02-19,996.0,1019.2,971.4,993.95,19724142
2021-02-26,998.95,1011.0,915.0,919.3,20614523
2021-03-05,935.45,994.7,926.35,959.7,18086774
2021-03-12,963.0,1024.6,961.55,1003.25,15634462
2021-03-19,1005.0,1045.0,975.15,989.45,23422922
2021-03-26,989.9,1021.5,964.1,991.0,16818797
2021-04-02,991.5,1023.0,986.0,990.2,11632862
2021-04-09,992.0,1056.8,978.2,1053.0,23250980
2021-04-16,1051.0,1059.05,970.3,1010.3,21375304
2021-04-23,999.1,1009.4,945.4,950.2,15804028
2021-04-30,951.0,987.6,937.0,960.4,24387265
2021-05-07,960.0,984.7,953.75,980.95,17231808
2021-05-14,985.0,992.65,941.4,952.2,9223584
2021-05-21,954.0,986.3,943.0,980.5,9735663
2021-05-28,979.8,1033.0,975.1,1026.0,14794276
2021-06-04,1025.0,1032.0,994.0,1019.2,12654427
2021-06-11,1024.95,1082.4,1019.45,1073.0,17346647
2021-06-18,1073.0,1093.0,1055.0,1070.7,15678961
2021-06-25,1059.0,1103.2,1038.45,1089.5,14457888
2021-07-02,1091.0,1109.4,1075.0,1089.4,10141238
2021-07-09,1093.0,1094.95,1030.1,1051.75,14234726
2021-07-16,1057.0,1119.7,1046.1,1103.15,16546509
2021-07-23,1088.0,1152.5,1080.0,1131.0,12787489
2021-07-30,1131.0,1237.3,1104.05,1209.55,29159462
2021-08-06,1210.0,1273.0,1195.55,1264.6,16612613
2021-08-13,1290.4,1394.8,1266.0,1383.15,29703578
2021-08-20,1381.95,1428.8,1360.25,1399.2,17946538
2021-08-27,1415.45,1478.0,1409.0,1445.4,17551909
2021-09-03,1450.0,1468.25,1406.95,1441.95,16746163
2021-09-10,1448.0,1472.9,1414.0,1433.25,8301125
2021-09-17,1436.0,1480.0,1420.35,1451.55,10564028
2021-09-24,1440.0,1547.85,1420.4,1514.75,14993315
2021-10-01,1523.0,1525.0,1364.8,1371.25,21190779
2021-10-08,1384.7,1447.0,1372.05,1439.95,13009354
2021-10-15,1420.0,1459.6,1361.0,1430.8,12106104
2021-10-22,1420.0,1576.5,1420.0,1517.45,26869147
2021-10-29,1531.0,1630.0,1467.8,1477.85,31342701
2021-11-05,1490.0,1537.7,1487.05,1505.85,7176681
2021-11-12,1508.0,1589.45,1504.3,1585.0,13153025
2021-11-19,1585.0,1625.0,1559.5,1567.75,10555393
2021-11-26,1581.8,1581.8,1506.3,1527.4,8499203
2021-12-03,1515.0,1638.25,1479.4,1593.3,15484115
2021-12-10,1606.0,1620.0,1536.0,1602.65,9998916
2021-12-17,1605.0,1675.0,1597.45,1642.85,13141505
2021-12-24,1635.0,1735.2,1576.6,1723.8,11185724
