date,open,high,low,close,volume
2020-01-17,9.52,10.98,9.52,10.57,296396
2020-01-24,10.21,11.03,10.21,10.75,314425
2020-01-31,10.4,12.09,10.4,11.34,437545
2020-02-07,11.34,11.85,10.7,11.43,221084
2020-02-14,11.52,13.0,11.4,12.5,392795
2020-02-21,12.4,12.99,12.21,12.9,332796
2020-02-28,13.5,13.5,12.03,12.23,476045
2020-03-06,12.2,12.59,11.28,11.61,154455
2020-03-13,11.11,11.55,9.5,9.59,697796
2020-03-20,9.6,9.61,8.31,8.95,236195
2020-03-27,9.4,9.88,8.51,9.79,276155
2020-04-03,10.17,10.19,8.58,8.58,314026
2020-04-10,8.15,8.49,7.2,8.02,415187
2020-04-17,7.8,9.28,7.51,9.17,119046
2020-04-24,9.87,10.0,8.71,9.59,79485
2020-05-01,9.95,10.1,9.36,9.71,44346
2020-05-08,9.2,9.9,8.81,9.56,301335
2020-05-15,9.5,10.4,9.1,9.56,200145
2020-05-22,9.84,10.06,9.11,9.63,81645
2020-05-29,9.88,11.65,9.36,10.64,378536
2020-06-05,11.1,11.99,9.93,11.47,501055
2020-06-12,11.6,12.5,10.55,11.43,380315
2020-06-19,12.3,12.5,10.5,12.21,282705
2020-06-26,12.5,13.9,11.8,13.34,912205
2020-07-03,13.2,14.99,13.05,13.66,406155
2020-07-10,13.76,16.39,13.12,14.05,2085965
2020-07-17,14.05,14.55,13.23,13.7,324445
2020-07-24,13.3,15.9,13.3,14.9,907915
2020-07-31,14.65,15.01,13.2,14.54,736255
2020-08-07,14.45,17.48,13.8,16.25,575695
2020-08-14,16.69,20.05,16.23,18.07,1925295
2020-08-21,18.69,21.7,17.03,19.96,2385515
2020-08-28,20.13,20.98,17.33,18.32,871315
2020-09-04,18.35,23.94,18.2,23.19,6168045
2020-09-11,23.19,31.8,22.7,30.51,6191045
2020-09-18,30.89,31.91,24.35,25.79,6627145
2020-09-25,26.0,26.7,20.26,24.6,3132365
2020-10-02,25.99,35.41,25.12,32.01,13267296
2020-10-09,32.4,32.5,26.6,27.51,2876605
2020-10-16,27.61,30.99,25.96,27.33,2336885
2020-10-23,27.6,28.5,25.04,26.73,1271675
2020-10-30,27.26,27.5,25.2,25.56,703115
2020-11-06,26.14,27.29,23.64,27.25,1431045
2020-11-13,28.0,30.2,26.71,27.44,1468165
2020-11-20,28.4,28.4,26.15,26.31,565845
2020-11-27,26.31,26.93,25.3,25.84,691215
2020-12-04,25.84,26.95,25.84,26.4,370206
2020-12-11,26.4,27.8,25.99,26.7,793165
2020-12-18,26.98,27.05,25.33,26.21,380505
2020-12-25,26.26,31.0,26.1,28.89,4143516
2021-01-01,29.24,37.89,27.74,36.89,11384205
2021-01-08,37.5,47.18,37.5,37.64,14452415
2021-01-15,37.8,40.0,35.5,37.35,1871495
2021-01-22,37.49,40.5,36.1,37.71,1425055
2021-01-29,37.82,38.23,35.95,36.48,409396
2021-02-05,36.9,38.0,35.6,36.71,252715
2021-02-12,37.48,44.23,36.71,40.94,761115
2021-02-19,41.0,43.61,38.41,43.4,1277985
2021-02-26,43.5,45.5,40.19,44.0,1013555
2021-03-05,44.2,46.9,43.01,45.05,994105
2021-03-12,43.01,51.32,43.01,50.49,493426
2021-03-19,52.5,54.6,49.5,50.07,290295
2021-03-26,52.5,52.5,47.6,49.41,514775
2021-04-02,50.9,50.94,45.7,49.61,631147
2021-04-09,49.01,54.0,48.0,50.97,231755
2021-04-16,50.8,51.3,46.32,50.64,164026
2021-04-23,51.8,51.8,48.05,50.0,193156
2021-04-30,50.0,56.39,49.0,55.96,470065
2021-05-07,56.0,67.85,55.69,67.85,589775
2021-05-14,71.18,81.71,68.03,80.64,1218116
2021-05-21,84.5,102.59,81.5,98.03,1461115
2021-05-28,100.0,106.0,85.45,94.44,2806395
2021-06-04,96.5,98.69,82.22,83.83,1676705
2021-06-11,83.02,96.8,83.0,90.07,674785
2021-06-18,92.9,113.38,88.0,113.38,1790855
2021-06-25,119.05,131.21,114.5,124.3,1182295
2021-07-02,125.0,150.8,124.9,140.47,950345
2021-07-09,145.0,145.0,130.8,135.18,565205
2021-07-16,138.0,139.89,121.03,127.23,596775
2021-07-23,128.99,128.99,114.5,122.49,492256
2021-07-30,124.94,137.8,116.51,133.03,1459545
2021-08-06,136.59,137.8,113.24,115.47,663275
2021-08-13,114.07,123.4,107.11,116.41,450685
2021-08-20,113.0,121.9,106.9,108.21,266846
2021-08-27,112.49,112.5,97.74,110.06,337075
2021-09-03,112.5,124.5,108.1,121.36,371185
2021-09-10,124.0,126.11,113.0,126.11,278116
2021-09-17,130.8,138.2,120.4,121.82,982295
2021-09-24,120.0,135.48,114.7,125.99,509875
2021-10-01,131.67,131.67,117.11,122.28,199475
2021-10-08,122.04,129.98,120.01,122.91,330465
2021-10-15,125.97,147.99,122.5,138.92,911396
2021-10-22,143.99,150.39,132.1,139.98,832825
2021-10-29,139.0,156.42,133.5,151.46,697385
2021-11-05,159.0,159.0,136.81,143.29,599916
2021-11-12,145.0,150.11,131.51,147.32,686255
2021-11-19,146.92,152.0,135.1,139.84,238536
2021-11-26,139.49,140.15,132.0,134.15,344595
2021-12-03,133.9,136.3,128.1,135.07,245395
2021-12-10,134.8,170.93,134.8,170.82,879095
2021-12-17,171.0,178.7,155.23,158.25,299945
2021-12-24,150.81,170.9,145.5,164.78,459975
2021-12-31,168.09,189.9,160.01,184.63,981765
2022-01-07,188.2,220.9,187.0,216.41,1102685
2022-01-14,216.41,238.44,207.06,238.44,943715
2022-01-21,250.36,262.88,221.8,222.66,783655
2022-01-28,224.9,239.0,200.95,238.14,698136
2022-02-04,235.5,242.0,219.51,223.21,300575
2022-02-11,223.21,224.9,195.8,201.25,370925
2022-02-18,191.33,203.39,181.63,196.23,370975
2022-02-25,193.01,197.0,178.94,191.94,382265
2022-03-04,197.4,213.5,182.56,209.06,321596
2022-03-11,200.3,230.0,198.61,228.44,334425
2022-03-18,232.0,232.0,215.02,221.74,164096
2022-03-25,221.74,239.8,217.17,229.54,282125
2022-04-01,229.6,234.5,215.6,225.01,169515
2022-04-08,229.77,236.8,205.01,212.38,304725
2022-04-15,212.1,212.1,201.5,206.11,177297
2022-04-22,209.0,209.0,186.98,189.12,224075
2022-04-29,190.0,198.5,180.0,186.27,271515
2022-05-06,182.01,191.48,172.21,172.87,409016
2022-05-13,168.5,175.69,159.1,168.63,605165
2022-05-20,170.0,180.82,147.25,170.88,573625
2022-05-27,178.2,179.4,149.37,153.37,196075
2022-06-03,157.8,174.84,147.63,161.79,316475
2022-06-10,160.0,164.1,145.5,146.72,281425
