date,open,high,low,close,volume
2020-01-17,950.0,1014.0,935.13,1003.18,3666562
2020-01-24,1003.18,1036.83,992.78,1018.48,4545076
2020-01-31,1018.48,1027.98,950.3,965.55,6751330
2020-02-07,968.48,1020.0,941.08,1010.4,3646632
2020-02-14,1012.0,1060.0,990.0,1056.25,3818826
2020-02-21,1057.5,1143.63,1051.13,1119.48,3249218
2020-02-28,1119.48,1142.0,1061.6,1075.15,3914988
2020-03-06,1081.0,1122.5,1045.25,1098.05,4841814
2020-03-13,1098.05,1098.75,895.0,989.25,3774484
2020-03-20,974.85,1013.28,791.63,946.95,5140706
2020-03-27,853.5,960.0,853.5,930.08,3211838
2020-04-03,910.0,1056.5,906.35,1038.5,3779278
2020-04-10,1079.88,1349.5,1056.15,1275.18,8962010
2020-04-17,1275.5,1292.0,1112.5,1123.4,8933864
2020-04-24,1133.0,1274.5,1128.3,1215.25,8556286
2020-05-01,1237.5,1287.5,1160.23,1172.7,5445760
2020-05-08,1170.0,1225.0,1148.23,1219.3,6229570
2020-05-15,1227.5,1262.5,1179.0,1230.73,7403956
2020-05-22,1235.0,1316.68,1233.0,1300.5,7158766
2020-05-29,1310.0,1315.5,1140.6,1181.28,26781538
2020-06-05,1159.45,1203.75,1140.0,1183.88,9700340
2020-06-12,1194.5,1249.0,1165.0,1242.98,7899096
2020-06-19,1249.5,1284.85,1220.13,1271.68,4237120
2020-06-26,1266.5,1307.5,1224.48,1235.58,4254618
2020-07-03,1240.2,1255.0,1163.0,1197.6,4237498
2020-07-10,1206.5,1207.5,1152.2,1176.5,4477256
2020-07-17,1185.0,1232.5,1170.25,1196.85,4396606
2020-07-24,1208.4,1208.4,1158.0,1162.65,3424476
2020-07-31,1171.65,1377.7,1115.93,1331.8,18306492
2020-08-07,1331.8,1500.75,1325.0,1470.53,16200700
2020-08-14,1474.9,1515.6,1389.03,1419.48,10497074
2020-08-21,1434.5,1439.25,1385.28,1412.73,5449720
2020-08-28,1422.2,1427.5,1352.0,1354.73,4590132
2020-09-04,1363.33,1416.75,1308.65,1384.6,9328384
2020-09-11,1391.7,1426.48,1360.03,1418.6,5596690
2020-09-18,1423.0,1472.25,1390.58,1438.15,6737494
2020-09-25,1445.0,1445.25,1227.5,1359.63,5763906
2020-10-02,1365.0,1424.5,1323.63,1408.6,7444090
2020-10-09,1408.6,1467.0,1380.6,1399.85,6603930
2020-10-16,1410.0,1448.0,1341.25,1372.1,4336426
