date,open,high,low,close,volume
2019-11-08,288.95,303.0,283.55,292.9,11066958
2019-11-15,292.7,305.6,291.45,292.95,4867527
2019-11-22,294.0,297.9,280.25,280.9,4420058
2019-11-29,282.5,287.0,278.0,280.1,5642247
2019-12-06,280.0,281.4,269.65,271.3,4521799
2019-12-13,271.9,277.8,269.65,272.2,3412082
2019-12-20,272.55,287.1,267.6,286.1,5102781
2019-12-27,286.1,289.9,278.25,280.5,3822674
2020-01-03,281.2,293.3,281.2,288.65,3438864
2020-01-10,288.0,298.7,280.8,297.8,4498983
2020-01-17,300.1,319.6,296.05,313.05,6307791
2020-01-24,313.05,324.8,311.85,322.3,7582294
2020-01-31,322.8,330.7,308.45,309.8,4674168
2020-02-07,309.8,322.0,285.85,305.75,6774460
2020-02-14,307.2,332.8,301.5,321.5,15327423
2020-02-21,323.5,330.35,306.0,314.05,8082034
2020-02-28,314.9,318.75,297.4,302.95,6057979
2020-03-06,304.9,322.0,303.1,314.75,7195457
2020-03-13,313.9,314.55,231.95,289.55,8409538
2020-03-20,276.5,294.55,261.55,286.75,8563425
2020-03-27,270.5,298.8,243.75,271.85,6598742
2020-04-03,270.95,284.25,267.8,278.95,2647162
2020-04-10,283.0,306.5,280.2,294.25,2227267
2020-04-17,294.0,314.3,283.15,301.15,6992817
2020-04-24,303.7,311.65,286.3,303.8,7000636
2020-05-01,309.0,335.65,304.1,330.3,4561099
2020-05-08,322.0,338.7,300.0,301.75,8680843
2020-05-15,302.35,318.8,295.6,304.6,9272199
2020-05-22,304.6,318.5,291.45,300.9,12574409
2020-05-29,303.8,321.75,297.5,318.45,5838984
2020-06-05,322.5,347.6,319.8,344.55,8231090
2020-06-12,349.95,349.95,314.0,328.85,7398924
2020-06-19,328.7,332.85,316.6,320.95,4390068
2020-06-26,323.25,332.25,316.2,325.4,5335386
2020-07-03,324.85,331.8,317.1,328.3,4902155
2020-07-10,328.3,338.7,325.2,326.7,5709136
2020-07-17,328.7,332.4,312.9,318.9,4084467
2020-07-24,319.0,324.9,315.9,318.1,5610325
2020-07-31,318.85,328.5,315.05,325.45,3996263
2020-08-07,329.0,357.75,325.4,337.1,17564510
2020-08-14,340.0,348.3,331.75,342.85,8598539
2020-08-21,343.85,368.9,342.0,355.15,12965613
2020-08-28,358.5,359.95,342.25,344.6,5404334
2020-09-04,345.0,347.9,329.7,333.2,5582119
2020-09-11,332.65,334.45,317.0,324.8,2889052
2020-09-18,325.35,338.0,323.1,325.8,4537191
2020-09-25,327.0,333.75,305.1,311.25,6138464
2020-10-02,312.25,324.3,308.05,309.5,3749347
2020-10-09,311.0,313.4,302.35,303.3,3370297
2020-10-16,304.0,304.75,293.2,302.65,2868204
2020-10-23,304.0,327.1,300.3,321.85,5641922
2020-10-30,321.0,324.0,302.45,312.2,6528998
2020-11-06,312.4,325.0,303.9,322.25,6934539
2020-11-13,323.1,323.9,302.65,303.1,5971737
2020-11-20,306.45,309.9,302.0,307.3,5563136
2020-11-27,308.95,317.0,305.05,316.0,8100185
2020-12-04,316.0,331.4,313.0,323.0,8864311
2020-12-11,325.0,335.3,320.7,323.6,6777762
2020-12-18,325.2,337.35,323.05,329.9,9037796
2020-12-25,331.3,332.5,293.0,318.75,5454039
2021-01-01,321.0,323.3,313.2,320.85,3038850
2021-01-08,322.0,348.75,316.8,335.95,9974237
2021-01-15,339.4,343.8,326.65,332.05,8359546
2021-01-22,334.0,343.7,316.6,319.2,8400748
2021-01-29,321.0,322.25,296.5,308.8,5771592
2021-02-05,314.7,327.0,304.15,318.3,8926496
2021-02-12,319.85,337.0,315.1,329.35,9339004
2021-02-19,331.0,378.0,327.55,365.4,19067574
2021-02-26,371.0,395.75,362.05,379.7,22240551
2021-03-05,385.0,429.7,379.65,403.55,14048687
2021-03-12,407.0,426.4,406.75,412.25,6242004
2021-03-19,411.0,434.45,403.8,425.8,10227050
2021-03-26,425.8,430.8,407.05,415.1,5953792
2021-04-02,416.95,429.4,413.8,426.3,2435951
2021-04-09,425.0,428.55,412.95,422.4,4144350
2021-04-16,418.0,418.0,388.45,408.7,4644997
2021-04-23,404.95,404.95,375.5,394.0,4917008
2021-04-30,397.0,403.0,384.4,396.3,3285306
2021-05-07,397.0,419.85,388.25,416.05,4625467
2021-05-14,418.2,457.0,417.65,428.3,8209796
2021-05-21,430.6,465.9,422.55,450.6,20192293
2021-05-28,450.6,450.6,421.0,429.0,5908110
2021-06-04,429.0,441.9,424.6,431.4,3353031
2021-06-11,433.75,508.7,432.0,464.65,32214289
2021-06-18,464.65,472.25,439.45,455.35,8762089
2021-06-25,449.75,471.4,443.0,452.0,6059103
2021-07-02,453.5,465.75,445.1,464.65,4169044
2021-07-09,469.65,475.95,461.2,475.2,4640964
2021-07-16,476.15,483.85,468.0,480.5,4440793
2021-07-23,476.0,482.7,467.1,473.45,2873398
2021-07-30,468.95,471.95,446.0,455.2,3100847
2021-08-06,460.85,480.0,453.25,475.05,5471257
2021-08-13,470.0,474.3,445.1,464.25,6074352
2021-08-20,463.95,466.4,443.85,453.1,2871459
2021-08-27,452.1,496.75,437.25,488.15,9112428
2021-09-03,490.0,499.8,478.5,486.25,5385495
2021-09-10,485.05,487.8,464.9,477.45,3914961
2021-09-17,477.0,500.0,471.85,481.9,5392128
2021-09-24,481.0,505.0,474.6,498.55,6347924
2021-10-01,502.0,527.35,485.25,501.4,11715480
2021-10-08,501.5,522.65,498.8,504.0,4102262
2021-10-15,512.0,544.9,502.8,515.4,8038972
2021-10-22,516.7,527.9,490.05,497.1,6208020
2021-10-29,497.1,536.0,482.25,499.95,11059731
2021-11-05,505.0,525.5,494.5,515.55,3362921
2021-11-12,515.8,547.0,515.65,539.3,4519244
2021-11-19,540.0,550.95,520.85,526.55,3568107
2021-11-26,525.0,560.75,501.8,538.1,7448105
2021-12-03,533.5,571.0,521.65,565.3,5070335
2021-12-10,566.8,591.7,551.55,579.7,5710157
2021-12-17,580.2,606.55,539.1,544.45,7211449
2021-12-24,539.9,548.2,526.0,533.4,2772256
2021-12-31,530.15,555.0,527.3,553.55,2963621
2022-01-07,554.1,579.0,552.0,574.8,3288765
2022-01-14,577.95,589.8,567.95,578.85,2940310
2022-01-21,580.15,583.85,548.0,550.55,3169999
2022-01-28,549.0,554.3,521.55,542.0,2500640
2022-02-04,548.45,589.9,532.2,580.35,10186462
2022-02-11,577.0,578.0,491.2,495.4,10415473
2022-02-18,481.3,494.05,471.45,479.5,5673151
2022-02-25,478.8,484.95,433.0,464.85,2700058
2022-03-04,458.0,486.65,457.05,468.75,1394726
2022-03-11,460.0,490.4,448.45,480.85,2705784
2022-03-18,480.85,494.05,474.6,483.2,1710019
2022-03-25,485.6,499.2,478.55,485.95,1901622
2022-04-01,489.9,504.55,479.85,502.5,1488494
2022-04-08,504.0,553.0,502.55,542.55,6244804
2022-04-15,541.95,570.85,541.2,548.05,3970736
2022-04-22,549.4,577.85,532.0,541.6,3312982
2022-04-29,541.8,554.4,530.0,533.15,2532499
2022-05-06,529.15,545.6,486.85,493.45,2688656
2022-05-13,488.0,496.8,428.0,431.65,6242226
2022-05-20,431.25,446.1,415.25,429.65,2152780
2022-05-27,430.95,443.85,419.6,433.1,2998109
2022-06-03,435.0,484.65,430.15,465.55,4666552
2022-06-10,465.55,468.8,448.6,466.0,1943194
2022-06-17,461.35,487.35,447.5,465.6,5636182
2022-06-24,465.0,474.9,443.15,462.6,2672694
2022-07-01,463.55,476.9,447.6,458.4,2158715
2022-07-08,457.5,484.9,455.0,480.85,1394259
2022-07-15,478.55,498.0,472.3,497.05,2213659
2022-07-22,500.0,528.95,499.4,503.2,2826009
2022-07-29,503.2,526.75,497.2,524.75,3375535
2022-08-05,526.75,543.9,521.25,540.85,2126585
2022-08-12,540.0,583.9,537.35,579.2,3337960
2022-08-19,579.2,597.15,573.75,586.4,1730235
2022-08-26,585.95,610.0,570.5,576.35,3679824
2022-09-02,565.0,591.85,565.0,577.4,1219936
2022-09-09,577.4,591.9,562.95,565.7,4193136
2022-09-16,567.85,574.0,535.0,540.6,2745973
2022-09-23,541.0,550.9,520.35,521.75,1421435
2022-09-30,518.05,518.05,474.95,486.9,2757564
2022-10-07,488.9,511.0,479.75,490.85,2502697
2022-10-14,484.0,493.85,475.4,478.0,1413200
2022-10-21,477.0,489.5,475.55,484.4,1234040
2022-10-28,487.0,515.0,480.1,499.7,1497792
2022-11-04,502.0,524.7,499.2,510.75,2073635
2022-11-11,511.8,527.55,498.85,509.0,1898507
2022-11-18,510.0,523.65,505.3,512.1,1369275
2022-11-25,511.95,549.7,508.0,546.5,3846495
2022-12-02,546.5,551.5,534.25,549.7,1629841
2022-12-09,550.25,553.5,526.0,528.65,1514814
2022-12-16,528.65,533.5,511.55,513.6,1040953
2022-12-23,513.6,518.8,475.4,477.4,2454156
2022-12-30,476.0,503.7,476.0,492.35,880893
2023-01-06,498.8,505.85,478.0,480.95,1287505
2023-01-13,482.0,491.9,478.75,481.0,781409
2023-01-20,482.05,484.95,451.45,460.0,2233620
2023-01-27,457.55,493.2,438.0,439.9,4034439
2023-02-03,437.5,459.7,430.85,443.25,2139703
2023-02-10,441.95,454.5,437.5,454.45,1300449
2023-02-17,454.2,512.4,449.0,506.75,17473067
2023-02-24,508.95,520.2,488.55,496.7,4660812
2023-03-03,497.0,523.2,492.7,510.75,2847029
2023-03-10,515.0,537.15,511.05,535.9,2129473
2023-03-17,536.0,550.0,525.65,535.35,2991354
2023-03-24,533.0,537.8,500.5,502.9,1993718
2023-03-31,505.5,534.5,484.2,521.95,5384430
2023-04-07,516.95,530.0,513.0,521.35,1066610
2023-04-14,520.8,549.8,515.85,539.0,10677129
2023-04-21,539.45,541.65,513.8,540.8,1701824
2023-04-28,540.8,557.8,536.9,551.4,859086
2023-05-05,551.4,559.5,533.3,540.45,784223
2023-05-12,541.0,549.0,518.6,535.15,807991
2023-05-19,533.5,540.0,523.55,527.15,676581
2023-05-26,527.15,561.0,521.5,552.5,1298244
2023-06-02,555.4,568.5,546.0,563.8,1877153
2023-06-09,565.3,748.85,564.0,680.4,19709369
2023-06-16,681.0,687.9,651.95,676.0,3541493
2023-06-23,671.45,685.5,637.45,642.7,1917897
2023-06-30,640.75,643.45,612.1,615.0,1342733
2023-07-07,617.9,647.8,588.2,636.3,7512962
2023-07-14,636.1,636.65,608.25,610.8,1721785
2023-07-21,612.0,636.75,604.75,613.5,2122616
2023-07-28,613.45,675.45,601.0,669.95,5328340
2023-08-04,675.0,682.0,651.0,665.95,2083094
2023-08-11,669.9,679.0,636.05,640.4,2063383
2023-08-18,639.95,646.8,621.65,629.05,898233
2023-08-25,632.0,674.45,628.0,664.8,2673889
2023-09-01,670.0,675.0,652.8,665.2,1057630
2023-09-08,668.7,732.4,662.5,725.45,4224782
2023-09-15,722.95,745.5,697.0,724.15,3056521
2023-09-22,720.05,732.45,706.05,711.3,764865
2023-09-29,711.0,747.75,710.2,738.5,1885870
2023-10-06,738.05,760.9,725.05,730.05,640476
2023-10-13,716.0,760.8,708.35,729.95,1659416
2023-10-20,728.05,743.2,711.9,735.4,1679459
2023-10-27,735.4,740.45,691.95,719.95,1612107
2023-11-03,719.95,768.9,714.8,745.5,2148608
2023-11-10,749.9,800.0,737.75,777.65,2040124
2023-11-17,782.05,837.45,776.0,819.0,1337762
