date,open,high,low,close,volume
2020-01-17,471.0,499.5,464.1,485.1,7237830
2020-01-24,485.5,486.9,455.45,468.9,6187618
2020-01-31,468.9,476.85,452.4,467.05,6257707
2020-02-07,466.0,483.0,450.0,466.2,14294595
2020-02-14,466.2,467.8,437.1,439.2,4494951
2020-02-21,436.0,447.9,424.0,446.45,5407869
2020-02-28,446.4,448.45,409.45,435.7,16146271
2020-03-06,435.55,446.7,396.25,414.1,9076806
2020-03-13,402.15,409.4,349.4,403.1,6403317
2020-03-20,383.5,400.8,341.0,379.8,7455011
2020-03-27,345.0,370.0,298.0,303.95,14282227
2020-04-03,295.0,302.9,251.5,252.95,8749981
2020-04-10,254.0,313.2,240.1,305.8,18402447
2020-04-17,307.0,307.0,265.2,300.95,23392800
2020-04-24,321.95,321.95,289.05,297.0,24815731
2020-05-01,298.4,334.1,291.35,328.35,19144501
2020-05-08,307.0,330.0,301.55,313.45,16210056
2020-05-15,319.3,360.0,315.0,336.1,20749465
2020-05-22,341.0,341.0,300.55,314.15,17832030
2020-05-29,316.95,344.0,308.25,335.9,20432419
2020-06-05,342.0,372.95,341.05,359.15,19552826
2020-06-12,364.85,368.35,307.2,345.35,15754256
2020-06-19,340.35,374.0,336.5,368.95,14206572
2020-06-26,367.1,392.8,367.1,381.65,12935732
2020-07-03,380.9,397.7,374.0,395.5,9820543
2020-07-10,399.95,412.3,381.5,385.7,13769134
2020-07-17,387.6,400.5,377.0,389.95,10190239
2020-07-24,388.4,410.95,387.25,398.15,11958507
2020-07-31,398.15,414.5,383.7,387.5,14577252
2020-08-07,392.0,429.9,388.05,421.5,18828200
2020-08-14,425.0,436.4,409.05,418.1,16696243
2020-08-21,430.0,461.5,415.05,453.3,12783292
2020-08-28,456.0,477.0,441.75,449.75,27092468
2020-09-04,453.0,454.9,423.4,433.9,14954848
2020-09-11,434.9,446.95,425.6,444.25,11206338
2020-09-18,448.2,472.0,446.25,457.3,12550184
2020-09-25,457.3,459.75,426.0,446.95,11474483
2020-10-02,452.0,489.9,450.95,479.9,14923790
2020-10-09,485.0,486.0,464.95,471.5,15015795
2020-10-16,474.5,478.5,454.0,463.25,11395130
2020-10-23,466.0,467.9,438.0,444.65,10567416
2020-10-30,448.95,464.55,421.15,455.5,31408411
2020-11-06,459.5,481.75,447.0,479.85,11766659
2020-11-13,480.5,490.8,473.6,477.8,9932390
2020-11-20,479.5,490.0,469.3,478.45,10186365
2020-11-27,478.1,504.8,467.75,499.65,16379926
2020-12-04,502.0,508.9,485.15,498.1,12203963
2020-12-11,501.0,519.5,478.6,484.2,20838945
2020-12-18,489.8,500.05,477.5,489.1,11044116
2020-12-25,489.0,495.0,445.5,479.75,7757389
2021-01-01,483.7,494.0,479.75,490.75,7819854
2021-01-08,497.5,517.0,481.8,513.35,12059792
2021-01-15,513.9,533.85,498.3,507.3,15253926
2021-01-22,506.8,535.0,488.6,521.95,18919622
2021-01-29,532.95,589.75,519.35,560.7,56554753
2021-02-05,560.65,658.0,552.85,628.3,35507484
2021-02-12,629.1,659.9,629.1,636.45,13034810
2021-02-19,641.0,642.55,598.7,606.25,9340035
2021-02-26,609.8,609.8,580.5,594.65,10131945
2021-03-05,610.0,635.7,595.6,618.95,13917811
2021-03-12,620.8,626.2,580.5,584.2,9491059
2021-03-19,587.6,598.5,561.45,584.05,7753915
2021-03-26,585.8,590.4,541.15,570.65,6900936
2021-04-02,578.0,593.0,563.7,587.0,4959178
2021-04-09,590.6,593.05,557.5,568.0,7986174
2021-04-16,559.8,559.8,532.15,551.05,5283979
2021-04-23,542.2,547.55,523.65,532.8,5198282
2021-04-30,533.0,664.0,530.25,630.9,55104612
2021-05-07,618.0,637.35,602.6,618.15,14323052
2021-05-14,624.0,629.7,600.0,602.6,5963825
2021-05-21,608.0,650.0,595.0,625.0,12710072
2021-05-28,628.45,666.0,614.5,619.4,19127620
2021-06-04,624.1,630.85,607.3,623.4,11059353
2021-06-11,645.0,662.85,628.5,636.5,11927082
2021-06-18,635.8,638.9,592.9,610.4,6202801
2021-06-25,608.0,628.15,603.0,622.35,6397635
2021-07-02,626.45,637.0,608.2,612.0,8591680
2021-07-09,617.9,619.0,593.25,599.7,6845218
2021-07-16,602.95,616.95,598.7,611.65,6938058
2021-07-23,609.8,609.8,574.5,582.35,7756329
2021-07-30,585.6,605.0,558.3,579.3,15131289
2021-08-06,585.0,586.85,564.0,569.95,7262446
2021-08-13,571.0,575.2,544.05,553.35,6689040
2021-08-20,547.5,552.85,503.5,510.5,8740310
2021-08-27,514.2,524.35,495.0,511.1,8216275
2021-09-03,513.0,545.75,505.05,540.4,11323922
2021-09-10,545.6,559.0,538.6,544.75,6753371
2021-09-17,538.6,560.95,538.6,547.1,7113355
2021-09-24,544.8,549.75,520.0,537.2,6704955
2021-10-01,539.5,569.75,538.0,563.95,9707077
2021-10-08,574.0,575.0,540.05,559.75,11433068
2021-10-15,561.0,588.7,556.4,583.8,10126144
2021-10-22,583.8,632.85,566.0,619.8,25400032
2021-10-29,619.0,681.7,592.05,662.55,20259985
2021-11-05,662.55,715.0,655.1,708.75,14251048
2021-11-12,709.0,813.95,705.6,729.05,38495727
2021-11-19,732.5,750.75,719.5,723.85,8147526
2021-11-26,723.85,733.7,675.0,676.8,9667447
2021-12-03,674.3,698.0,654.0,672.3,11828127
2021-12-10,671.5,691.0,658.55,682.25,4529844
2021-12-17,684.0,708.8,610.0,615.55,26528029
2021-12-24,605.0,624.7,590.0,610.5,6676957
2021-12-31,607.8,630.5,600.0,627.0,4231628
2022-01-07,625.0,654.0,616.3,641.05,4577786
2022-01-14,645.0,664.15,641.15,658.75,4561873
2022-01-21,657.0,670.6,627.3,631.1,6467354
2022-01-28,630.5,640.0,585.05,601.95,10844260
2022-02-04,608.0,663.0,597.25,653.0,11973707
2022-02-11,653.0,677.0,628.6,660.45,23129315
2022-02-18,654.0,681.6,630.55,663.5,12924745
2022-02-25,663.5,671.55,615.8,631.95,9511643
2022-03-04,625.0,629.95,552.95,554.75,9661723
2022-03-11,544.0,584.1,513.0,581.6,10511534
2022-03-18,581.55,623.5,574.5,611.7,5729429
2022-03-25,621.6,621.6,599.55,603.0,3557876
2022-04-01,605.0,629.9,601.5,628.75,5737487
2022-04-08,634.7,656.0,626.8,653.4,5337721
2022-04-15,655.0,661.15,639.5,650.05,2921137
2022-04-22,644.05,664.7,629.05,645.6,8404586
2022-04-29,640.15,693.7,637.4,654.85,14466136
2022-05-06,654.85,659.7,619.2,629.05,8437167
2022-05-13,623.3,641.5,589.05,634.65,8600415
2022-05-20,638.8,695.9,632.4,684.55,10261220
2022-05-27,685.35,729.9,685.35,723.7,8572369
2022-06-03,734.0,749.75,728.05,730.3,6294163
2022-06-10,729.8,766.2,716.05,763.65,10152469
2022-06-17,758.8,766.35,731.95,740.15,7037425
2022-06-24,739.9,805.7,722.95,798.75,10527775
2022-07-01,810.85,886.3,793.1,860.45,15245737
2022-07-08,840.0,851.5,810.2,839.15,11362406
2022-07-15,837.75,874.0,829.85,871.65,5318153
2022-07-22,876.0,898.7,870.5,885.75,6504335
2022-07-29,884.85,953.2,837.05,908.05,14264020
2022-08-05,908.9,951.2,908.05,948.35,9321896
2022-08-12,949.9,974.9,942.1,952.55,4292256
2022-08-19,958.0,991.45,949.55,958.75,6128976
2022-08-26,953.0,968.0,925.0,954.45,6825910
2022-09-02,935.0,1037.45,934.5,1025.85,7810130
2022-09-09,1025.85,1062.95,1022.0,1053.8,7109938
2022-09-16,1059.05,1071.35,1012.3,1024.9,6681811
2022-09-23,1019.5,1094.4,1016.15,1037.55,11526072
2022-09-30,1034.8,1043.0,984.25,1032.25,7455217
2022-10-07,1035.15,1087.2,986.55,1084.85,7106567
2022-10-14,1066.4,1106.9,1047.2,1078.35,6260207
2022-10-21,1071.0,1176.9,1060.0,1141.8,10720816
2022-10-28,1154.9,1165.0,1114.25,1127.15,3217898
2022-11-04,1132.8,1156.0,1110.3,1114.15,6170644
2022-11-11,1115.0,1166.0,1081.1,1107.45,9746539
2022-11-18,1109.95,1136.0,1066.0,1081.85,9010316
2022-11-25,1070.0,1079.9,1035.0,1037.45,8245483
2022-12-02,1034.6,1066.25,1029.0,1048.4,34074706
2022-12-09,1050.0,1053.5,1008.1,1036.15,8427023
2022-12-16,1035.0,1052.4,1023.45,1039.85,5711036
2022-12-23,1040.0,1071.85,1006.0,1010.5,7276350
2022-12-30,1005.5,1135.5,997.9,1085.4,8678518
2023-01-06,1085.0,1092.8,1014.0,1024.5,6365685
2023-01-13,1029.6,1035.85,988.5,1002.15,6127281
2023-01-20,1002.15,1020.75,967.55,969.9,9472078
2023-01-27,968.55,1074.9,968.55,1050.8,11100886
2023-02-03,1051.0,1057.95,990.05,1035.6,6594020
2023-02-10,1035.0,1087.0,1026.2,1075.35,6870094
2023-02-17,1077.95,1133.0,1055.0,1103.85,8381649
2023-02-24,1104.95,1138.95,1103.0,1105.3,5854947
2023-03-03,1098.0,1101.0,1050.05,1070.35,6797465
2023-03-10,1074.9,1113.0,1068.15,1072.2,4130280
2023-03-17,1067.0,1076.4,1026.45,1046.85,5184510
2023-03-24,1005.0,1076.2,1005.0,1042.0,4262847
2023-03-31,1042.3,1085.0,1029.2,1075.0,2845447
2023-04-07,1077.2,1101.05,1073.0,1098.7,2212762
2023-04-14,1099.7,1169.5,1096.85,1162.95,5777523
2023-04-21,1166.0,1184.4,1084.0,1092.95,10908303
2023-04-28,1090.0,1141.6,1088.05,1138.35,4694554
2023-05-05,1148.5,1234.95,1137.05,1214.95,7526678
2023-05-12,1224.0,1249.95,1220.25,1237.45,4820433
2023-05-19,1237.0,1256.8,1220.0,1240.15,2933173
2023-05-26,1228.15,1301.0,1225.0,1293.2,4696909
2023-06-02,1296.35,1317.0,1270.0,1305.55,7404638
2023-06-09,1309.95,1354.5,1286.0,1336.0,4638497
2023-06-16,1368.0,1384.8,1323.0,1352.0,5540677
2023-06-23,1352.1,1360.75,1296.0,1304.5,3691468
2023-06-30,1301.25,1340.05,1289.0,1325.75,3625238
2023-07-07,1335.0,1342.75,1293.5,1322.0,5277638
2023-07-14,1326.95,1355.0,1306.5,1352.05,4859761
2023-07-21,1346.15,1366.7,1327.6,1341.0,4220378
2023-07-28,1344.9,1400.5,1295.3,1356.0,11392746
2023-08-04,1354.0,1396.0,1347.35,1355.5,4612958
2023-08-11,1357.4,1361.95,1317.0,1347.5,5125430
2023-08-18,1352.6,1352.6,1320.8,1341.0,3804650
2023-08-25,1340.05,1383.15,1321.25,1342.0,5827726
