date,open,high,low,close,volume
2020-01-17,1269.15,1318.0,1269.0,1300.15,1834158
2020-01-24,1289.1,1310.05,1256.0,1275.1,881837
2020-01-31,1275.1,1300.5,1250.5,1264.0,1815284
2020-02-07,1266.0,1356.0,1242.0,1320.85,3439528
2020-02-14,1322.4,1322.4,1270.0,1286.4,1964210
2020-02-21,1290.0,1304.7,1256.0,1267.0,906933
2020-02-28,1266.95,1283.1,1211.05,1245.65,2422477
2020-03-06,1255.2,1272.0,1181.9,1226.75,2265098
2020-03-13,1210.5,1220.0,925.0,1048.7,3067711
2020-03-20,1018.4,1023.45,749.5,892.45,2897311
2020-03-27,840.0,967.95,765.0,905.15,3883905
2020-04-03,905.0,938.1,860.0,886.95,1370308
2020-04-10,910.0,983.7,890.7,944.55,2063981
2020-04-17,954.0,969.0,888.6,931.65,2422695
2020-04-24,934.8,950.0,863.85,880.75,4133530
2020-05-01,880.75,967.85,878.05,938.6,2794189
2020-05-08,975.0,1008.15,865.55,890.1,7374471
2020-05-15,890.5,966.5,871.0,914.45,4069330
2020-05-22,922.0,945.1,859.2,913.3,4316030
2020-05-29,915.6,966.9,915.6,957.0,3095386
2020-06-05,967.0,1026.5,923.1,1017.05,6122602
2020-06-12,1058.0,1058.0,941.0,1013.6,4433149
2020-06-19,1013.6,1055.0,987.3,1020.05,3466263
2020-06-26,1020.5,1087.4,1011.1,1017.95,3645646
2020-07-03,1018.85,1066.85,1000.4,1037.25,2777088
2020-07-10,1040.0,1089.0,1027.0,1031.4,3314072
2020-07-17,1033.2,1045.0,966.45,984.3,2728062
2020-07-24,994.45,1015.5,971.35,998.35,2778593
2020-07-31,1006.1,1006.1,942.15,951.65,2959248
2020-08-07,960.0,974.9,935.85,965.5,3058231
2020-08-14,970.0,1003.9,950.0,963.6,3098169
2020-08-21,968.0,1046.0,945.15,1040.05,4449044
2020-08-28,1048.95,1069.0,1032.15,1041.05,2880299
2020-09-04,1045.0,1166.9,992.9,1120.05,8742899
2020-09-11,1124.0,1139.4,1046.5,1059.65,3109342
2020-09-18,1059.75,1080.95,1013.8,1018.75,4546044
2020-09-25,1018.65,1022.15,915.1,952.15,2801736
2020-10-02,961.65,986.5,943.15,962.15,2170312
