date,open,high,low,close,volume
2019-11-08,168.34,175.33,163.39,164.79,6857094
2019-11-15,165.78,171.31,153.7,157.13,9065769
2019-11-22,158.18,164.44,152.89,162.18,4349894
2019-11-29,162.23,166.6,158.24,160.71,4472416
2019-12-06,162.89,167.76,156.1,157.34,3890926
2019-12-13,157.51,158.81,151.36,155.71,2453549
2019-12-20,154.67,159.64,153.58,155.61,3939008
2019-12-27,153.89,157.09,153.57,155.29,2746419
2020-01-03,154.83,161.71,154.83,156.09,2695218
2020-01-10,156.0,165.56,152.17,163.3,3596409
2020-01-17,164.76,169.78,160.0,167.04,3112628
2020-01-24,166.89,189.76,165.67,188.82,8211825
2020-01-31,188.42,193.33,165.84,170.47,4881056
2020-02-07,172.19,188.89,166.72,187.39,11604505
2020-02-14,187.39,191.77,178.44,182.1,4050676
2020-02-21,183.31,185.92,173.57,182.01,3255679
2020-02-28,181.07,190.89,175.58,180.69,7892074
2020-03-06,182.22,185.1,164.89,174.43,7737305
2020-03-13,166.94,177.03,134.47,172.3,6437463
2020-03-20,165.56,166.21,121.18,133.94,5782369
2020-03-27,107.16,139.08,107.16,126.01,4824657
2020-04-03,119.71,128.89,111.11,119.44,3758186
2020-04-10,124.4,131.09,116.67,128.44,3463918
2020-04-17,128.89,137.09,121.12,134.47,4284425
2020-04-24,135.33,149.19,131.14,144.68,6213686
2020-05-01,147.53,152.89,141.76,148.79,3602935
2020-05-08,147.44,153.78,127.11,137.87,10646955
2020-05-15,138.89,148.64,133.38,140.64,5485978
2020-05-22,140.48,142.16,126.94,129.49,4938471
2020-05-29,130.21,141.11,129.78,140.37,4179863
2020-06-05,142.22,143.31,133.41,140.51,5058108
2020-06-12,142.64,143.33,130.22,140.41,4754084
2020-06-19,140.89,163.99,138.94,162.66,8429356
2020-06-26,163.56,164.23,149.19,151.51,17740912
2020-07-03,151.11,156.44,149.33,155.13,4274123
2020-07-10,155.57,160.0,150.56,151.17,9871142
2020-07-17,152.84,154.84,146.97,153.44,4474405
2020-07-24,153.59,162.67,153.02,154.53,6560748
2020-07-31,154.89,158.76,150.88,157.36,4784450
2020-08-07,158.13,177.07,151.11,165.58,10377325
2020-08-14,167.52,175.54,163.33,170.11,3938544
2020-08-21,172.53,174.89,165.57,166.69,3935610
2020-08-28,167.71,175.22,165.56,167.61,4775864
2020-09-04,167.78,172.89,153.47,164.56,4581194
2020-09-11,165.78,167.11,159.78,161.59,2355410
2020-09-18,162.22,167.06,153.38,156.72,3240950
2020-09-25,155.56,156.22,147.94,154.56,7948597
2020-10-02,157.32,161.06,154.44,155.41,2804564
2020-10-09,156.64,157.78,145.56,146.41,8585992
2020-10-16,146.44,155.11,146.44,151.72,10274064
2020-10-23,152.22,153.69,148.0,148.89,5574529
2020-10-30,149.94,151.11,143.63,145.53,4551378
2020-11-06,148.0,156.67,145.53,154.29,15692179
2020-11-13,155.56,166.67,152.89,164.98,6451394
2020-11-20,165.56,173.31,161.58,171.07,5794187
2020-11-27,171.11,205.33,166.61,193.64,15050893
2020-12-04,200.0,200.0,182.63,185.64,7198341
2020-12-11,186.67,204.56,185.56,202.23,10962193
2020-12-18,203.32,222.17,197.49,215.34,11105920
2020-12-25,214.67,215.02,191.79,203.98,4461050
2021-01-01,204.33,205.78,197.11,201.77,4920418
2021-01-08,202.22,225.58,201.24,220.02,7203794
2021-01-15,222.0,236.98,198.0,199.03,9460608
2021-01-22,199.03,209.54,192.33,200.89,6225359
2021-01-29,202.8,205.11,189.79,199.69,5109139
2021-02-05,199.54,203.56,192.44,200.28,6549193
2021-02-12,200.51,205.56,195.66,202.81,5769482
2021-02-19,204.81,218.22,198.44,216.46,15314931
2021-02-26,218.0,251.11,217.02,231.77,16847482
2021-03-05,237.78,237.78,224.02,231.89,5972135
2021-03-12,231.56,231.56,215.78,216.92,6133614
2021-03-19,219.36,227.79,212.89,216.9,11658060
2021-03-26,218.91,227.56,216.67,220.8,6639751
2021-04-02,224.0,226.67,218.22,224.22,3622934
2021-04-09,224.22,228.89,215.78,219.92,3200433
2021-04-16,220.76,225.8,218.54,219.86,5462435
2021-04-23,217.78,217.78,194.1,195.53,8500250
2021-04-30,196.89,221.11,196.67,211.23,9160655
2021-05-07,215.56,234.41,213.62,221.94,14937818
2021-05-14,222.67,223.91,215.57,216.46,2414747
2021-05-21,218.36,226.38,215.66,220.38,8267702
2021-05-28,226.89,230.52,221.94,223.9,6134806
2021-06-04,226.61,237.56,222.44,235.16,5920471
2021-06-11,240.27,306.13,239.33,263.42,22032910
2021-06-18,263.33,266.67,255.0,265.48,7450573
2021-06-25,265.0,265.97,238.0,238.82,7362883
2021-07-02,240.0,245.5,237.67,239.72,5743228
2021-07-09,241.67,258.33,236.33,256.68,7263811
2021-07-16,258.33,268.0,256.7,265.9,4695742
2021-07-23,263.33,264.0,243.33,244.13,2937935
2021-07-30,245.33,256.3,245.33,253.93,6339280
2021-08-06,256.67,269.27,254.0,257.7,14539288
2021-08-13,257.02,266.0,240.22,258.47,5429833
2021-08-20,260.47,270.0,250.82,268.88,8224223
2021-08-27,273.0,286.67,266.95,284.15,14498455
2021-09-03,285.33,304.67,276.67,302.58,8867197
2021-09-10,306.73,317.33,303.37,311.82,8521895
2021-09-17,313.77,315.0,290.05,294.03,5148277
2021-09-24,294.03,314.0,290.7,309.43,18384268
2021-10-01,312.32,313.28,294.5,303.4,6778318
2021-10-08,305.0,308.13,297.48,300.25,4383226
2021-10-15,308.12,308.13,297.02,299.35,5439278
2021-10-22,301.67,306.6,271.75,276.83,8917381
2021-10-29,279.77,284.73,269.6,283.12,9539863
2021-11-05,286.17,317.33,284.33,312.32,7116458
2021-11-12,312.97,338.67,304.33,323.95,12289372
2021-11-19,326.67,331.48,305.33,316.55,5514104
2021-11-26,318.43,319.63,294.03,294.62,5019706
2021-12-03,294.33,306.0,281.13,292.72,4297723
2021-12-10,292.08,300.82,289.17,297.08,2844601
2021-12-17,298.57,307.93,285.77,288.73,4052704
2021-12-24,286.0,288.32,272.43,279.8,4764871
2021-12-31,279.0,300.13,275.1,296.1,3460636
2022-01-07,295.83,295.88,278.53,283.77,4164901
2022-01-14,284.67,310.0,279.68,309.55,9257986
2022-01-21,311.08,317.0,300.03,305.28,5905642
2022-01-28,302.0,304.0,281.7,295.5,6539750
2022-02-04,296.62,318.08,294.38,316.73,7106431
2022-02-11,316.73,319.22,295.43,312.17,7617988
2022-02-18,309.82,319.97,299.57,317.93,6584434
2022-02-25,318.83,323.0,293.22,310.73,5299411
2022-03-04,310.0,338.27,306.0,310.47,8246900
2022-03-11,303.83,312.97,291.8,303.45,7488280
2022-03-18,303.45,322.0,296.75,316.3,6493202
2022-03-25,313.32,329.97,306.88,319.2,6274330
2022-04-01,319.97,327.9,308.33,312.97,5794639
2022-04-08,315.27,333.0,313.72,320.75,7419310
2022-04-15,323.17,350.28,315.03,337.02,8268279
2022-04-22,337.98,373.0,337.33,346.63,15411247
2022-04-29,346.33,384.65,344.33,361.18,29646748
2022-05-06,360.67,377.33,350.67,358.53,17936705
2022-05-13,353.33,370.33,343.33,363.68,18466972
2022-05-20,366.67,381.67,349.28,367.78,10153237
2022-05-27,363.33,374.67,351.67,363.2,10498567
2022-06-03,366.67,388.97,348.13,366.82,25898146
2022-06-10,374.95,380.0,360.03,377.25,7326784
2022-06-17,374.25,402.8,367.63,375.53,13729448
2022-06-24,375.53,390.0,360.5,385.25,10331424
2022-07-01,389.95,404.5,364.05,397.0,6551704
2022-07-08,397.0,425.9,390.28,424.28,11704498
2022-07-15,425.65,441.7,408.85,413.3,10759830
2022-07-22,418.35,455.3,413.78,436.15,12692654
2022-07-29,438.8,446.25,429.5,441.35,6907876
2022-08-05,445.9,523.9,445.0,512.63,30933882
2022-08-12,512.0,517.13,496.1,512.75,12926116
2022-08-19,515.0,542.08,492.78,494.08,11856826
2022-08-26,498.5,522.5,453.95,511.7,23431310
2022-09-02,487.0,525.5,480.0,515.8,10220390
2022-09-09,523.0,555.0,510.33,540.1,13985664
2022-09-16,544.25,555.0,530.0,551.18,13501846
2022-09-23,540.0,597.35,534.18,579.48,12808478
2022-09-30,572.7,572.7,507.5,522.1,17834448
2022-10-07,522.5,577.5,521.3,567.63,12766018
2022-10-14,554.13,562.45,510.0,513.25,16972332
2022-10-21,505.0,518.0,482.55,506.55,21323140
2022-10-28,513.5,533.85,509.98,520.03,13757628
2022-11-04,523.43,616.5,516.05,569.45,38095410
2022-11-11,576.45,589.75,547.58,553.2,15468048
2022-11-18,555.5,576.5,537.78,571.95,18174032
2022-11-25,571.95,592.5,548.33,575.98,15762796
2022-12-02,575.98,677.0,565.5,659.3,98947048
2022-12-09,658.5,714.8,646.18,705.13,25566148
2022-12-16,707.5,716.23,670.0,698.33,15828412
2022-12-23,710.5,711.23,631.53,643.8,13563580
2022-12-30,645.03,690.08,630.1,661.28,9426108
2023-01-06,669.73,678.75,635.5,650.45,11167518
2023-01-13,655.88,662.28,561.33,567.88,20452866
2023-01-20,572.68,618.95,571.83,616.33,17250770
2023-01-27,619.0,625.65,605.03,621.28,4923604
2023-02-03,622.5,622.5,550.0,577.45,19303330
2023-02-10,576.73,675.5,570.0,635.9,23554472
2023-02-17,635.9,653.6,624.0,641.6,7640756
2023-02-24,644.95,673.0,640.05,645.78,14441412
2023-03-03,648.0,681.0,640.5,679.25,14684814
2023-03-10,681.5,689.15,660.1,671.9,8817944
2023-03-17,672.5,689.25,633.43,658.1,17148402
2023-03-24,657.7,697.0,645.75,676.0,10481422
2023-03-31,678.5,697.48,667.5,693.5,12192314
2023-04-07,697.5,737.0,691.08,696.75,14228418
2023-04-14,699.5,730.63,698.23,714.78,7970310
2023-04-21,717.95,729.98,687.5,698.6,20695586
2023-04-28,701.23,733.75,699.03,722.6,16581256
2023-05-05,730.0,739.93,700.0,726.3,17117034
2023-05-12,727.5,827.0,725.75,777.98,16916884
2023-05-19,778.0,812.0,775.5,793.78,10180804
2023-05-26,796.93,873.5,770.5,850.98,11251262
2023-06-02,862.0,862.0,813.0,847.58,11525618
2023-06-09,852.8,870.28,787.5,795.7,17326302
