date,open,high,low,close,volume
2019-11-15,1034.48,1034.48,960.0,964.88,353372
2019-11-22,961.03,992.5,931.0,974.68,368804
2019-11-29,974.68,1015.5,960.5,995.35,299332
2019-12-06,995.35,1012.5,969.18,988.53,340432
2019-12-13,991.58,991.58,963.53,979.03,245294
2019-12-20,975.5,997.5,955.0,961.43,335830
2019-12-27,952.55,962.5,943.0,958.2,128070
2020-01-03,961.8,1004.5,955.0,991.0,409476
2020-01-10,991.3,1007.5,955.0,996.3,239870
2020-01-17,1005.05,1096.43,990.0,1064.98,608592
2020-01-24,1080.0,1127.5,1038.0,1116.23,808082
2020-01-31,1114.0,1170.0,1081.2,1111.85,796382
2020-02-07,1088.4,1150.0,946.5,1029.4,1070689
2020-02-14,1033.0,1036.8,974.15,979.8,251395
2020-02-21,981.95,1042.0,960.9,1016.4,277807
2020-02-28,1019.95,1039.7,893.3,939.75,411728
2020-03-06,952.0,1040.0,949.95,1013.2,459997
2020-03-13,999.95,999.95,655.8,841.5,808279
2020-03-20,830.0,830.0,732.65,790.85,509491
2020-03-27,710.0,840.0,651.3,794.9,514139
2020-04-03,740.0,827.25,740.0,756.15,412591
2020-04-10,790.0,925.0,749.75,873.55,616067
2020-04-17,892.6,898.0,839.2,871.5,276908
2020-04-24,879.75,924.0,861.0,869.6,383127
2020-05-01,893.0,1025.9,875.05,985.6,828169
2020-05-08,952.0,998.0,927.0,982.8,479841
2020-05-15,985.1,999.8,942.0,970.1,565355
2020-05-22,969.85,996.0,922.0,962.2,367622
2020-05-29,974.0,1048.0,953.0,1016.6,579117
2020-06-05,1049.4,1080.0,1009.4,1038.0,689327
2020-06-12,1048.6,1063.85,987.85,1027.2,445205
2020-06-19,1010.0,1012.95,965.2,1004.05,536300
2020-06-26,1015.0,1023.9,969.15,989.35,315614
2020-07-03,989.35,1005.0,960.0,994.55,403729
2020-07-10,1004.8,1044.0,997.25,1005.0,441851
2020-07-17,1011.0,1019.9,960.0,981.8,218369
2020-07-24,981.8,1010.0,968.7,974.3,314290
2020-07-31,979.95,997.4,964.0,977.95,373974
2020-08-07,974.0,1010.0,963.05,979.9,398514
2020-08-14,986.95,1027.5,966.0,996.9,708534
2020-08-21,1015.0,1074.5,985.0,1053.65,1513929
2020-08-28,1072.0,1197.7,1065.05,1074.05,3085687
2020-09-04,1074.05,1078.9,990.0,1002.5,1100161
2020-09-11,1008.0,1019.7,976.6,999.85,638359
2020-09-18,1010.6,1355.0,1005.0,1337.95,4076578
2020-09-25,1335.0,1344.65,1150.0,1276.3,981152
2020-10-02,1294.6,1419.0,1260.0,1331.2,698207
2020-10-09,1341.0,1344.55,1200.25,1216.0,434094
2020-10-16,1227.55,1316.9,1185.05,1250.05,750700
2020-10-23,1256.0,1310.0,1201.0,1258.05,424512
2020-10-30,1259.4,1261.0,1181.2,1209.65,310233
2020-11-06,1192.0,1217.4,1105.1,1135.4,673852
2020-11-13,1140.0,1165.0,1087.0,1103.45,445396
2020-11-20,1150.0,1219.9,1115.0,1202.9,553676
2020-11-27,1211.7,1239.55,1150.0,1177.85,577381
2020-12-04,1178.0,1190.0,1137.0,1140.05,378350
2020-12-11,1149.65,1185.0,1111.1,1120.5,416850
2020-12-18,1125.0,1180.0,1111.1,1165.6,483863
2020-12-25,1160.0,1173.95,1100.0,1154.3,358747
2021-01-01,1164.45,1255.0,1144.0,1217.6,1197327
2021-01-08,1239.0,1377.95,1213.4,1317.0,1765281
2021-01-15,1320.0,1340.0,1240.0,1277.55,474356
2021-01-22,1275.0,1281.85,1196.2,1219.55,365702
2021-01-29,1225.65,1238.95,1174.55,1216.3,200882
2021-02-05,1219.9,1260.0,1189.85,1225.0,523334
2021-02-12,1224.0,1498.0,1213.55,1480.5,1992881
2021-02-19,1485.0,1528.05,1401.55,1416.4,527498
2021-02-26,1429.2,1479.95,1395.0,1400.0,284656
2021-03-05,1416.45,1475.0,1395.0,1409.8,286045
2021-03-12,1440.0,1470.0,1412.2,1456.6,273474
2021-03-19,1460.0,1463.4,1313.7,1421.6,251747
2021-03-26,1421.6,1440.0,1380.8,1416.5,161220
2021-04-02,1429.25,1445.0,1382.0,1400.0,238092
2021-04-09,1413.0,1675.0,1373.0,1566.8,2140587
2021-04-16,1545.0,1681.0,1505.0,1605.2,953069
2021-04-23,1575.65,1720.0,1530.0,1651.2,655561
2021-04-30,1670.0,1794.0,1647.0,1697.7,1086942
2021-05-07,1700.2,1769.0,1700.0,1710.85,359083
2021-05-14,1738.0,1813.6,1542.2,1680.0,940305
2021-05-21,1682.1,1859.0,1680.0,1796.8,964216
2021-05-28,1796.8,1820.0,1750.0,1787.95,346996
2021-06-04,1796.8,1804.15,1742.0,1773.8,313233
2021-06-11,1777.0,1851.0,1724.7,1729.2,409462
2021-06-18,1729.0,1802.0,1708.5,1748.95,364700
2021-06-25,1738.0,1944.35,1716.05,1851.6,1039547
2021-07-02,1855.0,2058.0,1815.0,2026.6,1608487
2021-07-09,2050.0,2132.0,1948.0,1954.25,919902
2021-07-16,1974.65,1974.65,1901.0,1910.15,416170
2021-07-23,1905.0,1999.3,1905.0,1945.4,363122
2021-07-30,1940.1,1999.0,1895.0,1979.35,372345
2021-08-06,2001.6,2015.0,1920.0,1959.0,561058
2021-08-13,1960.0,1968.95,1835.1,1897.2,319081
2021-08-20,1888.0,1959.55,1840.0,1854.4,269996
2021-08-27,1856.0,1868.8,1755.0,1789.5,547119
2021-09-03,1803.9,1887.2,1777.4,1868.8,506187
2021-09-10,1879.85,1995.4,1819.75,1962.75,744941
2021-09-17,1980.0,1983.0,1855.0,1857.15,331750
2021-09-24,1850.0,1923.9,1766.45,1847.9,334205
2021-10-01,1851.1,1944.9,1851.1,1921.65,541111
2021-10-08,1927.8,2184.0,1909.0,2114.7,1452434
