date,open,high,low,close,volume
2020-01-17,254.0,258.35,246.6,251.1,37353481
2020-01-24,250.8,251.95,245.35,247.6,10224270
2020-01-31,247.9,247.9,235.0,236.8,13495470
2020-02-07,236.5,247.0,234.3,243.95,19188462
2020-02-14,245.4,247.15,239.45,242.9,12633454
2020-02-21,242.9,248.55,241.25,245.7,6176606
2020-02-28,245.0,247.8,219.7,221.45,20550078
2020-03-06,225.8,233.9,218.4,223.55,21362527
2020-03-13,220.2,221.0,169.25,197.4,26769984
2020-03-20,193.95,193.95,159.4,179.2,34206372
2020-03-27,165.0,189.5,165.0,183.5,30018453
2020-04-03,181.1,199.8,177.75,180.0,20487054
2020-04-10,188.25,202.95,183.05,196.7,13384929
2020-04-17,198.0,198.0,180.0,187.0,45816732
2020-04-24,189.0,189.0,173.8,177.75,32653182
2020-05-01,180.0,192.6,175.5,190.95,29671384
2020-05-08,184.5,194.0,181.0,184.0,30760598
2020-05-15,185.0,191.5,182.6,183.8,21777656
2020-05-22,182.05,191.7,178.0,189.0,32397212
2020-05-29,189.0,214.9,185.7,212.8,66972657
2020-06-05,215.5,221.0,210.15,218.75,42847746
2020-06-12,219.0,227.3,206.3,207.9,39911678
2020-06-19,211.95,224.1,208.15,222.05,53614318
2020-06-26,221.15,230.0,213.0,225.45,46443910
2020-07-03,222.05,228.5,218.0,224.8,28742609
2020-07-10,225.9,228.4,219.5,222.1,35039594
2020-07-17,223.95,268.7,222.55,261.35,227788936
2020-07-24,261.35,281.6,259.0,270.55,99469227
2020-07-31,270.55,290.8,267.15,280.95,81366655
2020-08-07,283.0,284.8,276.4,277.4,41847784
2020-08-14,280.0,284.65,274.55,276.5,41529065
2020-08-21,278.6,287.4,272.7,273.35,53850422
2020-08-28,273.5,275.2,268.0,272.05,37375805
2020-09-04,274.0,287.85,268.0,276.0,76899539
2020-09-11,276.5,298.45,271.5,293.3,104870871
2020-09-18,293.25,319.0,293.15,316.5,126540307
2020-09-25,315.9,324.5,302.45,313.9,108317097
2020-10-02,315.0,318.55,309.6,313.05,48941956
