date,open,high,low,close,volume
2020-01-17,226.1,257.6,226.1,247.15,1068144
2020-01-24,246.95,250.0,237.9,249.35,357416
2020-01-31,248.4,257.0,226.8,228.65,509628
2020-02-07,227.75,233.6,213.45,227.75,405999
2020-02-14,227.95,227.95,210.0,215.25,419140
2020-02-21,215.0,232.5,207.0,219.2,578256
2020-02-28,218.75,218.75,198.2,205.9,526417
2020-03-06,211.0,212.0,196.1,199.85,233656
2020-03-13,195.1,199.7,146.0,171.2,471010
2020-03-20,161.7,170.3,138.05,141.3,343988
2020-03-27,130.3,136.95,100.05,122.95,565404
2020-04-03,120.0,137.8,115.45,131.15,116714
2020-04-10,136.5,149.45,131.0,148.0,421913
2020-04-17,148.7,150.0,134.2,146.85,277321
2020-04-24,151.0,154.05,133.9,135.7,207437
2020-05-01,138.95,147.6,137.65,142.65,201368
2020-05-08,136.6,141.8,130.1,135.15,138742
2020-05-15,136.1,138.65,126.5,134.6,75328
2020-05-22,137.3,137.3,122.4,124.1,139903
2020-05-29,125.0,131.8,124.0,128.5,120130
2020-06-05,132.05,167.0,130.4,159.95,434138
2020-06-12,161.4,168.5,148.05,154.85,475537
2020-06-19,153.15,166.6,149.0,163.75,550220
2020-06-26,168.25,190.0,165.1,179.6,1568997
2020-07-03,190.0,213.9,183.0,187.15,3764720
2020-07-10,187.25,198.0,183.65,188.85,598907
2020-07-17,188.2,189.8,167.0,171.1,400260
2020-07-24,172.0,185.0,170.5,177.25,444638
2020-07-31,177.95,178.5,170.0,171.2,308114
2020-08-07,170.6,175.0,168.2,170.5,243140
2020-08-14,172.3,204.6,169.55,184.0,1825189
2020-08-21,185.65,196.6,184.65,190.0,660391
2020-08-28,192.0,207.0,188.1,203.85,1998967
2020-09-04,205.6,205.95,180.1,186.8,729908
2020-09-11,185.5,186.9,167.5,172.9,405944
2020-09-18,172.0,184.9,171.05,181.15,742509
2020-09-25,180.5,184.0,165.3,171.6,350973
2020-10-02,174.8,176.0,167.5,168.25,332666
2020-10-09,168.05,181.9,168.0,169.15,766367
2020-10-16,169.0,170.2,158.0,160.75,267996
2020-10-23,160.75,168.65,159.0,167.55,228606
2020-10-30,166.4,168.9,155.8,157.7,170894
2020-11-06,157.0,163.0,154.5,160.9,184354
2020-11-13,166.8,167.9,157.05,158.35,461191
2020-11-20,163.4,178.3,161.05,175.0,594361
2020-11-27,175.85,177.0,159.55,160.5,895960
2020-12-04,161.5,176.4,161.15,171.15,1114302
2020-12-11,171.0,184.15,171.0,174.25,1261235
2020-12-18,175.5,184.0,170.0,181.55,1535294
2020-12-25,185.0,189.9,164.85,169.95,1462019
2021-01-01,171.1,188.0,170.5,186.55,1096838
2021-01-08,188.05,196.5,184.5,186.9,1799772
2021-01-15,188.15,194.0,181.2,186.3,997035
2021-01-22,188.1,190.7,178.5,179.1,865799
2021-01-29,180.5,182.65,174.95,177.95,428298
2021-02-05,179.95,188.05,175.75,185.7,992640
2021-02-12,184.5,195.0,183.05,190.5,1552311
2021-02-19,190.45,224.9,186.6,213.25,2761426
2021-02-26,211.7,223.5,203.75,211.8,1278052
2021-03-05,213.9,277.0,212.55,251.15,3229496
2021-03-12,256.0,271.45,242.1,243.85,983913
2021-03-19,249.8,269.4,232.65,243.75,2759275
2021-03-26,244.65,255.0,234.1,243.05,1000307
2021-04-02,245.5,251.65,233.0,248.0,423374
2021-04-09,247.1,247.1,225.0,228.8,1049811
2021-04-16,224.4,225.6,202.15,203.1,569589
