date,open,high,low,close,volume
2019-11-08,68.55,72.3,64.3,68.95,829049020
2019-11-15,70.0,75.3,67.1,68.7,906499960
2019-11-22,69.25,69.25,62.0,64.8,901917575
2019-11-29,64.95,74.0,62.3,68.3,1477680955
2019-12-06,69.0,69.3,55.15,56.0,1507175825
2019-12-13,56.0,58.85,40.75,46.65,1921030428
2019-12-20,47.25,53.5,44.95,51.4,1100929574
2019-12-27,50.75,52.3,47.65,48.0,890893768
2020-01-03,47.9,48.95,46.35,47.1,613294747
2020-01-10,46.75,48.5,43.8,44.75,809147306
2020-01-17,43.4,43.9,36.55,39.25,1162394640
2020-01-24,39.5,45.0,38.0,42.8,687948969
2020-01-31,42.3,43.45,38.55,39.25,650077621
2020-02-07,39.15,40.2,34.05,38.7,931448043
2020-02-14,40.0,40.75,35.05,38.9,696648664
2020-02-21,39.5,40.1,33.6,35.45,592284246
2020-02-28,35.5,37.95,34.15,34.6,649301156
2020-03-06,35.2,37.85,5.65,16.15,2544491588
2020-03-13,17.0,29.6,16.2,25.55,1755724818
2020-03-20,26.7,87.3,26.05,45.85,1019658228
2020-03-27,41.3,49.5,25.2,26.35,506866816
2020-04-03,27.65,27.7,20.25,24.1,265969880
2020-04-10,25.4,25.5,23.3,24.9,98656847
2020-04-17,25.0,25.95,23.55,25.1,111097827
2020-04-24,25.6,30.45,25.1,26.6,293852236
2020-05-01,26.8,29.35,25.9,27.9,125802046
2020-05-08,27.5,31.55,25.0,27.05,190905849
2020-05-15,27.25,29.45,26.7,28.7,113860260
2020-05-22,28.65,28.65,26.0,26.55,73275615
2020-05-29,26.95,28.8,26.35,26.85,74528906
2020-06-05,27.55,29.4,27.0,28.85,83915012
2020-06-12,29.6,32.0,28.0,29.5,121289571
2020-06-19,30.0,30.8,27.05,28.0,69523993
2020-06-26,28.1,28.5,26.55,26.75,71916542
2020-07-03,26.8,28.35,25.0,26.15,84710699
2020-07-10,26.4,27.5,24.0,25.55,161913522
2020-07-17,22.05,23.5,18.1,19.8,259655797
2020-07-24,19.8,19.95,13.55,13.65,1021281650
2020-07-31,12.3,12.3,11.1,11.95,2297721208
2020-08-07,12.0,14.1,11.9,14.1,1752571148
2020-08-14,14.5,17.05,14.3,15.1,1201326453
2020-08-21,14.7,16.4,13.9,15.55,1486530664
2020-08-28,15.25,15.45,14.35,15.0,1017635652
2020-09-04,15.35,15.6,13.95,14.25,708956654
2020-09-11,14.25,14.55,13.3,14.55,537892248
2020-09-18,14.95,15.25,13.65,14.0,665804348
2020-09-25,14.0,14.05,12.75,13.35,527740008
2020-10-02,13.5,13.85,13.1,13.3,224396725
2020-10-09,13.45,13.65,13.0,13.15,210491945
2020-10-16,13.2,13.35,12.5,12.65,326807424
2020-10-23,12.85,13.3,12.65,13.3,298692410
2020-10-30,13.95,13.95,12.15,12.4,494468994
2020-11-06,12.45,12.5,12.2,12.3,259502904
2020-11-13,12.35,14.85,12.25,14.55,975692741
2020-11-20,14.65,14.85,14.05,14.55,784684705
2020-11-27,14.65,14.9,13.85,14.7,1857544275
2020-12-04,15.4,15.9,14.85,15.35,997743064
2020-12-11,15.65,20.75,15.5,19.45,2351514875
2020-12-18,19.4,19.45,17.55,18.9,1248963324
2020-12-25,18.95,19.0,17.05,17.55,794295966
2021-01-01,17.8,18.45,17.45,18.0,601909951
2021-01-08,18.4,18.6,17.75,18.05,923888648
2021-01-15,18.3,18.55,17.15,17.6,1092877690
2021-01-22,18.1,18.1,16.75,17.0,985074736
2021-01-29,17.4,17.5,15.0,15.75,1045612882
2021-02-05,16.0,17.45,15.45,16.9,818616602
2021-02-12,17.15,17.3,16.3,16.4,412235053
2021-02-19,16.4,16.6,15.65,15.95,495016683
2021-02-26,16.0,16.4,15.5,15.75,423714293
2021-03-05,15.95,16.9,15.75,16.35,608357909
2021-03-12,16.55,16.65,15.85,15.9,270358656
2021-03-19,15.7,15.75,14.3,14.95,440543080
2021-03-26,14.95,15.1,14.0,14.05,399546667
2021-04-02,14.15,16.85,14.0,15.75,633018695
2021-04-09,15.85,15.95,15.2,15.45,278033045
2021-04-16,15.2,15.25,14.3,14.6,326119519
2021-04-23,14.2,14.35,13.9,14.0,309204480
2021-04-30,14.05,15.15,14.0,14.55,514793177
2021-05-07,12.85,14.15,12.85,13.35,651591672
2021-05-14,13.4,13.75,13.0,13.2,500204342
2021-05-21,13.25,13.5,13.15,13.35,452031551
2021-05-28,13.35,14.1,13.3,13.4,790267777
2021-06-04,13.4,13.9,13.3,13.75,470540185
2021-06-11,13.85,15.55,13.8,14.4,1333342401
2021-06-18,14.4,14.4,13.45,13.75,516978882
2021-06-25,13.65,14.1,13.35,13.65,442947613
2021-07-02,13.7,13.9,13.5,13.55,363647987
2021-07-09,13.65,13.65,13.2,13.25,327658842
2021-07-16,13.25,13.85,12.95,13.4,491033060
2021-07-23,13.3,13.35,12.9,13.05,349520620
