date,open,high,low,close,volume
2020-01-17,265.4,284.45,260.25,281.7,60627583
2020-01-24,281.0,304.0,267.15,280.8,129445831
2020-01-31,280.8,281.9,266.05,269.15,37321461
2020-02-07,269.15,269.15,220.1,249.75,156526595
2020-02-14,249.0,249.75,227.75,238.75,80570629
2020-02-21,240.15,260.85,233.5,256.8,41155330
2020-02-28,257.0,257.3,232.6,239.3,39548686
2020-03-06,244.0,255.95,216.55,221.15,64985009
2020-03-13,215.95,215.95,155.15,182.8,75468564
2020-03-20,175.0,185.0,131.6,144.9,125072403
2020-03-27,133.0,144.7,114.0,128.05,56499081
2020-04-03,122.3,135.0,119.05,124.35,31900607
2020-04-10,129.0,151.3,126.65,149.85,30249353
2020-04-17,143.0,143.0,128.0,140.15,87070654
2020-04-24,142.0,173.4,128.6,145.15,181937496
2020-05-01,150.9,166.0,146.8,159.35,72006061
2020-05-08,150.0,158.75,143.45,150.65,89472931
2020-05-15,153.95,172.95,148.05,164.2,137883126
2020-05-22,163.5,165.0,148.05,163.25,113346385
2020-05-29,164.0,189.05,159.35,183.55,143778720
2020-06-05,187.75,210.45,184.1,206.2,176167280
2020-06-12,209.3,210.5,162.15,168.55,129381337
2020-06-19,168.55,178.2,161.1,172.95,162749625
2020-06-26,175.0,186.9,168.8,176.25,99449862
2020-07-03,174.9,179.25,165.05,172.25,72794581
2020-07-10,173.8,183.3,167.1,170.1,99416181
2020-07-17,172.8,174.9,154.6,157.4,90336532
2020-07-24,159.0,167.75,149.05,151.7,182295632
2020-07-31,148.1,155.1,138.1,138.75,132974086
2020-08-07,138.75,152.6,134.65,150.1,141889759
2020-08-14,150.6,167.5,149.0,161.2,155414233
2020-08-21,163.5,207.0,162.9,192.05,493194831
2020-08-28,195.0,218.5,193.45,213.85,278620035
2020-09-04,215.85,225.35,196.25,220.4,243111406
2020-09-11,220.4,228.9,207.45,218.1,202727885
2020-09-18,222.0,226.65,213.65,220.3,118015055
2020-09-25,221.75,224.8,177.4,198.2,286867990
2020-10-02,198.75,215.0,197.2,214.0,129394754
2020-10-09,214.5,219.55,198.0,200.55,130769240
2020-10-16,196.35,198.0,173.5,175.7,162483971
2020-10-23,176.7,189.2,173.0,185.85,119763052
2020-10-30,186.95,189.65,176.0,187.9,117008075
2020-11-06,186.7,195.0,179.15,193.1,108863703
2020-11-13,194.1,200.0,188.0,192.65,76272040
2020-11-20,194.9,195.2,183.25,185.5,67140461
2020-11-27,187.0,201.0,183.75,192.75,99041458
2020-12-04,195.0,212.3,190.0,206.85,90579000
2020-12-11,208.5,219.95,206.55,212.7,88596626
2020-12-18,215.0,238.2,213.15,225.25,133955114
2020-12-25,224.95,228.2,202.0,217.3,84626296
2021-01-01,219.25,226.6,214.5,224.95,61098957
2021-01-08,226.9,236.85,215.15,231.15,119544568
2021-01-15,234.0,234.0,221.6,224.9,73197879
2021-01-22,225.9,233.9,214.35,219.3,56989956
2021-01-29,222.0,229.0,214.8,220.0,48072722
2021-02-05,222.0,261.0,212.05,215.3,195625639
2021-02-12,220.0,222.4,210.8,212.5,124273424
2021-02-19,215.75,217.9,202.85,208.55,86015495
2021-02-26,209.0,210.8,198.05,200.85,70922631
2021-03-05,203.0,231.8,202.4,218.05,114707379
2021-03-12,220.3,228.0,215.0,218.8,47709656
2021-03-19,219.0,220.35,202.7,215.85,79669817
2021-03-26,214.1,217.3,194.3,199.95,49868672
2021-04-02,204.0,210.85,197.95,209.25,23150716
2021-04-09,209.0,209.0,195.5,206.05,56066692
2021-04-16,201.2,201.25,176.1,193.95,53182326
2021-04-23,187.0,201.75,185.1,188.0,43762644
2021-04-30,190.6,192.95,183.65,185.6,52097606
2021-05-07,184.05,190.75,179.6,186.25,47560107
2021-05-14,187.2,198.2,183.0,191.6,72318356
2021-05-21,192.2,199.0,187.15,190.7,102891519
2021-05-28,192.75,216.3,190.75,211.5,197214850
2021-06-04,212.1,221.45,204.55,218.3,113000884
2021-06-11,219.0,226.15,214.1,220.5,99218323
2021-06-18,220.5,234.45,212.65,221.95,106992227
2021-06-25,218.4,224.15,213.6,218.35,48331013
2021-07-02,219.0,221.5,213.55,217.1,31656531
2021-07-09,218.8,223.5,214.55,216.6,32065540
2021-07-16,218.9,218.9,206.6,208.95,25092217
2021-07-23,208.0,210.4,199.8,205.95,20946223
2021-07-30,205.45,209.2,197.0,202.75,32380189
2021-08-06,204.15,213.8,195.7,196.55,52814933
2021-08-13,190.0,198.75,177.6,183.25,83076242
2021-08-20,183.4,184.5,170.0,170.45,29646204
2021-08-27,171.8,174.5,166.8,170.75,33618705
2021-09-03,171.5,178.1,170.55,176.4,31609938
2021-09-10,178.25,183.75,176.6,183.0,32094499
2021-09-17,183.0,300.75,181.7,255.45,544455407
2021-09-24,251.9,362.9,248.05,318.9,479499208
2021-10-01,305.0,327.95,284.0,295.85,171363996
2021-10-08,295.5,306.8,291.5,294.65,82693896
2021-10-15,295.0,321.75,285.35,319.85,133985935
2021-10-22,319.45,331.95,301.1,308.0,158076534
2021-10-29,309.0,325.0,293.0,300.95,94639042
2021-11-05,303.9,316.9,301.4,310.15,29938311
2021-11-12,311.0,327.85,308.5,312.7,62831777
2021-11-19,314.0,336.75,306.65,313.7,72341819
2021-11-26,314.0,351.1,292.9,342.55,147782046
2021-12-03,344.0,356.0,321.5,349.55,98196214
2021-12-10,352.0,373.5,348.85,371.0,115769164
2021-12-17,373.95,378.7,338.65,342.35,111200448
2021-12-24,338.6,359.65,322.55,331.8,196512016
2021-12-31,332.0,333.7,314.0,320.8,69694287
2022-01-07,318.65,329.4,315.25,320.8,35696857
2022-01-14,322.45,332.2,320.55,322.55,31877357
2022-01-21,324.1,325.0,286.1,289.35,45757701
2022-01-28,290.45,292.7,262.5,285.5,68461061
