date,open,high,low,close,volume
2021-07-23,116.0,138.9,115.0,126.0,694803903
2021-07-30,126.35,147.8,123.55,133.5,855864625
2021-08-06,135.75,141.0,130.1,131.35,225066642
2021-08-13,132.4,139.75,122.1,137.35,281156054
2021-08-20,136.4,141.45,130.6,139.3,112477048
2021-08-27,137.8,137.8,120.5,124.7,219136226
2021-09-03,127.85,151.4,127.55,149.75,227306257
2021-09-10,149.25,149.35,138.55,141.6,112337526
2021-09-17,143.25,152.75,136.2,137.9,209576575
2021-09-24,137.7,140.85,131.0,136.65,100932072
2021-10-01,139.85,144.75,136.15,138.0,70098242
2021-10-08,139.1,140.0,133.7,136.15,46421258
2021-10-15,137.5,137.75,133.7,135.0,25035701
2021-10-22,136.0,146.15,133.85,137.75,76162736
2021-10-29,138.0,139.25,130.5,131.55,53820827
2021-11-05,133.6,134.3,127.5,131.35,33568647
2021-11-12,132.95,155.2,130.6,153.0,284989372
2021-11-19,149.0,169.0,142.35,154.7,321830648
2021-11-26,158.25,161.3,136.8,148.15,256273037
2021-12-03,148.8,158.0,137.5,144.9,384668610
2021-12-10,146.6,148.65,135.3,140.55,153663206
2021-12-17,142.2,144.95,132.35,135.35,165152600
2021-12-24,135.3,140.75,124.6,131.45,115493271
2021-12-31,131.35,138.4,128.0,137.4,63840126
2022-01-07,139.7,142.45,129.0,129.25,95722863
2022-01-14,130.5,134.45,129.4,133.6,50769604
2022-01-21,133.6,134.6,112.55,113.65,127852883
2022-01-28,114.0,114.2,84.15,89.55,473322160
2022-02-04,91.35,99.75,89.65,94.2,96608112
2022-02-11,95.1,95.5,86.5,88.7,81037245
2022-02-18,87.0,90.1,75.75,85.9,218975931
2022-02-25,84.2,85.15,77.0,78.8,112427075
2022-03-04,79.0,83.2,76.55,80.2,93541344
2022-03-11,79.0,83.95,77.6,79.9,66475226
2022-03-18,80.7,82.0,75.5,80.85,102985730
2022-03-25,82.0,83.3,79.25,80.6,91573768
2022-04-01,80.6,88.7,78.05,84.3,115066885
2022-04-08,84.4,87.7,82.25,83.4,81732102
2022-04-15,83.15,88.3,81.0,83.9,83511670
2022-04-22,83.7,84.4,79.45,81.2,54439106
2022-04-29,80.5,81.6,71.1,71.75,96105128
2022-05-06,71.75,71.9,57.65,60.5,148999847
2022-05-13,59.6,60.4,50.05,56.85,299857931
2022-05-20,56.85,59.6,54.75,58.05,180606326
2022-05-27,58.7,67.6,56.6,62.05,413475981
2022-06-03,63.25,79.8,62.6,72.15,520033945
2022-06-10,70.0,71.2,64.1,69.0,208225930
2022-06-17,67.5,72.0,64.0,67.05,210263756
2022-06-24,68.0,71.85,64.05,70.5,143075588
2022-07-01,72.65,72.7,52.55,56.15,547638409
2022-07-08,54.5,55.9,53.3,54.8,197755517
2022-07-15,54.7,61.5,53.35,53.9,244127738
2022-07-22,54.7,55.1,52.7,53.65,177504188
2022-07-29,52.5,52.5,40.6,46.8,1500964148
2022-08-05,46.8,59.15,45.05,54.6,1999281462
2022-08-12,54.7,63.1,54.2,61.75,860932604
2022-08-19,62.65,69.25,60.15,61.45,1107861462
2022-08-26,61.0,65.25,59.25,61.85,730761559
2022-09-02,59.7,63.4,57.3,59.75,590936166
2022-09-09,60.45,63.65,59.2,62.8,482357755
2022-09-16,63.0,66.6,61.1,63.2,667550205
2022-09-23,64.2,65.7,60.4,60.8,298782705
2022-09-30,60.0,62.85,56.95,62.35,358242550
2022-10-07,62.0,70.2,61.2,69.55,322272384
2022-10-14,68.4,69.7,61.0,61.9,383881643
2022-10-21,61.9,64.4,60.85,61.8,281348315
2022-10-28,62.9,65.7,62.05,62.6,210434410
2022-11-04,63.6,64.7,62.0,63.0,216301691
2022-11-11,63.85,73.55,63.15,72.8,586126695
2022-11-18,74.3,75.45,66.9,67.15,453477525
2022-11-25,66.4,66.4,61.4,64.0,371423797
2022-12-02,64.25,68.9,61.9,68.55,815184809
2022-12-09,68.85,69.0,63.65,64.15,226721149
2022-12-16,64.15,65.45,61.85,62.15,134327765
2022-12-23,62.4,63.5,53.2,53.65,240800054
2022-12-30,53.95,61.55,53.45,59.3,266484339
2023-01-06,60.65,60.7,54.95,55.25,182159172
2023-01-13,56.0,57.25,52.95,53.75,152939595
2023-01-20,54.0,54.3,48.85,51.45,299436242
2023-01-27,51.9,52.3,44.35,46.95,479931863
2023-02-03,47.9,51.05,46.45,48.75,301777348
2023-02-10,48.7,56.8,47.55,53.3,755971174
2023-02-17,53.0,53.7,49.8,51.8,316917731
2023-02-24,51.9,56.75,51.75,54.45,460722964
2023-03-03,54.7,55.4,53.0,53.65,200193401
2023-03-10,54.0,56.35,52.65,53.85,172818384
2023-03-17,53.95,55.75,49.85,54.9,317508283
2023-03-24,53.6,54.75,50.15,50.65,235707509
2023-03-31,50.7,51.75,49.0,51.1,198026202
2023-04-07,51.5,52.9,50.9,52.15,74397701
2023-04-14,52.15,55.25,51.8,53.85,159239848
2023-04-21,54.2,56.75,53.0,56.05,244180114
2023-04-28,55.5,66.0,54.7,64.9,576016895
2023-05-05,64.5,66.7,63.05,65.4,394899065
2023-05-12,64.6,66.2,60.3,62.6,451243827
2023-05-19,62.1,65.0,61.95,64.5,290563946
2023-05-26,64.7,68.25,61.8,67.25,484468604
2023-06-02,67.8,73.2,66.3,71.15,598096319
2023-06-09,71.3,78.0,69.6,77.6,381993613
2023-06-16,78.3,80.3,73.1,74.25,409258294
2023-06-23,74.6,77.15,72.6,73.9,216494837
2023-06-30,74.15,77.0,74.1,74.85,168271075
2023-07-07,75.45,77.2,73.0,73.45,148798186
2023-07-14,73.45,85.2,73.45,82.55,423190160
2023-07-21,83.2,83.25,76.5,80.4,270716142
2023-07-28,80.8,87.15,79.3,86.8,346017750
2023-08-04,87.0,98.25,81.6,95.4,651399420
2023-08-11,97.4,102.85,91.65,93.35,641475150
2023-08-18,93.4,95.6,89.0,89.25,218134654
2023-08-25,90.5,95.75,88.35,92.05,316544365
2023-09-01,96.0,100.8,91.75,97.2,626492547
2023-09-08,97.5,101.6,97.05,99.6,291616670
2023-09-15,100.0,104.45,96.5,102.95,440502812
2023-09-22,103.6,105.0,98.25,99.9,253676486
2023-09-29,100.3,102.75,97.75,101.5,181537953
2023-10-06,101.0,107.7,100.0,104.45,356849901
2023-10-13,103.8,113.25,101.0,111.0,388859726
2023-10-20,111.9,115.1,109.5,113.35,311305669
2023-10-27,113.8,113.9,101.25,105.65,282973724
2023-11-03,106.2,119.9,103.25,116.5,431495630
2023-11-10,119.6,126.35,118.25,121.3,475912594
2023-11-17,123.25,123.95,121.5,122.0,33577779
