date,open,high,low,close,volume
2020-01-17,258.0,272.8,255.0,269.15,8688605
2020-01-24,269.1,276.5,264.6,272.15,9575137
2020-01-31,270.1,279.0,263.0,265.55,9531348
2020-02-07,265.9,288.6,254.25,275.2,14826982
2020-02-14,275.5,282.9,265.85,270.0,5758896
2020-02-21,271.3,281.7,261.1,279.25,6708992
2020-02-28,277.0,280.45,254.25,260.05,7213545
2020-03-06,260.05,272.75,240.5,266.1,14762223
2020-03-13,264.9,267.25,202.0,251.55,9188625
2020-03-20,247.0,290.0,235.0,285.8,16489964
2020-03-27,288.05,305.9,248.65,252.7,16342823
2020-04-03,252.0,279.5,247.65,274.6,11566331
2020-04-10,302.05,374.0,290.0,351.1,68989218
2020-04-17,364.9,364.9,329.15,333.8,41734961
2020-04-24,340.0,349.9,326.35,336.95,46754784
2020-05-01,330.3,342.55,320.5,323.95,24791247
2020-05-08,323.95,342.5,318.0,321.25,31533269
2020-05-15,332.8,343.0,321.1,332.2,26757751
2020-05-22,332.5,353.0,321.35,346.7,24212861
2020-05-29,348.0,352.5,333.0,344.6,15844733
2020-06-05,345.9,367.55,342.65,359.7,26547029
2020-06-12,360.0,378.25,351.2,374.3,24782103
2020-06-19,380.0,383.6,356.35,362.05,27034396
2020-06-26,365.95,373.3,356.55,363.85,16705559
2020-07-03,365.2,380.0,347.05,366.35,21582305
2020-07-10,374.0,374.0,354.5,356.4,16143335
2020-07-17,357.9,378.6,352.1,377.4,20424384
2020-07-24,381.0,384.5,361.5,363.1,20202388
2020-07-31,363.75,396.45,350.5,388.4,26303001
2020-08-07,396.0,411.5,384.2,390.9,55401926
2020-08-14,393.2,409.8,381.25,395.45,28119862
2020-08-21,399.15,406.0,390.85,400.65,17416049
2020-08-28,403.1,403.85,385.1,388.85,12624255
2020-09-04,391.9,392.55,366.5,377.15,15626203
2020-09-11,382.9,382.9,358.0,370.0,18495265
2020-09-18,371.8,423.0,365.5,409.7,38014056
2020-09-25,412.9,416.95,374.15,385.5,25089997
2020-10-02,389.1,406.5,381.35,398.25,19630778
2020-10-09,401.0,447.9,395.8,438.0,39545240
2020-10-16,438.0,446.3,411.3,430.4,25021360
2020-10-23,435.9,435.9,415.6,424.3,19121219
2020-10-30,425.5,430.0,407.5,417.7,12655101
2020-11-06,418.0,464.0,404.0,432.3,49014655
2020-11-13,436.1,440.0,406.25,425.6,31601094
2020-11-20,432.0,438.85,423.7,425.8,13603027
2020-11-27,429.65,459.0,418.1,450.1,31402419
2020-12-04,459.1,475.8,442.3,471.05,21757641
2020-12-11,471.9,480.95,461.0,466.65,16409553
2020-12-18,469.0,481.0,465.0,476.6,14623700
2020-12-25,476.6,491.7,428.95,489.5,20766299
2021-01-01,496.45,499.25,474.45,478.4,16389211
2021-01-08,494.0,494.0,475.35,485.15,14626936
2021-01-15,487.0,509.2,481.65,487.8,21586978
2021-01-22,485.0,489.8,455.3,460.5,13003753
2021-01-29,465.35,473.65,450.0,451.5,11488185
2021-02-05,454.0,488.95,442.05,474.75,25900587
2021-02-12,478.0,479.9,459.8,468.05,15691569
2021-02-19,466.9,474.45,447.05,452.4,13592207
2021-02-26,450.0,451.0,421.0,435.2,14397618
2021-03-05,437.0,453.5,430.4,442.25,9774197
2021-03-12,443.0,453.2,441.55,442.5,6186942
2021-03-19,442.0,442.95,408.35,425.4,7514148
2021-03-26,427.55,438.0,415.2,420.2,9638564
2021-04-02,424.0,447.2,422.25,442.0,5996760
2021-04-09,444.8,517.75,434.45,514.45,36231754
2021-04-16,517.75,532.0,478.55,527.1,64643073
2021-04-23,535.0,577.35,513.4,570.9,90198855
2021-04-30,605.0,605.0,555.5,571.15,75296547
2021-05-07,574.95,611.9,565.5,603.2,58126493
2021-05-14,609.45,673.7,606.0,617.15,77039921
2021-05-21,624.75,628.4,601.45,613.15,25466261
2021-05-28,620.5,639.95,612.5,621.25,41953003
2021-06-04,620.0,644.8,611.55,636.5,23517405
2021-06-11,639.95,668.9,610.5,664.95,34165807
2021-06-18,668.5,668.55,603.6,620.4,24268909
2021-06-25,620.0,635.5,613.3,624.0,15220010
2021-07-02,631.95,650.0,626.6,639.35,22265124
2021-07-09,643.0,646.9,628.2,640.5,10728909
2021-07-16,642.5,651.9,636.0,643.85,12650275
2021-07-23,643.85,650.9,612.0,615.25,12169155
2021-07-30,615.8,622.0,570.45,586.1,19895906
2021-08-06,590.0,596.8,582.3,585.8,7671691
2021-08-13,585.0,590.25,536.45,558.45,20579009
2021-08-20,557.9,558.0,521.55,534.85,18806156
2021-08-27,562.0,577.0,534.5,550.55,33204641
2021-09-03,553.0,561.0,548.0,555.65,9537170
2021-09-10,556.05,562.2,550.0,558.1,6676969
